sentence,label
We're talking a few thousand dollars!,1
"Mister, you wouldn't want to own a dog that couldn't pull a measly thousand pounds.",1
"I see .. all in all, a fine eighteen months.",1
"And to blow up the bathtub, we're stretching the budget and moving into the realm of ridiculous by using a massive 2.5 kilograms of sodium.",1
We were filming for a good 12 hours or so.,1
Robert and a few hundred survivors dragged themselves west.,1
He had no more than a few hundred men.,1
Never in a fucking million years did I expect to hear that from him.,1
That's a staggering 22 years.,1
"On that planet, a 100-pound person... would weigh a whopping 254 pounds.",1
"I was a mere twenty years old, and my enthronement divided Goguryeo in half.",1
"Will we be able to subjugate them, with only a few hundred men?",1
"What you see is nothing... a few thousand stars visible to the naked eye, a mere fraction of 100 billion stars that make up our galaxy.",1
I have been beating myself up for a full four minutes!,1
"He crashed in the ice, probably a few thousand years ago.",1
Another 1 5 francs was levied for transporting their remains and a further 20 francs was needed for each burial-,1
A constant diet of coercion gets tired after a couple hundred years.,1
"It really has been an amazing six years, hasn't it?",1
She bought a new 50 inches TV,1
"For most of human history, for example, our horizons were determined by our tribe, which numbered just a few hundred individuals.",1
Some scientists believe that in a mere 20 years we'll have personal fabricators right in our living room.,1
"Yeah, it's been a pretty wacky last four years, huh?",1
It took me an extra 30 minutes to get ready this morning.,1
"When a mere three years ago, she had five black cocks stuffed up in that freakin' thing.",1
Did Paul get an extra two bucks?,1
"An 8-hour shift, and I got a whole 50 cents in tips.",1
How such a powerful state was conquered by just a few hundred conquistadors.,1
You've 45 seconds to complete each hive and score a maximum five points.,1
Very well done for a full ten points.,1
You have 45 seconds to complete each hive and score a maximum five points.,1
"An extra 30 seconds, maybe.",1
An extra 30 seconds.,1
"Dan and Kathy, the hole remains a tiny 27 inches wide from 181 feet all the way to the bottom.",1
"It stopped a few hundred metres away from me, and I ran towards it rather than away from it, because that would, you know, get them by surprise.",1
"Hmm, a full two minutes longer.",1
"So that's, like, a full seven days.",1
"Ugh, Tina, you're such a goody two boobs.",1
He's a good two to three decades older than our profile.,1
It's a good 10 years older than our other victims.,1
everything you've ever wanted is standing right in front of you i really need to get back to work hey just tell you what christmas is in seven days let's make a merry one promises just think about it,1
Mark shot my dad in the face for a few hundred dollars.,1
"The Mayor's decided to grant us an extra 75,000 kroner.",1
A few hundred yards from the castle.,1
Must have taken him a good 60 years to write all this stuff.,1
It was a good two weeks.,1
(Operator) 'Will you pay for a further three minutes?,1
"And his opponent in the opposite corner tonight, making his professional debut weighing in at an even 250 pounds, the Battling Bailiff.",1
Just a few hundred yards from this holy place.,1
