source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
open_subtitles,We're talking a few thousand dollars!,16438,a few thousand dollars,DT JJ CD NNS,a,few,thousand,dollars,
open_subtitles,"Mister, you wouldn't want to own a dog that couldn't pull a measly thousand pounds.",50432,a measly thousand pounds,DT JJ CD NNS,a,measly,thousand,pounds,
open_subtitles,"I see .. all in all, a fine eighteen months.",53752,a fine eighteen months,DT JJ CD NNS,a,fine,eighteen,months,
open_subtitles,"And to blow up the bathtub, we're stretching the budget and moving into the realm of ridiculous by using a massive 2.5 kilograms of sodium.",102201,a massive 2.5 kilograms,DT JJ CD NNS,a,massive,2.5,kilograms,
open_subtitles,We were filming for a good 12 hours or so.,134229,a good 12 hours,DT JJ CD NNS,a,good,12,hours,
open_subtitles,Robert and a few hundred survivors dragged themselves west.,136016,a few hundred survivors,DT JJ CD NNS,a,few,hundred,survivors,
open_subtitles,He had no more than a few hundred men.,136049,a few hundred men,DT JJ CD NNS,a,few,hundred,men,
open_subtitles,Never in a fucking million years did I expect to hear that from him.,214659,a fucking million years,DT JJ CD NNS,a,fucking,million,years,
open_subtitles,That's a staggering 22 years.,216079,a staggering 22 years,DT JJ CD NNS,a,staggering,22,years,
open_subtitles,That's a staggering 22 years.,217149,a staggering 22 years,DT JJ CD NNS,a,staggering,22,years,
open_subtitles,"On that planet, a 100-pound person... would weigh a whopping 254 pounds.",238379,a whopping 254 pounds,DT JJ CD NNS,a,whopping,254,pounds,
open_subtitles,"I was a mere twenty years old, and my enthronement divided Goguryeo in half.",240756,a mere twenty years,DT JJ CD NNS,a,mere,twenty,years,
open_subtitles,"Will we be able to subjugate them, with only a few hundred men?",244635,a few hundred men,DT JJ CD NNS,a,few,hundred,men,
open_subtitles,"What you see is nothing... a few thousand stars visible to the naked eye, a mere fraction of 100 billion stars that make up our galaxy.",259286,a few thousand stars,DT JJ CD NNS,a,few,thousand,stars,
open_subtitles,I have been beating myself up for a full four minutes!,278447,a full four minutes,DT JJ CD NNS,a,full,four,minutes,
open_subtitles,"He crashed in the ice, probably a few thousand years ago.",288369,a few thousand years,DT JJ CD NNS,a,few,thousand,years,
open_subtitles,Another 1 5 francs was levied for transporting their remains and a further 20 francs was needed for each burial-,311157,a further 20 francs,DT JJ CD NNS,a,further,20,francs,
open_subtitles,A constant diet of coercion gets tired after a couple hundred years.,340705,a couple hundred years,DT JJ CD NNS,a,couple,hundred,years,
open_subtitles,"It really has been an amazing six years, hasn't it?",353865,an amazing six years,DT JJ CD NNS,an,amazing,six,years,
open_subtitles,"It really has been an amazing six years, hasn't it?",354184,an amazing six years,DT JJ CD NNS,an,amazing,six,years,
open_subtitles,She bought a new 50 inches TV,356933,a new 50 inches,DT JJ CD NNS,a,new,50,inches,
open_subtitles,"For most of human history, for example, our horizons were determined by our tribe, which numbered just a few hundred individuals.",384538,a few hundred individuals,DT JJ CD NNS,a,few,hundred,individuals,
open_subtitles,Some scientists believe that in a mere 20 years we'll have personal fabricators right in our living room.,384767,a mere 20 years,DT JJ CD NNS,a,mere,20,years,
open_subtitles,"Yeah, it's been a pretty wacky last four years, huh?",455117,a pretty wacky last four years,DT RB JJ JJ CD NNS,a,wacky & last,four,years,pretty
open_subtitles,It took me an extra 30 minutes to get ready this morning.,455592,an extra 30 minutes,DT JJ CD NNS,an,extra,30,minutes,
open_subtitles,"When a mere three years ago, she had five black cocks stuffed up in that freakin' thing.",457023,a mere three years,DT JJ CD NNS,a,mere,three,years,
open_subtitles,Did Paul get an extra two bucks?,457844,an extra two bucks,DT JJ CD NNS,an,extra,two,bucks,
open_subtitles,"An 8-hour shift, and I got a whole 50 cents in tips.",467571,a whole 50 cents,DT JJ CD NNS,a,whole,50,cents,
open_subtitles,How such a powerful state was conquered by just a few hundred conquistadors.,500556,a few hundred conquistadors,DT JJ CD NNS,a,few,hundred,conquistadors,
open_subtitles,You've 45 seconds to complete each hive and score a maximum five points.,501289,a maximum five points,DT JJ CD NNS,a,maximum,five,points,
open_subtitles,Very well done for a full ten points.,501570,a full ten points,DT JJ CD NNS,a,full,ten,points,
open_subtitles,You have 45 seconds to complete each hive and score a maximum five points.,502752,a maximum five points,DT JJ CD NNS,a,maximum,five,points,
open_subtitles,"An extra 30 seconds, maybe.",504022,An extra 30 seconds,DT JJ CD NNS,An,extra,30,seconds,
open_subtitles,An extra 30 seconds.,504023,An extra 30 seconds,DT JJ CD NNS,An,extra,30,seconds,
open_subtitles,You have 45 seconds to complete each hive and score a maximum five points.,504964,a maximum five points,DT JJ CD NNS,a,maximum,five,points,
open_subtitles,"Dan and Kathy, the hole remains a tiny 27 inches wide from 181 feet all the way to the bottom.",508573,a tiny 27 inches,DT JJ CD NNS,a,tiny,27,inches,
open_subtitles,"It stopped a few hundred metres away from me, and I ran towards it rather than away from it, because that would, you know, get them by surprise.",511048,a few hundred metres,DT JJ CD NNS,a,few,hundred,metres,
open_subtitles,"Hmm, a full two minutes longer.",520429,a full two minutes,DT JJ CD NNS,a,full,two,minutes,
open_subtitles,"So that's, like, a full seven days.",524305,a full seven days,DT JJ CD NNS,a,full,seven,days,
open_subtitles,"Ugh, Tina, you're such a goody two boobs.",552644,a goody two boobs,DT JJ CD NNS,a,goody,two,boobs,
open_subtitles,He's a good two to three decades older than our profile.,590432,a good two to three decades,DT JJ CD TO CD NNS,a,good,two & three,decades,
open_subtitles,It's a good 10 years older than our other victims.,590450,a good 10 years,DT JJ CD NNS,a,good,10,years,
open_subtitles,everything you've ever wanted is standing right in front of you i really need to get back to work hey just tell you what christmas is in seven days let's make a merry one promises just think about it,609581,a merry one promises,DT JJ CD NNS,a,merry,one,promises,
open_subtitles,Mark shot my dad in the face for a few hundred dollars.,634536,a few hundred dollars,DT JJ CD NNS,a,few,hundred,dollars,
open_subtitles,"The Mayor's decided to grant us an extra 75,000 kroner.",714841,"an extra 75,000 kroner",DT JJ CD NNS,an,extra,"75,000",kroner,
open_subtitles,A few hundred yards from the castle.,782973,A few hundred yards,DT JJ CD NNS,A,few,hundred,yards,
open_subtitles,Must have taken him a good 60 years to write all this stuff.,804990,a good 60 years,DT JJ CD NNS,a,good,60,years,
open_subtitles,It was a good two weeks.,834009,a good two weeks,DT JJ CD NNS,a,good,two,weeks,
open_subtitles,(Operator) 'Will you pay for a further three minutes?,837975,a further three minutes,DT JJ CD NNS,a,further,three,minutes,
open_subtitles,"And his opponent in the opposite corner tonight, making his professional debut weighing in at an even 250 pounds, the Battling Bailiff.",844956,an even 250 pounds,DT JJ CD NNS,an,even,250,pounds,
open_subtitles,Just a few hundred yards from this holy place.,859095,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,
open_subtitles,"Well, at four thirty today, he barked for a solid fifteen minutes.",862127,a solid fifteen minutes,DT JJ CD NNS,a,solid,fifteen,minutes,
open_subtitles,"Well, you probably had another good two or three years of competitive play in you.",916033,another good two or three years,DT JJ CD CC CD NNS,another,good,two & three,years,
open_subtitles,"Well, you probably had another good two or three years of competitive play in you.",917946,another good two or three years,DT JJ CD CC CD NNS,another,good,two & three,years,
open_subtitles,But you do have to allow an extra 30 minutes for preparation.,921873,an extra 30 minutes,DT JJ CD NNS,an,extra,30,minutes,
