source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"I struggled through them, I somehow felt I had a few more IQ points than when I started.",249,a few more IQ points,DT JJ CD NN NNS,a,few,more,IQ & points,
babylm_sents,"Now we got a few more minutes here, so lets do something a little, snicker",772,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"So, in these next few videos, we're gonna continue our discussion of the minimum cost spanning tree problem.",1074,these next few videos,DT JJ CD NNS,these,next,few,videos,
babylm_sents,"Yeah, well, I know I've not 'ad bath for a good few seasons, but there's no need to 'urt my feelin's.",2481,a good few seasons,DT JJ CD NNS,a,good,few,seasons,
babylm_sents,"If you take the whole of time represented by one year, we're only in the first few moments of the 1st of January.",2887,the first few moments,DT JJ CD NNS,the,first,few,moments,
babylm_sents,"This image becomes imprinted in the brain of the ducklings, and for the next few weeks they will follow it unwaveringly.",5726,the next few weeks,DT JJ CD NNS,the,next,few,weeks,
babylm_sents,- in the Iast few weeks.,8172,the Iast few weeks,DT JJS CD NNS,the,Iast,few,weeks,
babylm_sents,- in the last few weeks.,13332,the last few weeks,DT JJ CD NNS,the,last,few,weeks,
babylm_sents,"After an uneventful few months, RAF Fighter Command resumed its offensive policy in April 1942 when the weather cleared for large-scale operations.",14222,an uneventful few months,DT JJ CD NNS,an,uneventful,few,months,
babylm_sents,War has been the primary factor in the last few decades of the Darfur area.,22479,the last few decades,DT JJ CD NNS,the,last,few,decades,
babylm_sents,"""Furious"" was assigned to the Atlantic Fleet after commissioning in 1925, although she spent much of the next several years conducting trials for practically every aircraft in the Fleet Air Arm (FAA) inventory.",24578,the next several years,DT JJ CD NNS,the,next,several,years,
babylm_sents,"The Home Fleet tried another attack on ""Tirpitz"" later on 23 April 1944, but bad weather prevented any attack from being made that day and for the next several days.",24917,the next several days,DT JJ CD NNS,the,next,several,days,
babylm_sents,AB minus AE is the same thing based on these last few things that we saw,26000,these last few things,DT JJ CD NNS,these,last,few,things,
babylm_sents,"“Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller.",28788,a great many friends,DT JJ CD NNS,a,great,many,friends,
babylm_sents,"I know it is very generous of me, and a great many people would think me extremely foolish for parting with it, but I am not like the rest of the world.",29044,a great many people,DT JJ CD NNS,a,great,many,people,
babylm_sents,"She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end.",29793,a great many times,DT JJ CD NNS,a,great,many,times,
babylm_sents,"However, several large land grants had been taken up in the district, including one of over 8000 acres (Location 31) initially held by John Adams, and over the next few decades this allocated land presented a constraint to others seeking land for settlement in the area.",30202,the next few decades,DT JJ CD NNS,the,next,few,decades,
babylm_sents,"Land was purchased, and over the next few years shafts were dug by contractors.",30228,the next few years shafts,DT JJ CD NNS NNS,the,next,few,years & shafts,
babylm_sents,"The work was assisted by the arrival of convict labour in 1852, and during the next few years the roads from Kelmscott to Albany and from Kelmscott to Pinjarra were formed.",30247,the next few years,DT JJ CD NNS,the,next,few,years,
babylm_sents,"For the first several years of production in Japan, Epiphone guitars were actually rebranded designs already produced by the Matsumoku Company.",33409,the first several years,DT JJ CD NNS,the,first,several,years,
babylm_sents,"Over the next few years, Ravaglia worked with dedication and enthusiasm to gain recognition from the Ministry of Foreign Affairs for polio vaccination.",34150,the next few years,DT JJ CD NNS,the,next,few,years,
babylm_sents,"Her nephew, a merry boy, who was his aunt's darling, begged so long for these spectacles, that, at last, she lent him the treasure, after having informed him, with many exhortations, that in order to execute the interesting trick, he need only repair to some place where a great many persons were assembled; and then, from a higher position, whence he could overlook the crowd, pass the company in review before him through his spectacles.",34347,a great many persons,DT JJ CD NNS,a,great,many,persons,
babylm_sents,"so for, uh, the first few years she had her own apartment and, you know, made her own meals sometimes.",35745,the first few years,DT JJ CD NNS,the,first,few,years,
babylm_sents,okay you can play a few more minutes catherine .,41018,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"For the next several years, Codrington fought alongside the Spanish against the French in the Mediterranean Sea, commanding a squadron that harried French shipping and made numerous coastal raids.",42241,the next several years,DT JJ CD NNS,the,next,several,years,
babylm_sents,"So resting for a final few moments in stillness, in silence, full wakefulness, in full awareness, outside of time, as if you had nothing to do, no place to go.",45860,a final few moments,DT JJ CD NNS,a,final,few,moments,
