source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check.",75,a few hundred million dollars,DT JJ CD CD NNS,a,few,hundred & million,dollars,
babylm_sents,"The last two reasons I'm going to give you might sound a little flipping but, you know, I, I think there is more than a grain of truth to both of them.",247,The last two reasons,DT JJ CD NNS,The,last,two,reasons,
babylm_sents,The first two digits of the four in x.,341,The first two digits,DT JJ CD NNS,The,first,two,digits,
babylm_sents,And then b would be the other two digits.,342,the other two digits,DT JJ CD NNS,the,other,two,digits,
babylm_sents,We haven't started that yet but it will more of a smaller three to four people one on one with the teacher.,884,a smaller three to four people,DT JJR CD TO CD NNS,a,smaller,three & four,people,
babylm_sents,"Under my administration, America is producing more oil today than at any time in the last eight years -- at any time.",1427,the last eight years,DT JJ CD NNS,the,last,eight,years,
babylm_sents,"Over the last three years, we've opened millions of acres of land in 23 different states for oil and gas exploration.",1430,the last three years,DT JJ CD NNS,the,last,three,years,
babylm_sents,We are producing more oil than any time in the last eight years.,1441,the last eight years,DT JJ CD NNS,the,last,eight,years,
babylm_sents,"In the last 2 days, i-I've been mugged,",3810,the last 2 days,DT JJ CD NNS,the,last,2,days,
babylm_sents,- you'll find that they're the first three chords you learn,4892,the first three chords,DT JJ CD NNS,the,first,three,chords,
babylm_sents,staff salaries have gone down over the last eighteen months,6998,the last eighteen months,DT JJ CD NNS,the,last,eighteen,months,
babylm_sents,There was a dramatic increase in atrocities against Jews and other civilians in the last three months of 1941.,8473,the last three months,DT JJ CD NNS,the,last,three,months,
babylm_sents,That is because of the way we've behaved over the last two years.,8713,the last two years,DT JJ CD NNS,the,last,two,years,
babylm_sents,"In the last few decades, but accentuating in the last six to eight years",9361,the last six to eight years,DT JJ CD TO CD NNS,the,last,six & eight,years,
babylm_sents,These are the Snooker world rankings of 1994–1995: The professional world rankings for the top 64 snooker players in the 1994–1995 season are listed below.,10480,the top 64 snooker players,DT JJ CD NN NNS,the,top,64,snooker & players,
babylm_sents,"He also published the book ""The Nearby Galaxies Catalog"" in 1988 with 3D locations for the closest 68,000 galaxies to Earth.",10524,"the closest 68,000 galaxies",DT JJS CD NNS,the,closest,"68,000",galaxies,
babylm_sents,Snooker world rankings 1993/1994: The professional world rankings for the top 64 snooker players in the 1993/1994 season are listed below.,11143,the top 64 snooker players,DT JJ CD NN NNS,the,top,64,snooker & players,
babylm_sents,Snooker world rankings 1992/1993: The professional world rankings for the top 32 snooker players and two others from the top 64 in the 1992/1993 season are listed below.,11341,the top 32 snooker players,DT JJ CD NN NNS,the,top,32,snooker & players,
babylm_sents,"The film happens in the last quarter of the 19th century and the first nineteen years of the twentieth, during the dictatorship of Porfirio Díaz, the presidency of Francisco I. Madero, the military revolt of Victoriano Huerta, the Convention of Generals and, finally, the death of Zapata, already in the constitutionalist stage of Venustiano Carranza.",11371,the first nineteen years,DT JJ CD NNS,the,first,nineteen,years,
babylm_sents,"The district is nearly 4 times as large as the other 9 districts of Suriname combined; however, most of the Sipaliwini is unused (it was specifically stated when the district was formed that it would encompass the unused land in Suriname's south) except for the north and the west.",11579,the other 9 districts,DT JJ CD NNS,the,other,9,districts,
babylm_sents,Snooker world rankings 1991/1992: The professional world rankings for the top 64 snooker players in the 1991/1992 season are listed below.,12820,the top 64 snooker players,DT JJ CD NN NNS,the,top,64,snooker & players,
babylm_sents,"Kealy and other members of the team took up positions behind the sand-bag parapet on the roof of the BATT house, firing at the Adoo with L1A1 SLR battle rifles, with one man firing the Browning M2HB heavy machine gun, with a further two men on ground level operating and firing an infantry mortar surrounded by sand-bags.",12856,a further two men,DT JJ CD NNS,a,further,two,men,
babylm_sents,"Over the next two years, 13 officers were jailed, earning the Obscene Publications Squad its nickname: The Dirty Squad.",13206,the next two years,DT JJ CD NNS,the,next,two,years,
babylm_sents,"Responding to a Home Office report which failed to find any link between pornography and sexual violence, Hames wrote that ""everything I have learned [...] over the last 20 years tells me the opposite"".",13344,the last 20 years,DT JJ CD NNS,the,last,20,years,
babylm_sents,That is because we've given them good service over the past three years.,13930,the past three years,DT JJ CD NNS,the,past,three,years,
babylm_sents,Johnson spotted three Bf 109s a few hundred feet higher and travelling in the same direction.,14041,a few hundred feet,DT JJ CD NNS,a,few,hundred,feet,
babylm_sents,A further five victories against Fw 190s were achieved in June.,14321,A further five victories,DT JJ CD NNS,A,further,five,victories,
babylm_sents,"Er I think tha that we need to look at  why there is such a significant difference in profitability, between the bridge and P Way, who are making what would appear to be a reasonable amount, er and the other four sections.",14504,the other four sections,DT JJ CD NNS,the,other,four,sections,
babylm_sents,"The vertex subset reached by both searches forms a strongly connected components, and the algorithm then recurses on the other 3 subsets.",14685,the other 3 subsets,DT JJ CD NNS,the,other,3,subsets,
babylm_sents,"RAD Grades 1-8 and the first five levels of the Vocational Grades were accredited by the Office of Qualifications and Examinations Regulation (Ofqual) in England with the RAD as an Awarding Organisation, and the Academy also achieved SQA Accreditation (Scottish Qualifications Authority Accreditation) for RAD exams.",14921,the first five levels,DT JJ CD NNS,the,first,five,levels,
babylm_sents,"Grades 1-8 and the first five levels of the Vocational Grades are accredited by the Office of Qualifications and Examinations Regulation (Ofqual) in England, the Department for Children, Education, Lifelong Learning and Skills (DCELLS) in Wales and the Council for the Curriculum, Examinations & Assessment (CCEA) in Northern Ireland.",14937,the first five levels,DT JJ CD NNS,the,first,five,levels,
babylm_sents,With an extra two to three people?,16576,an extra two to three people,DT JJ CD TO CD NNS,an,extra,two & three,people,
babylm_sents,Snooker world rankings 1990/1991: The professional world rankings for the top 32 snooker players and five others from the top 64 in the 1990/1991 season are listed below.,16618,the top 32 snooker players,DT JJ CD NN NNS,the,top,32,snooker & players,
babylm_sents,Snooker world rankings 1982/1983: The professional world rankings for the top 33 snooker players in the 1982/1983 season are listed below.,17430,the top 33 snooker players,DT JJ CD NN NNS,the,top,33,snooker & players,
babylm_sents,The popular nature of the revolt is evident in the fact that posters and notices were being handed out a full three days before the substantive acts of the revolution occurred on 12 January 1848.,18115,a full three days,DT JJ CD NNS,a,full,three,days,
