sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
97924,a record 32 teams,ARTICLE RECORD CD NNS,a,record,32,teams,55,0.5126633986928104
164678,a record 26 times,ARTICLE RECORD CD NNS,a,record,26,times,55,0.5126633986928104
360882,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,55,0.5126633986928104
360886,a record 7 hours,ARTICLE RECORD CD NNS,a,record,7,hours,55,0.5126633986928104
414709,a record five times,ARTICLE RECORD CD NNS,a,record,five,times,55,0.5126633986928104
424843,a record 11 straight postseason wins,ARTICLE RECORD CD JJ NN NNS,a,record,11,straight postseason wins,55,0.5126633986928104
436941,a record eight players,ARTICLE RECORD CD NNPS,a,record,eight,players,55,0.5126633986928104
467322,a record 264 grade games,ARTICLE RECORD CD NN NNS,a,record,264,grade games,55,0.5126633986928104
471819,a record 58 goals,ARTICLE RECORD CD NNS,a,record,58,goals,55,0.5126633986928104
511331,a record 14 years,ARTICLE RECORD CD NNS,a,record,14,years,55,0.5126633986928104
519711,a record twelve national titles,ARTICLE RECORD CD JJ NNS,a,record,twelve,national titles,55,0.5126633986928104
549224,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,55,0.5126633986928104
577024,a record four times,ARTICLE RECORD CD NNS,a,record,four,times,55,0.5126633986928104
592465,a record 25 playoff games,ARTICLE RECORD CD NN NNS,a,record,25,playoff games,55,0.5126633986928104
634169,a record 50 points,ARTICLE RECORD CD NNS,a,record,50,points,55,0.5126633986928104
674688,a record 67 doubles,ARTICLE RECORD CD NNS,a,record,67,doubles,55,0.5126633986928104
778896,a record eight consecutive stages,ARTICLE RECORD CD JJ NNS,a,record,eight,consecutive stages,55,0.5126633986928104
1063867,a record 25 applicants,ARTICLE RECORD CD NNS,a,record,25,applicants,55,0.5126633986928104
1209325,"a record 78–76 , 30 games","ARTICLE RECORD CD , CD NNS",a,record,"78–76 , 30",games,55,0.5126633986928104
1266128,a record 15 cautions,ARTICLE RECORD CD NNS,a,record,15,cautions,55,0.5126633986928104
1266185,a record 140 laps,ARTICLE RECORD CD NNS,a,record,140,laps,55,0.5126633986928104
1299445,a record 60 weeks,ARTICLE RECORD CD NNS,a,record,60,weeks,55,0.5126633986928104
1517053,a record six times,ARTICLE RECORD CD NNS,a,record,six,times,55,0.5126633986928104
1530645,a record three times,ARTICLE RECORD CD NNS,a,record,three,times,55,0.5126633986928104
1558223,a record 22 confirmed championship defenses,ARTICLE RECORD CD VBN NN NNS,a,record,22,confirmed championship defenses,55,0.5126633986928104
1672494,a record seven hundred thousand brits,ARTICLE RECORD CD CD CD NNPS,a,record,seven hundred thousand,brits,55,0.5126633986928104
1952645,a record four consecutive finals,ARTICLE RECORD CD JJ NNS,a,record,four,consecutive finals,55,0.5126633986928104
1968148,a record fifteen starters,ARTICLE RECORD CD NNS,a,record,fifteen,starters,55,0.5126633986928104
2072101,a record 63 tournaments,ARTICLE RECORD CD NNS,a,record,63,tournaments,55,0.5126633986928104
2073928,a record four consecutive times,ARTICLE RECORD CD JJ NNS,a,record,four,consecutive times,55,0.5126633986928104
2097036,a record 195 games,ARTICLE RECORD CD NNS,a,record,195,games,55,0.5126633986928104
2433620,a record 21 months,ARTICLE RECORD CD NNS,a,record,21,months,55,0.5126633986928104
2535449,a record eight times,ARTICLE RECORD CD NNS,a,record,eight,times,55,0.5126633986928104
2549130,a record nine times,ARTICLE RECORD CD NNS,a,record,nine,times,55,0.5126633986928104
2549149,a record 9 times,ARTICLE RECORD CD NNS,a,record,9,times,55,0.5126633986928104
2584980,a record 10 catches,ARTICLE RECORD CD NNS,a,record,10,catches,55,0.5126633986928104
2630042,a record seven times,ARTICLE RECORD CD NNS,a,record,seven,times,55,0.5126633986928104
2675129,a record seven editions,ARTICLE RECORD CD NNS,a,record,seven,editions,55,0.5126633986928104
2732333,a record eight times,ARTICLE RECORD CD NNS,a,record,eight,times,55,0.5126633986928104
3314066,a record 650 bills,ARTICLE RECORD CD NNS,a,record,650,bills,55,0.5126633986928104
3420442,a record five times,ARTICLE RECORD CD NNS,a,record,five,times,55,0.5126633986928104
3455711,a record 14 doubles,ARTICLE RECORD CD NNPS,a,record,14,doubles,55,0.5126633986928104
3643528,a record 74 winners,ARTICLE RECORD CD NNS,a,record,74,winners,55,0.5126633986928104
3837247,a record 22 people,ARTICLE RECORD CD NNS,A,record,22,people,55,0.5126633986928104
3860161,a record four occasions,ARTICLE RECORD CD NNS,a,record,four,occasions,55,0.5126633986928104
3983863,a record 20 rounds,ARTICLE RECORD CD NNS,a,record,20,rounds,55,0.5126633986928104
3983864,a record 21 races,ARTICLE RECORD CD NNS,a,record,21,races,55,0.5126633986928104
5151453,a record four times,ARTICLE RECORD CD NNS,a,record,four,times,55,0.5126633986928104
5263597,a record 13 times,ARTICLE RECORD CD NNS,a,record,13,times,55,0.5126633986928104
5324770,a record 102 tonnes,ARTICLE RECORD CD NNS,a,record,102,tonnes,55,0.5126633986928104
5513840,a record 106 yards,ARTICLE RECORD CD NNS,a,record,106,yards,55,0.5126633986928104
5538374,a record eight seasons,ARTICLE RECORD CD NNS,a,record,eight,seasons,55,0.5126633986928104
5868483,a record twelve times,ARTICLE RECORD CD NNS,a,record,twelve,times,55,0.5126633986928104
7278978,a record 20 titles,ARTICLE RECORD CD NNS,a,record,20,titles,55,0.5126633986928104
7608449,a record 1.5 million pre,ARTICLE RECORD CD CD NNS,a,record,1.5 million,pre,55,0.5126633986928104
18115,a full three days,ARTICLE JJ CD NNS,a,full,three,days,41,0.5294117647058824
136989,a full four stars,ARTICLE JJ CD NNS,a,full,four,stars,41,0.5294117647058824
229447,a full 15 games,ARTICLE JJ CD NNS,a,full,15,games,41,0.5294117647058824
327652,a full ten inches,ARTICLE JJ CD NNS,a,full,ten,inches,41,0.5294117647058824
349194,a full ten years,ARTICLE JJ CD NNS,a,full,ten,years,41,0.5294117647058824
367449,a full six yards,ARTICLE JJ CD NNS,a,full,six,yards,41,0.5294117647058824
720549,a full hundred yards,ARTICLE JJ CD NNS,A,full,hundred,yards,41,0.5294117647058824
733988,a full three years,ARTICLE JJ CD NNS,a,full,three,years,41,0.5294117647058824
1362853,a full seven minutes,ARTICLE JJ CD NNS,a,full,seven,minutes,41,0.5294117647058824
1564595,a full four years,ARTICLE JJ CD NNS,a,full,four,years,41,0.5294117647058824
1950760,a full two weeks,ARTICLE JJ CD NNS,a,full,two,weeks,41,0.5294117647058824
2030380,a full 90 minutes,ARTICLE JJ CD NNS,a,full,90,minutes,41,0.5294117647058824
