idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
884,a smaller three to four people,ARTICLE JJR CD TO CD NNS,a,smaller,three to four,people,1,0.9219771241830066
2481,a good few seasons,ARTICLE JJ FEW NNS,a,good,few,seasons,1,0.576797385620915
12856,a further two men,ARTICLE JJ CD NNS,a,further,two,men,1,0.5575980392156863
14222,an uneventful few months,ARTICLE JJ FEW NNS,an,uneventful,few,months,1,0.9599673202614379
14321,a further five victories,ARTICLE JJ CD NNS,A,further,five,victories,1,0.5379901960784313
25160,a mere 8 years,ARTICLE JJ CD NNS,a,mere,8,years,1,0.7794117647058824
38009,a small oil study and several drawings,ARTICLE JJ NN NN CC FEW NNS,a,small oil study and,several,drawings,1,0.9174836601307189
54935,a professional basketball arena and many other sport facilities,ARTICLE JJ NN NN CC FEW JJ NN NNS,a,professional basketball arena and,many,other sport facilities,1,0.8410947712418301
56273,"an old cap or two , a pair of boots","ARTICLE JJ NN CC CD , ARTICLE NN IN NNS",a,NA,"two ,",a pair of boots,1,0.9987745098039216
58229,a special 100 naira,ARTICLE JJ CD NNS,a,special,100,naira,1,0.9244281045751634
60004,a good many difficult things,ARTICLE JJ FEW JJ NNS,a,good,many,difficult things,1,0.5870098039215687
66356,a mere 0.02 seconds,ARTICLE JJ CD NNS,a,mere,0.02,seconds,1,0.7716503267973857
66370,a manual 14.8 seconds,ARTICLE JJ CD NNS,a,manual,14.8,seconds,1,0.764297385620915
71914,a good many other folks,ARTICLE JJ FEW JJ NNS,a,good,many,other folks,1,0.5943627450980392
86713,a quick two minutes,ARTICLE JJ CD NNS,a,quick,two,minutes,1,0.8455882352941176
87096,a hulking 261 pounds,ARTICLE JJ CD NNS,a,hulking,261,pounds,1,0.7046568627450981
88015,a further six weeks,ARTICLE JJ CD NNS,a,further,six,weeks,1,0.5461601307189542
91528,a new site 65 meters,ARTICLE JJ NN CD NNS,a,new site,65,meters,1,0.8043300653594772
97924,a record 32 teams,ARTICLE RECORD CD NNS,a,record,32,teams,1,0.8586601307189542
100994,a little girl three years,ARTICLE JJ NN CD NNS,a,little girl,three,years,1,0.7401960784313726
105793,"a further 75,000 immigrants",ARTICLE JJR CD NNS,a,further,"75,000",immigrants,1,0.5347222222222222
110319,"a further 250,000 copies",ARTICLE JJ CD NNS,a,further,"250,000",copies,1,0.5236928104575164
110402,"a mere 25,000 copies",ARTICLE JJ CD NNS,a,mere,"25,000",copies,1,0.7761437908496732
115579,a reported four children,ARTICLE VBN CD NNS,a,reported,four,children,1,0.8774509803921569
