sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
132365,a great deal more stamping of feet,ARTICLE JJ NN FEW NN IN NNS,a,great deal,more,stamping of feet,34,0.5098039215686274
554282,a new control system and more levels,ARTICLE JJ NN NN CC FEW NNS,a,new control system and,more,levels,34,0.5098039215686274
771428,a whole lot more things,ARTICLE JJ NN FEW NNS,a,whole lot,more,things,34,0.5098039215686274
906527,a whole lot more questions,ARTICLE JJ NN FEW NNS,a,whole lot,more,questions,34,0.5098039215686274
1070028,a little bit more communications,ARTICLE JJ NN FEW NNS,a,little bit,more,communications,34,0.5098039215686274
1557201,a little bit more hands,ARTICLE JJ NN FEW NNS,a,little bit,more,hands,34,0.5098039215686274
1747748,a new and more cautious approach towards dangers,ARTICLE JJ CC FEW JJ NN IN NNS,a,new and,more,cautious approach towards dangers,34,0.5098039215686274
1895359,a great deal more people,ARTICLE JJ NN FEW NNS,a,great deal,more,people,34,0.5098039215686274
1897498,"a larger , more complex coat of arms","ARTICLE JJR , FEW JJ NN IN NNS",a,"larger ,",more,complex coat of arms,34,0.5098039215686274
2030455,a healthy nation but more people,ARTICLE JJ NN CC FEW NNS,a,healthy nation but,more,people,34,0.5098039215686274
2040946,a little bit more luxuries,ARTICLE JJ NN FEW NNS,a,little bit,more,luxuries,34,0.5098039215686274
2356448,"a separate , much more stringent set of regulations","ARTICLE JJ , RB FEW JJ NN IN NNS",a,"separate , much",more,stringent set of regulations,34,0.5098039215686274
2656775,an awful lot more cars,ARTICLE JJ NN FEW NNS,an,awful lot,more,cars,34,0.5098039215686274
2703646,a solid runway and more hangars,ARTICLE JJ NN CC FEW NNPS,a,solid runway and,more,hangars,34,0.5098039215686274
3401794,an operational plan and more people,ARTICLE JJ NN CC FEW NNS,an,operational plan and,more,people,34,0.5098039215686274
3954568,a little bit more sophisticated problems,ARTICLE JJ NN FEW JJ NNS,a,little bit,more,sophisticated problems,34,0.5098039215686274
4036159,a great deal more overhead in terms,ARTICLE JJ NN FEW NN IN NNS,a,great deal,more,overhead in terms,34,0.5098039215686274
4462895,an awful lot more trees,ARTICLE JJ NN FEW NNS,an,awful lot,more,trees,34,0.5098039215686274
5188949,a little more lentils,ARTICLE JJ FEW NNS,a,little,more,lentils,34,0.5098039215686274
5291639,a whole lot more people,ARTICLE JJ NN FEW NNS,a,whole lot,more,people,34,0.5098039215686274
5664863,a softer sound and more bars,ARTICLE JJR NN CC FEW NNS,a,softer sound and,more,bars,34,0.5098039215686274
5977674,a little bit more metadata,ARTICLE JJ NN FEW NNS,a,little bit,more,metadata,34,0.5098039215686274
6074647,a whole lot more boys,ARTICLE JJ NN FEW NNS,a,whole lot,more,boys,34,0.5098039215686274
6216580,a fresh pony and more cartridges,ARTICLE JJ NN CC FEW NNS,a,fresh pony and,more,cartridges,34,0.5098039215686274
6511256,a little more tweaks,ARTICLE JJ FEW NNS,a,little,more,tweaks,34,0.5098039215686274
6828721,a smaller more skilled group of people,ARTICLE JJR FEW JJ NN IN NNS,a,smaller,more,skilled group of people,34,0.5098039215686274
7283304,a little bit more house lights,ARTICLE JJ NN FEW NN NNS,a,little bit,more,house lights,34,0.5098039215686274
