source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check.",75,a few hundred million dollars,DT JJ CD CD NNS,a,few,hundred & million,dollars,
babylm_sents,"I struggled through them, I somehow felt I had a few more IQ points than when I started.",249,a few more IQ points,DT JJ CD NN NNS,a,few,more,IQ & points,
babylm_sents,"Now we got a few more minutes here, so lets do something a little, snicker",772,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,We haven't started that yet but it will more of a smaller three to four people one on one with the teacher.,884,a smaller three to four people,DT JJR CD TO CD NNS,a,smaller,three & four,people,
babylm_sents,"Yeah, well, I know I've not 'ad bath for a good few seasons, but there's no need to 'urt my feelin's.",2481,a good few seasons,DT JJ CD NNS,a,good,few,seasons,
babylm_sents,"Kealy and other members of the team took up positions behind the sand-bag parapet on the roof of the BATT house, firing at the Adoo with L1A1 SLR battle rifles, with one man firing the Browning M2HB heavy machine gun, with a further two men on ground level operating and firing an infantry mortar surrounded by sand-bags.",12856,a further two men,DT JJ CD NNS,a,further,two,men,
babylm_sents,Johnson spotted three Bf 109s a few hundred feet higher and travelling in the same direction.,14041,a few hundred feet,DT JJ CD NNS,a,few,hundred,feet,
babylm_sents,"After an uneventful few months, RAF Fighter Command resumed its offensive policy in April 1942 when the weather cleared for large-scale operations.",14222,an uneventful few months,DT JJ CD NNS,an,uneventful,few,months,
babylm_sents,A further five victories against Fw 190s were achieved in June.,14321,A further five victories,DT JJ CD NNS,A,further,five,victories,
babylm_sents,With an extra two to three people?,16576,an extra two to three people,DT JJ CD TO CD NNS,an,extra,two & three,people,
babylm_sents,The popular nature of the revolt is evident in the fact that posters and notices were being handed out a full three days before the substantive acts of the revolution occurred on 12 January 1848.,18115,a full three days,DT JJ CD NNS,a,full,three,days,
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25036,a further three schools,DT JJ CD NNS,a,further,three,schools,
babylm_sents,"The historical significance of the first European School, founded a mere 8 years after the end of World War II, was not lost on its architects.",25160,a mere 8 years,DT JJ CD NNS,a,mere,8,years,
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25474,a further three schools,DT JJ CD NNS,a,further,three,schools,
babylm_sents,"“Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller.",28788,a great many friends,DT JJ CD NNS,a,great,many,friends,
babylm_sents,"I know it is very generous of me, and a great many people would think me extremely foolish for parting with it, but I am not like the rest of the world.",29044,a great many people,DT JJ CD NNS,a,great,many,people,
babylm_sents,"She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end.",29793,a great many times,DT JJ CD NNS,a,great,many,times,
babylm_sents,"Her nephew, a merry boy, who was his aunt's darling, begged so long for these spectacles, that, at last, she lent him the treasure, after having informed him, with many exhortations, that in order to execute the interesting trick, he need only repair to some place where a great many persons were assembled; and then, from a higher position, whence he could overlook the crowd, pass the company in review before him through his spectacles.",34347,a great many persons,DT JJ CD NNS,a,great,many,persons,
babylm_sents,okay you can play a few more minutes catherine .,41018,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"So resting for a final few moments in stillness, in silence, full wakefulness, in full awareness, outside of time, as if you had nothing to do, no place to go.",45860,a final few moments,DT JJ CD NNS,a,final,few,moments,
babylm_sents,"The girl had to ride for a great many days, and for a long and wearisome time, before she got there; but at last she did arrive, and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon.",47983,a great many days,DT JJ CD NNS,a,great,many,days,
babylm_sents,can you give us just a few more minutes ?,48033,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"Once upon a time there lived a queen who had been the mother of a great many children, and of them all only one daughter was left.",48239,a great many children,DT JJ CD NNS,a,great,many,children,
babylm_sents,"A good many years had passed -- seventeen , in fact -- since Queen Rosalind was married , but you would not think it to look at her .",52634,A good many years,DT JJ CD NNS,A,good,many,years,
babylm_sents,"Only a few hundred people remained in the once vibrant city due to a major decline in silver prices, ongoing unrest in the country with a revolution in progress, and the exodus of business owners and people of wealth.",52968,a few hundred people,DT JJ CD NNS,a,few,hundred,people,
babylm_sents,"Now the Queen had been shut up in a great tower by the King’s orders, and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder, taking her little baby with her.",57401,a great many days,DT JJ CD NNS,a,great,many,days,
babylm_sents,"The Fairy Paribanou , I am sure , taught you nothing beyond the ordinary magical accomplishments suited to your rank ; but there are a great many things in the Cornelius which I think you should not study till you are older and wiser . ''",57750,a great many things,DT JJ CD NNS,a,great,many,things,
babylm_sents,"On November 12, 2014, the Central Bank of Nigeria issued a special 100 naira note to celebrate the 100 years of Nigeria's existence.",58229,a special 100 naira,DT JJ CD NNS,a,special,100,naira,
babylm_sents,"It was not that the fagot-maker was not, perhaps, more vexed than his wife, but that she teased him, and that he was of the humor of a great many others, who love wives to speak well, but think those very importunate who are continually doing so.",63518,a great many others,DT JJ CD NNS,a,great,many,others,
babylm_sents,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen, and set up a shop opposite that of Ali Baba’s son.",64435,a great many journeys,DT JJ CD NNS,a,great,many,journeys,
babylm_sents,"However, in the straight Mennea gained ground and passed Quarrie and Leonard and at the very end of the race, just beating Wells, winning the gold by a mere 0.02 seconds.",66356,a mere 0.02 seconds,DT JJ CD NNS,a,mere,0.02,seconds,
babylm_sents,"In 1983, in Cassino, he clocked a manual 14.8 seconds in 150 metres, a world best time that he held until it was bettered by Usain Bolt in Manchester in 2009.",66370,a manual 14.8 seconds,DT JJ CD NNS,a,manual,14.8,seconds,
babylm_sents,The floor ultimately was raised an additional seven to eight feet (2.0 to 2.5 m) and up to 30 feet (9.0 m) near the upper entrance.,68769,an additional seven to eight feet,DT JJ CD TO CD NNS,an,additional,seven & eight,feet,
babylm_sents,"While the crier informed Prince Ahmed of the virtues of the artificial apple, a great many persons came about them and confirmed what he said; and one among the rest said he had a friend dangerously ill, whose life was despaired of; and that was a favorable opportunity to show Prince Ahmed the experiment.",70295,a great many persons,DT JJ CD NNS,a,great,many,persons,
babylm_sents,"A great many officers came to attend the Prince while he dismounted his horse, and afterward conducted him into the Sultan’s apartment, who was at that time surrounded with his favorites.",71366,A great many officers,DT JJ CD NNS,A,great,many,officers,
