source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check.",75,a few hundred million dollars,DT JJ CD CD NNS,a,few,hundred & million,dollars,NA
babylm_sents,We haven't started that yet but it will more of a smaller three to four people one on one with the teacher.,884,a smaller three to four people,DT JJR CD TO CD NNS,a,smaller,three & four,people,NA
babylm_sents,"Kealy and other members of the team took up positions behind the sand-bag parapet on the roof of the BATT house, firing at the Adoo with L1A1 SLR battle rifles, with one man firing the Browning M2HB heavy machine gun, with a further two men on ground level operating and firing an infantry mortar surrounded by sand-bags.",12856,a further two men,DT JJ CD NNS,a,further,two,men,NA
babylm_sents,"After an uneventful few months, RAF Fighter Command resumed its offensive policy in April 1942 when the weather cleared for large-scale operations.",14222,an uneventful few months,DT JJ CD NNS,an,uneventful,few,months,NA
babylm_sents,A further five victories against Fw 190s were achieved in June.,14321,a further five victories,DT JJ CD NNS,A,further,five,victories,NA
babylm_sents,With an extra two to three people?,16576,an extra two to three people,DT JJ CD TO CD NNS,an,extra,two & three,people,NA
babylm_sents,"The historical significance of the first European School, founded a mere 8 years after the end of World War II, was not lost on its architects.",25160,a mere 8 years,DT JJ CD NNS,a,mere,8,years,NA
babylm_sents,"So resting for a final few moments in stillness, in silence, full wakefulness, in full awareness, outside of time, as if you had nothing to do, no place to go.",45860,a final few moments,DT JJ CD NNS,a,final,few,moments,NA
babylm_sents,"On November 12, 2014, the Central Bank of Nigeria issued a special 100 naira note to celebrate the 100 years of Nigeria's existence.",58229,a special 100 naira,DT JJ CD NNS,a,special,100,naira,NA
babylm_sents,"However, in the straight Mennea gained ground and passed Quarrie and Leonard and at the very end of the race, just beating Wells, winning the gold by a mere 0.02 seconds.",66356,a mere 0.02 seconds,DT JJ CD NNS,a,mere,0.02,seconds,NA
