source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV,n,percent
babylm_sents,"I struggled through them, I somehow felt I had a few more IQ points than when I started.",249,a few more iq points,DT JJ CD NN NNS,a,few,more,iq & points,NA,2,0.4254671881790526
babylm_sents,"Now we got a few more minutes here, so lets do something a little, snicker",772,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
babylm_sents,"Yeah, well, I know I've not 'ad bath for a good few seasons, but there's no need to 'urt my feelin's.",2481,a good few seasons,DT JJ CD NNS,a,good,few,seasons,NA,2,0.455019556714472
babylm_sents,Johnson spotted three Bf 109s a few hundred feet higher and travelling in the same direction.,14041,a few hundred feet,DT JJ CD NNS,a,few,hundred,feet,NA,14,0.2094741416775315
babylm_sents,The popular nature of the revolt is evident in the fact that posters and notices were being handed out a full three days before the substantive acts of the revolution occurred on 12 January 1848.,18115,a full three days,DT JJ CD NNS,a,full,three,days,NA,2,0.4445893089960887
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25036,a further three schools,DT JJ CD NNS,a,further,three,schools,NA,2,0.4498044328552803
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25474,a further three schools,DT JJ CD NNS,a,further,three,schools,NA,2,0.4498044328552803
babylm_sents,"“Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller.",28788,a great many friends,DT JJ CD NNS,a,great,many,friends,NA,8,0.2837896566710126
babylm_sents,"I know it is very generous of me, and a great many people would think me extremely foolish for parting with it, but I am not like the rest of the world.",29044,a great many people,DT JJ CD NNS,a,great,many,people,NA,37,0.10734463276836158
babylm_sents,"She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end.",29793,a great many times,DT JJ CD NNS,a,great,many,times,NA,14,0.2277270751847023
babylm_sents,"Her nephew, a merry boy, who was his aunt's darling, begged so long for these spectacles, that, at last, she lent him the treasure, after having informed him, with many exhortations, that in order to execute the interesting trick, he need only repair to some place where a great many persons were assembled; and then, from a higher position, whence he could overlook the crowd, pass the company in review before him through his spectacles.",34347,a great many persons,DT JJ CD NNS,a,great,many,persons,NA,2,0.47674923946110387
babylm_sents,okay you can play a few more minutes catherine .,41018,a few more minutes,DT JJ CD NNS,a,few,more,minutes,NA,98,0.042590178183398525
