source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"I struggled through them, I somehow felt I had a few more IQ points than when I started.",249,a few more IQ points,DT JJ CD NN NNS,a,few,more,IQ & points,
babylm_sents,"Now we got a few more minutes here, so lets do something a little, snicker",772,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"Yeah, well, I know I've not 'ad bath for a good few seasons, but there's no need to 'urt my feelin's.",2481,a good few seasons,DT JJ CD NNS,a,good,few,seasons,
babylm_sents,"After an uneventful few months, RAF Fighter Command resumed its offensive policy in April 1942 when the weather cleared for large-scale operations.",14222,an uneventful few months,DT JJ CD NNS,an,uneventful,few,months,
babylm_sents,"“Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller.",28788,a great many friends,DT JJ CD NNS,a,great,many,friends,
babylm_sents,"I know it is very generous of me, and a great many people would think me extremely foolish for parting with it, but I am not like the rest of the world.",29044,a great many people,DT JJ CD NNS,a,great,many,people,
babylm_sents,"She was one of those people who think that, if you say the same thing over and over a great many times, it becomes true in the end.",29793,a great many times,DT JJ CD NNS,a,great,many,times,
babylm_sents,"Her nephew, a merry boy, who was his aunt's darling, begged so long for these spectacles, that, at last, she lent him the treasure, after having informed him, with many exhortations, that in order to execute the interesting trick, he need only repair to some place where a great many persons were assembled; and then, from a higher position, whence he could overlook the crowd, pass the company in review before him through his spectacles.",34347,a great many persons,DT JJ CD NNS,a,great,many,persons,
babylm_sents,okay you can play a few more minutes catherine .,41018,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"So resting for a final few moments in stillness, in silence, full wakefulness, in full awareness, outside of time, as if you had nothing to do, no place to go.",45860,a final few moments,DT JJ CD NNS,a,final,few,moments,
babylm_sents,"The girl had to ride for a great many days, and for a long and wearisome time, before she got there; but at last she did arrive, and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon.",47983,a great many days,DT JJ CD NNS,a,great,many,days,
babylm_sents,can you give us just a few more minutes ?,48033,a few more minutes,DT JJ CD NNS,a,few,more,minutes,
babylm_sents,"Once upon a time there lived a queen who had been the mother of a great many children, and of them all only one daughter was left.",48239,a great many children,DT JJ CD NNS,a,great,many,children,
babylm_sents,"A good many years had passed -- seventeen , in fact -- since Queen Rosalind was married , but you would not think it to look at her .",52634,A good many years,DT JJ CD NNS,A,good,many,years,
babylm_sents,"Now the Queen had been shut up in a great tower by the King’s orders, and when a great many days went by and still she heard nothing from the Fairy she made her escape from the window by means of a rope ladder, taking her little baby with her.",57401,a great many days,DT JJ CD NNS,a,great,many,days,
babylm_sents,"The Fairy Paribanou , I am sure , taught you nothing beyond the ordinary magical accomplishments suited to your rank ; but there are a great many things in the Cornelius which I think you should not study till you are older and wiser . ''",57750,a great many things,DT JJ CD NNS,a,great,many,things,
babylm_sents,"It was not that the fagot-maker was not, perhaps, more vexed than his wife, but that she teased him, and that he was of the humor of a great many others, who love wives to speak well, but think those very importunate who are continually doing so.",63518,a great many others,DT JJ CD NNS,a,great,many,others,
babylm_sents,"In the course of a great many journeys to the forest he carried away many rich stuffs and much fine linen, and set up a shop opposite that of Ali Baba’s son.",64435,a great many journeys,DT JJ CD NNS,a,great,many,journeys,
babylm_sents,"While the crier informed Prince Ahmed of the virtues of the artificial apple, a great many persons came about them and confirmed what he said; and one among the rest said he had a friend dangerously ill, whose life was despaired of; and that was a favorable opportunity to show Prince Ahmed the experiment.",70295,a great many persons,DT JJ CD NNS,a,great,many,persons,
babylm_sents,"A great many officers came to attend the Prince while he dismounted his horse, and afterward conducted him into the Sultan’s apartment, who was at that time surrounded with his favorites.",71366,A great many officers,DT JJ CD NNS,A,great,many,officers,
babylm_sents,"He next asked the old woman to show him where the King’s daughters lay; and the old woman took him upstairs and opened a great many doors, and out of every door came a beautiful lady who had been imprisoned there by the Etin; and ane o’ the ladies was the King’s daughter.",72747,a great many doors,DT JJ CD NNS,a,great,many,doors,
babylm_sents,"The girl had to ride for a great many days , and for a long and wearisome time , before she got there ; but at last she did arrive , and then she asked the East Wind if he could tell her the way to the Prince who dwelt east of the sun and west of the moon .",74097,a great many days,DT JJ CD NNS,a,great,many,days,
babylm_sents,"THE YELLOW DWARF Once upon a time there lived a queen who had been the mother of a great many children , and of them all only one daughter was left .",75040,a great many children,DT JJ CD NNS,a,great,many,children,
