source,sentence,sentence_idx,construction,pattern,DT,ADJ,NUMERAL,NOUN,ADV
babylm_sents,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check.",75,a few hundred million dollars,DT JJ CD CD NNS,a,few,hundred & million,dollars,
babylm_sents,We haven't started that yet but it will more of a smaller three to four people one on one with the teacher.,884,a smaller three to four people,DT JJR CD TO CD NNS,a,smaller,three & four,people,
babylm_sents,"Kealy and other members of the team took up positions behind the sand-bag parapet on the roof of the BATT house, firing at the Adoo with L1A1 SLR battle rifles, with one man firing the Browning M2HB heavy machine gun, with a further two men on ground level operating and firing an infantry mortar surrounded by sand-bags.",12856,a further two men,DT JJ CD NNS,a,further,two,men,
babylm_sents,Johnson spotted three Bf 109s a few hundred feet higher and travelling in the same direction.,14041,a few hundred feet,DT JJ CD NNS,a,few,hundred,feet,
babylm_sents,A further five victories against Fw 190s were achieved in June.,14321,A further five victories,DT JJ CD NNS,A,further,five,victories,
babylm_sents,With an extra two to three people?,16576,an extra two to three people,DT JJ CD TO CD NNS,an,extra,two & three,people,
babylm_sents,The popular nature of the revolt is evident in the fact that posters and notices were being handed out a full three days before the substantive acts of the revolution occurred on 12 January 1848.,18115,a full three days,DT JJ CD NNS,a,full,three,days,
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25036,a further three schools,DT JJ CD NNS,a,further,three,schools,
babylm_sents,"The historical significance of the first European School, founded a mere 8 years after the end of World War II, was not lost on its architects.",25160,a mere 8 years,DT JJ CD NNS,a,mere,8,years,
babylm_sents,"As of June 2019, there are eighteen Accredited European Schools located in thirteen EU countries, with a further three schools engaged in the accreditation process.",25474,a further three schools,DT JJ CD NNS,a,further,three,schools,
babylm_sents,"Only a few hundred people remained in the once vibrant city due to a major decline in silver prices, ongoing unrest in the country with a revolution in progress, and the exodus of business owners and people of wealth.",52968,a few hundred people,DT JJ CD NNS,a,few,hundred,people,
babylm_sents,"On November 12, 2014, the Central Bank of Nigeria issued a special 100 naira note to celebrate the 100 years of Nigeria's existence.",58229,a special 100 naira,DT JJ CD NNS,a,special,100,naira,
babylm_sents,"However, in the straight Mennea gained ground and passed Quarrie and Leonard and at the very end of the race, just beating Wells, winning the gold by a mere 0.02 seconds.",66356,a mere 0.02 seconds,DT JJ CD NNS,a,mere,0.02,seconds,
babylm_sents,"In 1983, in Cassino, he clocked a manual 14.8 seconds in 150 metres, a world best time that he held until it was bettered by Usain Bolt in Manchester in 2009.",66370,a manual 14.8 seconds,DT JJ CD NNS,a,manual,14.8,seconds,
babylm_sents,The floor ultimately was raised an additional seven to eight feet (2.0 to 2.5 m) and up to 30 feet (9.0 m) near the upper entrance.,68769,an additional seven to eight feet,DT JJ CD TO CD NNS,an,additional,seven & eight,feet,
babylm_sents,alright i'm gonna take a quick two minutes be right back .,86713,a quick two minutes,DT JJ CD NNS,a,quick,two,minutes,
babylm_sents,"He weighed – during filming, but in the film he was billed at ; one publisher said of Drago, ""He's a hulking 261 pounds of merciless fighting machine, the best that Soviet science & medicine can create"".",87096,a hulking 261 pounds,DT JJ CD NNS,a,hulking,261,pounds,
babylm_sents,"This was followed by a further six weeks of filming in the ""Reno-Tahoe area"".",88015,a further six weeks,DT JJ CD NNS,a,further,six,weeks,
babylm_sents,"Under the 1939 White Paper, Jews could only send a further 75,000 immigrants over 5 years and the goal of giving over Israel to Palestine.",105793,"a further 75,000 immigrants",DT JJR CD NNS,a,further,"75,000",immigrants,
babylm_sents,"The album went on to sell over 850,000 copies in the UK (double platinum), and a further 250,000 copies in the United States.",110319,"a further 250,000 copies",DT JJ CD NNS,a,further,"250,000",copies,
babylm_sents,"The album itself followed in March 1999 to mixed reviews, and only sold a mere 25,000 copies in its first week as it crawled in at Number 9 on the album chart, spending only 10 weeks in the UK Top 75.",110402,"a mere 25,000 copies",DT JJ CD NNS,a,mere,"25,000",copies,
babylm_sents,"On 28 June 2005 Capill entered guilty pleas on a further three charges of indecent assault, one of rape, and one of unlawful sexual connection, all committed against girls under the age of 12.",117952,a further three charges,DT JJ CD NNS,a,further,three,charges,
babylm_sents,And during a certain fatal three days when the,121316,a certain fatal three days,DT JJ JJ CD NNS,a,certain & fatal,three,days,
babylm_sents,"Before the rally, Sanders spoke to an additional 3,000 supporters outside who could not get into the arena.",126657,"an additional 3,000 supporters",DT JJ CD NNS,an,additional,"3,000",supporters,
babylm_sents,"Roger Ebert of the ""Chicago Sun-Times"" lauded the film, awarding it a full four stars and describing it as ""unflinchingly honest, and so well acted that for most of the film I abandoned any detachment and just watched it as if I were observing the lives of real people.""",136989,a full four stars,DT JJ CD NNS,a,full,four,stars,
babylm_sents,"Currently, ratification by an additional ten states would be necessary for this amendment to become law.",148447,an additional ten states,DT JJ CD NNS,an,additional,ten,states,
babylm_sents,try to do a whole forty five minutes here .,162483,a whole forty five minutes,DT JJ CD CD NNS,a,whole,forty & five,minutes,
babylm_sents,"These small settlements totalled only a few thousand people, but they were many of the first European arrivals in North America",169575,a few thousand people,DT JJ CD NNS,a,few,thousand,people,
babylm_sents,"Plus probably an additional six months through the, the worker's stuff that they have at, at, uh, through the company",173662,an additional six months,DT JJ CD NNS,an,additional,six,months,
babylm_sents,He ended the 2008–09 season with a very impressive 32 goals in 33 matches.,175893,a very impressive 32 goals,DT RB JJ CD NNS,a,impressive,32,goals,very
babylm_sents,Would you catch a couple thousand fireflies,177223,a couple thousand fireflies,DT JJ CD NNS,a,couple,thousand,fireflies,
babylm_sents,"he's probably, oh, a good two years old, big, old, fat and sassy tabby.",179606,a good two years,DT JJ CD NNS,a,good,two,years,
babylm_sents,"The actual telesoftware programme was contained from frame 70067d onwards, in this case for a further ten frames.",182028,a further ten frames,DT JJ CD NNS,a,further,ten,frames,
babylm_sents,"It is set in a future Four Lands in which the Federation of the Southland has driven off the Elves, enslaved the Dwarves, and outlawed magic.",183850,a future Four Lands,DT JJ CD NNPS,a,future,Four,Lands,
babylm_sents,Even though the poem is a mere nineteen lines there are many differing interpretations.,186938,a mere nineteen lines,DT JJ CD NNS,a,mere,nineteen,lines,
babylm_sents,"In the next season, Salminen ran a new 10,000 m world record of 30:05.6.",189145,"a new 10,000 m",DT JJ CD NNS,a,new,"10,000",m,
babylm_sents,cross rail tender type of document would be to have a standard three or four sheets that were relative to the whole group.,189241,a standard three or four sheets,DT JJ CD CC CD NNS,a,standard,three & four,sheets,
babylm_sents,We're talking a few thousand dollars!,196476,a few thousand dollars,DT JJ CD NNS,a,few,thousand,dollars,
babylm_sents,"With the afternoon start, they made three miles (5 km) and camped in a line a few hundred yards from a stand of timber.",204103,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,
babylm_sents,"The distance between Chinatown and the next station, Clarke Quay, is the shortest distance between two MRT stations in Singapore, a mere 360 metres.",209357,a mere 360 metres,DT JJ CD NNS,a,mere,360,metres,
babylm_sents,"The distance between Clarke Quay and the previous station, Chinatown, is the shortest distance between two MRT stations in Singapore, a mere 360 metres.",209550,a mere 360 metres,DT JJ CD NNS,a,mere,360,metres,
babylm_sents,and we're gonna try and get you a good forty minutes half an hour .,215963,a good forty minutes,DT JJ CD NNS,a,good,forty,minutes,
babylm_sents,"In 1875, the final year of the NA, the Red Stockings were an amazing 71-8, finishing a full 15 games ahead of the Athletics.",229447,a full 15 games,DT JJ CD NNS,a,full,15,games,
babylm_sents,"In 1885, the team finished above .500 for the first time, going 56-54 and finishing in third place, a distant 30 games behind the White Stockings and 28 games behind second-place New York Giants.",229503,a distant 30 games,DT JJ CD NNS,a,distant,30,games,
babylm_sents,The Tamu Massif was formed about 145 million years ago during the late Jurassic to early Cretaceous period over a relatively short period of time (a few million years) and then became extinct.,251766,a few million years,DT JJ CD NNS,a,few,million,years,
babylm_sents,"The flow moved at a swift 12 feet per minute, destroying entire towns and villages in its path.",278022,a swift 12 feet,DT JJ CD NNS,a,swift,12,feet,
babylm_sents,"Now the lion had been very ill , and was not strong enough to go hunting for himself , and when the hare came and told him that a very fat donkey was to be found only a few hundred yards off , tears of disappointment and weakness filled his eyes . '",285769,a few hundred yards,DT JJ CD NNS,a,few,hundred,yards,
