idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
28788,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,355,0.14501633986928106
29044,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,355,0.14501633986928106
29553,a great many good points,ARTICLE JJ FEW JJ NNS,a,great,many,good points,355,0.14501633986928106
29793,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,355,0.14501633986928106
34347,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,355,0.14501633986928106
47983,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
48239,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,355,0.14501633986928106
56462,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,355,0.14501633986928106
57401,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
57750,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,355,0.14501633986928106
63518,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,355,0.14501633986928106
64435,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,355,0.14501633986928106
70282,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children,355,0.14501633986928106
70295,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,355,0.14501633986928106
71366,a great many officers,ARTICLE JJ FEW NNS,A,great,many,officers,355,0.14501633986928106
72747,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,355,0.14501633986928106
74097,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
75040,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,355,0.14501633986928106
97078,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,355,0.14501633986928106
98452,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
102160,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,355,0.14501633986928106
114635,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,355,0.14501633986928106
118242,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,355,0.14501633986928106
129427,a great many little earth,ARTICLE JJ FEW JJ NNS,a,great,many,little earth,355,0.14501633986928106
136087,a great many sparrows,ARTICLE JJ FEW NNS,a,great,many,sparrows,355,0.14501633986928106
140385,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children,355,0.14501633986928106
