sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
12974,an english former professional snooker player and six - times,ARTICLE JJ JJ JJ NN NN CC CD HYPH NNS,an,english former professional snooker player and,six -,times,1,0.3790849673202614
16576,an extra two to three people,ARTICLE JJ CD TO CD NNS,an,extra,two to three,people,1,0.4775326797385621
18115,a full three days,ARTICLE JJ CD NNS,a,full,three,days,2,0.1642156862745098
25036,a further three schools,ARTICLE JJ CD NNS,a,further,three,schools,2,0.16911764705882354
25474,a further three schools,ARTICLE JJ CD NNS,a,further,three,schools,2,0.16911764705882354
28788,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,8,0.07312091503267974
29044,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,38,0.032679738562091505
29553,a great many good points,ARTICLE JJ FEW JJ NNS,a,great,many,good points,2,0.19607843137254902
29793,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,14,0.05269607843137255
34347,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,2,0.20588235294117646
40066,a career - high 15 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,15,strikeouts,1,0.3255718954248366
40111,a club - record 109 games,ARTICLE NN HYPH RECORD CD NNS,a,club - record,109,games,1,0.3472222222222222
45860,a final few moments,ARTICLE JJ FEW NNS,a,final,few,moments,1,0.4877450980392157
47983,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,8,0.06985294117647059
48239,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,4,0.0988562091503268
52634,a good many years,ARTICLE JJ FEW NNS,A,good,many,years,21,0.04125816993464052
56462,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,2,0.19444444444444445
56953,an estimated 400 people,ARTICLE VBN CD NNS,an,estimated,400,people,1,0.41830065359477125
57401,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,8,0.06985294117647059
57750,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,42,0.01715686274509804
58320,an estimated 20 % of children,ARTICLE VBN CD NN IN NNS,An,estimated,20,% of children,1,0.3991013071895425
58949,an old woman and three maidens,ARTICLE JJ NN CC CD NNS,an,old woman and,three,maidens,2,0.23039215686274508
63518,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,4,0.1053921568627451
64435,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,2,0.19852941176470587
67870,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,3,0.13480392156862744
68769,an additional seven to eight feet,ARTICLE JJ CD TO CD NNS,an,additional,seven to eight,feet,1,0.28145424836601307
70282,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children,2,0.21486928104575165
70295,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,2,0.20588235294117646
71366,a great many officers,ARTICLE JJ FEW NNS,A,great,many,officers,3,0.12745098039215685
72747,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,4,0.10049019607843138
74097,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,8,0.06985294117647059
75040,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,4,0.0988562091503268
80323,a good many people,ARTICLE JJ FEW NNS,a,good,many,people,12,0.06290849673202614
83662,a career - high 30 points,ARTICLE NN HYPH JJ CD NNS,a,career - high,30,points,2,0.14705882352941177
90331,a good few years,ARTICLE JJ FEW NNS,a,good,few,years,3,0.12254901960784313
97078,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,2,0.19444444444444445
98452,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,8,0.06985294117647059
102023,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,3,0.13480392156862744
102160,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,8,0.06985294117647059
102464,an old woman and three maidens,ARTICLE JJ NN CC CD NNS,an,old woman and,three,maidens,2,0.23039215686274508
111512,a career - high 20 goals,ARTICLE NN HYPH JJ CD NNS,a,career - high,20,goals,1,0.3276143790849673
114635,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,4,0.1053921568627451
118242,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,2,0.19852941176470587
121316,a certain fatal three days,ARTICLE JJ JJ CD NNS,a,certain fatal,three,days,1,0.34191176470588236
126657,"an additional 3,000 supporters",ARTICLE JJ CD NNS,an,additional,"3,000",supporters,1,0.2647058823529412
129123,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,3,0.13480392156862744
132656,another fucking few minutes,ARTICLE JJ FEW NNS,Another,fucking,few,minutes,2,0.16258169934640523
