sentence_idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
25160,a mere 8 years,ARTICLE JJ CD NNS,a,mere,8,years,254,0.10375816993464053
52634,a good many years,ARTICLE JJ FEW NNS,A,good,many,years,254,0.10375816993464053
90331,a good few years,ARTICLE JJ FEW NNS,a,good,few,years,254,0.10375816993464053
100994,a little girl three years,ARTICLE JJ NN CD NNS,a,little girl,three,years,254,0.10375816993464053
148355,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
179606,a good two years,ARTICLE JJ CD NNS,a,good,two,years,254,0.10375816993464053
265006,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
308631,a further nine years,ARTICLE JJ CD NNS,a,further,nine,years,254,0.10375816993464053
349194,a full ten years,ARTICLE JJ CD NNS,a,full,ten,years,254,0.10375816993464053
362374,an additional three years,ARTICLE JJ CD NNS,an,additional,three,years,254,0.10375816993464053
380199,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
381428,a very young 20 years,ARTICLE RB JJ CD NNS,a,very young,20,years,254,0.10375816993464053
394798,a married man 40 years,ARTICLE JJ NN CD NNS,a,married man,40,years,254,0.10375816993464053
415235,an atomic bomb test 10 years,ARTICLE JJ NN NN CD NNS,an,atomic bomb test,10,years,254,0.10375816993464053
434159,a full - time official eleven years,ARTICLE JJ HYPH NN NN CD NNS,a,full - time official,eleven,years,254,0.10375816993464053
434527,a weekly basis two years,ARTICLE JJ NN CD NNS,a,weekly basis,two,years,254,0.10375816993464053
434954,a good many years,ARTICLE JJ FEW NNS,a,good,many,years,254,0.10375816993464053
495188,a further 700 years,ARTICLE JJ CD NNS,a,further,700,years,254,0.10375816993464053
506053,a protracted three or four years,ARTICLE JJ CD CC CD NNS,a,protracted,three or four,years,254,0.10375816993464053
511331,a record 14 years,ARTICLE RECORD CD NNS,a,record,14,years,254,0.10375816993464053
524450,an additional two years,ARTICLE JJ CD NNS,an,additional,two,years,254,0.10375816993464053
599547,a good many years,ARTICLE JJ FEW NNS,a,good,many,years,254,0.10375816993464053
629791,a half dozen years,ARTICLE JJ FEW NNS,a,half,dozen,years,254,0.10375816993464053
647892,a further four years,ARTICLE JJ CD NNS,a,further,four,years,254,0.10375816993464053
690564,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
711598,an accumulative 44 years,ARTICLE JJ CD NNS,an,accumulative,44,years,254,0.10375816993464053
721557,a great many years,ARTICLE JJ FEW NNS,A,great,many,years,254,0.10375816993464053
729549,a great many hundred years,ARTICLE JJ FEW CD NNS,a,great,many hundred,years,254,0.10375816993464053
733988,a full three years,ARTICLE JJ CD NNS,a,full,three,years,254,0.10375816993464053
761101,an additional 17 years,ARTICLE JJ CD NNS,an,additional,17,years,254,0.10375816993464053
801302,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
805856,a confirmed drunkard twenty years,ARTICLE VBN NN CD NNS,a,confirmed drunkard,twenty,years,254,0.10375816993464053
815596,another little boy many years,ARTICLE JJ NN FEW NNS,another,little boy,many,years,254,0.10375816993464053
828872,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
868150,a clear ten years,ARTICLE JJ CD NNS,a,clear,ten,years,254,0.10375816993464053
876055,a mere three years,ARTICLE JJ CD NNS,a,mere,three,years,254,0.10375816993464053
886534,a scandalous divorce six years,ARTICLE JJ NN CD NNS,a,scandalous divorce,six,years,254,0.10375816993464053
897449,a round twenty years,ARTICLE JJ CD NNS,a,round,twenty,years,254,0.10375816993464053
929614,a quiet and delightful hundred years,ARTICLE JJ CC JJ CD NNS,a,quiet and delightful,hundred,years,254,0.10375816993464053
930930,a great many hundred years,ARTICLE JJ FEW CD NNS,a,great,many hundred,years,254,0.10375816993464053
944877,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,254,0.10375816993464053
996623,a vague idea 50 years,ARTICLE JJ NN CD NNS,a,vague idea,50,years,254,0.10375816993464053
1012452,a scant six years,ARTICLE JJ CD NNS,A,scant,six,years,254,0.10375816993464053
1057216,a court - appointed guardian three years,ARTICLE NN HYPH VBN NN CD NNS,a,court - appointed guardian,three,years,254,0.10375816993464053
1058303,an additional 5 years,ARTICLE JJ CD NNS,an,additional,5,years,254,0.10375816993464053
1156125,a further three years,ARTICLE JJ CD NNS,a,further,three,years,254,0.10375816993464053
1189492,a similar project several years,ARTICLE JJ NN FEW NNS,a,similar project,several,years,254,0.10375816993464053
1191070,a tough final two years,ARTICLE JJ JJ CD NNS,a,tough final,two,years,254,0.10375816993464053
1248622,a good many years,ARTICLE JJ FEW NNS,a,good,many,years,254,0.10375816993464053
1252512,a good few years,ARTICLE JJ FEW NNS,A,good,few,years,254,0.10375816993464053
1263995,an awful three years,ARTICLE JJ CD NNS,an,awful,three,years,254,0.10375816993464053
