idx,construction,pos,DT,ADJ,NUMERAL,NOUN,n,percent
28788,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends,532,0.2173202614379085
29044,a great many people,ARTICLE JJ FEW NNS,a,great,many,people,532,0.2173202614379085
29553,a great many good points,ARTICLE JJ FEW JJ NNS,a,great,many,good points,532,0.2173202614379085
29793,a great many times,ARTICLE JJ FEW NNS,a,great,many,times,532,0.2173202614379085
34347,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,532,0.2173202614379085
47983,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,532,0.2173202614379085
48239,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,532,0.2173202614379085
52634,a good many years,ARTICLE JJ FEW NNS,A,good,many,years,532,0.2173202614379085
54935,a professional basketball arena and many other sport facilities,ARTICLE JJ NN NN CC FEW JJ NN NNS,a,professional basketball arena and,many,other sport facilities,532,0.2173202614379085
56462,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,532,0.2173202614379085
57401,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,532,0.2173202614379085
57750,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,532,0.2173202614379085
60004,a good many difficult things,ARTICLE JJ FEW JJ NNS,a,good,many,difficult things,532,0.2173202614379085
63518,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,532,0.2173202614379085
64435,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,532,0.2173202614379085
67870,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,532,0.2173202614379085
70282,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children,532,0.2173202614379085
70295,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons,532,0.2173202614379085
71366,a great many officers,ARTICLE JJ FEW NNS,A,great,many,officers,532,0.2173202614379085
71914,a good many other folks,ARTICLE JJ FEW JJ NNS,a,good,many,other folks,532,0.2173202614379085
72747,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,532,0.2173202614379085
74097,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,532,0.2173202614379085
75040,a great many children,ARTICLE JJ FEW NNS,a,great,many,children,532,0.2173202614379085
80323,a good many people,ARTICLE JJ FEW NNS,a,good,many,people,532,0.2173202614379085
97078,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks,532,0.2173202614379085
98452,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,532,0.2173202614379085
102023,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,532,0.2173202614379085
102160,a great many days,ARTICLE JJ FEW NNS,a,great,many,days,532,0.2173202614379085
114635,a great many others,ARTICLE JJ FEW NNS,a,great,many,others,532,0.2173202614379085
118242,a great many journeys,ARTICLE JJ FEW NNS,a,great,many,journeys,532,0.2173202614379085
129123,a heavy heart and many sighs,ARTICLE JJ NN CC FEW NNS,a,heavy heart and,many,sighs,532,0.2173202614379085
129427,a great many little earth,ARTICLE JJ FEW JJ NNS,a,great,many,little earth,532,0.2173202614379085
136087,a great many sparrows,ARTICLE JJ FEW NNS,a,great,many,sparrows,532,0.2173202614379085
140385,a great many young children,ARTICLE JJ FEW JJ NNS,a,great,many,young children,532,0.2173202614379085
143563,a great many officers,ARTICLE JJ FEW NNS,A,great,many,officers,532,0.2173202614379085
144287,a great many other weapons,ARTICLE JJ FEW JJ NNS,a,great,many,other weapons,532,0.2173202614379085
144425,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams,532,0.2173202614379085
144993,a great many rajas,ARTICLE JJ FEW NNPS,A,great,many,rajas,532,0.2173202614379085
146886,a great many doors,ARTICLE JJ FEW NNS,a,great,many,doors,532,0.2173202614379085
148046,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees,532,0.2173202614379085
148355,a great many years,ARTICLE JJ FEW NNS,a,great,many,years,532,0.2173202614379085
149538,a great many things,ARTICLE JJ FEW NNS,a,great,many,things,532,0.2173202614379085
155767,a great many rupees,ARTICLE JJ FEW NNS,a,great,many,rupees,532,0.2173202614379085
155933,a great many salaams,ARTICLE JJ FEW NNS,a,great,many,salaams,532,0.2173202614379085
