idx,sentence,pos,DT,ADJ,NUMERAL,NOUN
884,a smaller three to four people,ARTICLE JJR CD TO CD NNS,a,smaller,three to four,people
2481,a good few seasons,ARTICLE JJ FEW NNS,a,good,few,seasons
12856,a further two men,ARTICLE JJ CD NNS,a,further,two,men
12974,an English former professional snooker player and six - times,ARTICLE JJ JJ JJ NN NN CC CD HYPH NNS,an,English former professional snooker player and,six -,times
14222,an uneventful few months,ARTICLE JJ FEW NNS,an,uneventful,few,months
14321,A further five victories,ARTICLE JJ CD NNS,A,further,five,victories
16576,an extra two to three people,ARTICLE JJ CD TO CD NNS,an,extra,two to three,people
18115,a full three days,ARTICLE JJ CD NNS,a,full,three,days
25036,a further three schools,ARTICLE JJ CD NNS,a,further,three,schools
25160,a mere 8 years,ARTICLE JJ CD NNS,a,mere,8,years
25474,a further three schools,ARTICLE JJ CD NNS,a,further,three,schools
28788,a great many friends,ARTICLE JJ FEW NNS,a,great,many,friends
29044,a great many people,ARTICLE JJ FEW NNS,a,great,many,people
29553,a great many good points,ARTICLE JJ FEW JJ NNS,a,great,many,good points
29793,a great many times,ARTICLE JJ FEW NNS,a,great,many,times
34347,a great many persons,ARTICLE JJ FEW NNS,a,great,many,persons
38009,a small oil study and several drawings,ARTICLE JJ NN NN CC FEW NNS,a,small oil study and,several,drawings
40066,a career - high 15 strikeouts,ARTICLE NN HYPH JJ CD NNS,a,career - high,15,strikeouts
40111,a club - record 109 games,ARTICLE NN HYPH RECORD CD NNS,a,club - record,109,games
45860,a final few moments,ARTICLE JJ FEW NNS,a,final,few,moments
47983,a great many days,ARTICLE JJ FEW NNS,a,great,many,days
48239,a great many children,ARTICLE JJ FEW NNS,a,great,many,children
52634,A good many years,ARTICLE JJ FEW NNS,A,good,many,years
54935,a professional basketball arena and many other sport facilities,ARTICLE JJ NN NN CC FEW JJ NN NNS,a,professional basketball arena and,many,other sport facilities
56273,"an old cap or two , a pair of boots","ARTICLE JJ NN CC CD , ARTICLE NN IN NNS",a,,"two ,",a pair of boots
56462,a great many cunning tricks,ARTICLE JJ FEW JJ NNS,a,great,many,cunning tricks
