sentence_idx,noun,noun_idx,article,article_dep,dep_depth,article_idx
75,dollars,6,a,quantmod,1,2
86,dollars,9,a,quantmod,1,5
140,companies,7,a,quantmod,1,5
239,lgorithms,6,a,det,0,5
249,points,14,a,quantmod,2,10
330,numbers,26,a,quantmod,1,24
347,times,24,a,punct,1,21
650,stones,6,a,det,0,4
738,',6,a,det,0,5
755,counts,7,an,det,2,2
772,minutes,6,a,quantmod,1,3
835,Alumni,4,a,det,0,2
884,people,16,a,det,0,11
1079,algorithm,14,a,det,0,12
1324,years,14,a,det,0,12
1378,cameras,13,a,det,0,11
1443,spots,5,a,quantmod,1,3
1594,people,5,a,quantmod,1,3
1794,people,7,a,quantmod,1,5
1796,people,8,a,quantmod,1,6
2003,questions,14,a,det,0,11
2086,times,10,a,det,1,6
2481,seasons,16,a,det,0,13
2675,tramps,8,a,quantmod,1,3
2935,eggs,22,a,quantmod,1,20
4695,fags,6,a,quantmod,1,4
5207,predictions,11,a,det,0,9
5359,projects,2,a,quantmod,1,0
5584,seconds,8,a,quantmod,1,6
5643,species,18,a,det,0,16
5673,species,5,a,quantmod,1,3
5756,needs,26,a,det,0,23
5785,approaches,2,a,det,0,0
5876,returns,3,a,det,0,1
5892,seconds,15,a,quantmod,1,13
5936,approaches,15,a,det,0,13
5986,appears,6,a,det,1,0
6059,weeks,21,a,det,0,19
6063,appears,13,a,det,0,11
6063,changes,17,a,det,1,11
6129,yards,3,a,quantmod,1,1
6276,days,12,a,det,0,10
6484,pants,6,a,det,0,4
6899,consultants,3,a,det,0,1
7024,tops,4,a,quantmod,2,2
7403,questions,10,a,det,0,8
7800,issues,8,a,det,2,5
7825,breeds,6,a,det,0,4
7880,yields,9,a,det,0,6
8208,miles,19,a,quantmod,1,17
8252,profits,3,a,det,0,1
8570,publishers,18,an,det,0,14
8733,Miles,44,a,compound,0,42
8769,holidays,26,a,quantmod,1,22
8802,Miles,13,a,compound,0,11
8899,words,12,a,det,0,10
8922,specimen,25,a,det,0,24
8932,wings,13,a,det,0,8
9319,years,2,a,det,0,0
9475,confrontations,3,a,det,0,1
9713,MOUTHFUL,4,a,det,0,2
9736,dollars,10,a,quantmod,1,8
9849,standards,7,a,det,0,4
9858,questions,7,a,det,0,5
10027,dollars,11,a,quantmod,1,9
10187,years,19,a,quantmod,1,17
10499,restaurants,3,a,det,0,2
10577,dollars,3,another,quantmod,1,1
10656,minutes,8,a,det,0,6
10751,years,32,a,quantmod,2,30
11116,specimen,11,a,det,0,9
11117,specimen,11,a,det,0,9
11739,months,12,another,det,0,10
11780,women,5,an,det,0,3
11881,personnel,5,a,det,0,4
12309,questions,10,a,det,0,8
12856,men,49,a,det,0,46
12912,plums,30,a,quantmod,1,28
13119,Bicycles,26,a,det,0,24
13335,times,7,a,quantmod,2,5
13369,miles,19,a,quantmod,1,17
13474,attitudes,5,a,det,1,2
13474,feelings,26,a,det,1,23
13493,feelings,17,a,det,1,13
13527,feelings,16,a,det,1,13
13696,children,29,a,det,0,26
13708,behaviors,45,a,det,1,41
13783,pounds,32,a,quantmod,1,28
13829,pounds,5,a,quantmod,1,0
14001,hours,12,another,det,0,9
14041,feet,8,a,quantmod,1,5
14133,wheels,8,a,det,0,7
14222,months,4,an,det,0,1
14321,victories,3,a,det,0,0
14367,victories,21,another,det,0,18
14571,victories,24,a,det,1,14
14685,components,11,a,det,0,8
14858,children,9,a,det,0,7
15009,teachers,16,a,det,0,14
15061,pounds,10,a,quantmod,1,5
15235,boys,35,a,det,0,31
15261,years,2,a,det,0,0
15750,times,30,a,quantmod,1,28
15759,algorithms,30,a,det,0,26
15842,days,9,a,det,0,7
16057,people,29,a,quantmod,3,22
16295,metaphysics,72,a,det,0,67
16559,clerks,12,another,det,0,8
16576,people,6,an,det,0,1
16587,implementations,5,a,det,0,2
16942,pounds,24,a,quantmod,1,18
17392,technicians,40,a,pobj,2,4
17399,technicians,12,a,det,0,0
17501,yards,23,a,quantmod,1,21
17613,years,6,a,quantmod,1,4
17631,moves,9,a,det,0,7
17877,opinions,4,another,det,0,2
18067,hours,31,a,quantmod,1,29
18115,days,22,a,det,0,19
18238,men,15,a,det,0,13
18337,hours,30,an,quantmod,1,24
18600,introductions,3,a,quantmod,1,1
18780,documents,22,a,quantmod,1,20
19100,letters,7,a,det,0,5
19198,letters,5,a,det,0,3
19273,monkeys,34,a,det,0,33
19406,authorities,4,a,quantmod,1,0
19679,hoofs,3,a,det,1,0
19739,dollars,17,a,quantmod,1,14
19947,blunders,10,a,quantmod,1,8
19966,pounds,9,a,quantmod,1,5
20000,women,14,a,det,0,13
20603,options,10,a,det,0,8
20870,days,6,a,det,0,4
20890,occasions,4,a,quantmod,1,2
21176,points,1,another,det,0,0
21198,men,2,a,quantmod,1,0
21358,years,4,a,det,0,2
21550,policies,10,a,det,0,7
21945,people,5,an,det,0,2
21952,people,5,a,det,0,2
22161,pages,14,a,quantmod,1,12
22533,hogsheads,4,a,quantmod,1,2
22588,means,20,another,det,0,19
23083,nouns,22,a,det,0,19
23103,years,6,a,det,0,4
23144,times,8,a,quantmod,1,6
23232,crossings,24,a,det,0,22
23442,articles,60,a,quantmod,1,58
23974,guineas,3,a,det,0,1
24050,feet,23,a,det,0,21
24122,days,8,a,det,0,6
24250,times,4,a,quantmod,0,2
24284,months,16,a,det,0,14
24470,years,5,a,quantmod,2,3
24553,guns,26,a,quantmod,1,18
24556,guns,25,a,det,1,13
24873,IICs,21,another,det,0,18
24933,L.IICs,14,another,det,1,11
25036,schools,21,a,det,0,18
25087,Boards,23,a,det,0,22
25125,things,6,a,quantmod,1,4
25160,years,13,a,det,0,10
25247,exams,26,a,det,0,23
25325,minutes,34,a,quantmod,1,32
25474,schools,21,a,det,0,18
