sentence_idx,verb,noun,nv_dep,numeral
11238,has,students,nsubj,"1,708"
16423,is,pounds,nsubj,thousand
16423,s,pounds,nsubj,thousand
16671,was,men,nsubj,forty
17257,is,clerks,nsubj,two
17501,was,feet,nsubj,three
18473,is,appointments,nsubj,forty
19824,is,pounds,nsubj,thousand
19884,needs,pounds,nsubj,thousand
20141,is,pounds,nsubj,hundred
22972,was,years,nsubj,two
22972,is,years,nsubj,two
24375,was,attempts,nsubj,three
24859,was,spitfires,nsubj,38
24859,was,spitfires,nsubj,38
25896,is,characters,nsubj,two
26262,is,categories,nsubj,two
26262,'s,categories,nsubj,two
27210,holds,figures,nsubj,two
29369,is,teams,nsubj,two
31606,is,estes,nsubj,22
31891,was,trucks,nsubj,11
32389,shows,thirds,nsubj,two
32389,is,thirds,nsubj,two
32733,was,fairies,nsubj,two
33365,was,boots,nsubj,seven
34947,was,nicholls,nsubj,28
35007,was,eyes,nsubj,two
35111,was,clouds,nsubj,21
35740,was,tönnies,nsubj,19
36294,is,pounds,nsubj,"1,000,000"
36800,was,timmons,nsubj,14
39768,is,calyces,nsubj,two
40764,was,presidencies,nsubj,three
42343,is,minutes,nsubj,two
44514,lies,paces,nsubj,hundred
45385,is,waters,nsubj,18
45414,was,boots,nsubj,seven
45633,was,gehrels,nsubj,3
46457,was,davies,nsubj,28
46747,was,eyes,nsubj,two
47961,titleholders,winners,nsubj,six
48406,is,years,nsubj,17
49079,was,bags,nsubj,thousand
50377,is,innes,nsubj,16
50635,controls,games,nsubj,3
51610,'m,prisoners,nsubj,three
51690,was,sisters,nsubj,two
56043,was,sisters,nsubj,two
56927,means,people,nsubj,three
57122,is,hours,nsubj,forty
57936,was,yards,nsubj,hundred
58710,was,mules,nsubj,hundred
58794,reaches,candidates,nsubj,four
59864,is,hours,nsubj,eight
62448,was,people,nsubj,two
62757,'s,actors,nsubj,two
62820,regains,beings,nsubj,hundred
64008,is,women,nsubj,all
65785,is,thirds,nsubj,two
69405,'s,people,nsubj,thousand
69545,was,earthquakes,nsubj,three
69545,was,earthquakes,nsubj,three
73962,is,people,nsubj,few
75402,sees,members,nsubj,one
76143,was,braks,nsubj,23
76711,was,bags,nsubj,thousand
78636,is,vertices,nsubj,two
78636,satisfies,vertices,nsubj,two
79314,was,years,nsubj,20
80047,includes,gravediggers,nsubj,two
81579,was,sisters,nsubj,two
81959,looks,engines,nsubj,2
88447,was,donkeys,nsubj,four
88909,is,intervals,nsubj,two
90003,was,creatures,nsubj,two
90003,was,creatures,nsubj,two
90372,has,stations,nsubj,few
90998,is,stars,nsubj,five
90998,is,stars,nsubj,five
91258,tightens,bands,nsubj,two
92886,was,men,nsubj,twelve
92909,'s,people,nsubj,six
93311,lives,fields,nsubj,three
96097,is,children,nsubj,142
97924,is,teams,nsubj,32
100070,is,nights,nsubj,1001
100238,was,supporters,nsubj,two
100771,reads,dollars,nsubj,million
101433,is,men,nsubj,seven
101494,describes,wheels,nsubj,two
101580,was,mules,nsubj,hundred
101964,is,kids,nsubj,seven
102222,was,oates,nsubj,17
102356,was,children,nsubj,two
102444,was,people,nsubj,one
102444,was,people,nsubj,one
103247,was,children,nsubj,two
103391,was,officers,nsubj,400
104427,is,degrees,nsubj,2
106086,was,tailors,nsubj,three
108481,turns,undertakes,nsubj,one
108753,is,days,nsubj,seven
108798,is,days,nsubj,seven
108963,was,asses,nsubj,four
109196,shows,necropolis,nsubj,300
112220,was,people,nsubj,two
113106,regains,beings,nsubj,hundred
113107,was,hits,nsubj,half
113282,was,acts,nsubj,few
114474,is,geologists,nsubj,two
115263,was,servants,nsubj,three
115273,was,servants,nsubj,three
115611,is,women,nsubj,all
116160,was,dwarfs,nsubj,seven
119395,is,months,nsubj,two
121977,was,mice,nsubj,six
122165,was,davies,nsubj,22
124710,was,horses,nsubj,two
125645,goes,cents,nsubj,two
125771,'s,twos,nsubj,two
126530,was,men,nsubj,five
127299,is,years,nsubj,three
128073,is,dishes,nsubj,three
128171,was,ones,nsubj,twelve
128325,remains,years,nsubj,15
129712,was,tailors,nsubj,three
129821,was,days,nsubj,two
130095,was,wreaths,nsubj,few
132974,eats,eyes,nsubj,two
133050,is,eyes,nsubj,three
133051,was,eyes,nsubj,three
133259,was,eyes,nsubj,three
133772,airbags,airbags,nsubj,seven
134749,keeps,worlds,nsubj,two
135520,comes,albums,nsubj,two
136244,was,fellows,nsubj,three
136320,was,children,nsubj,two
136705,своим,пойти,nsubj,своё
136845,was,people,nsubj,two
137814,was,earthquakes,nsubj,three
137814,was,earthquakes,nsubj,three
138645,was,bucks,nsubj,few
139241,is,views,nsubj,six
140639,attributes,buyers,nsubj,1994
141487,is,days,nsubj,eight
141981,'s,pounds,nsubj,hundred
142338,estimates,people,nsubj,million
143019,was,watchers,nsubj,two
146441,was,pictures,nsubj,182
146443,was,huypens,nsubj,7
146817,is,genii,nsubj,thousand
146877,was,eaglets,nsubj,two
146970,exists,subspecies,nsubj,one
146970,is,subspecies,nsubj,one
147408,was,triangulations,nsubj,two
147408,was,triangulations,nsubj,two
147409,was,triangulations,nsubj,two
147414,is,triangulations,nsubj,two
147414,is,triangulations,nsubj,two
147446,has,marathons,nsubj,1999
147761,defines,manifolds,nsubj,two
150980,was,days,nsubj,three
155452,is,people,nsubj,fifteen
156551,is,husbands,nsubj,six
162005,was,voices,nsubj,thousand
163885,was,scales,nsubj,few
164926,was,brothers,nsubj,eleven
165421,satisfies,satisfies,nsubj,one
166485,was,depressions,nsubj,21
166499,was,cyclones,nsubj,four
168272,is,bytes,nsubj,three
168290,is,blocks,nsubj,zero
168753,was,demoitié,nsubj,16
170500,years,economies,nsubj,three
171037,has,things,nsubj,six
171047,has,crowds,nsubj,19
171059,dwells,knights,nsubj,fifty
171059,is,knights,nsubj,fifty
172121,was,crewmen,nsubj,three
172121,destroys,crewmen,nsubj,three
173053,hangs,ducks,nsubj,few
173053,is,ducks,nsubj,few
173827,was,sisters,nsubj,two
174958,was,sárosi,nsubj,27
176279,was,keres,nsubj,9
176898,was,skins,nsubj,two
176898,was,skins,nsubj,two
181138,is,lists,nsubj,five
181496,was,years,nsubj,14
181496,meets,years,nsubj,14
183925,was,bears,nsubj,three
183958,was,sisters,nsubj,two
183958,was,sisters,nsubj,two
186764,seems,components,nsubj,four
186945,makes,lines,nsubj,two
187130,was,vehicles,nsubj,23b
187416,was,men,nsubj,two
187419,was,officers,nsubj,two
187785,tries,drops,nsubj,three
189856,'s,people,nsubj,two
190424,is,years,nsubj,hundred
191215,seems,pounds,nsubj,thousand
193524,means,thirds,nsubj,two
193704,was,dollars,nsubj,three
195934,was,francks,nsubj,28
198060,was,pappas,nsubj,11
198679,was,smuts,nsubj,13
200333,stops,services,nsubj,97
200348,was,sellers,nsubj,22
201343,was,fairies,nsubj,six
202360,was,canals,nsubj,two
203258,was,frees,nsubj,22
203592,was,people,nsubj,two
204491,was,sidibé,nsubj,14
205645,is,people,nsubj,few
206956,was,newspapers,nsubj,few
210885,was,cities,nsubj,few
211360,is,weeks,nsubj,one
212276,was,deans,nsubj,16
216775,was,bulrushes,nsubj,three
218531,was,coins,nsubj,two
218919,'s,days,nsubj,two
222147,was,graves,nsubj,26
222409,was,nyers,nsubj,21
223039,was,eyes,nsubj,two
223214,was,eyes,nsubj,three
223253,was,eyes,nsubj,two
223253,was,eyes,nsubj,two
225027,was,sons,nsubj,two
225864,interrupts,women,nsubj,two
226506,was,dwarfs,nsubj,seven
228155,was,players,nsubj,three
228274,was,men,nsubj,two
228365,gets,wheels,nsubj,one
228851,was,sisters,nsubj,two
229504,is,months,nsubj,three
234148,is,zombies,nsubj,3
237038,has,segments,nsubj,11
238116,was,others,nsubj,few
238671,says,kids,nsubj,half
244726,is,episodes,nsubj,two
245308,is,years,nsubj,hundred
245620,is,years,nsubj,hundred
245983,is,years,nsubj,thousand
246414,is,shootings,nsubj,two
247181,is,years,nsubj,twelve
247797,is,days,nsubj,21
250066,was,soldiers,nsubj,two
250806,was,piétrasanta,nsubj,19
254127,was,beasts,nsubj,five
256537,is,esteves,nsubj,16
256868,is,clubs,nsubj,five
260021,states,persons,nsubj,"2,104"
262331,is,systems,nsubj,two
264848,was,people,nsubj,two
265695,was,lèques,nsubj,31
266557,is,pushpa,nsubj,पुष्पा
266683,'s,sons,nsubj,two
267464,is,hits,nsubj,12
267886,was,heads,nsubj,twelve
270147,means,employees,nsubj,100
271723,is,volts,nsubj,four
272016,is,people,nsubj,"66,294"
272363,is,mountains,nsubj,"6,885"
272541,was,days,nsubj,two
272541,was,days,nsubj,two
272949,was,swans,nsubj,four
273016,was,swans,nsubj,four
273287,was,desilets,nsubj,137
273337,removes,guests,nsubj,12
273462,was,years,nsubj,hundred
274451,is,garages,nsubj,three
274451,is,garages,nsubj,three
274983,is,people,nsubj,eighty
274998,was,chiefs,nsubj,two
276003,has,kittens,nsubj,three
276602,is,metres,nsubj,five
278431,is,policemen,nsubj,6
279310,is,people,nsubj,few
279427,leads,themes,nsubj,three
280012,has,minutes,nsubj,three
282027,was,men,nsubj,twenty
282515,was,flies,nsubj,two
282887,is,counties,nsubj,12
282987,is,doors,nsubj,10
283196,was,graaumans,nsubj,16
284031,is,graaumans,nsubj,3
287502,was,areas,nsubj,five
290778,goes,years,nsubj,fourteen
290778,is,years,nsubj,fourteen
294544,returns,monks,nsubj,thousand
294901,was,ives,nsubj,7
295077,was,crowns,nsubj,three
295529,was,figures,nsubj,1996
295529,was,figures,nsubj,1996
295760,was,inches,nsubj,seven
295760,was,inches,nsubj,seven
296210,was,inches,nsubj,seven
296273,says,princes,nsubj,two
297382,says,inches,nsubj,seven
297856,is,chronicles,nsubj,1
297976,comes,minutes,nsubj,t'ree
302085,'s,conversations,nsubj,three
305345,was,scoundrels,nsubj,three
307712,is,horns,nsubj,four
307802,is,days,nsubj,twelve
307825,has,species,nsubj,50
307878,was,men,nsubj,two
310044,is,times,nsubj,three
310044,is,times,nsubj,three
310889,falls,inches,nsubj,60.0
312199,succeeds,wins,nsubj,five
312861,is,members,nsubj,six
313784,was,people,nsubj,70
313885,plays,tukkers,nsubj,two
314529,was,hours,nsubj,three
315404,is,halves,nsubj,two
316722,is,miles,nsubj,three
316735,is,miles,nsubj,three
316735,is,miles,nsubj,three
316971,was,children,nsubj,four
316971,was,children,nsubj,four
317173,was,people,nsubj,two
320216,'s,crowns,nsubj,nine
320269,utilizes,talents,nsubj,five
320269,argues,talents,nsubj,five
320269,was,talents,nsubj,five
320956,is,rivers,nsubj,two
323060,'s,lorries,nsubj,three
323060,is,lorries,nsubj,three
325023,'s,minutes,nsubj,ninety
325380,carries,men,nsubj,two
326752,'s,functions,nsubj,two
327181,was,men,nsubj,thousand
327451,is,groups,nsubj,two
