sentence_idx,verb,noun,nv_dep,numeral
24,is,margins--,dobj,50
62,'s,things,dobj,100
187,is,years,npadvmod,10
257,is,numbers,dobj,two
263,is,numbers,dobj,two
285,is,times,compound,three
288,is,numbers,dobj,two
292,seems,numbers,dobj,two
300,'s,operations,attr,n
305,grows,numbers,pobj,two
305,grows,operations,dobj,four
305,grows,numbers,dobj,two
325,'s,integers,dobj,two
330,'s,numbers,pobj,couple
347,is,times,compound,two
351,is,integers,dobj,two
351,suggests,integers,dobj,two
353,'s,integers,dobj,two
367,is,numbers,pobj,two
374,was,products,pobj,four
376,'s,years,npadvmod,200
376,'s,products,attr,four
376,is,years,npadvmod,200
376,is,products,attr,four
376,is,products,attr,four
376,seems,products,attr,four
377,'s,quantities,attr,three
392,gives,integers,dobj,two
396,is,points,attr,two
408,requires,integers,dobj,two
537,has,options,dobj,2
541,has,stones,pobj,two
561,'s,stones,dobj,2
631,has,ways,dobj,two
855,'s,years,npadvmod,four
904,consists,groups,pobj,three
904,consists,weeks,npadvmod,two
918,is,weeks,pobj,two
1033,is,kilograms,pobj,hundred
1033,is,kilograms,pobj,hundred
1033,is,kilograms,pobj,hundred
1073,plans,results,meta,17
1119,has,edges,dobj,seven
1145,happens,pieces,dobj,two
1181,is,students,pobj,95
1198,is,years,npadvmod,few
1264,is,teams,pobj,four
1324,gets,years,pobj,few
1443,'s,spots,attr,few
1496,means,weeks,npadvmod,two
1524,was,years,pobj,13
1626,gives,values,dobj,3
1794,'s,people,dobj,billion
1796,'s,people,dobj,billion
2722,is,miles,npadvmod,"5,919"
2722,is,years,pobj,thirteen
2935,is,eggs,appos,few
2975,costs,grands,dobj,30
3626,goes,miles,npadvmod,160
4512,was,years,npadvmod,seven
5068,has,years,dobj,two
5247,'s,months,npadvmod,two
5580,travels,miles,npadvmod,five
5584,lasts,seconds,npadvmod,few
5617,has,hours,dobj,three
5726,becomes,weeks,pobj,few
5792,is,minutes,npadvmod,20
6129,stands,yards,pobj,few
6654,'s,floors,npadvmod,five
6818,'s,mens,pobj,10
7450,'s,years,compound,two
7630,supports,species,dobj,41
7725,is,months,pobj,twelve
7731,'s,choices,dobj,two
7772,is,lifetimes,pobj,three
7824,is,eggs,nsubjpass,four
8060,was,weeks,dobj,thirteen
8208,is,miles,pobj,hundred
8402,was,jews,nsubjpass,hundred
8473,was,months,pobj,three
