sentence_idx,sentence
0,It may not look like much now but this is actually going to turn into one of the three student lounges which is a really big step up from our old campus.
1,Right beside me is going to be the future home of the Nittany Lion.
3,Bye!
4,In this video I'll be demonstrating the grade by submission method of grading in Etudes.
5,This is preferred over the grade by question method for an assessment that has more than one question on it that requires manual grading.
6,This is because with this method you remain on a single submission until you finish grading all questions before you move on to the next submission
7,"So after you log in, click on Assignments, Tests &amp;amp; Surveys"
8,"When you're at the main AT&amp;amp;S page, click on the red pen icon next to the assessment you want to grade"
9,Remember that the red pen icon means there are ungraded submissions for that assessment.
10,This takes you to the main grading page for the assessment.
11,On this page you'll see a listing of all your students and the details about their attempts for the assessment
12,"So you see I have three students listed here and it shows when they've started, when they finished, their auto score, because this is manually graded it's 0, their final score and then there are columns for evaluated and released"
13,Notice that the students who have finished have clickable links with the red pen icon next to them.
14,So we're going to click on one of these students - click on their name
15,This will take you to the page of that student's submission
17,"And if they can be fooled, every single person I ever talk to has to realize they have put their ego on hold and say, you know what, I might be able to be fooled, too."
19,We had the fake division that did restoration work.
20,The real division had hundreds and hundreds of employees.
21,"The fake division had one employee, me."
22,"I supposedly found all the jobs, bid the jobs, hired all the outside work crews, and handled all of the jobs."
23,That very thing should have been probably the single biggest red flag that ever could have existed.
24,"That is the thing that I think, above all else-- forget the even 50% profit margins-- someone would say, how is some one person able to handle this entire workload?"
25,"And what I ended up finding out was that, unfortunately-- well, let me put it this way."
26,And hope I don't get too far astream for you.
27,"Accounting work, especially accounting work-- accountants are the most important part of the triumvirate."
28,Because you can get another banker.
29,A bank loan can fall apart and you can maybe replace that in a matter of days or hours.
30,"And I'm not trying to be besmirching anyone, but"
31,lawyers are pretty easy to find.
32,"If one law firm doesn't want to work with you, some other"
33,law firm will.
36,"And if you fire your auditor, that sends shock waves through all of corporate America."
37,"They go, oh, my god, they fired an auditor."
39,"So you kind of have to, a little bit, coddle the accountants."
40,"But what I tried to do with all of those people in the triumvirate, is basically convince them to do all the"
41,lifting for me.
42,"Most people think that a fraudster like myself try to outsmart you, or try to manipulate you to get you do what you don't want to do."
43,We do the opposite.
44,We always act dumber than we really are.
45,I'm always remembering Senator Sam Ervin during the famous
49,Guy's sharp as a nail.
51,"I'd say to my accountant, I don't understand what it is you're doing."
52,"So that when I give you my paperwork, if it's stinks, or doesn't look right, or isn't totally there, you forgive me."
53,"Because you go, Mark doesn't understand what's going on here."
54,"We set the expectation level low, rather than trying to blow you away with how clever and how sharp we are."
60,"No fraudster would ever make it, ever, trying to force you to sign something you don't want sign."
61,Human nature won't let you do it.
64,What they have to be worried about is the exact opposite.
65,"When they did it all themselves, and they wake up one day going, how did I how to talk myself into doing that?"
66,This is the biggest irony.
67,"Of that entire division, no one ever saw, or asked to see, one original source document."
68,They never saw one invoice that had been signed.
70,"I would then take the cashier's check, I would Xerox it, because they were always made out to me."
71,The check was made out to me.
72,And I'd go cash it.
73,"But I'd first Xerox it, then I would white out my name."
74,"Then I'd type in the name of some bogus vendor, and give that Xerox copy back to the auditors."
76,"They would simply see the check I used to buy it, and my"
77,"Xerox copy, and they accepted that."
78,"I can tell you, because see, since there never were any original documents, there only were Xerox's, that they didn't exist."
79,"But isn't it ironic, not one person in that entire chain ever asked to see an original source document."
80,In the entire restoration division.
81,"What's funny about it is the first time Barry Minkow ever made up a fake job, he didn't have an invoice to write on."
82,So he took one of our standard invoices that I would give to
83,Mrs.
84,Housewife to clean her living room and dining room and hall carpets for $39.95.
85,"He used that same invoice to draw up about a $50,000 insurance restoration bill."
86,And then that escalated to a couple hundred thousand dollars.
87,"And pretty soon, he was drawing up fake work orders in the millions of dollars."
90,"We would bid a $10 million construction job, and the entire bid and specifications would fit on the front side of one page."
91,"Well, anyone who's ever done construction would tell you that a bid and acceptance for a $10 million job would look"
93,"And yet, we just did that on the front side of one page."
94,"And no one ever said, is this the industry standard?"
95,"One day, one of the civil attorneys in the civil case, one of the plaintiff's attorneys came to me and said,"
96,"Mark, where there ever any questions you were afraid of?"
103,"No one ever said, where's your license number?"
105,"No one ever said, how do you manage to oversee all those jobs and go to the bank every day?"
107,You could tell by the dates of the checks that I wrote that I had to be at the bank that day.
108,"And yet, no one ever asked."
109,"A lot of that is because the way compartmentalization works, especially at big firms, is such that, truly, the left hand does not know what the right hand is doing."
111,Another one's looking at your inventory.
113,They don't talk to each other.
114,They don't look at each other.
115,They have no idea.
116,And they're in a hurry.
118,"I can't stress enough-- we didn't have any, because they were all fake."
119,What I did was I invented six vendors.
120,"One of them was a company that I owned, called Marvel"
121,Management.
122,And the others were post office boxes.
123,"I just went out and rented post office boxes, made up companies, made up invoices at the print shop."
124,"And filled out the invoices and handed them to the auditors saying, I'm doing millions of dollars worth of work, with say, for example, this company I invented called"
126,Then the auditors would mail verifications to the post office boxes that I had rented.
127,"I would verify that they do all this business with me, and"
128,I would send them back.
129,"Virtually no due diligence was ever done on our vendors, because had they looked at our number one vendor, they would have found, by simply running a Dun and Bradstreet, or simply looking at the Secretary of State, looking at our DBA, they would have discovered that that corporation was mine."
132,"Just an address, and the address said Suite 104, 106, instead of post office box, because most of the places I rented boxes from would allow you to do that."
134,"And to the best of my knowledge, no attempt was ever make to go see one of the vendors."
137,"San Fernando Valley, within blocks of the auditor's office box."
138,Blocks.
140,"I've talked to quite a few companies that have said,"
141,"Mark, we believe that our internal ethics group is good enough."
142,"And you know what, they might be right."
144,"And that's why I've often said, even if you think you can handle it all in house all the time, bring in an outsider who's got a fresh pair of eyes."
145,There's no nepotism.
147,He's not worried about losing his job.
149,He's going to get paid and then he's going to go away.
150,"Those things are really necessary because one, they give comfort to the investors, to the shareholders."
152,"And so we can pass new laws, we can have the"
153,"Sarbanes-Oxley, we can change the FASB recommendations, we can change a whole lot of things."
154,"But until companies say, we have to be Caesar's wife."
155,We have to be above reproach.
157,"And I think that that is, without a doubt, the biggest message."
158,The other messages is this.
159,"Yes, there's a possibility that a corporate executive that does bad decisions might go to jail."
160,But that's not the real reason to fear.
161,We don't see our jails bursting with white collar guys.
162,And it's not even the money you can lose by running your business or spending a little bit more of your productivity on ethics and compliance.
163,The problem is that we've evolved to a point where your company can lose tens of billions of dollars in worth simply because of the way you handled something.
164,We've seen WorldCom lose over $100 billion in market cap.
165,Enron lose $90 billion.
166,Citigroup lose $50 billion.
167,These are serious numbers.
168,Those aren't fines or penalties.
169,That's what just dissolved because of the way the company handled certain issues.
170,"And invariably in those issues, due diligence was involved."
171,"So ethics were involved in the planning of it, or lack of ethics were involved in the planning of it."
173,And a total lack of follow through.
175,As much as I want it.
177,I will be the whistleblower.
178,We cannot tolerate this and have it here.
180,"And if there is a lesson to be learned by the recent scandals, and by the analysis that I bring to fraud prevention and fraud detection, it is that."
181,"Well, I think the most important thing any individual can do is there are things they can do to indemnify themselves, to protect themselves."
182,"And I should tell you, nobody else is going to do this for you."
183,Most people that are in federal prison today are in prison because a co-defendant told on them.
185,"And the way the system works, somebody goes, Mark, if you can give me a bigger name than you, you go to jail for less."
186,"So how does a low person who doesn't really have anyone to give away, and might get blamed, how do they protect themselves?"
187,And so what I tell every single accountant I meet to do is to do this thing that I developed about 10 years ago.
188,It's not brain surgery.
189,It's called the two minute drill.
192,You're not really sure whether you're being told the truth.
197,See if they pay the proper sales tax.
199,"If anybody had driven by one of the Z Best vendors, they'd have see that it wasn't a vendor at all, that it was just a postal rental place."
200,"Every day, do two minutes of extra due diligence."
201,And then make a journal entry of it.
202,Keep a diary.
204,"Because what you'll have is at the end of a year, you'll have a list of 250 things you did you weren't required to do."
208,"It used to be, no, you're innocent until proven guilty."
209,[ERRT]
210,"No, just ask Martha Stewart."
211,That's not true anymore.
212,"And especially in the court of public opinion, which, as I just mentioned, sometimes is a lot more important than what goes on in any courtroom."
216,"Because they'll go, I've seen what kind of person this guy is."
217,"This is a guy who goes the extra mile, who really looks for this."
219,"I imagine many of you are already clear on your reasons for taking this course, but let me begin by justifying the course's existence."
221,"So, what is an algorithm?"
222,"Well, we're not going to be needing a precise definition in this course, but essentially, an algorithm is a well-defined set of rules."
223,A recipe in effect for solving some kind of computational problem.
225,"Maybe you're given a road network with an origin and a destination, and you want to compute the shortest path from point a to point b."
226,Maybe you're given a bunch of tasks with deadlines and you want to know weather or not it's feasible to accomplish all of those tasks by their respective deadlines.
228,"Well, first of all, understanding the field of algorithms, and also the related field of data structures, is crucial for doing serious work in pretty much any other branch of Computer"
229,Science.
230,"That's the precise reason why here at Stanford University, this is the course that's required for all of the degrees that the Computer Science"
231,"Department grants, be it a Bachelors, a Masters, or a PhD degree, we insist that you have mastery of the field of algorithms."
232,"So, what are some examples of uses in the rest of Computer Science?"
233,"Well, if you're doing routing and communication network, that piggybacks on classical shortest path algorithms."
234,"the effectiveness of public key cryptography really rests on that, of number theoretic algorithms."
236,"Database indices rely on balance search tree data structures, as covered in this course."
237,and computational biology uses dynamic programming algorithms to measure similarity among genomes.
238,And the list goes on and on.
239,A second reason to study a lgorithms is that they play a key role in modern technological innovation.
240,"Obviously, I could give any number of examples here."
242,which is that search engines use a tapestry of algorithms to efficiently compute the relevance of various web pages.
243,The most famous search algorithm which you may have heard of is the page rank algorithm in use by Google.
244,"Indeed, in a December 2010 report to the United States Whitehouse, the President's Counsel of Advisers on Science and Technology argued that in many areas, performance gains due to improvements in algorithms, have vastly exceeded even the dramatic performance gains due to increased processor speed, as you'd be familiar with in the form of Moore's Law."
245,"Third, although this is getting significantly outside the scope of this course, algorithms are increasingly being used to provide a novel lens on processes outside of Computer Science and Technology."
246,"For example, the set of quantum computation has provided a new and computational viewpoint on quantum mechanics, price fluctuations in economic markets can be fruitfully viewed as an algorithmic process, and even evolution can be usefully thought of as, as a surprisingly search algorithm."
247,"The last two reasons I'm going to give you might sound a little flipping but, you know, I, I think there is more than a grain of truth to both of them."
248,"Now, I don't know about you but back when I was a student my favorite classes were always challenging classes but after"
249,"I struggled through them, I somehow felt I had a few more IQ points than when I started."
250,"So, I hope this course provides a similar experience for many of you that one the one hand it's a bit of a struggle."
252,"Finally, I hope that by the end of the course, a constant fraction of you will agree with me that designing and analyzing algorithms is simply fun."
253,"It's an endeavor that requires a rare blend of creativity and precision and it can cer tainly be frustrating at times, but even more than that, it is addictive."
255,"And also, let's remember that we've all been learning and using algorithms since we were little kids."
256,"So, once upon a time, in roughly third grade or so, you learned how to multiply two numbers."
