dep,idx,noun,verb
attr,6410,minutes,'s
attr,8273,minutes,is
attr,11703,outfits,'s
attr,13229,times,'s
attr,16015,cups,was
attr,22817,months,'s
attr,24957,ones,'s
attr,35810,birds,is
attr,43817,inches,'m
attr,44884,minutes,'s
attr,53343,shoes,'s
attr,53719,spoons,'s
attr,65183,minutes,was
attr,79564,kittens,'s
attr,84745,snakes,'s
attr,94077,batteries,'s
attr,97777,feet,is
attr,111308,ones,'s
attr,115025,boys,'s
attr,121939,strikes,'s
attr,122603,soldiers,'s
attr,124335,minutes,is
attr,128308,months,is
attr,130544,months,'s
attr,149839,months,am
attr,150146,months,am
attr,153922,boats,'s
attr,159034,zebra,'s
attr,168948,halves,'s
attr,174104,circles,'s
attr,190193,minutes,'s
attr,191891,cans,'s
attr,194516,things,'s
attr,196287,balloons,'s
attr,204794,animals,'s
attr,204801,animals,'s
attr,216531,cars,is
attr,216532,crayons,is
attr,220361,sides,'s
attr,222940,kinds,'s
attr,228008,apples,is
attr,228025,pigeons,is
attr,228027,tulips,is
attr,228032,bugs,'s
attr,228343,points,is
attr,229232,seconds,'s
attr,231581,lights,'s
attr,234461,pencils,is
attr,237064,trains,'s
attr,245627,pieces,'s
attr,245653,pieces,'s
attr,248473,cents,is
attr,248474,cents,'s
attr,250115,bugs,was
attr,252651,pieces,'s
attr,263201,letters,'s
attr,264562,billygoats,'s
attr,268689,lumps,'s
attr,273461,people,'s
attr,281012,pictures,'s
attr,284513,inches,'s
attr,293900,kids,'s
attr,295288,stories,is
attr,296499,blocks,is
attr,300863,whoops,'s
attr,306294,weeks,'s
attr,316815,screws,'s
attr,320310,doors,'s
attr,320317,doors,'s
attr,320335,doors,'s
attr,320336,people,is
attr,320338,people,is
attr,321430,pigs,'s
attr,323106,sides,is
attr,328111,people,'s
attr,328148,drains,'s
attr,329889,trucks,'s
attr,335110,boards,'s
attr,335355,pounds,was
attr,335356,years,'s
attr,335955,oranges,'s
attr,336823,meals,'s
attr,340032,tires,'s
attr,346315,marks,'s
attr,346776,budleyleys,'s
attr,348783,feet,was
attr,356596,kitties,'s
attr,359567,months,'s
attr,359625,trees,'s
attr,359653,books,'s
attr,366077,shirts,'s
attr,366434,minutes,was
attr,376558,boxes,'s
attr,382889,apples,'s
attr,386992,puppies,was
attr,388183,states,'s
attr,392517,minutes,was
attr,395044,duckies,'s
attr,395605,dollars,'s
attr,402039,fives,'s
attr,402043,eights,'s
attr,403845,fries,'s
attr,403853,soldiers,'s
attr,403957,babies,'s
attr,404095,ones,'s
attr,408759,minutes,is
attr,413612,minutes,'s
attr,415273,times,'s
attr,416781,trucks,'s
attr,416789,boats,'s
attr,426002,people,'s
attr,432745,pennys,is
attr,435094,bucks,'s
attr,435096,bucks,'s
attr,444781,blocks,'s
attr,445651,cars,'s
attr,445853,blocks,'s
attr,446217,blocks,was
attr,447420,toys,'s
attr,447423,toys,'s
attr,447606,blocks,'s
attr,450942,corners,is
attr,456096,tables,'s
attr,456845,pieces,'s
attr,465356,cats,'s
attr,466328,cants,'s
attr,466381,beggars,'s
attr,466847,cents,'s
attr,466900,beggars,'s
attr,467621,witches,'s
attr,470233,cards,'s
attr,473196,dollars,'s
attr,473226,dollars,'s
attr,474470,weeks,'s
attr,476933,ernies,'s
attr,477079,pirates,'s
attr,484799,flags,'s
attr,493504,plates,'s
attr,496089,cents,'s
attr,496112,cents,'s
attr,496383,bears,'s
attr,496472,reptiles,'s
attr,507060,books,'s
attr,517121,greens,'s
attr,522497,dollars,is
attr,526439,dollars,is
attr,526440,dollars,'s
attr,526457,dollars,'s
attr,529480,babies,'s
attr,532359,babies,is
attr,532396,kurts,'s
attr,534518,kitties,'s
attr,539227,dollars,was
attr,539887,degrees,is
attr,540637,minutes,is
attr,544507,rows,'s
attr,549969,kinds,'s
attr,549985,horsies,'s
