,idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
0,1,mahowald,The family spent a three astonishing days in London.,a three astonishing days,DT JJ CD NNS,an,astonishing,three,days
1,2,mahowald,The family spent a three astonishing weeks in London.,a three astonishing weeks,DT JJ CD NNS,an,astonishing,three,weeks
2,3,mahowald,The family spent a three astonishing months in London.,a three astonishing months,DT JJ CD NNS,an,astonishing,three,months
3,4,mahowald,The family spent a three astonishing years in London.,a three astonishing years,DT JJ CD NNS,an,astonishing,three,years
4,5,mahowald,The family spent a three astonishing hours in London.,a three astonishing hours,DT JJ CD NNS,an,astonishing,three,hours
5,6,mahowald,The family spent a five astonishing days in London.,a five astonishing days,DT JJ CD NNS,an,astonishing,five,days
6,7,mahowald,The family spent a five astonishing weeks in London.,a five astonishing weeks,DT JJ CD NNS,an,astonishing,five,weeks
7,8,mahowald,The family spent a five astonishing months in London.,a five astonishing months,DT JJ CD NNS,an,astonishing,five,months
8,9,mahowald,The family spent a five astonishing years in London.,a five astonishing years,DT JJ CD NNS,an,astonishing,five,years
9,10,mahowald,The family spent a five astonishing hours in London.,a five astonishing hours,DT JJ CD NNS,an,astonishing,five,hours
10,11,mahowald,The family spent a twenty astonishing days in London.,a twenty astonishing days,DT JJ CD NNS,an,astonishing,twenty,days
11,12,mahowald,The family spent a twenty astonishing weeks in London.,a twenty astonishing weeks,DT JJ CD NNS,an,astonishing,twenty,weeks
12,13,mahowald,The family spent a twenty astonishing months in London.,a twenty astonishing months,DT JJ CD NNS,an,astonishing,twenty,months
13,14,mahowald,The family spent a twenty astonishing years in London.,a twenty astonishing years,DT JJ CD NNS,an,astonishing,twenty,years
14,15,mahowald,The family spent a twenty astonishing hours in London.,a twenty astonishing hours,DT JJ CD NNS,an,astonishing,twenty,hours
15,16,mahowald,The family spent a three incredible days in London.,a three incredible days,DT JJ CD NNS,an,incredible,three,days
16,17,mahowald,The family spent a three incredible weeks in London.,a three incredible weeks,DT JJ CD NNS,an,incredible,three,weeks
17,18,mahowald,The family spent a three incredible months in London.,a three incredible months,DT JJ CD NNS,an,incredible,three,months
18,19,mahowald,The family spent a three incredible years in London.,a three incredible years,DT JJ CD NNS,an,incredible,three,years
19,20,mahowald,The family spent a three incredible hours in London.,a three incredible hours,DT JJ CD NNS,an,incredible,three,hours
