idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
1,mahowald,The family spent a three astonishing days in London.,a three astonishing days,DT JJ CD NNS,a,three,astonishing,days
2,mahowald,The family spent a three astonishing weeks in London.,a three astonishing weeks,DT JJ CD NNS,a,three,astonishing,weeks
3,mahowald,The family spent a three astonishing months in London.,a three astonishing months,DT JJ CD NNS,a,three,astonishing,months
4,mahowald,The family spent a three astonishing years in London.,a three astonishing years,DT JJ CD NNS,a,three,astonishing,years
5,mahowald,The family spent a three astonishing hours in London.,a three astonishing hours,DT JJ CD NNS,a,three,astonishing,hours
6,mahowald,The family spent a five astonishing days in London.,a five astonishing days,DT JJ CD NNS,a,five,astonishing,days
7,mahowald,The family spent a five astonishing weeks in London.,a five astonishing weeks,DT JJ CD NNS,a,five,astonishing,weeks
8,mahowald,The family spent a five astonishing months in London.,a five astonishing months,DT JJ CD NNS,a,five,astonishing,months
9,mahowald,The family spent a five astonishing years in London.,a five astonishing years,DT JJ CD NNS,a,five,astonishing,years
10,mahowald,The family spent a five astonishing hours in London.,a five astonishing hours,DT JJ CD NNS,a,five,astonishing,hours
11,mahowald,The family spent a twenty astonishing days in London.,a twenty astonishing days,DT JJ CD NNS,a,twenty,astonishing,days
12,mahowald,The family spent a twenty astonishing weeks in London.,a twenty astonishing weeks,DT JJ CD NNS,a,twenty,astonishing,weeks
13,mahowald,The family spent a twenty astonishing months in London.,a twenty astonishing months,DT JJ CD NNS,a,twenty,astonishing,months
14,mahowald,The family spent a twenty astonishing years in London.,a twenty astonishing years,DT JJ CD NNS,a,twenty,astonishing,years
15,mahowald,The family spent a twenty astonishing hours in London.,a twenty astonishing hours,DT JJ CD NNS,a,twenty,astonishing,hours
16,mahowald,The family spent a three incredible days in London.,a three incredible days,DT JJ CD NNS,a,three,incredible,days
17,mahowald,The family spent a three incredible weeks in London.,a three incredible weeks,DT JJ CD NNS,a,three,incredible,weeks
18,mahowald,The family spent a three incredible months in London.,a three incredible months,DT JJ CD NNS,a,three,incredible,months
19,mahowald,The family spent a three incredible years in London.,a three incredible years,DT JJ CD NNS,a,three,incredible,years
20,mahowald,The family spent a three incredible hours in London.,a three incredible hours,DT JJ CD NNS,a,three,incredible,hours
21,mahowald,The family spent a five incredible days in London.,a five incredible days,DT JJ CD NNS,a,five,incredible,days
22,mahowald,The family spent a five incredible weeks in London.,a five incredible weeks,DT JJ CD NNS,a,five,incredible,weeks
23,mahowald,The family spent a five incredible months in London.,a five incredible months,DT JJ CD NNS,a,five,incredible,months
24,mahowald,The family spent a five incredible years in London.,a five incredible years,DT JJ CD NNS,a,five,incredible,years
25,mahowald,The family spent a five incredible hours in London.,a five incredible hours,DT JJ CD NNS,a,five,incredible,hours
26,mahowald,The family spent a twenty incredible days in London.,a twenty incredible days,DT JJ CD NNS,a,twenty,incredible,days
27,mahowald,The family spent a twenty incredible weeks in London.,a twenty incredible weeks,DT JJ CD NNS,a,twenty,incredible,weeks
28,mahowald,The family spent a twenty incredible months in London.,a twenty incredible months,DT JJ CD NNS,a,twenty,incredible,months
29,mahowald,The family spent a twenty incredible years in London.,a twenty incredible years,DT JJ CD NNS,a,twenty,incredible,years
30,mahowald,The family spent a twenty incredible hours in London.,a twenty incredible hours,DT JJ CD NNS,a,twenty,incredible,hours
31,mahowald,The family spent a three impressive days in London.,a three impressive days,DT JJ CD NNS,a,three,impressive,days
32,mahowald,The family spent a three impressive weeks in London.,a three impressive weeks,DT JJ CD NNS,a,three,impressive,weeks
33,mahowald,The family spent a three impressive months in London.,a three impressive months,DT JJ CD NNS,a,three,impressive,months
34,mahowald,The family spent a three impressive years in London.,a three impressive years,DT JJ CD NNS,a,three,impressive,years
35,mahowald,The family spent a three impressive hours in London.,a three impressive hours,DT JJ CD NNS,a,three,impressive,hours
36,mahowald,The family spent a five impressive days in London.,a five impressive days,DT JJ CD NNS,a,five,impressive,days
37,mahowald,The family spent a five impressive weeks in London.,a five impressive weeks,DT JJ CD NNS,a,five,impressive,weeks
