idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
1,The family spent an astonishing three days in London.,The family spent,three astonishing a days,three astonishing days,astonishing three a days,three astonishing days,three a days,astonishing a days
2,The family spent an astonishing three weeks in London.,The family spent,three astonishing a weeks,three astonishing weeks,astonishing three a weeks,three astonishing weeks,three a weeks,astonishing a weeks
3,The family spent an astonishing three months in London.,The family spent,three astonishing a months,three astonishing months,astonishing three a months,three astonishing months,three a months,astonishing a months
4,The family spent an astonishing three years in London.,The family spent,three astonishing a years,three astonishing years,astonishing three a years,three astonishing years,three a years,astonishing a years
5,The family spent an astonishing three hours in London.,The family spent,three astonishing an hours,three astonishing hours,astonishing three an hours,three astonishing hours,three an hours,astonishing an hours
6,The family spent an astonishing five days in London.,The family spent,five astonishing a days,five astonishing days,astonishing five a days,five astonishing days,five a days,astonishing a days
7,The family spent an astonishing five weeks in London.,The family spent,five astonishing a weeks,five astonishing weeks,astonishing five a weeks,five astonishing weeks,five a weeks,astonishing a weeks
8,The family spent an astonishing five months in London.,The family spent,five astonishing a months,five astonishing months,astonishing five a months,five astonishing months,five a months,astonishing a months
9,The family spent an astonishing five years in London.,The family spent,five astonishing a years,five astonishing years,astonishing five a years,five astonishing years,five a years,astonishing a years
10,The family spent an astonishing five hours in London.,The family spent,five astonishing an hours,five astonishing hours,astonishing five an hours,five astonishing hours,five an hours,astonishing an hours
11,The family spent an astonishing twenty days in London.,The family spent,twenty astonishing a days,twenty astonishing days,astonishing twenty a days,twenty astonishing days,twenty a days,astonishing a days
12,The family spent an astonishing twenty weeks in London.,The family spent,twenty astonishing a weeks,twenty astonishing weeks,astonishing twenty a weeks,twenty astonishing weeks,twenty a weeks,astonishing a weeks
13,The family spent an astonishing twenty months in London.,The family spent,twenty astonishing a months,twenty astonishing months,astonishing twenty a months,twenty astonishing months,twenty a months,astonishing a months
14,The family spent an astonishing twenty years in London.,The family spent,twenty astonishing a years,twenty astonishing years,astonishing twenty a years,twenty astonishing years,twenty a years,astonishing a years
15,The family spent an astonishing twenty hours in London.,The family spent,twenty astonishing an hours,twenty astonishing hours,astonishing twenty an hours,twenty astonishing hours,twenty an hours,astonishing an hours
16,The family spent an incredible three days in London.,The family spent,three incredible a days,three incredible days,incredible three a days,three incredible days,three a days,incredible a days
17,The family spent an incredible three weeks in London.,The family spent,three incredible a weeks,three incredible weeks,incredible three a weeks,three incredible weeks,three a weeks,incredible a weeks
18,The family spent an incredible three months in London.,The family spent,three incredible a months,three incredible months,incredible three a months,three incredible months,three a months,incredible a months
19,The family spent an incredible three years in London.,The family spent,three incredible a years,three incredible years,incredible three a years,three incredible years,three a years,incredible a years
20,The family spent an incredible three hours in London.,The family spent,three incredible an hours,three incredible hours,incredible three an hours,three incredible hours,three an hours,incredible an hours
21,The family spent an incredible five days in London.,The family spent,five incredible a days,five incredible days,incredible five a days,five incredible days,five a days,incredible a days
22,The family spent an incredible five weeks in London.,The family spent,five incredible a weeks,five incredible weeks,incredible five a weeks,five incredible weeks,five a weeks,incredible a weeks
23,The family spent an incredible five months in London.,The family spent,five incredible a months,five incredible months,incredible five a months,five incredible months,five a months,incredible a months
24,The family spent an incredible five years in London.,The family spent,five incredible a years,five incredible years,incredible five a years,five incredible years,five a years,incredible a years
25,The family spent an incredible five hours in London.,The family spent,five incredible an hours,five incredible hours,incredible five an hours,five incredible hours,five an hours,incredible an hours
