idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
1,mahowald,The family spent three astonishing a days in London.,three astonishing a days,DT JJ CD NNS,three,astonishing,a,days
2,mahowald,The family spent three astonishing a weeks in London.,three astonishing a weeks,DT JJ CD NNS,three,astonishing,a,weeks
3,mahowald,The family spent three astonishing a months in London.,three astonishing a months,DT JJ CD NNS,three,astonishing,a,months
4,mahowald,The family spent three astonishing a years in London.,three astonishing a years,DT JJ CD NNS,three,astonishing,a,years
5,mahowald,The family spent three astonishing an hours in London.,three astonishing an hours,DT JJ CD NNS,three,astonishing,an,hours
6,mahowald,The family spent five astonishing a days in London.,five astonishing a days,DT JJ CD NNS,five,astonishing,a,days
7,mahowald,The family spent five astonishing a weeks in London.,five astonishing a weeks,DT JJ CD NNS,five,astonishing,a,weeks
8,mahowald,The family spent five astonishing a months in London.,five astonishing a months,DT JJ CD NNS,five,astonishing,a,months
9,mahowald,The family spent five astonishing a years in London.,five astonishing a years,DT JJ CD NNS,five,astonishing,a,years
10,mahowald,The family spent five astonishing an hours in London.,five astonishing an hours,DT JJ CD NNS,five,astonishing,an,hours
11,mahowald,The family spent twenty astonishing a days in London.,twenty astonishing a days,DT JJ CD NNS,twenty,astonishing,a,days
12,mahowald,The family spent twenty astonishing a weeks in London.,twenty astonishing a weeks,DT JJ CD NNS,twenty,astonishing,a,weeks
13,mahowald,The family spent twenty astonishing a months in London.,twenty astonishing a months,DT JJ CD NNS,twenty,astonishing,a,months
14,mahowald,The family spent twenty astonishing a years in London.,twenty astonishing a years,DT JJ CD NNS,twenty,astonishing,a,years
15,mahowald,The family spent twenty astonishing an hours in London.,twenty astonishing an hours,DT JJ CD NNS,twenty,astonishing,an,hours
16,mahowald,The family spent three incredible a days in London.,three incredible a days,DT JJ CD NNS,three,incredible,a,days
17,mahowald,The family spent three incredible a weeks in London.,three incredible a weeks,DT JJ CD NNS,three,incredible,a,weeks
18,mahowald,The family spent three incredible a months in London.,three incredible a months,DT JJ CD NNS,three,incredible,a,months
19,mahowald,The family spent three incredible a years in London.,three incredible a years,DT JJ CD NNS,three,incredible,a,years
20,mahowald,The family spent three incredible an hours in London.,three incredible an hours,DT JJ CD NNS,three,incredible,an,hours
21,mahowald,The family spent five incredible a days in London.,five incredible a days,DT JJ CD NNS,five,incredible,a,days
22,mahowald,The family spent five incredible a weeks in London.,five incredible a weeks,DT JJ CD NNS,five,incredible,a,weeks
23,mahowald,The family spent five incredible a months in London.,five incredible a months,DT JJ CD NNS,five,incredible,a,months
24,mahowald,The family spent five incredible a years in London.,five incredible a years,DT JJ CD NNS,five,incredible,a,years
25,mahowald,The family spent five incredible an hours in London.,five incredible an hours,DT JJ CD NNS,five,incredible,an,hours
26,mahowald,The family spent twenty incredible a days in London.,twenty incredible a days,DT JJ CD NNS,twenty,incredible,a,days
27,mahowald,The family spent twenty incredible a weeks in London.,twenty incredible a weeks,DT JJ CD NNS,twenty,incredible,a,weeks
28,mahowald,The family spent twenty incredible a months in London.,twenty incredible a months,DT JJ CD NNS,twenty,incredible,a,months
29,mahowald,The family spent twenty incredible a years in London.,twenty incredible a years,DT JJ CD NNS,twenty,incredible,a,years
30,mahowald,The family spent twenty incredible an hours in London.,twenty incredible an hours,DT JJ CD NNS,twenty,incredible,an,hours
31,mahowald,The family spent three impressive a days in London.,three impressive a days,DT JJ CD NNS,three,impressive,a,days
32,mahowald,The family spent three impressive a weeks in London.,three impressive a weeks,DT JJ CD NNS,three,impressive,a,weeks
33,mahowald,The family spent three impressive a months in London.,three impressive a months,DT JJ CD NNS,three,impressive,a,months
34,mahowald,The family spent three impressive a years in London.,three impressive a years,DT JJ CD NNS,three,impressive,a,years
35,mahowald,The family spent three impressive an hours in London.,three impressive an hours,DT JJ CD NNS,three,impressive,an,hours
36,mahowald,The family spent five impressive a days in London.,five impressive a days,DT JJ CD NNS,five,impressive,a,days
37,mahowald,The family spent five impressive a weeks in London.,five impressive a weeks,DT JJ CD NNS,five,impressive,a,weeks
38,mahowald,The family spent five impressive a months in London.,five impressive a months,DT JJ CD NNS,five,impressive,a,months
39,mahowald,The family spent five impressive a years in London.,five impressive a years,DT JJ CD NNS,five,impressive,a,years
40,mahowald,The family spent five impressive an hours in London.,five impressive an hours,DT JJ CD NNS,five,impressive,an,hours
41,mahowald,The family spent twenty impressive a days in London.,twenty impressive a days,DT JJ CD NNS,twenty,impressive,a,days
42,mahowald,The family spent twenty impressive a weeks in London.,twenty impressive a weeks,DT JJ CD NNS,twenty,impressive,a,weeks
43,mahowald,The family spent twenty impressive a months in London.,twenty impressive a months,DT JJ CD NNS,twenty,impressive,a,months
44,mahowald,The family spent twenty impressive a years in London.,twenty impressive a years,DT JJ CD NNS,twenty,impressive,a,years
45,mahowald,The family spent twenty impressive an hours in London.,twenty impressive an hours,DT JJ CD NNS,twenty,impressive,an,hours
46,mahowald,The family spent three disappointing a days in London.,three disappointing a days,DT JJ CD NNS,three,disappointing,a,days
47,mahowald,The family spent three disappointing a weeks in London.,three disappointing a weeks,DT JJ CD NNS,three,disappointing,a,weeks
48,mahowald,The family spent three disappointing a months in London.,three disappointing a months,DT JJ CD NNS,three,disappointing,a,months
49,mahowald,The family spent three disappointing a years in London.,three disappointing a years,DT JJ CD NNS,three,disappointing,a,years
50,mahowald,The family spent three disappointing an hours in London.,three disappointing an hours,DT JJ CD NNS,three,disappointing,an,hours
51,mahowald,The family spent five disappointing a days in London.,five disappointing a days,DT JJ CD NNS,five,disappointing,a,days
52,mahowald,The family spent five disappointing a weeks in London.,five disappointing a weeks,DT JJ CD NNS,five,disappointing,a,weeks
53,mahowald,The family spent five disappointing a months in London.,five disappointing a months,DT JJ CD NNS,five,disappointing,a,months
54,mahowald,The family spent five disappointing a years in London.,five disappointing a years,DT JJ CD NNS,five,disappointing,a,years
55,mahowald,The family spent five disappointing an hours in London.,five disappointing an hours,DT JJ CD NNS,five,disappointing,an,hours
56,mahowald,The family spent twenty disappointing a days in London.,twenty disappointing a days,DT JJ CD NNS,twenty,disappointing,a,days
57,mahowald,The family spent twenty disappointing a weeks in London.,twenty disappointing a weeks,DT JJ CD NNS,twenty,disappointing,a,weeks
58,mahowald,The family spent twenty disappointing a months in London.,twenty disappointing a months,DT JJ CD NNS,twenty,disappointing,a,months
59,mahowald,The family spent twenty disappointing a years in London.,twenty disappointing a years,DT JJ CD NNS,twenty,disappointing,a,years
60,mahowald,The family spent twenty disappointing an hours in London.,twenty disappointing an hours,DT JJ CD NNS,twenty,disappointing,an,hours
61,mahowald,The family spent three surprising a days in London.,three surprising a days,DT JJ CD NNS,three,surprising,a,days
62,mahowald,The family spent three surprising a weeks in London.,three surprising a weeks,DT JJ CD NNS,three,surprising,a,weeks
63,mahowald,The family spent three surprising a months in London.,three surprising a months,DT JJ CD NNS,three,surprising,a,months
64,mahowald,The family spent three surprising a years in London.,three surprising a years,DT JJ CD NNS,three,surprising,a,years
65,mahowald,The family spent three surprising an hours in London.,three surprising an hours,DT JJ CD NNS,three,surprising,an,hours
66,mahowald,The family spent five surprising a days in London.,five surprising a days,DT JJ CD NNS,five,surprising,a,days
67,mahowald,The family spent five surprising a weeks in London.,five surprising a weeks,DT JJ CD NNS,five,surprising,a,weeks
68,mahowald,The family spent five surprising a months in London.,five surprising a months,DT JJ CD NNS,five,surprising,a,months
69,mahowald,The family spent five surprising a years in London.,five surprising a years,DT JJ CD NNS,five,surprising,a,years
70,mahowald,The family spent five surprising an hours in London.,five surprising an hours,DT JJ CD NNS,five,surprising,an,hours
71,mahowald,The family spent twenty surprising a days in London.,twenty surprising a days,DT JJ CD NNS,twenty,surprising,a,days
72,mahowald,The family spent twenty surprising a weeks in London.,twenty surprising a weeks,DT JJ CD NNS,twenty,surprising,a,weeks
73,mahowald,The family spent twenty surprising a months in London.,twenty surprising a months,DT JJ CD NNS,twenty,surprising,a,months
74,mahowald,The family spent twenty surprising a years in London.,twenty surprising a years,DT JJ CD NNS,twenty,surprising,a,years
75,mahowald,The family spent twenty surprising an hours in London.,twenty surprising an hours,DT JJ CD NNS,twenty,surprising,an,hours
76,mahowald,The family spent three devastating a days in London.,three devastating a days,DT JJ CD NNS,three,devastating,a,days
77,mahowald,The family spent three devastating a weeks in London.,three devastating a weeks,DT JJ CD NNS,three,devastating,a,weeks
78,mahowald,The family spent three devastating a months in London.,three devastating a months,DT JJ CD NNS,three,devastating,a,months
79,mahowald,The family spent three devastating a years in London.,three devastating a years,DT JJ CD NNS,three,devastating,a,years
80,mahowald,The family spent three devastating an hours in London.,three devastating an hours,DT JJ CD NNS,three,devastating,an,hours
81,mahowald,The family spent five devastating a days in London.,five devastating a days,DT JJ CD NNS,five,devastating,a,days
82,mahowald,The family spent five devastating a weeks in London.,five devastating a weeks,DT JJ CD NNS,five,devastating,a,weeks
83,mahowald,The family spent five devastating a months in London.,five devastating a months,DT JJ CD NNS,five,devastating,a,months
84,mahowald,The family spent five devastating a years in London.,five devastating a years,DT JJ CD NNS,five,devastating,a,years
85,mahowald,The family spent five devastating an hours in London.,five devastating an hours,DT JJ CD NNS,five,devastating,an,hours
86,mahowald,The family spent twenty devastating a days in London.,twenty devastating a days,DT JJ CD NNS,twenty,devastating,a,days
87,mahowald,The family spent twenty devastating a weeks in London.,twenty devastating a weeks,DT JJ CD NNS,twenty,devastating,a,weeks
88,mahowald,The family spent twenty devastating a months in London.,twenty devastating a months,DT JJ CD NNS,twenty,devastating,a,months
89,mahowald,The family spent twenty devastating a years in London.,twenty devastating a years,DT JJ CD NNS,twenty,devastating,a,years
90,mahowald,The family spent twenty devastating an hours in London.,twenty devastating an hours,DT JJ CD NNS,twenty,devastating,an,hours
91,mahowald,The family spent three pathetic a days in London.,three pathetic a days,DT JJ CD NNS,three,pathetic,a,days
92,mahowald,The family spent three pathetic a weeks in London.,three pathetic a weeks,DT JJ CD NNS,three,pathetic,a,weeks
93,mahowald,The family spent three pathetic a months in London.,three pathetic a months,DT JJ CD NNS,three,pathetic,a,months
