,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
0,1,The family spent an astonishing three days in London.,The family spent,an astonishing three days,three astonishing days,astonishing three a days,three astonishing days,three a days,astonishing a days
1,2,The family spent an astonishing three weeks in London.,The family spent,an astonishing three weeks,three astonishing weeks,astonishing three a weeks,three astonishing weeks,three a weeks,astonishing a weeks
2,3,The family spent an astonishing three months in London.,The family spent,an astonishing three months,three astonishing months,astonishing three a months,three astonishing months,three a months,astonishing a months
3,4,The family spent an astonishing three years in London.,The family spent,an astonishing three years,three astonishing years,astonishing three a years,three astonishing years,three a years,astonishing a years
4,5,The family spent an astonishing three hours in London.,The family spent,an astonishing three hours,three astonishing hours,astonishing three an hours,three astonishing hours,three an hours,astonishing an hours
5,6,The family spent an astonishing five days in London.,The family spent,an astonishing five days,five astonishing days,astonishing five a days,five astonishing days,five a days,astonishing a days
6,7,The family spent an astonishing five weeks in London.,The family spent,an astonishing five weeks,five astonishing weeks,astonishing five a weeks,five astonishing weeks,five a weeks,astonishing a weeks
7,8,The family spent an astonishing five months in London.,The family spent,an astonishing five months,five astonishing months,astonishing five a months,five astonishing months,five a months,astonishing a months
8,9,The family spent an astonishing five years in London.,The family spent,an astonishing five years,five astonishing years,astonishing five a years,five astonishing years,five a years,astonishing a years
9,10,The family spent an astonishing five hours in London.,The family spent,an astonishing five hours,five astonishing hours,astonishing five an hours,five astonishing hours,five an hours,astonishing an hours
10,11,The family spent an astonishing twenty days in London.,The family spent,an astonishing twenty days,twenty astonishing days,astonishing twenty a days,twenty astonishing days,twenty a days,astonishing a days
11,12,The family spent an astonishing twenty weeks in London.,The family spent,an astonishing twenty weeks,twenty astonishing weeks,astonishing twenty a weeks,twenty astonishing weeks,twenty a weeks,astonishing a weeks
12,13,The family spent an astonishing twenty months in London.,The family spent,an astonishing twenty months,twenty astonishing months,astonishing twenty a months,twenty astonishing months,twenty a months,astonishing a months
13,14,The family spent an astonishing twenty years in London.,The family spent,an astonishing twenty years,twenty astonishing years,astonishing twenty a years,twenty astonishing years,twenty a years,astonishing a years
14,15,The family spent an astonishing twenty hours in London.,The family spent,an astonishing twenty hours,twenty astonishing hours,astonishing twenty an hours,twenty astonishing hours,twenty an hours,astonishing an hours
15,16,The family spent an incredible three days in London.,The family spent,an incredible three days,three incredible days,incredible three a days,three incredible days,three a days,incredible a days
16,17,The family spent an incredible three weeks in London.,The family spent,an incredible three weeks,three incredible weeks,incredible three a weeks,three incredible weeks,three a weeks,incredible a weeks
17,18,The family spent an incredible three months in London.,The family spent,an incredible three months,three incredible months,incredible three a months,three incredible months,three a months,incredible a months
18,19,The family spent an incredible three years in London.,The family spent,an incredible three years,three incredible years,incredible three a years,three incredible years,three a years,incredible a years
19,20,The family spent an incredible three hours in London.,The family spent,an incredible three hours,three incredible hours,incredible three an hours,three incredible hours,three an hours,incredible an hours
20,21,The family spent an incredible five days in London.,The family spent,an incredible five days,five incredible days,incredible five a days,five incredible days,five a days,incredible a days
21,22,The family spent an incredible five weeks in London.,The family spent,an incredible five weeks,five incredible weeks,incredible five a weeks,five incredible weeks,five a weeks,incredible a weeks
22,23,The family spent an incredible five months in London.,The family spent,an incredible five months,five incredible months,incredible five a months,five incredible months,five a months,incredible a months
23,24,The family spent an incredible five years in London.,The family spent,an incredible five years,five incredible years,incredible five a years,five incredible years,five a years,incredible a years
24,25,The family spent an incredible five hours in London.,The family spent,an incredible five hours,five incredible hours,incredible five an hours,five incredible hours,five an hours,incredible an hours
25,26,The family spent an incredible twenty days in London.,The family spent,an incredible twenty days,twenty incredible days,incredible twenty a days,twenty incredible days,twenty a days,incredible a days
26,27,The family spent an incredible twenty weeks in London.,The family spent,an incredible twenty weeks,twenty incredible weeks,incredible twenty a weeks,twenty incredible weeks,twenty a weeks,incredible a weeks
27,28,The family spent an incredible twenty months in London.,The family spent,an incredible twenty months,twenty incredible months,incredible twenty a months,twenty incredible months,twenty a months,incredible a months
28,29,The family spent an incredible twenty years in London.,The family spent,an incredible twenty years,twenty incredible years,incredible twenty a years,twenty incredible years,twenty a years,incredible a years
29,30,The family spent an incredible twenty hours in London.,The family spent,an incredible twenty hours,twenty incredible hours,incredible twenty an hours,twenty incredible hours,twenty an hours,incredible an hours
30,31,The family spent an impressive three days in London.,The family spent,an impressive three days,three impressive days,impressive three a days,three impressive days,three a days,impressive a days
31,32,The family spent an impressive three weeks in London.,The family spent,an impressive three weeks,three impressive weeks,impressive three a weeks,three impressive weeks,three a weeks,impressive a weeks
32,33,The family spent an impressive three months in London.,The family spent,an impressive three months,three impressive months,impressive three a months,three impressive months,three a months,impressive a months
33,34,The family spent an impressive three years in London.,The family spent,an impressive three years,three impressive years,impressive three a years,three impressive years,three a years,impressive a years
34,35,The family spent an impressive three hours in London.,The family spent,an impressive three hours,three impressive hours,impressive three an hours,three impressive hours,three an hours,impressive an hours
35,36,The family spent an impressive five days in London.,The family spent,an impressive five days,five impressive days,impressive five a days,five impressive days,five a days,impressive a days
36,37,The family spent an impressive five weeks in London.,The family spent,an impressive five weeks,five impressive weeks,impressive five a weeks,five impressive weeks,five a weeks,impressive a weeks
37,38,The family spent an impressive five months in London.,The family spent,an impressive five months,five impressive months,impressive five a months,five impressive months,five a months,impressive a months
38,39,The family spent an impressive five years in London.,The family spent,an impressive five years,five impressive years,impressive five a years,five impressive years,five a years,impressive a years
39,40,The family spent an impressive five hours in London.,The family spent,an impressive five hours,five impressive hours,impressive five an hours,five impressive hours,five an hours,impressive an hours
40,41,The family spent an impressive twenty days in London.,The family spent,an impressive twenty days,twenty impressive days,impressive twenty a days,twenty impressive days,twenty a days,impressive a days
41,42,The family spent an impressive twenty weeks in London.,The family spent,an impressive twenty weeks,twenty impressive weeks,impressive twenty a weeks,twenty impressive weeks,twenty a weeks,impressive a weeks
42,43,The family spent an impressive twenty months in London.,The family spent,an impressive twenty months,twenty impressive months,impressive twenty a months,twenty impressive months,twenty a months,impressive a months
43,44,The family spent an impressive twenty years in London.,The family spent,an impressive twenty years,twenty impressive years,impressive twenty a years,twenty impressive years,twenty a years,impressive a years
44,45,The family spent an impressive twenty hours in London.,The family spent,an impressive twenty hours,twenty impressive hours,impressive twenty an hours,twenty impressive hours,twenty an hours,impressive an hours
45,46,The family spent a disappointing three days in London.,The family spent,a disappointing three days,three disappointing days,disappointing three a days,three disappointing days,three a days,disappointing a days
46,47,The family spent a disappointing three weeks in London.,The family spent,a disappointing three weeks,three disappointing weeks,disappointing three a weeks,three disappointing weeks,three a weeks,disappointing a weeks
47,48,The family spent a disappointing three months in London.,The family spent,a disappointing three months,three disappointing months,disappointing three a months,three disappointing months,three a months,disappointing a months
48,49,The family spent a disappointing three years in London.,The family spent,a disappointing three years,three disappointing years,disappointing three a years,three disappointing years,three a years,disappointing a years
49,50,The family spent a disappointing three hours in London.,The family spent,a disappointing three hours,three disappointing hours,disappointing three an hours,three disappointing hours,three an hours,disappointing an hours
50,51,The family spent a disappointing five days in London.,The family spent,a disappointing five days,five disappointing days,disappointing five a days,five disappointing days,five a days,disappointing a days
51,52,The family spent a disappointing five weeks in London.,The family spent,a disappointing five weeks,five disappointing weeks,disappointing five a weeks,five disappointing weeks,five a weeks,disappointing a weeks
52,53,The family spent a disappointing five months in London.,The family spent,a disappointing five months,five disappointing months,disappointing five a months,five disappointing months,five a months,disappointing a months
53,54,The family spent a disappointing five years in London.,The family spent,a disappointing five years,five disappointing years,disappointing five a years,five disappointing years,five a years,disappointing a years
54,55,The family spent a disappointing five hours in London.,The family spent,a disappointing five hours,five disappointing hours,disappointing five an hours,five disappointing hours,five an hours,disappointing an hours
55,56,The family spent a disappointing twenty days in London.,The family spent,a disappointing twenty days,twenty disappointing days,disappointing twenty a days,twenty disappointing days,twenty a days,disappointing a days
56,57,The family spent a disappointing twenty weeks in London.,The family spent,a disappointing twenty weeks,twenty disappointing weeks,disappointing twenty a weeks,twenty disappointing weeks,twenty a weeks,disappointing a weeks
57,58,The family spent a disappointing twenty months in London.,The family spent,a disappointing twenty months,twenty disappointing months,disappointing twenty a months,twenty disappointing months,twenty a months,disappointing a months
58,59,The family spent a disappointing twenty years in London.,The family spent,a disappointing twenty years,twenty disappointing years,disappointing twenty a years,twenty disappointing years,twenty a years,disappointing a years
59,60,The family spent a disappointing twenty hours in London.,The family spent,a disappointing twenty hours,twenty disappointing hours,disappointing twenty an hours,twenty disappointing hours,twenty an hours,disappointing an hours
60,61,The family spent a surprising three days in London.,The family spent,a surprising three days,three surprising days,surprising three a days,three surprising days,three a days,surprising a days
61,62,The family spent a surprising three weeks in London.,The family spent,a surprising three weeks,three surprising weeks,surprising three a weeks,three surprising weeks,three a weeks,surprising a weeks
62,63,The family spent a surprising three months in London.,The family spent,a surprising three months,three surprising months,surprising three a months,three surprising months,three a months,surprising a months
63,64,The family spent a surprising three years in London.,The family spent,a surprising three years,three surprising years,surprising three a years,three surprising years,three a years,surprising a years
64,65,The family spent a surprising three hours in London.,The family spent,a surprising three hours,three surprising hours,surprising three an hours,three surprising hours,three an hours,surprising an hours
65,66,The family spent a surprising five days in London.,The family spent,a surprising five days,five surprising days,surprising five a days,five surprising days,five a days,surprising a days
66,67,The family spent a surprising five weeks in London.,The family spent,a surprising five weeks,five surprising weeks,surprising five a weeks,five surprising weeks,five a weeks,surprising a weeks
67,68,The family spent a surprising five months in London.,The family spent,a surprising five months,five surprising months,surprising five a months,five surprising months,five a months,surprising a months
68,69,The family spent a surprising five years in London.,The family spent,a surprising five years,five surprising years,surprising five a years,five surprising years,five a years,surprising a years
69,70,The family spent a surprising five hours in London.,The family spent,a surprising five hours,five surprising hours,surprising five an hours,five surprising hours,five an hours,surprising an hours
70,71,The family spent a surprising twenty days in London.,The family spent,a surprising twenty days,twenty surprising days,surprising twenty a days,twenty surprising days,twenty a days,surprising a days
71,72,The family spent a surprising twenty weeks in London.,The family spent,a surprising twenty weeks,twenty surprising weeks,surprising twenty a weeks,twenty surprising weeks,twenty a weeks,surprising a weeks
72,73,The family spent a surprising twenty months in London.,The family spent,a surprising twenty months,twenty surprising months,surprising twenty a months,twenty surprising months,twenty a months,surprising a months
73,74,The family spent a surprising twenty years in London.,The family spent,a surprising twenty years,twenty surprising years,surprising twenty a years,twenty surprising years,twenty a years,surprising a years
74,75,The family spent a surprising twenty hours in London.,The family spent,a surprising twenty hours,twenty surprising hours,surprising twenty an hours,twenty surprising hours,twenty an hours,surprising an hours
75,76,The family spent a devastating three days in London.,The family spent,a devastating three days,three devastating days,devastating three a days,three devastating days,three a days,devastating a days
76,77,The family spent a devastating three weeks in London.,The family spent,a devastating three weeks,three devastating weeks,devastating three a weeks,three devastating weeks,three a weeks,devastating a weeks
77,78,The family spent a devastating three months in London.,The family spent,a devastating three months,three devastating months,devastating three a months,three devastating months,three a months,devastating a months
78,79,The family spent a devastating three years in London.,The family spent,a devastating three years,three devastating years,devastating three a years,three devastating years,three a years,devastating a years
79,80,The family spent a devastating three hours in London.,The family spent,a devastating three hours,three devastating hours,devastating three an hours,three devastating hours,three an hours,devastating an hours
80,81,The family spent a devastating five days in London.,The family spent,a devastating five days,five devastating days,devastating five a days,five devastating days,five a days,devastating a days
81,82,The family spent a devastating five weeks in London.,The family spent,a devastating five weeks,five devastating weeks,devastating five a weeks,five devastating weeks,five a weeks,devastating a weeks
82,83,The family spent a devastating five months in London.,The family spent,a devastating five months,five devastating months,devastating five a months,five devastating months,five a months,devastating a months
83,84,The family spent a devastating five years in London.,The family spent,a devastating five years,five devastating years,devastating five a years,five devastating years,five a years,devastating a years
84,85,The family spent a devastating five hours in London.,The family spent,a devastating five hours,five devastating hours,devastating five an hours,five devastating hours,five an hours,devastating an hours
85,86,The family spent a devastating twenty days in London.,The family spent,a devastating twenty days,twenty devastating days,devastating twenty a days,twenty devastating days,twenty a days,devastating a days
86,87,The family spent a devastating twenty weeks in London.,The family spent,a devastating twenty weeks,twenty devastating weeks,devastating twenty a weeks,twenty devastating weeks,twenty a weeks,devastating a weeks
87,88,The family spent a devastating twenty months in London.,The family spent,a devastating twenty months,twenty devastating months,devastating twenty a months,twenty devastating months,twenty a months,devastating a months
88,89,The family spent a devastating twenty years in London.,The family spent,a devastating twenty years,twenty devastating years,devastating twenty a years,twenty devastating years,twenty a years,devastating a years
89,90,The family spent a devastating twenty hours in London.,The family spent,a devastating twenty hours,twenty devastating hours,devastating twenty an hours,twenty devastating hours,twenty an hours,devastating an hours
90,91,The family spent a pathetic three days in London.,The family spent,a pathetic three days,three pathetic days,pathetic three a days,three pathetic days,three a days,pathetic a days
91,92,The family spent a pathetic three weeks in London.,The family spent,a pathetic three weeks,three pathetic weeks,pathetic three a weeks,three pathetic weeks,three a weeks,pathetic a weeks
