,idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
0,1,mahowald,The family spent three astonishing a days in London.,three astonishing a days,DT JJ CD NNS,an,astonishing,three,days
1,2,mahowald,The family spent three astonishing a weeks in London.,three astonishing a weeks,DT JJ CD NNS,an,astonishing,three,weeks
2,3,mahowald,The family spent three astonishing a months in London.,three astonishing a months,DT JJ CD NNS,an,astonishing,three,months
3,4,mahowald,The family spent three astonishing a years in London.,three astonishing a years,DT JJ CD NNS,an,astonishing,three,years
4,5,mahowald,The family spent three astonishing an hours in London.,three astonishing an hours,DT JJ CD NNS,an,astonishing,three,hours
5,6,mahowald,The family spent five astonishing a days in London.,five astonishing a days,DT JJ CD NNS,an,astonishing,five,days
6,7,mahowald,The family spent five astonishing a weeks in London.,five astonishing a weeks,DT JJ CD NNS,an,astonishing,five,weeks
7,8,mahowald,The family spent five astonishing a months in London.,five astonishing a months,DT JJ CD NNS,an,astonishing,five,months
8,9,mahowald,The family spent five astonishing a years in London.,five astonishing a years,DT JJ CD NNS,an,astonishing,five,years
9,10,mahowald,The family spent five astonishing an hours in London.,five astonishing an hours,DT JJ CD NNS,an,astonishing,five,hours
10,11,mahowald,The family spent twenty astonishing a days in London.,twenty astonishing a days,DT JJ CD NNS,an,astonishing,twenty,days
11,12,mahowald,The family spent twenty astonishing a weeks in London.,twenty astonishing a weeks,DT JJ CD NNS,an,astonishing,twenty,weeks
12,13,mahowald,The family spent twenty astonishing a months in London.,twenty astonishing a months,DT JJ CD NNS,an,astonishing,twenty,months
13,14,mahowald,The family spent twenty astonishing a years in London.,twenty astonishing a years,DT JJ CD NNS,an,astonishing,twenty,years
14,15,mahowald,The family spent twenty astonishing an hours in London.,twenty astonishing an hours,DT JJ CD NNS,an,astonishing,twenty,hours
15,16,mahowald,The family spent three incredible a days in London.,three incredible a days,DT JJ CD NNS,an,incredible,three,days
16,17,mahowald,The family spent three incredible a weeks in London.,three incredible a weeks,DT JJ CD NNS,an,incredible,three,weeks
17,18,mahowald,The family spent three incredible a months in London.,three incredible a months,DT JJ CD NNS,an,incredible,three,months
18,19,mahowald,The family spent three incredible a years in London.,three incredible a years,DT JJ CD NNS,an,incredible,three,years
19,20,mahowald,The family spent three incredible an hours in London.,three incredible an hours,DT JJ CD NNS,an,incredible,three,hours
20,21,mahowald,The family spent five incredible a days in London.,five incredible a days,DT JJ CD NNS,an,incredible,five,days
21,22,mahowald,The family spent five incredible a weeks in London.,five incredible a weeks,DT JJ CD NNS,an,incredible,five,weeks
22,23,mahowald,The family spent five incredible a months in London.,five incredible a months,DT JJ CD NNS,an,incredible,five,months
23,24,mahowald,The family spent five incredible a years in London.,five incredible a years,DT JJ CD NNS,an,incredible,five,years
24,25,mahowald,The family spent five incredible an hours in London.,five incredible an hours,DT JJ CD NNS,an,incredible,five,hours
25,26,mahowald,The family spent twenty incredible a days in London.,twenty incredible a days,DT JJ CD NNS,an,incredible,twenty,days
26,27,mahowald,The family spent twenty incredible a weeks in London.,twenty incredible a weeks,DT JJ CD NNS,an,incredible,twenty,weeks
27,28,mahowald,The family spent twenty incredible a months in London.,twenty incredible a months,DT JJ CD NNS,an,incredible,twenty,months
28,29,mahowald,The family spent twenty incredible a years in London.,twenty incredible a years,DT JJ CD NNS,an,incredible,twenty,years
29,30,mahowald,The family spent twenty incredible an hours in London.,twenty incredible an hours,DT JJ CD NNS,an,incredible,twenty,hours
30,31,mahowald,The family spent three impressive a days in London.,three impressive a days,DT JJ CD NNS,an,impressive,three,days
31,32,mahowald,The family spent three impressive a weeks in London.,three impressive a weeks,DT JJ CD NNS,an,impressive,three,weeks
32,33,mahowald,The family spent three impressive a months in London.,three impressive a months,DT JJ CD NNS,an,impressive,three,months
33,34,mahowald,The family spent three impressive a years in London.,three impressive a years,DT JJ CD NNS,an,impressive,three,years
34,35,mahowald,The family spent three impressive an hours in London.,three impressive an hours,DT JJ CD NNS,an,impressive,three,hours
35,36,mahowald,The family spent five impressive a days in London.,five impressive a days,DT JJ CD NNS,an,impressive,five,days
36,37,mahowald,The family spent five impressive a weeks in London.,five impressive a weeks,DT JJ CD NNS,an,impressive,five,weeks
37,38,mahowald,The family spent five impressive a months in London.,five impressive a months,DT JJ CD NNS,an,impressive,five,months
38,39,mahowald,The family spent five impressive a years in London.,five impressive a years,DT JJ CD NNS,an,impressive,five,years
39,40,mahowald,The family spent five impressive an hours in London.,five impressive an hours,DT JJ CD NNS,an,impressive,five,hours
40,41,mahowald,The family spent twenty impressive a days in London.,twenty impressive a days,DT JJ CD NNS,an,impressive,twenty,days
41,42,mahowald,The family spent twenty impressive a weeks in London.,twenty impressive a weeks,DT JJ CD NNS,an,impressive,twenty,weeks
42,43,mahowald,The family spent twenty impressive a months in London.,twenty impressive a months,DT JJ CD NNS,an,impressive,twenty,months
43,44,mahowald,The family spent twenty impressive a years in London.,twenty impressive a years,DT JJ CD NNS,an,impressive,twenty,years
44,45,mahowald,The family spent twenty impressive an hours in London.,twenty impressive an hours,DT JJ CD NNS,an,impressive,twenty,hours
45,46,mahowald,The family spent three disappointing a days in London.,three disappointing a days,DT JJ CD NNS,a,disappointing,three,days
46,47,mahowald,The family spent three disappointing a weeks in London.,three disappointing a weeks,DT JJ CD NNS,a,disappointing,three,weeks
47,48,mahowald,The family spent three disappointing a months in London.,three disappointing a months,DT JJ CD NNS,a,disappointing,three,months
48,49,mahowald,The family spent three disappointing a years in London.,three disappointing a years,DT JJ CD NNS,a,disappointing,three,years
49,50,mahowald,The family spent three disappointing an hours in London.,three disappointing an hours,DT JJ CD NNS,a,disappointing,three,hours
50,51,mahowald,The family spent five disappointing a days in London.,five disappointing a days,DT JJ CD NNS,a,disappointing,five,days
51,52,mahowald,The family spent five disappointing a weeks in London.,five disappointing a weeks,DT JJ CD NNS,a,disappointing,five,weeks
52,53,mahowald,The family spent five disappointing a months in London.,five disappointing a months,DT JJ CD NNS,a,disappointing,five,months
53,54,mahowald,The family spent five disappointing a years in London.,five disappointing a years,DT JJ CD NNS,a,disappointing,five,years
54,55,mahowald,The family spent five disappointing an hours in London.,five disappointing an hours,DT JJ CD NNS,a,disappointing,five,hours
55,56,mahowald,The family spent twenty disappointing a days in London.,twenty disappointing a days,DT JJ CD NNS,a,disappointing,twenty,days
56,57,mahowald,The family spent twenty disappointing a weeks in London.,twenty disappointing a weeks,DT JJ CD NNS,a,disappointing,twenty,weeks
57,58,mahowald,The family spent twenty disappointing a months in London.,twenty disappointing a months,DT JJ CD NNS,a,disappointing,twenty,months
58,59,mahowald,The family spent twenty disappointing a years in London.,twenty disappointing a years,DT JJ CD NNS,a,disappointing,twenty,years
59,60,mahowald,The family spent twenty disappointing an hours in London.,twenty disappointing an hours,DT JJ CD NNS,a,disappointing,twenty,hours
60,61,mahowald,The family spent three surprising a days in London.,three surprising a days,DT JJ CD NNS,a,surprising,three,days
61,62,mahowald,The family spent three surprising a weeks in London.,three surprising a weeks,DT JJ CD NNS,a,surprising,three,weeks
62,63,mahowald,The family spent three surprising a months in London.,three surprising a months,DT JJ CD NNS,a,surprising,three,months
63,64,mahowald,The family spent three surprising a years in London.,three surprising a years,DT JJ CD NNS,a,surprising,three,years
64,65,mahowald,The family spent three surprising an hours in London.,three surprising an hours,DT JJ CD NNS,a,surprising,three,hours
65,66,mahowald,The family spent five surprising a days in London.,five surprising a days,DT JJ CD NNS,a,surprising,five,days
66,67,mahowald,The family spent five surprising a weeks in London.,five surprising a weeks,DT JJ CD NNS,a,surprising,five,weeks
67,68,mahowald,The family spent five surprising a months in London.,five surprising a months,DT JJ CD NNS,a,surprising,five,months
68,69,mahowald,The family spent five surprising a years in London.,five surprising a years,DT JJ CD NNS,a,surprising,five,years
69,70,mahowald,The family spent five surprising an hours in London.,five surprising an hours,DT JJ CD NNS,a,surprising,five,hours
70,71,mahowald,The family spent twenty surprising a days in London.,twenty surprising a days,DT JJ CD NNS,a,surprising,twenty,days
71,72,mahowald,The family spent twenty surprising a weeks in London.,twenty surprising a weeks,DT JJ CD NNS,a,surprising,twenty,weeks
72,73,mahowald,The family spent twenty surprising a months in London.,twenty surprising a months,DT JJ CD NNS,a,surprising,twenty,months
73,74,mahowald,The family spent twenty surprising a years in London.,twenty surprising a years,DT JJ CD NNS,a,surprising,twenty,years
74,75,mahowald,The family spent twenty surprising an hours in London.,twenty surprising an hours,DT JJ CD NNS,a,surprising,twenty,hours
75,76,mahowald,The family spent three devastating a days in London.,three devastating a days,DT JJ CD NNS,a,devastating,three,days
76,77,mahowald,The family spent three devastating a weeks in London.,three devastating a weeks,DT JJ CD NNS,a,devastating,three,weeks
77,78,mahowald,The family spent three devastating a months in London.,three devastating a months,DT JJ CD NNS,a,devastating,three,months
78,79,mahowald,The family spent three devastating a years in London.,three devastating a years,DT JJ CD NNS,a,devastating,three,years
79,80,mahowald,The family spent three devastating an hours in London.,three devastating an hours,DT JJ CD NNS,a,devastating,three,hours
80,81,mahowald,The family spent five devastating a days in London.,five devastating a days,DT JJ CD NNS,a,devastating,five,days
81,82,mahowald,The family spent five devastating a weeks in London.,five devastating a weeks,DT JJ CD NNS,a,devastating,five,weeks
82,83,mahowald,The family spent five devastating a months in London.,five devastating a months,DT JJ CD NNS,a,devastating,five,months
83,84,mahowald,The family spent five devastating a years in London.,five devastating a years,DT JJ CD NNS,a,devastating,five,years
84,85,mahowald,The family spent five devastating an hours in London.,five devastating an hours,DT JJ CD NNS,a,devastating,five,hours
85,86,mahowald,The family spent twenty devastating a days in London.,twenty devastating a days,DT JJ CD NNS,a,devastating,twenty,days
86,87,mahowald,The family spent twenty devastating a weeks in London.,twenty devastating a weeks,DT JJ CD NNS,a,devastating,twenty,weeks
87,88,mahowald,The family spent twenty devastating a months in London.,twenty devastating a months,DT JJ CD NNS,a,devastating,twenty,months
88,89,mahowald,The family spent twenty devastating a years in London.,twenty devastating a years,DT JJ CD NNS,a,devastating,twenty,years
89,90,mahowald,The family spent twenty devastating an hours in London.,twenty devastating an hours,DT JJ CD NNS,a,devastating,twenty,hours
90,91,mahowald,The family spent three pathetic a days in London.,three pathetic a days,DT JJ CD NNS,a,pathetic,three,days
91,92,mahowald,The family spent three pathetic a weeks in London.,three pathetic a weeks,DT JJ CD NNS,a,pathetic,three,weeks
92,93,mahowald,The family spent three pathetic a months in London.,three pathetic a months,DT JJ CD NNS,a,pathetic,three,months
93,94,mahowald,The family spent three pathetic a years in London.,three pathetic a years,DT JJ CD NNS,a,pathetic,three,years
94,95,mahowald,The family spent three pathetic an hours in London.,three pathetic an hours,DT JJ CD NNS,a,pathetic,three,hours
95,96,mahowald,The family spent five pathetic a days in London.,five pathetic a days,DT JJ CD NNS,a,pathetic,five,days
96,97,mahowald,The family spent five pathetic a weeks in London.,five pathetic a weeks,DT JJ CD NNS,a,pathetic,five,weeks
97,98,mahowald,The family spent five pathetic a months in London.,five pathetic a months,DT JJ CD NNS,a,pathetic,five,months
98,99,mahowald,The family spent five pathetic a years in London.,five pathetic a years,DT JJ CD NNS,a,pathetic,five,years
99,100,mahowald,The family spent five pathetic an hours in London.,five pathetic an hours,DT JJ CD NNS,a,pathetic,five,hours
100,101,mahowald,The family spent twenty pathetic a days in London.,twenty pathetic a days,DT JJ CD NNS,a,pathetic,twenty,days
101,102,mahowald,The family spent twenty pathetic a weeks in London.,twenty pathetic a weeks,DT JJ CD NNS,a,pathetic,twenty,weeks
102,103,mahowald,The family spent twenty pathetic a months in London.,twenty pathetic a months,DT JJ CD NNS,a,pathetic,twenty,months
103,104,mahowald,The family spent twenty pathetic a years in London.,twenty pathetic a years,DT JJ CD NNS,a,pathetic,twenty,years
104,105,mahowald,The family spent twenty pathetic an hours in London.,twenty pathetic an hours,DT JJ CD NNS,a,pathetic,twenty,hours
105,106,mahowald,The family spent three remarkable a days in London.,three remarkable a days,DT JJ CD NNS,a,remarkable,three,days
106,107,mahowald,The family spent three remarkable a weeks in London.,three remarkable a weeks,DT JJ CD NNS,a,remarkable,three,weeks
107,108,mahowald,The family spent three remarkable a months in London.,three remarkable a months,DT JJ CD NNS,a,remarkable,three,months
108,109,mahowald,The family spent three remarkable a years in London.,three remarkable a years,DT JJ CD NNS,a,remarkable,three,years
109,110,mahowald,The family spent three remarkable an hours in London.,three remarkable an hours,DT JJ CD NNS,a,remarkable,three,hours
110,111,mahowald,The family spent five remarkable a days in London.,five remarkable a days,DT JJ CD NNS,a,remarkable,five,days
111,112,mahowald,The family spent five remarkable a weeks in London.,five remarkable a weeks,DT JJ CD NNS,a,remarkable,five,weeks
112,113,mahowald,The family spent five remarkable a months in London.,five remarkable a months,DT JJ CD NNS,a,remarkable,five,months
113,114,mahowald,The family spent five remarkable a years in London.,five remarkable a years,DT JJ CD NNS,a,remarkable,five,years
114,115,mahowald,The family spent five remarkable an hours in London.,five remarkable an hours,DT JJ CD NNS,a,remarkable,five,hours
115,116,mahowald,The family spent twenty remarkable a days in London.,twenty remarkable a days,DT JJ CD NNS,a,remarkable,twenty,days
