idx,source,sentence,construction,pattern,DT,ADJ,NUMERAL,NOUN
1,mahowald,The family spent an astonishing three days in London.,an astonishing three days,DT JJ CD NNS,an,astonishing,three,days
2,mahowald,The family spent an astonishing three weeks in London.,an astonishing three weeks,DT JJ CD NNS,an,astonishing,three,weeks
3,mahowald,The family spent an astonishing three months in London.,an astonishing three months,DT JJ CD NNS,an,astonishing,three,months
4,mahowald,The family spent an astonishing three years in London.,an astonishing three years,DT JJ CD NNS,an,astonishing,three,years
5,mahowald,The family spent an astonishing three hours in London.,an astonishing three hours,DT JJ CD NNS,an,astonishing,three,hours
6,mahowald,The family spent an astonishing five days in London.,an astonishing five days,DT JJ CD NNS,an,astonishing,five,days
7,mahowald,The family spent an astonishing five weeks in London.,an astonishing five weeks,DT JJ CD NNS,an,astonishing,five,weeks
8,mahowald,The family spent an astonishing five months in London.,an astonishing five months,DT JJ CD NNS,an,astonishing,five,months
9,mahowald,The family spent an astonishing five years in London.,an astonishing five years,DT JJ CD NNS,an,astonishing,five,years
10,mahowald,The family spent an astonishing five hours in London.,an astonishing five hours,DT JJ CD NNS,an,astonishing,five,hours
11,mahowald,The family spent an astonishing twenty days in London.,an astonishing twenty days,DT JJ CD NNS,an,astonishing,twenty,days
12,mahowald,The family spent an astonishing twenty weeks in London.,an astonishing twenty weeks,DT JJ CD NNS,an,astonishing,twenty,weeks
13,mahowald,The family spent an astonishing twenty months in London.,an astonishing twenty months,DT JJ CD NNS,an,astonishing,twenty,months
14,mahowald,The family spent an astonishing twenty years in London.,an astonishing twenty years,DT JJ CD NNS,an,astonishing,twenty,years
15,mahowald,The family spent an astonishing twenty hours in London.,an astonishing twenty hours,DT JJ CD NNS,an,astonishing,twenty,hours
16,mahowald,The family spent an incredible three days in London.,an incredible three days,DT JJ CD NNS,an,incredible,three,days
17,mahowald,The family spent an incredible three weeks in London.,an incredible three weeks,DT JJ CD NNS,an,incredible,three,weeks
18,mahowald,The family spent an incredible three months in London.,an incredible three months,DT JJ CD NNS,an,incredible,three,months
19,mahowald,The family spent an incredible three years in London.,an incredible three years,DT JJ CD NNS,an,incredible,three,years
20,mahowald,The family spent an incredible three hours in London.,an incredible three hours,DT JJ CD NNS,an,incredible,three,hours
21,mahowald,The family spent an incredible five days in London.,an incredible five days,DT JJ CD NNS,an,incredible,five,days
22,mahowald,The family spent an incredible five weeks in London.,an incredible five weeks,DT JJ CD NNS,an,incredible,five,weeks
23,mahowald,The family spent an incredible five months in London.,an incredible five months,DT JJ CD NNS,an,incredible,five,months
24,mahowald,The family spent an incredible five years in London.,an incredible five years,DT JJ CD NNS,an,incredible,five,years
25,mahowald,The family spent an incredible five hours in London.,an incredible five hours,DT JJ CD NNS,an,incredible,five,hours
26,mahowald,The family spent an incredible twenty days in London.,an incredible twenty days,DT JJ CD NNS,an,incredible,twenty,days
27,mahowald,The family spent an incredible twenty weeks in London.,an incredible twenty weeks,DT JJ CD NNS,an,incredible,twenty,weeks
28,mahowald,The family spent an incredible twenty months in London.,an incredible twenty months,DT JJ CD NNS,an,incredible,twenty,months
29,mahowald,The family spent an incredible twenty years in London.,an incredible twenty years,DT JJ CD NNS,an,incredible,twenty,years
30,mahowald,The family spent an incredible twenty hours in London.,an incredible twenty hours,DT JJ CD NNS,an,incredible,twenty,hours
31,mahowald,The family spent an impressive three days in London.,an impressive three days,DT JJ CD NNS,an,impressive,three,days
32,mahowald,The family spent an impressive three weeks in London.,an impressive three weeks,DT JJ CD NNS,an,impressive,three,weeks
33,mahowald,The family spent an impressive three months in London.,an impressive three months,DT JJ CD NNS,an,impressive,three,months
34,mahowald,The family spent an impressive three years in London.,an impressive three years,DT JJ CD NNS,an,impressive,three,years
35,mahowald,The family spent an impressive three hours in London.,an impressive three hours,DT JJ CD NNS,an,impressive,three,hours
36,mahowald,The family spent an impressive five days in London.,an impressive five days,DT JJ CD NNS,an,impressive,five,days
37,mahowald,The family spent an impressive five weeks in London.,an impressive five weeks,DT JJ CD NNS,an,impressive,five,weeks
38,mahowald,The family spent an impressive five months in London.,an impressive five months,DT JJ CD NNS,an,impressive,five,months
39,mahowald,The family spent an impressive five years in London.,an impressive five years,DT JJ CD NNS,an,impressive,five,years
40,mahowald,The family spent an impressive five hours in London.,an impressive five hours,DT JJ CD NNS,an,impressive,five,hours
41,mahowald,The family spent an impressive twenty days in London.,an impressive twenty days,DT JJ CD NNS,an,impressive,twenty,days
42,mahowald,The family spent an impressive twenty weeks in London.,an impressive twenty weeks,DT JJ CD NNS,an,impressive,twenty,weeks
43,mahowald,The family spent an impressive twenty months in London.,an impressive twenty months,DT JJ CD NNS,an,impressive,twenty,months
44,mahowald,The family spent an impressive twenty years in London.,an impressive twenty years,DT JJ CD NNS,an,impressive,twenty,years
45,mahowald,The family spent an impressive twenty hours in London.,an impressive twenty hours,DT JJ CD NNS,an,impressive,twenty,hours
46,mahowald,The family spent a disappointing three days in London.,a disappointing three days,DT JJ CD NNS,a,disappointing,three,days
47,mahowald,The family spent a disappointing three weeks in London.,a disappointing three weeks,DT JJ CD NNS,a,disappointing,three,weeks
48,mahowald,The family spent a disappointing three months in London.,a disappointing three months,DT JJ CD NNS,a,disappointing,three,months
49,mahowald,The family spent a disappointing three years in London.,a disappointing three years,DT JJ CD NNS,a,disappointing,three,years
50,mahowald,The family spent a disappointing three hours in London.,a disappointing three hours,DT JJ CD NNS,a,disappointing,three,hours
51,mahowald,The family spent a disappointing five days in London.,a disappointing five days,DT JJ CD NNS,a,disappointing,five,days
52,mahowald,The family spent a disappointing five weeks in London.,a disappointing five weeks,DT JJ CD NNS,a,disappointing,five,weeks
53,mahowald,The family spent a disappointing five months in London.,a disappointing five months,DT JJ CD NNS,a,disappointing,five,months
54,mahowald,The family spent a disappointing five years in London.,a disappointing five years,DT JJ CD NNS,a,disappointing,five,years
55,mahowald,The family spent a disappointing five hours in London.,a disappointing five hours,DT JJ CD NNS,a,disappointing,five,hours
56,mahowald,The family spent a disappointing twenty days in London.,a disappointing twenty days,DT JJ CD NNS,a,disappointing,twenty,days
57,mahowald,The family spent a disappointing twenty weeks in London.,a disappointing twenty weeks,DT JJ CD NNS,a,disappointing,twenty,weeks
58,mahowald,The family spent a disappointing twenty months in London.,a disappointing twenty months,DT JJ CD NNS,a,disappointing,twenty,months
59,mahowald,The family spent a disappointing twenty years in London.,a disappointing twenty years,DT JJ CD NNS,a,disappointing,twenty,years
60,mahowald,The family spent a disappointing twenty hours in London.,a disappointing twenty hours,DT JJ CD NNS,a,disappointing,twenty,hours
61,mahowald,The family spent a surprising three days in London.,a surprising three days,DT JJ CD NNS,a,surprising,three,days
62,mahowald,The family spent a surprising three weeks in London.,a surprising three weeks,DT JJ CD NNS,a,surprising,three,weeks
63,mahowald,The family spent a surprising three months in London.,a surprising three months,DT JJ CD NNS,a,surprising,three,months
64,mahowald,The family spent a surprising three years in London.,a surprising three years,DT JJ CD NNS,a,surprising,three,years
65,mahowald,The family spent a surprising three hours in London.,a surprising three hours,DT JJ CD NNS,a,surprising,three,hours
66,mahowald,The family spent a surprising five days in London.,a surprising five days,DT JJ CD NNS,a,surprising,five,days
67,mahowald,The family spent a surprising five weeks in London.,a surprising five weeks,DT JJ CD NNS,a,surprising,five,weeks
68,mahowald,The family spent a surprising five months in London.,a surprising five months,DT JJ CD NNS,a,surprising,five,months
69,mahowald,The family spent a surprising five years in London.,a surprising five years,DT JJ CD NNS,a,surprising,five,years
70,mahowald,The family spent a surprising five hours in London.,a surprising five hours,DT JJ CD NNS,a,surprising,five,hours
71,mahowald,The family spent a surprising twenty days in London.,a surprising twenty days,DT JJ CD NNS,a,surprising,twenty,days
72,mahowald,The family spent a surprising twenty weeks in London.,a surprising twenty weeks,DT JJ CD NNS,a,surprising,twenty,weeks
73,mahowald,The family spent a surprising twenty months in London.,a surprising twenty months,DT JJ CD NNS,a,surprising,twenty,months
74,mahowald,The family spent a surprising twenty years in London.,a surprising twenty years,DT JJ CD NNS,a,surprising,twenty,years
75,mahowald,The family spent a surprising twenty hours in London.,a surprising twenty hours,DT JJ CD NNS,a,surprising,twenty,hours
76,mahowald,The family spent a devastating three days in London.,a devastating three days,DT JJ CD NNS,a,devastating,three,days
77,mahowald,The family spent a devastating three weeks in London.,a devastating three weeks,DT JJ CD NNS,a,devastating,three,weeks
78,mahowald,The family spent a devastating three months in London.,a devastating three months,DT JJ CD NNS,a,devastating,three,months
79,mahowald,The family spent a devastating three years in London.,a devastating three years,DT JJ CD NNS,a,devastating,three,years
80,mahowald,The family spent a devastating three hours in London.,a devastating three hours,DT JJ CD NNS,a,devastating,three,hours
81,mahowald,The family spent a devastating five days in London.,a devastating five days,DT JJ CD NNS,a,devastating,five,days
82,mahowald,The family spent a devastating five weeks in London.,a devastating five weeks,DT JJ CD NNS,a,devastating,five,weeks
83,mahowald,The family spent a devastating five months in London.,a devastating five months,DT JJ CD NNS,a,devastating,five,months
84,mahowald,The family spent a devastating five years in London.,a devastating five years,DT JJ CD NNS,a,devastating,five,years
