idx,experiment,template,adjclass,numclass,nounclass,rating-sent
1,temporal,0,adj-ambig,num-num,noun-temporal,good
2,temporal,0,adj-ambig,num-num,noun-temporal,good
3,temporal,0,adj-ambig,num-num,noun-temporal,good
4,temporal,0,adj-ambig,num-num,noun-temporal,good
5,temporal,0,adj-ambig,num-num,noun-temporal,good
6,temporal,0,adj-ambig,num-num,noun-temporal,good
7,temporal,0,adj-ambig,num-num,noun-temporal,good
8,temporal,0,adj-ambig,num-num,noun-temporal,good
9,temporal,0,adj-ambig,num-num,noun-temporal,good
10,temporal,0,adj-ambig,num-num,noun-temporal,good
11,temporal,0,adj-ambig,num-num,noun-temporal,good
12,temporal,0,adj-ambig,num-num,noun-temporal,good
13,temporal,0,adj-ambig,num-num,noun-temporal,good
14,temporal,0,adj-ambig,num-num,noun-temporal,good
15,temporal,0,adj-ambig,num-num,noun-temporal,good
16,temporal,0,adj-ambig,num-num,noun-temporal,good
17,temporal,0,adj-ambig,num-num,noun-temporal,good
18,temporal,0,adj-ambig,num-num,noun-temporal,good
19,temporal,0,adj-ambig,num-num,noun-temporal,good
20,temporal,0,adj-ambig,num-num,noun-temporal,good
21,temporal,0,adj-ambig,num-num,noun-temporal,good
22,temporal,0,adj-ambig,num-num,noun-temporal,good
23,temporal,0,adj-ambig,num-num,noun-temporal,good
24,temporal,0,adj-ambig,num-num,noun-temporal,good
25,temporal,0,adj-ambig,num-num,noun-temporal,good
26,temporal,0,adj-ambig,num-num,noun-temporal,good
27,temporal,0,adj-ambig,num-num,noun-temporal,good
28,temporal,0,adj-ambig,num-num,noun-temporal,good
29,temporal,0,adj-ambig,num-num,noun-temporal,good
30,temporal,0,adj-ambig,num-num,noun-temporal,good
31,temporal,0,adj-ambig,num-num,noun-temporal,good
32,temporal,0,adj-ambig,num-num,noun-temporal,good
33,temporal,0,adj-ambig,num-num,noun-temporal,good
34,temporal,0,adj-ambig,num-num,noun-temporal,good
35,temporal,0,adj-ambig,num-num,noun-temporal,good
36,temporal,0,adj-ambig,num-num,noun-temporal,good
37,temporal,0,adj-ambig,num-num,noun-temporal,good
38,temporal,0,adj-ambig,num-num,noun-temporal,good
39,temporal,0,adj-ambig,num-num,noun-temporal,good
40,temporal,0,adj-ambig,num-num,noun-temporal,good
41,temporal,0,adj-ambig,num-num,noun-temporal,good
42,temporal,0,adj-ambig,num-num,noun-temporal,good
43,temporal,0,adj-ambig,num-num,noun-temporal,good
44,temporal,0,adj-ambig,num-num,noun-temporal,good
45,temporal,0,adj-ambig,num-num,noun-temporal,good
46,temporal,0,adj-ambig,num-num,noun-temporal,good
47,temporal,0,adj-ambig,num-num,noun-temporal,good
48,temporal,0,adj-ambig,num-num,noun-temporal,good
49,temporal,0,adj-ambig,num-num,noun-temporal,good
50,temporal,0,adj-ambig,num-num,noun-temporal,good
51,temporal,0,adj-ambig,num-num,noun-temporal,good
52,temporal,0,adj-ambig,num-num,noun-temporal,good
53,temporal,0,adj-ambig,num-num,noun-temporal,good
54,temporal,0,adj-ambig,num-num,noun-temporal,good
55,temporal,0,adj-ambig,num-num,noun-temporal,good
56,temporal,0,adj-ambig,num-num,noun-temporal,good
57,temporal,0,adj-ambig,num-num,noun-temporal,good
58,temporal,0,adj-ambig,num-num,noun-temporal,good
59,temporal,0,adj-ambig,num-num,noun-temporal,good
60,temporal,0,adj-ambig,num-num,noun-temporal,good
61,temporal,0,adj-ambig,num-num,noun-temporal,good
62,temporal,0,adj-ambig,num-num,noun-temporal,good
63,temporal,0,adj-ambig,num-num,noun-temporal,good
64,temporal,0,adj-ambig,num-num,noun-temporal,good
65,temporal,0,adj-ambig,num-num,noun-temporal,good
66,temporal,0,adj-ambig,num-num,noun-temporal,good
67,temporal,0,adj-ambig,num-num,noun-temporal,good
68,temporal,0,adj-ambig,num-num,noun-temporal,good
69,temporal,0,adj-ambig,num-num,noun-temporal,good
70,temporal,0,adj-ambig,num-num,noun-temporal,good
71,temporal,0,adj-ambig,num-num,noun-temporal,good
72,temporal,0,adj-ambig,num-num,noun-temporal,good
73,temporal,0,adj-ambig,num-num,noun-temporal,good
74,temporal,0,adj-ambig,num-num,noun-temporal,good
75,temporal,0,adj-ambig,num-num,noun-temporal,good
76,temporal,0,adj-ambig,num-num,noun-temporal,good
77,temporal,0,adj-ambig,num-num,noun-temporal,good
78,temporal,0,adj-ambig,num-num,noun-temporal,good
79,temporal,0,adj-ambig,num-num,noun-temporal,good
80,temporal,0,adj-ambig,num-num,noun-temporal,good
81,temporal,0,adj-ambig,num-num,noun-temporal,good
82,temporal,0,adj-ambig,num-num,noun-temporal,good
83,temporal,0,adj-ambig,num-num,noun-temporal,good
84,temporal,0,adj-ambig,num-num,noun-temporal,good
85,temporal,0,adj-ambig,num-num,noun-temporal,good
86,temporal,0,adj-ambig,num-num,noun-temporal,good
87,temporal,0,adj-ambig,num-num,noun-temporal,good
88,temporal,0,adj-ambig,num-num,noun-temporal,good
89,temporal,0,adj-ambig,num-num,noun-temporal,good
90,temporal,0,adj-ambig,num-num,noun-temporal,good
91,temporal,0,adj-ambig,num-num,noun-temporal,good
92,temporal,0,adj-ambig,num-num,noun-temporal,good
93,temporal,0,adj-ambig,num-num,noun-temporal,good
94,temporal,0,adj-ambig,num-num,noun-temporal,good
95,temporal,0,adj-ambig,num-num,noun-temporal,good
96,temporal,0,adj-ambig,num-num,noun-temporal,good
97,temporal,0,adj-ambig,num-num,noun-temporal,good
98,temporal,0,adj-ambig,num-num,noun-temporal,good
99,temporal,0,adj-ambig,num-num,noun-temporal,good
100,temporal,0,adj-ambig,num-num,noun-temporal,good
101,temporal,0,adj-ambig,num-num,noun-temporal,good
102,temporal,0,adj-ambig,num-num,noun-temporal,good
103,temporal,0,adj-ambig,num-num,noun-temporal,good
104,temporal,0,adj-ambig,num-num,noun-temporal,good
105,temporal,0,adj-ambig,num-num,noun-temporal,good
106,temporal,0,adj-ambig,num-num,noun-temporal,good
107,temporal,0,adj-ambig,num-num,noun-temporal,good
108,temporal,0,adj-ambig,num-num,noun-temporal,good
109,temporal,0,adj-ambig,num-num,noun-temporal,good
110,temporal,0,adj-ambig,num-num,noun-temporal,good
111,temporal,0,adj-ambig,num-num,noun-temporal,good
112,temporal,0,adj-ambig,num-num,noun-temporal,good
113,temporal,0,adj-ambig,num-num,noun-temporal,good
114,temporal,0,adj-ambig,num-num,noun-temporal,good
115,temporal,0,adj-ambig,num-num,noun-temporal,good
116,temporal,0,adj-ambig,num-num,noun-temporal,good
117,temporal,0,adj-ambig,num-num,noun-temporal,good
118,temporal,0,adj-ambig,num-num,noun-temporal,good
119,temporal,0,adj-ambig,num-num,noun-temporal,good
120,temporal,0,adj-ambig,num-num,noun-temporal,good
121,temporal,0,adj-ambig,num-num,noun-temporal,good
122,temporal,0,adj-ambig,num-num,noun-temporal,good
123,temporal,0,adj-ambig,num-num,noun-temporal,good
124,temporal,0,adj-ambig,num-num,noun-temporal,good
125,temporal,0,adj-ambig,num-num,noun-temporal,good
126,temporal,0,adj-ambig,num-num,noun-temporal,good
127,temporal,0,adj-ambig,num-num,noun-temporal,good
128,temporal,0,adj-ambig,num-num,noun-temporal,good
129,temporal,0,adj-ambig,num-num,noun-temporal,good
130,temporal,0,adj-ambig,num-num,noun-temporal,good
131,temporal,0,adj-ambig,num-num,noun-temporal,good
132,temporal,0,adj-ambig,num-num,noun-temporal,good
133,temporal,0,adj-ambig,num-num,noun-temporal,good
134,temporal,0,adj-ambig,num-num,noun-temporal,good
135,temporal,0,adj-ambig,num-num,noun-temporal,good
136,temporal,0,adj-ambig,num-num,noun-temporal,good
137,temporal,0,adj-ambig,num-num,noun-temporal,good
138,temporal,0,adj-ambig,num-num,noun-temporal,good
139,temporal,0,adj-ambig,num-num,noun-temporal,good
140,temporal,0,adj-ambig,num-num,noun-temporal,good
141,temporal,0,adj-ambig,num-num,noun-temporal,good
142,temporal,0,adj-ambig,num-num,noun-temporal,good
143,temporal,0,adj-ambig,num-num,noun-temporal,good
144,temporal,0,adj-ambig,num-num,noun-temporal,good
145,temporal,0,adj-ambig,num-num,noun-temporal,good
146,temporal,0,adj-ambig,num-num,noun-temporal,good
147,temporal,0,adj-ambig,num-num,noun-temporal,good
148,temporal,0,adj-ambig,num-num,noun-temporal,good
149,temporal,0,adj-ambig,num-num,noun-temporal,good
150,temporal,0,adj-ambig,num-num,noun-temporal,good
151,temporal,0,adj-pos,num-num,noun-temporal,good
152,temporal,0,adj-pos,num-num,noun-temporal,good
153,temporal,0,adj-pos,num-num,noun-temporal,good
154,temporal,0,adj-pos,num-num,noun-temporal,good
155,temporal,0,adj-pos,num-num,noun-temporal,good
156,temporal,0,adj-pos,num-num,noun-temporal,good
157,temporal,0,adj-pos,num-num,noun-temporal,good
158,temporal,0,adj-pos,num-num,noun-temporal,good
159,temporal,0,adj-pos,num-num,noun-temporal,good
160,temporal,0,adj-pos,num-num,noun-temporal,good
161,temporal,0,adj-pos,num-num,noun-temporal,good
162,temporal,0,adj-pos,num-num,noun-temporal,good
163,temporal,0,adj-pos,num-num,noun-temporal,good
164,temporal,0,adj-pos,num-num,noun-temporal,good
165,temporal,0,adj-pos,num-num,noun-temporal,good
166,temporal,0,adj-pos,num-num,noun-temporal,good
167,temporal,0,adj-pos,num-num,noun-temporal,good
168,temporal,0,adj-pos,num-num,noun-temporal,good
169,temporal,0,adj-pos,num-num,noun-temporal,good
170,temporal,0,adj-pos,num-num,noun-temporal,good
171,temporal,0,adj-pos,num-num,noun-temporal,good
172,temporal,0,adj-pos,num-num,noun-temporal,good
173,temporal,0,adj-pos,num-num,noun-temporal,good
174,temporal,0,adj-pos,num-num,noun-temporal,good
175,temporal,0,adj-pos,num-num,noun-temporal,good
176,temporal,0,adj-pos,num-num,noun-temporal,good
177,temporal,0,adj-pos,num-num,noun-temporal,good
178,temporal,0,adj-pos,num-num,noun-temporal,good
179,temporal,0,adj-pos,num-num,noun-temporal,good
180,temporal,0,adj-pos,num-num,noun-temporal,good
181,temporal,0,adj-pos,num-num,noun-temporal,good
182,temporal,0,adj-pos,num-num,noun-temporal,good
183,temporal,0,adj-pos,num-num,noun-temporal,good
184,temporal,0,adj-pos,num-num,noun-temporal,good
185,temporal,0,adj-pos,num-num,noun-temporal,good
186,temporal,0,adj-pos,num-num,noun-temporal,good
187,temporal,0,adj-pos,num-num,noun-temporal,good
188,temporal,0,adj-pos,num-num,noun-temporal,good
189,temporal,0,adj-pos,num-num,noun-temporal,good
190,temporal,0,adj-pos,num-num,noun-temporal,good
191,temporal,0,adj-pos,num-num,noun-temporal,good
192,temporal,0,adj-pos,num-num,noun-temporal,good
193,temporal,0,adj-pos,num-num,noun-temporal,good
194,temporal,0,adj-pos,num-num,noun-temporal,good
195,temporal,0,adj-pos,num-num,noun-temporal,good
196,temporal,0,adj-pos,num-num,noun-temporal,good
197,temporal,0,adj-pos,num-num,noun-temporal,good
198,temporal,0,adj-pos,num-num,noun-temporal,good
199,temporal,0,adj-pos,num-num,noun-temporal,good
200,temporal,0,adj-pos,num-num,noun-temporal,good
201,temporal,0,adj-pos,num-num,noun-temporal,good
202,temporal,0,adj-pos,num-num,noun-temporal,good
203,temporal,0,adj-pos,num-num,noun-temporal,good
204,temporal,0,adj-pos,num-num,noun-temporal,good
