idx,construction,corrupted_construction,corrupted_sentence
1,a good ten years,a ten years,"Although Nicki was a ten years older than herself , she had treated Faedra like a sister and taken her under her wing ."
2,a good twenty feet,a twenty feet,""" But , Mr. Thompson , I have my hands in the filing cabinet filing the records you just gave me and the nearest phone is all the way over there , "" she pointed to a desk a twenty feet away ."
3,a balmy 25 degrees,a 25 degrees,The trees were green and the temperature was a 25 degrees with a slight breeze swaying the branches .
4,a convenient two minutes,a two minutes,"On the other side of the square , Camille 's elegant Haussemanian apartments overlooked the spring greenery , a two minutes from the market where a kaleidoscope of scenes met Anna 's eye , so different from her home in San Sebastian ."
5,a very pleasant 27 degrees,a 27 degrees,"The temperature had risen to a 27 degrees , strangely the streets seemed half - deserted of traffic ."
6,"a further 100,000 hectares","a 100,000 hectares","Then , in 2019 , in spite of protestation , a 100,000 hectares were lost in the Tinigua , Serrania de Chiribiquete and Sierra de la Macarena National Parks and in the Nukak National Natural Reserve ."
7,a second two weeks,a two weeks,"At the same time frenetic work commenced on the building of a new 1,000 bed hospital to handle those infected by the disease , it would be operational in a week the authorities announced , and a two weeks later ."
8,a helpful six months,a six months,"The work was n't well - paid or plentiful , but I did get a six months as the assistant restorer on a project to restore the Fifteenth century wood panel paintings of Saints in a Church in East Anglia ."
9,a few hundred yards,a hundred yards,"The town had a market - place and a hundred yards of tarmacked roads , but they quickly petered out into the desert ."
10,a pretty hard two weeks,a two weeks,Have had a two weeks getting ready for my poor .
11,a good twenty years,a twenty years,"Landers ' face dropped so much that it looked as if he had aged a twenty years in a couple of seconds . """
12,a dreadful two nights,a two nights,This was going to be a two nights .
13,a good three inches,a three inches,"It was now tight as bark , the bottom ending a three inches above where her low - riding miniskirt began ."
14,a few hundred yards,a hundred yards,Olivia walked in a hundred yards and sat on a flat log that she liked .
15,a full 10 seconds,a 10 seconds,They stared at each other for a 10 seconds .
16,a full ten seconds,a ten seconds,She held my gaze for a ten seconds before she eventually dragged her focus away to play with the hem of her pink tee shirt .
17,a small eight times,a eight times,"Dad had a eight times magnification telescopic telescope he let me use to view the stars at night , I went and got it to take a closer look at this strange sight in the sky ."
18,a few hundred people,a hundred people,Lucy went down tunnel 2 which led to a large canteen where a hundred people were gathering .
19,an entire seventeen years,an seventeen years,"I could not deny that I had lived an seventeen years feeling consistently out of sync with the world , and now that I knew what I was , I only felt more out of place ."
20,a good twenty yards,a twenty yards,I flipped backwards a twenty yards to safety before landing in a defensive crouched position ready for their retaliation .
21,a good twenty yards,a twenty yards,The impact of our bodies colliding sent us both a twenty yards into the surf .
22,a full three days,a three days,"The weapon had been received nearly two years before , sometime shortly following his return from Bear Hill , appearing as a long white cylinder that he noticed only on venturing from the cabin after a three days respite ."
23,a good ten minutes,a ten minutes,"Not long after that , and with a ten minutes hard paddling still to go before his destination , a new crisis presented itself ."
24,an extra six inches,an six inches,"He had planned it this way , had raised the blind an six inches to enhance the effect ."
25,a full four feet,a four feet,"Three huge , black , iron hinges were placed as the wall went up , their support wings going back into the granite and concrete a four feet ."
26,a full five minutes,a five minutes,"The pictures of the body made him shiver , but he looked at every one very carefully , spending almost a five minutes on each ."
27,a good 45 minutes,a 45 minutes,"Still , it took a 45 minutes and he was beginning to feel the pangs of hunger ."
28,a whole two years,a two years,It was like that for a two years and I saw a reason to change my story .
29,an additional 10 minutes,an 10 minutes,Bake an 10 minutes until the marshmallows are melted .
30,an additional 30 seconds,an 30 seconds,Cook for 1 1/2 minutes and then flip and cook for an 30 seconds . (
31,a whole 1.4 seconds,a 1.4 seconds,"I looked up at the scoreboard and saw I had indeed lost a 1.4 seconds off my previous record time . """
32,a full two hundredths,a two hundredths,It took a two hundredths of a second for me to jump off and follow him ; then race was really on .
33,a simple three things,a three things,"By now I 'm going , what started out as a three things , which were : have a longing for God 's Love , have a longing for God 's Truth , and feel all of my emotions in humility — which all sounds pretty easy to do really , it seems pretty simple to me — all of a sudden there are all of these aspects of it so that , those three things , they feel almost impossible now , particularly the third one , the one about being humble and feeling everything ."
34,a good thirty minutes,a thirty minutes,It was a thirty minutes before I calmed down enough to even try to sleep .
35,a full ten minutes,a ten minutes,"Kicks were tossed at each others ' neck , while punches where aimed to one another 's chin , it went on for a ten minutes and neither one of the two girls looked tier ."
36,a meager hundred dollars,a hundred dollars,"They came with nothing and worked for nothing but their board , three squares a day and chits for a hundred dollars a week , which they were encouraged to save ."
37,a full three seconds,a three seconds,It was a three seconds before he looked up and saw her .
38,a full six inches,a six inches,"Bihydrant said , "" Our leader is a six inches ."
39,an extra fifteen minutes,an fifteen minutes,"I was still one block away from home , but I needed the diversion , even though it meant me walking an fifteen minutes ."
40,an additional thirty minutes,an thirty minutes,""" We 'll wait for an thirty minutes , "" Dad chipped in . """
41,a full two hours,a two hours,It takes me a two hours to reach the closest border in Ealing Zone .
42,a further five groups,a five groups,"The head Guardian , a stocky man with a colossal moustache and a scratchy voice , splits us into a five groups — one for east , west , south , north , and the centre of the zone ."
43,a searing ninety degrees,a ninety degrees,"Mrs. Poston 's apartment was neat and clean , not a speck of dust anywhere , and it felt like the thermostat was set to a ninety degrees . """
44,a few hundred dollars,a hundred dollars,Aja had gotten a hundred dollars from some scholarships she 'd applied for .
45,a hard two years,a two years,It 's been a two years .
46,an additional three months,an three months,"It took an three months , but day by day she began to regain her strength ."
47,an additional 20 minutes,an 20 minutes,I spent an 20 minutes emailing attachments to everyone so they 'd have them first thing in the morning .
48,a good 100 meters,a 100 meters,It was a 100 meters to the gate and they both silently prayed that the guard towers were indeed empty .
49,a few hundred beats,a hundred beats,"Finally , when his heart had hammered a hundred beats , he risked opening his eyes ."
50,a few hundred yards,a hundred yards,"The river turned south again , allowing Dodge a chance to gain a hundred yards by cutting the corner above the Dahlgren US Naval Proving Grounds ."
51,a good eight feet,a eight feet,The ground was a eight feet below the dangling soles of her shoes .
52,a couple thousand miles,a thousand miles,"The fellows we , ah , questioned told us that they only went as far as a base camp on a bleak little lump of rock called Flat Island , a thousand miles to the south in the middle of the Indian Ocean ."
53,a solid four to five inches,a four to five inches,"Indeed , not as instinctively spoken to the driver on his ' left ' side placing myself neatly in the middle of his back with the two fired shots fired from his pistol held under his right elbow missing me by a four to five inches ."
54,a good four inches,a four inches,"You got them turned up a four inches at the bottom . """
55,a few thousand years,a thousand years,Maybe it was different a thousand years ago .
56,a few hundred years,a hundred years,"If a country can learn to make adjustments on an on - going basis , it 's got a good chance of survival for at least a hundred years ."
57,a mere ten minutes,a ten minutes,Carter Champion was born a ten minutes before her but always – through words and deeds – assumed the older brother role .
58,a few thousand feet,a thousand feet,"As I stared , I realized I was looking at a city as though a thousand feet above it ."
59,a few hundred feet,a hundred feet,"Now , with each drop of the cage , it catapulted a hundred feet closer ."
60,a few hundred feet,a hundred feet,Tee 's tires slipped and popped on loose rock as we advanced a hundred feet uphill on Shastina .
61,a good fifteen minutes,a fifteen minutes,We were silent for a fifteen minutes before he actually spoke .
62,a whopping thirteen bowls,a thirteen bowls,"They 'd only been at Ichiraku Ramen for twenty minutes , and Naruto had somehow managed to put away a thirteen bowls of noodles !"
63,a short four paragraphs,a four paragraphs,The same boy that everyone called ' dead - last ' and ' idiot ' had practically defined her in a four paragraphs .
64,a good five minutes,a five minutes,"For a five minutes , neither of them moved ."
65,a long three days,a three days,It was going to be a three days .
66,a brief two seconds,a two seconds,"Their eyes met for a two seconds , long enough for a silent understanding to pass between them ."
67,a long three years,a three years,It was going to be a three years .
68,a few hundred years,a hundred years,How is she outrunning me when I am at least a hundred years younger .
69,a few hundred people,a hundred people,There had to be a hundred people on the list .
70,an electric 15 amps,an 15 amps,"We needed a few extra items ; towing mirrors , a water hose and fittings , a sullage hose , an 15 amps power lead , and D shackles for the towing chains ."
71,a very busy three hours,a three hours,It was a three hours !
72,a spare 8 watts,a 8 watts,I bought a 8 watts neon tube for our camping lantern .
73,a staggering 20 times,a 20 times,And rise they did — by a 20 times their original value during January 1637 .
74,a good fifty pounds,a fifty pounds,"Similar in height , he outweighed Sykes by a fifty pounds , mostly the result of the raspberry Danishes he seemed to vacuum up every morning ."
75,a good five feet,a five feet,"The thing was a five feet on a side , covered in a heavy blanket , like most of the furniture downstairs ."
76,a few hundred yards,a hundred yards,Last weekend she 'd made Onion tote their heavy cooler all the way back to the car twice after she 'd got to the top of the dune and seen other people within a hundred yards of open beach .
77,a few hundred yards,a hundred yards,"But as if fate chose not to let Brooke shrug off her obligations so conveniently , a Navy fighter jet roared out of the south , its rumble audible seconds before is silver skin came visible a hundred yards offshore and not twenty feet above the waves ."
78,an obviously long two seconds,an two seconds,""" Um , well , it 's great to meet you , Lucien , "" Chandler managed to stammer after an two seconds . """
79,a good two hours,a two hours,That part of the trip lasted a two hours .
80,a good four hours,a four hours,"Well , perhaps he could do it in that time , but I had my doubts and rightly so : it would take me a four hours with many stops , David patiently waiting for me along the way ."
81,a few hundred feet,a hundred feet,"And a hundred feet away , straight toward us rushes the spectator fleet , a huge coastguard cutter in the lead , whence comes a disincarnated voice : "" Trimaran ahoy !"
82,a good ten feet,a ten feet,"It seemed the other students passing through the hall knew not to get involved , because even though a ten feet separated them , no one passed through the area between ."
83,a few thousand years,a thousand years,Funny what difference a thousand years made .
84,a good six feet,a six feet,"It was spacious back there , with only a single bench seat , leaving a six feet of open floor ."
