idx,construction,corrupted_construction,corrupted_sentence
1,a good ten years,a good ten year,"Although Nicki was a good ten year older than herself , she had treated Faedra like a sister and taken her under her wing ."
2,a good twenty feet,a good twenty foot,""" But , Mr. Thompson , I have my hands in the filing cabinet filing the records you just gave me and the nearest phone is all the way over there , "" she pointed to a desk a good twenty foot away ."
3,a balmy 25 degrees,a balmy 25 degree,The trees were green and the temperature was a balmy 25 degree with a slight breeze swaying the branches .
4,a convenient two minutes,a convenient two minute,"On the other side of the square , Camille 's elegant Haussemanian apartments overlooked the spring greenery , a convenient two minute from the market where a kaleidoscope of scenes met Anna 's eye , so different from her home in San Sebastian ."
5,a very pleasant 27 degrees,a very pleasant 27 degree,"The temperature had risen to a very pleasant 27 degree , strangely the streets seemed half - deserted of traffic ."
6,"a further 100,000 hectares","a further 100,000 hectare","Then , in 2019 , in spite of protestation , a further 100,000 hectare were lost in the Tinigua , Serrania de Chiribiquete and Sierra de la Macarena National Parks and in the Nukak National Natural Reserve ."
7,a second two weeks,a second two week,"At the same time frenetic work commenced on the building of a new 1,000 bed hospital to handle those infected by the disease , it would be operational in a week the authorities announced , and a second two week later ."
8,a helpful six months,a helpful six month,"The work was n't well - paid or plentiful , but I did get a helpful six month as the assistant restorer on a project to restore the Fifteenth century wood panel paintings of Saints in a Church in East Anglia ."
9,a few hundred yards,a few hundred yard,"The town had a market - place and a few hundred yard of tarmacked roads , but they quickly petered out into the desert ."
10,a pretty hard two weeks,a pretty hard two week,Have had a pretty hard two week getting ready for my poor .
11,a good twenty years,a good twenty year,"Landers ' face dropped so much that it looked as if he had aged a good twenty year in a couple of seconds . """
12,a dreadful two nights,a dreadful two night,This was going to be a dreadful two night .
13,a good three inches,a good three inch,"It was now tight as bark , the bottom ending a good three inch above where her low - riding miniskirt began ."
14,a few hundred yards,a few hundred yard,Olivia walked in a few hundred yard and sat on a flat log that she liked .
15,a full 10 seconds,a full 10 second,They stared at each other for a full 10 second .
16,a full ten seconds,a full ten second,She held my gaze for a full ten second before she eventually dragged her focus away to play with the hem of her pink tee shirt .
17,a small eight times,a small eight time,"Dad had a small eight time magnification telescopic telescope he let me use to view the stars at night , I went and got it to take a closer look at this strange sight in the sky ."
18,a few hundred people,a few hundred person,Lucy went down tunnel 2 which led to a large canteen where a few hundred person were gathering .
19,an entire seventeen years,an entire seventeen year,"I could not deny that I had lived an entire seventeen year feeling consistently out of sync with the world , and now that I knew what I was , I only felt more out of place ."
20,a good twenty yards,a good twenty yard,I flipped backwards a good twenty yard to safety before landing in a defensive crouched position ready for their retaliation .
21,a good twenty yards,a good twenty yard,The impact of our bodies colliding sent us both a good twenty yard into the surf .
22,a full three days,a full three day,"The weapon had been received nearly two years before , sometime shortly following his return from Bear Hill , appearing as a long white cylinder that he noticed only on venturing from the cabin after a full three day respite ."
23,a good ten minutes,a good ten minute,"Not long after that , and with a good ten minute hard paddling still to go before his destination , a new crisis presented itself ."
24,an extra six inches,an extra six inch,"He had planned it this way , had raised the blind an extra six inch to enhance the effect ."
25,a full four feet,a full four foot,"Three huge , black , iron hinges were placed as the wall went up , their support wings going back into the granite and concrete a full four foot ."
26,a full five minutes,a full five minute,"The pictures of the body made him shiver , but he looked at every one very carefully , spending almost a full five minute on each ."
27,a good 45 minutes,a good 45 minute,"Still , it took a good 45 minute and he was beginning to feel the pangs of hunger ."
28,a whole two years,a whole two year,It was like that for a whole two year and I saw a reason to change my story .
29,an additional 10 minutes,an additional 10 minute,Bake an additional 10 minute until the marshmallows are melted .
30,an additional 30 seconds,an additional 30 second,Cook for 1 1/2 minutes and then flip and cook for an additional 30 second . (
31,a whole 1.4 seconds,a whole 1.4 second,"I looked up at the scoreboard and saw I had indeed lost a whole 1.4 second off my previous record time . """
32,a full two hundredths,a full two hundredth,It took a full two hundredth of a second for me to jump off and follow him ; then race was really on .
33,a simple three things,a simple three thing,"By now I 'm going , what started out as a simple three thing , which were : have a longing for God 's Love , have a longing for God 's Truth , and feel all of my emotions in humility — which all sounds pretty easy to do really , it seems pretty simple to me — all of a sudden there are all of these aspects of it so that , those three things , they feel almost impossible now , particularly the third one , the one about being humble and feeling everything ."
34,a good thirty minutes,a good thirty minute,It was a good thirty minute before I calmed down enough to even try to sleep .
35,a full ten minutes,a full ten minute,"Kicks were tossed at each others ' neck , while punches where aimed to one another 's chin , it went on for a full ten minute and neither one of the two girls looked tier ."
36,a meager hundred dollars,a meager hundred dollar,"They came with nothing and worked for nothing but their board , three squares a day and chits for a meager hundred dollar a week , which they were encouraged to save ."
37,a full three seconds,a full three second,It was a full three second before he looked up and saw her .
38,a full six inches,a full six inch,"Bihydrant said , "" Our leader is a full six inch ."
39,an extra fifteen minutes,an extra fifteen minute,"I was still one block away from home , but I needed the diversion , even though it meant me walking an extra fifteen minute ."
40,an additional thirty minutes,an additional thirty minute,""" We 'll wait for an additional thirty minute , "" Dad chipped in . """
41,a full two hours,a full two hour,It takes me a full two hour to reach the closest border in Ealing Zone .
42,a further five groups,a further five group,"The head Guardian , a stocky man with a colossal moustache and a scratchy voice , splits us into a further five group — one for east , west , south , north , and the centre of the zone ."
43,a searing ninety degrees,a searing ninety degree,"Mrs. Poston 's apartment was neat and clean , not a speck of dust anywhere , and it felt like the thermostat was set to a searing ninety degree . """
44,a few hundred dollars,a few hundred dollar,Aja had gotten a few hundred dollar from some scholarships she 'd applied for .
45,a hard two years,a hard two year,It 's been a hard two year .
46,an additional three months,an additional three month,"It took an additional three month , but day by day she began to regain her strength ."
47,an additional 20 minutes,an additional 20 minute,I spent an additional 20 minute emailing attachments to everyone so they 'd have them first thing in the morning .
48,a good 100 meters,a good 100 meter,It was a good 100 meter to the gate and they both silently prayed that the guard towers were indeed empty .
49,a few hundred beats,a few hundred beat,"Finally , when his heart had hammered a few hundred beat , he risked opening his eyes ."
50,a few hundred yards,a few hundred yard,"The river turned south again , allowing Dodge a chance to gain a few hundred yard by cutting the corner above the Dahlgren US Naval Proving Grounds ."
51,a good eight feet,a good eight foot,The ground was a good eight foot below the dangling soles of her shoes .
52,a couple thousand miles,a couple thousand mile,"The fellows we , ah , questioned told us that they only went as far as a base camp on a bleak little lump of rock called Flat Island , a couple thousand mile to the south in the middle of the Indian Ocean ."
53,a solid four to five inches,a solid four to five inch,"Indeed , not as instinctively spoken to the driver on his ' left ' side placing myself neatly in the middle of his back with the two fired shots fired from his pistol held under his right elbow missing me by a solid four to five inch ."
54,a good four inches,a good four inch,"You got them turned up a good four inch at the bottom . """
55,a few thousand years,a few thousand year,Maybe it was different a few thousand year ago .
56,a few hundred years,a few hundred year,"If a country can learn to make adjustments on an on - going basis , it 's got a good chance of survival for at least a few hundred year ."
57,a mere ten minutes,a mere ten minute,Carter Champion was born a mere ten minute before her but always – through words and deeds – assumed the older brother role .
58,a few thousand feet,a few thousand foot,"As I stared , I realized I was looking at a city as though a few thousand foot above it ."
59,a few hundred feet,a few hundred foot,"Now , with each drop of the cage , it catapulted a few hundred foot closer ."
60,a few hundred feet,a few hundred foot,Tee 's tires slipped and popped on loose rock as we advanced a few hundred foot uphill on Shastina .
61,a good fifteen minutes,a good fifteen minute,We were silent for a good fifteen minute before he actually spoke .
62,a whopping thirteen bowls,a whopping thirteen bowl,"They 'd only been at Ichiraku Ramen for twenty minutes , and Naruto had somehow managed to put away a whopping thirteen bowl of noodles !"
63,a short four paragraphs,a short four paragraph,The same boy that everyone called ' dead - last ' and ' idiot ' had practically defined her in a short four paragraph .
64,a good five minutes,a good five minute,"For a good five minute , neither of them moved ."
65,a long three days,a long three day,It was going to be a long three day .
66,a brief two seconds,a brief two second,"Their eyes met for a brief two second , long enough for a silent understanding to pass between them ."
67,a long three years,a long three year,It was going to be a long three year .
68,a few hundred years,a few hundred year,How is she outrunning me when I am at least a few hundred year younger .
69,a few hundred people,a few hundred person,There had to be a few hundred person on the list .
70,an electric 15 amps,an electric 15 amp,"We needed a few extra items ; towing mirrors , a water hose and fittings , a sullage hose , an electric 15 amp power lead , and D shackles for the towing chains ."
71,a very busy three hours,a very busy three hour,It was a very busy three hour !
72,a spare 8 watts,a spare 8 watt,I bought a spare 8 watt neon tube for our camping lantern .
73,a staggering 20 times,a staggering 20 time,And rise they did — by a staggering 20 time their original value during January 1637 .
74,a good fifty pounds,a good fifty pound,"Similar in height , he outweighed Sykes by a good fifty pound , mostly the result of the raspberry Danishes he seemed to vacuum up every morning ."
75,a good five feet,a good five foot,"The thing was a good five foot on a side , covered in a heavy blanket , like most of the furniture downstairs ."
76,a few hundred yards,a few hundred yard,Last weekend she 'd made Onion tote their heavy cooler all the way back to the car twice after she 'd got to the top of the dune and seen other people within a few hundred yard of open beach .
77,a few hundred yards,a few hundred yard,"But as if fate chose not to let Brooke shrug off her obligations so conveniently , a Navy fighter jet roared out of the south , its rumble audible seconds before is silver skin came visible a few hundred yard offshore and not twenty feet above the waves ."
78,an obviously long two seconds,an obviously long two second,""" Um , well , it 's great to meet you , Lucien , "" Chandler managed to stammer after an obviously long two second . """
79,a good two hours,a good two hour,That part of the trip lasted a good two hour .
80,a good four hours,a good four hour,"Well , perhaps he could do it in that time , but I had my doubts and rightly so : it would take me a good four hour with many stops , David patiently waiting for me along the way ."
81,a few hundred feet,a few hundred foot,"And a few hundred foot away , straight toward us rushes the spectator fleet , a huge coastguard cutter in the lead , whence comes a disincarnated voice : "" Trimaran ahoy !"
82,a good ten feet,a good ten foot,"It seemed the other students passing through the hall knew not to get involved , because even though a good ten foot separated them , no one passed through the area between ."
83,a few thousand years,a few thousand year,Funny what difference a few thousand year made .
84,a good six feet,a good six foot,"It was spacious back there , with only a single bench seat , leaving a good six foot of open floor ."
85,a balmy forty degrees,a balmy forty degree,"The cold snap had finally broken , the temperature outside a balmy forty degree ."
86,a good five seconds,a good five second,"She tried it again , this time not sucking in so hard , and she was able to hold the smoke in for a good five second before coughing again ."
87,an extra fifty bucks,an extra fifty buck,I told the guy there was an extra fifty buck in it for him if he did a lax job .
88,a measly five minutes,a measly five minute,""" You expect me to explain to you how the world is going to end in a measly five minute ? """
89,a half million guys,a half million guy,""" It might not be so bad ; there 're a half million guy waiting for you to emerge from the mist and anoint him as your chosen one ."
90,a solid hundred acres,a solid hundred acre,""" He is my neighbor , even if we are separated by a solid hundred acre , and he is Byran 's best friend ."
91,a few hundred feet,a few hundred foot,"Derrick waited alongside , both gasping with laughter until the carriage was a few hundred foot ahead ."
92,a mere three years,a mere three year,"Or were you thinking of sending notes to all of parliament advising them that the marriage is against the rules and , since the wedding will take place before fall session , the popular captain who helped save Europe a mere three year ago should be punished for disobedience ? """
93,a good twenty feet,a good twenty foot,She scrambles up until she 's a good twenty foot above the ground .
94,a full ten minutes,a full ten minute,"She takes a shower , washes her hair and lather 's it in conditioner , leaving it on for a full ten minute before I allow her to rinse it ."
95,a mere 36 miles,a mere 36 mile,"Unlike all the corporate locations , The Good Ship was a mere 36 mile from her parents and family ."
96,a mere two days,a mere two day,Her incredible tightness reminded him that a mere two day ago Ellen was a virgin .
97,a standard eight dollars,a standard eight dollar,"It 's a standard eight dollar and hour across the board but it could help with downtime until we reopen , "" Kim said , pointing to a group of servers sweeping up saw dust ."
98,a several thousand dollars,a several thousand dollar,There is a several thousand dollar in high quality products in here .
99,a good 30 yards,a good 30 yard,"Emily and Thaddeus trailed their boy by a good 30 yard and were headed off by Sharon and Garrison once they reached the field , leaving Andrew to deal with the main source of evil all by himself – seemingly , another part of Hartwell 's plan ."
100,a good five minutes,a good five minute,His eyes were closed for a good five minute while his body underwent extensive repair .
101,an additional thirteen verses,an additional thirteen verse,"The genealogy continues exactly like this for an additional thirteen verse , hardly the most compelling way to open the greatest story ever told ."
102,a few hundred years,a few hundred year,He 's been studying uniques for a few hundred year now .
103,an extra five to ten minutes,an extra five to ten minute,"There was n't a second place finisher anywhere in sight , even standing around for an extra five to ten minute as the crowd calmed ."
104,a scary fifteen minutes,a scary fifteen minute,"That was a scary fifteen minute for him , and it 's definitely not something I want to witness again . """
105,a couple hundred degrees,a couple hundred degree,"Picture fire around you and try to raise your temperature to a couple hundred degree , "" he instructed ."
106,a good twenty feet,a good twenty foot,"Fraser looked back at me , still standing there a good twenty foot behind him ... looked at me with eyes that said , "" Help . """
107,a good fifteen seconds,a good fifteen second,"I waited a good fifteen second for him to drop dead and when he did n't I lied . """
108,a few hundred yards,a few hundred yard,"Up the road , a few hundred yard or so , the highway glowed red ."
109,a few hundred dollars,a few hundred dollar,"Before he left , he filled an envelope with a few hundred dollar and taped it to the underside of the desk in the cafe ."
110,a few thousand dollars,a few thousand dollar,"He sent a few thousand dollar up to Candy for her bus ticket and some new clothes , and the rest he left for us to use in the future ."
