idx,good,order_swap,no_article,no_modifier,noun_number
1,-6.281309604644775,-7.440671443939209,-7.20819091796875,-7.699188232421875,-7.583367824554443
2,-7.378182888031006,-9.774170875549316,-7.77969217300415,-9.62308120727539,-8.305290222167969
3,-6.607858657836914,-8.412172317504883,-9.537161827087402,-8.753517150878906,-6.786945343017578
4,-8.786103248596191,-9.719512939453125,-10.37448501586914,-8.090898513793945,-8.53882122039795
5,-8.088088035583496,-9.623675346374512,-11.446578025817871,-9.120609283447266,-7.911913871765137
6,-5.231357574462891,-6.419394493103027,-6.3723907470703125,-5.078140735626221,-5.010789394378662
7,-6.759687900543213,-9.359435081481934,-8.958784103393555,-7.452726364135742,-7.066368103027344
8,-8.575913429260254,-10.663554191589355,-12.337081909179688,-7.39384651184082,-9.154778480529785
9,-4.778583526611328,-8.352543830871582,-8.336387634277344,-7.243721008300781,-6.7599639892578125
10,-6.410196304321289,-8.329144477844238,-7.955081939697266,-7.452726364135742,-6.96729850769043
11,-6.610637664794922,-8.32947063446045,-6.371588230133057,-8.274162292480469,-8.334128379821777
12,-9.2224702835083,-9.270588874816895,-9.277618408203125,-8.930410385131836,-10.107987403869629
13,-6.881777286529541,-8.953018188476562,-8.500656127929688,-8.93411636352539,-7.800212860107422
14,-4.778583526611328,-8.352543830871582,-8.336387634277344,-7.243721008300781,-6.7599639892578125
15,-6.423797607421875,-7.728067874908447,-8.849876403808594,-7.226152420043945,-7.276669979095459
16,-6.743494510650635,-8.729914665222168,-8.499452590942383,-9.141550064086914,-7.841786861419678
17,-8.561339378356934,-10.254298210144043,-8.66031265258789,-9.241899490356445,-8.437617301940918
18,-4.638820648193359,-7.83342981338501,-7.614328861236572,-7.069597244262695,-6.429740905761719
19,-8.551888465881348,-9.764739990234375,-4.788274765014648,-9.068359375,-8.64019775390625
20,-7.7260894775390625,-9.885616302490234,-8.045289039611816,-10.357398986816406,-9.142448425292969
21,-7.7260894775390625,-9.885616302490234,-8.045289039611816,-10.357398986816406,-9.142448425292969
22,-5.980403900146484,-6.890071868896484,-5.491790771484375,-7.667766571044922,-7.203028202056885
23,-6.324667453765869,-8.4368314743042,-8.699363708496094,-8.269193649291992,-7.670230865478516
24,-7.489959716796875,-8.426030158996582,-6.727024078369141,-9.01585578918457,-8.788701057434082
25,-6.643007755279541,-9.056061744689941,-8.11105728149414,-9.064865112304688,-7.090662479400635
26,-5.476558685302734,-7.713338375091553,-6.890033721923828,-7.779838562011719,-6.71216344833374
27,-6.413890838623047,-9.794507026672363,-11.521049499511719,-7.776126861572266,-7.467421054840088
28,-5.98248291015625,-7.122514247894287,-6.12547492980957,-7.173158645629883,-7.3648200035095215
29,-7.00259256362915,-8.242873191833496,-8.151460647583008,-7.715326309204102,-8.253471374511719
30,-7.338858127593994,-8.715530395507812,-8.465547561645508,-7.972667694091797,-8.282240867614746
31,-5.133960723876953,-5.928725242614746,-6.032319068908691,-4.250048637390137,-5.606118202209473
32,-6.566692352294922,-7.736606597900391,-7.4982781410217285,-7.051753997802734,-6.290855407714844
33,-8.291886329650879,-7.7442803382873535,-6.790679931640625,-9.09170150756836,-7.964331150054932
34,-6.89642333984375,-9.566985130310059,-8.262829780578613,-8.71738052368164,-8.449912071228027
35,-6.055677890777588,-8.267168998718262,-8.141584396362305,-8.269193649291992,-7.02466344833374
36,-8.20091724395752,-8.668675422668457,-8.899252891540527,-6.89628791809082,-9.484390258789062
37,-6.474450588226318,-8.086136817932129,-7.413444519042969,-8.67137336730957,-7.614476680755615
38,-6.493677616119385,-8.958325386047363,-8.65727424621582,-8.84327507019043,-7.4945220947265625
39,-7.464906215667725,-9.087574005126953,-3.8669674396514893,-8.820287704467773,-9.057456016540527
40,-7.863501071929932,-9.576241493225098,-7.864756107330322,-8.946952819824219,-9.064209938049316
41,-5.69058084487915,-7.437442779541016,-6.565544128417969,-7.978874206542969,-6.9666924476623535
42,-7.760504245758057,-9.933422088623047,-9.031049728393555,-10.585733413696289,-8.712965965270996
43,-7.7897114753723145,-10.197010040283203,-7.2708330154418945,-10.322948455810547,-8.097599983215332
44,-4.337100982666016,-8.060249328613281,-8.046368598937988,-6.89628791809082,-5.908753871917725
45,-6.69464635848999,-8.339337348937988,-7.420989990234375,-7.173158645629883,-7.445854187011719
46,-6.87517786026001,-8.175617218017578,-7.228767395019531,-7.360446929931641,-8.166125297546387
47,-7.037550449371338,-8.580180168151855,-7.9996337890625,-7.802486419677734,-8.390942573547363
48,-7.315998077392578,-9.195279121398926,-9.742292404174805,-7.871274948120117,-8.43945026397705
49,-6.790284633636475,-9.540743827819824,-9.345515251159668,-9.912214279174805,-7.292910099029541
50,-4.778583526611328,-8.352543830871582,-8.336387634277344,-7.243721008300781,-6.7599639892578125
51,-7.4822869300842285,-9.874866485595703,-8.285881042480469,-10.116369247436523,-8.040550231933594
52,-5.747509002685547,-9.010205268859863,-9.338275909423828,-6.074413299560547,-7.377010345458984
53,-5.403575897216797,-6.429985046386719,-6.206284523010254,-5.834752082824707,-5.766730308532715
54,-7.053712368011475,-9.277934074401855,-8.80516242980957,-9.33645248413086,-7.785996913909912
55,-5.160259246826172,-7.25702428817749,-7.34656286239624,-5.475881576538086,-6.362084865570068
56,-4.735128879547119,-7.481821537017822,-7.489604949951172,-6.016483306884766,-6.20852518081665
57,-5.803243160247803,-8.8761568069458,-8.32750129699707,-8.269193649291992,-6.899534702301025
58,-5.535069942474365,-8.145057678222656,-8.223602294921875,-6.756904602050781,-6.463799953460693
59,-4.7316741943359375,-8.36668872833252,-8.170430183410645,-7.1805877685546875,-5.866556644439697
60,-4.7316741943359375,-8.36668872833252,-8.170430183410645,-7.1805877685546875,-5.866556644439697
61,-6.695127964019775,-9.345887184143066,-4.501626491546631,-8.652925491333008,-8.430572509765625
62,-10.492941856384277,-12.036507606506348,-10.329068183898926,-13.105121612548828,-10.860116004943848
63,-8.513294219970703,-8.717228889465332,-6.817609786987305,-10.430488586425781,-8.12053394317627
64,-6.068431854248047,-8.216771125793457,-7.321575164794922,-7.779838562011719,-7.454978942871094
65,-6.701442718505859,-7.9636712074279785,-6.655246734619141,-7.667766571044922,-7.093892574310303
66,-7.446986675262451,-8.462933540344238,-8.197534561157227,-8.497224807739258,-8.034761428833008
67,-6.331289768218994,-7.384580135345459,-6.275455474853516,-7.29852294921875,-6.791112422943115
68,-4.735128879547119,-7.481821537017822,-7.489604949951172,-6.016483306884766,-6.20852518081665
69,-4.638820648193359,-7.83342981338501,-7.614328861236572,-7.069597244262695,-6.429740905761719
70,-10.43703842163086,-10.683863639831543,-11.404655456542969,-10.9447021484375,-9.572173118591309
71,-6.334489822387695,-7.409701347351074,-6.856986999511719,-8.280214309692383,-6.76744270324707
72,-10.688892364501953,-10.705883026123047,-12.459644317626953,-10.208320617675781,-10.252056121826172
73,-7.130354404449463,-9.6437406539917,-11.215484619140625,-7.7399139404296875,-8.850574493408203
74,-7.6648430824279785,-9.915764808654785,-8.916985511779785,-9.486030578613281,-8.892380714416504
75,-6.918809413909912,-8.893465995788574,-8.111431121826172,-8.756891250610352,-7.45944356918335
76,-4.778583526611328,-8.352543830871582,-8.336387634277344,-7.243721008300781,-6.7599639892578125
77,-4.778583526611328,-8.352543830871582,-8.336387634277344,-7.243721008300781,-6.7599639892578125
78,-9.078751564025879,-9.292349815368652,-9.787785530090332,-7.877067565917969,-9.693511009216309
79,-6.274000644683838,-7.887762546539307,-7.195728302001953,-7.978874206542969,-7.239610195159912
80,-6.60161828994751,-8.308506965637207,-7.458429336547852,-8.511079788208008,-7.494497776031494
81,-4.7316741943359375,-8.36668872833252,-8.170430183410645,-7.1805877685546875,-5.866556644439697
82,-7.098916530609131,-8.93747615814209,-9.323677062988281,-9.277168273925781,-7.801509857177734
83,-5.160259246826172,-7.25702428817749,-7.34656286239624,-5.475881576538086,-6.362084865570068
84,-6.904747009277344,-9.03548526763916,-8.55617904663086,-8.662750244140625,-7.432305812835693
85,-6.761707305908203,-9.5084228515625,-6.67460823059082,-10.309913635253906,-7.034768104553223
86,-6.749566555023193,-8.775199890136719,-7.970928192138672,-8.718017578125,-8.021430015563965
87,-8.250590324401855,-10.196796417236328,-8.398245811462402,-10.753114700317383,-10.105403900146484
88,-5.061723709106445,-6.859935760498047,-5.880281925201416,-7.779838562011719,-6.168096542358398
89,-8.026471138000488,-9.778392791748047,-11.151101112365723,-8.415782928466797,-8.753399848937988
90,-8.94699764251709,-8.164410591125488,-8.764098167419434,-7.908145904541016,-9.385178565979004
91,-4.7316741943359375,-8.36668872833252,-8.170430183410645,-7.1805877685546875,-5.866556644439697
92,-5.519186496734619,-8.419537544250488,-8.090311050415039,-7.29852294921875,-6.996578216552734
93,-7.378182888031006,-9.774170875549316,-7.77969217300415,-9.62308120727539,-8.305290222167969
94,-6.055677890777588,-8.267168998718262,-8.141584396362305,-8.269193649291992,-7.02466344833374
95,-7.01636266708374,-9.5352201461792,-10.14266586303711,-8.679206848144531,-8.60058307647705
96,-5.515743255615234,-7.9746880531311035,-7.314558029174805,-7.698503494262695,-7.069128513336182
97,-8.941192626953125,-11.159283638000488,-10.570793151855469,-11.240707397460938,-8.381455421447754
98,-5.645605564117432,-8.198814392089844,-8.707985877990723,-6.290836334228516,-6.495568752288818
99,-7.1099419593811035,-8.83395767211914,-9.741878509521484,-8.197412490844727,-8.294411659240723
100,-6.068431854248047,-8.216771125793457,-7.321575164794922,-7.779838562011719,-7.454978942871094
101,-10.146636962890625,-10.463480949401855,-8.5327787399292,-12.191495895385742,-11.221366882324219
102,-4.735128879547119,-7.481821537017822,-7.489604949951172,-6.016483306884766,-6.20852518081665
103,-5.2516608238220215,-5.867979526519775,-5.133842468261719,-5.268708229064941,-6.250569820404053
104,-8.104961395263672,-10.891998291015625,-5.896276950836182,-8.652925491333008,-9.032901763916016
