idx,good,order_swap,no_article,no_modifier,noun_number
1,-3.916001558303833,-4.1851654052734375,-4.077582836151123,-4.068699836730957,-4.22231388092041
2,-4.029623031616211,-4.386529922485352,-4.298515319824219,-4.18979024887085,-4.160851001739502
3,-3.390340566635132,-4.2337422370910645,-3.982252836227417,-4.123000144958496,-3.5832080841064453
4,-4.53436803817749,-4.686140537261963,-4.619341850280762,-4.551774978637695,-4.605412483215332
5,-5.15634822845459,-5.776879787445068,-5.613053321838379,-5.729971885681152,-5.367667198181152
6,-4.594724655151367,-4.734323978424072,-4.745151519775391,-4.6948394775390625,-4.659343242645264
7,-3.7494795322418213,-4.016697406768799,-3.995311975479126,-3.8656668663024902,-3.8611528873443604
8,-5.066647529602051,-5.257884979248047,-5.268531799316406,-5.03645133972168,-5.176621913909912
9,-4.610886096954346,-4.992313861846924,-5.22917366027832,-4.79732608795166,-4.862829208374023
10,-4.833725452423096,-5.513517379760742,-5.353437423706055,-5.555981636047363,-5.395455837249756
11,-3.9312500953674316,-4.601958274841309,-4.407454967498779,-4.210752010345459,-4.224602222442627
12,-4.61665153503418,-4.837366104125977,-4.842311382293701,-4.338380813598633,-5.408084392547607
13,-5.918003559112549,-6.34834623336792,-6.3432087898254395,-6.31117582321167,-6.177516937255859
14,-4.716986656188965,-5.320439338684082,-5.8322978019714355,-4.961086273193359,-5.224208831787109
15,-3.4111640453338623,-4.291889190673828,-4.182187080383301,-4.018434047698975,-3.9963793754577637
16,-3.7944798469543457,-4.0759992599487305,-4.1205830574035645,-4.12136173248291,-4.009788513183594
17,-3.507176399230957,-3.8738298416137695,-3.9987804889678955,-3.6579978466033936,-3.661264181137085
18,-4.168089389801025,-4.711308479309082,-5.028684139251709,-4.403613567352295,-4.642621040344238
19,-3.6116039752960205,-3.9217398166656494,-3.6770057678222656,-3.802884101867676,-3.7414145469665527
20,-5.369414329528809,-5.968276023864746,-5.973074913024902,-5.76729679107666,-5.736249923706055
21,-5.542788505554199,-6.207856178283691,-6.027825355529785,-6.023099899291992,-6.046953201293945
22,-4.770702362060547,-4.7245917320251465,-4.839931488037109,-4.730928897857666,-4.773930072784424
23,-4.412015914916992,-4.782923221588135,-4.86984920501709,-4.666819095611572,-4.542800426483154
24,-4.789730072021484,-5.490403652191162,-5.228421211242676,-5.409603595733643,-5.11961030960083
25,-5.53540563583374,-5.949608325958252,-5.859940528869629,-5.92598295211792,-5.742513656616211
26,-4.026562690734863,-4.290563106536865,-4.183703899383545,-4.2094316482543945,-4.247994422912598
27,-3.709942102432251,-4.344465732574463,-4.346781253814697,-4.028907775878906,-4.015064239501953
28,-3.8416666984558105,-4.0797929763793945,-3.8627679347991943,-3.9470717906951904,-4.16746711730957
29,-3.529670238494873,-4.7693963050842285,-4.09647798538208,-4.943094730377197,-4.01202917098999
30,-2.761937141418457,-3.9463627338409424,-3.3410446643829346,-3.869149684906006,-3.0723421573638916
31,-3.957669496536255,-4.272953510284424,-4.115417003631592,-4.17376184463501,-4.159952640533447
32,-4.3608832359313965,-4.539199352264404,-4.494594097137451,-4.445494174957275,-4.31397008895874
33,-3.7103707790374756,-3.6724910736083984,-3.681271553039551,-3.721184730529785,-3.779278516769409
34,-3.297952175140381,-4.187538146972656,-3.896583080291748,-4.126707077026367,-4.09062385559082
35,-4.53292179107666,-4.775145530700684,-4.712586879730225,-4.77349853515625,-4.7100372314453125
36,-4.45751953125,-4.548260688781738,-4.752636432647705,-4.329736232757568,-4.597882270812988
37,-3.3483402729034424,-3.7799646854400635,-3.6656723022460938,-4.0207109451293945,-4.329134464263916
38,-6.320305347442627,-6.848309516906738,-6.90578556060791,-6.578032970428467,-6.493489742279053
39,-3.8842933177948,-4.535043716430664,-4.212663173675537,-4.463074207305908,-4.199783802032471
40,-4.671826362609863,-5.419677734375,-5.129422187805176,-5.266755104064941,-5.2219929695129395
41,-4.8540802001953125,-5.391049385070801,-5.225435256958008,-5.3387885093688965,-5.388471603393555
42,-3.8084001541137695,-3.923725128173828,-3.844709873199463,-3.9002273082733154,-3.9789373874664307
43,-3.38333797454834,-3.7222652435302734,-3.5430245399475098,-3.410102367401123,-3.4864869117736816
44,-5.017257213592529,-5.955197334289551,-6.606081485748291,-5.54434061050415,-5.565185070037842
45,-4.222515106201172,-5.318645000457764,-5.147669315338135,-5.259100914001465,-5.130493640899658
46,-3.6766741275787354,-4.491928577423096,-3.8562684059143066,-4.34541654586792,-4.1163740158081055
47,-4.871858596801758,-5.51774263381958,-5.244068622589111,-5.322129249572754,-5.150660991668701
48,-4.8906683921813965,-5.379663467407227,-5.451524257659912,-5.154452323913574,-5.354602813720703
49,-4.709487438201904,-5.226390838623047,-5.934184551239014,-4.9773736000061035,-4.992569446563721
50,-5.072352886199951,-5.545322895050049,-5.812430381774902,-5.253730773925781,-5.305029392242432
51,-4.237937927246094,-5.3493428230285645,-4.999378681182861,-5.072867393493652,-4.729929447174072
52,-3.9525794982910156,-4.133913993835449,-4.348784446716309,-3.8772969245910645,-4.111701011657715
53,-4.791889667510986,-5.033980369567871,-5.02131462097168,-4.8973708152771,-4.900120735168457
54,-4.743178367614746,-5.651150703430176,-5.468618392944336,-5.324896335601807,-5.064925193786621
55,-3.5994350910186768,-4.625338077545166,-5.385550022125244,-3.7536048889160156,-4.284860610961914
56,-3.8471224308013916,-4.279168128967285,-4.531155109405518,-3.9795124530792236,-4.075887203216553
57,-5.059113025665283,-5.527602195739746,-5.604856014251709,-5.3825764656066895,-5.477779865264893
58,-3.861166477203369,-4.311483860015869,-4.768460750579834,-3.919504165649414,-4.306065082550049
59,-4.897798538208008,-5.318071365356445,-5.979604244232178,-5.160432815551758,-5.2090229988098145
60,-4.99655818939209,-5.64049768447876,-6.056522846221924,-5.30695915222168,-5.2517194747924805
61,-3.8320415019989014,-5.077395915985107,-4.8298115730285645,-4.664037227630615,-4.427737712860107
62,-4.437657833099365,-4.876716136932373,-4.697770118713379,-4.7668352127075195,-4.596958637237549
63,-5.794742584228516,-5.9285969734191895,-5.7793049812316895,-6.092944622039795,-6.020724773406982
64,-4.5812482833862305,-5.556338787078857,-5.509256839752197,-5.327365875244141,-5.657752513885498
65,-3.195315361022949,-4.08923864364624,-3.8926379680633545,-3.804063558578491,-3.89192795753479
66,-3.5529754161834717,-3.9006989002227783,-3.607356071472168,-3.78149151802063,-3.780909538269043
67,-3.196096420288086,-4.119516372680664,-3.8443267345428467,-3.901036024093628,-4.037398338317871
68,-4.2317280769348145,-4.7631306648254395,-5.406585693359375,-4.261136054992676,-4.693795204162598
69,-3.673614263534546,-4.486941814422607,-5.212906837463379,-3.8855767250061035,-4.186917304992676
70,-4.961855888366699,-5.2506232261657715,-5.200240612030029,-5.027289390563965,-4.8639678955078125
71,-4.816035747528076,-5.986328125,-6.136743068695068,-6.6343231201171875,-5.917737007141113
72,-6.157281398773193,-6.647022724151611,-7.28196907043457,-6.335296154022217,-5.749522686004639
73,-5.82915735244751,-6.717038154602051,-6.610143661499023,-6.359170913696289,-6.227024555206299
74,-4.769272327423096,-5.240170478820801,-5.146140098571777,-5.034730434417725,-5.054899215698242
75,-4.334094524383545,-4.947808265686035,-5.0229573249816895,-4.543256759643555,-4.620363712310791
76,-4.830114364624023,-5.113936901092529,-5.2345662117004395,-4.943909645080566,-4.96469259262085
77,-5.054810047149658,-5.337699890136719,-5.4851393699646,-5.152216911315918,-5.186100006103516
78,-4.547975540161133,-4.886892795562744,-4.667778491973877,-4.645124912261963,-4.824428558349609
79,-4.393159866333008,-5.766655921936035,-5.378408432006836,-5.453628063201904,-5.100283622741699
80,-4.039466381072998,-4.312948703765869,-4.204390525817871,-4.217157363891602,-4.196081638336182
81,-5.213205337524414,-5.513268947601318,-5.79384708404541,-5.442187786102295,-5.438346862792969
82,-4.284064769744873,-4.66317081451416,-4.586552619934082,-4.5644917488098145,-4.591935157775879
83,-4.982425212860107,-5.822350978851318,-7.699387073516846,-5.278357982635498,-6.130190372467041
84,-4.749880313873291,-5.097806930541992,-5.142032623291016,-5.01094913482666,-5.0943427085876465
85,-5.117030620574951,-6.125936985015869,-5.718607425689697,-5.9838056564331055,-5.417165279388428
86,-3.3813931941986084,-3.831717014312744,-3.6931862831115723,-3.6953744888305664,-3.6289823055267334
87,-4.027319431304932,-4.7042951583862305,-4.497028350830078,-4.659657001495361,-4.4356608390808105
88,-3.291043758392334,-3.660215139389038,-3.3758599758148193,-3.5239906311035156,-3.7903976440429688
89,-4.3112053871154785,-4.4521942138671875,-4.700674533843994,-4.247922420501709,-4.394744873046875
90,-4.170116901397705,-4.1565093994140625,-4.506868362426758,-3.9111905097961426,-4.435132026672363
91,-5.345302581787109,-6.020293235778809,-6.512526512145996,-5.685405731201172,-5.733331680297852
92,-4.715737342834473,-4.945284366607666,-4.872447967529297,-4.806385040283203,-4.824743270874023
93,-4.085969924926758,-5.171871662139893,-5.07061767578125,-4.640345096588135,-4.465119361877441
94,-3.4134552478790283,-3.6593358516693115,-3.5715205669403076,-3.6021909713745117,-3.5834758281707764
95,-5.142755031585693,-5.83046293258667,-5.885321617126465,-5.791465759277344,-5.533000946044922
96,-5.185946464538574,-5.887293338775635,-5.667330741882324,-5.800212383270264,-5.618987083435059
97,-5.207113265991211,-5.492530822753906,-5.460371017456055,-5.405610084533691,-5.209774017333984
98,-4.739343643188477,-5.612120151519775,-6.3191447257995605,-4.91065788269043,-4.946224689483643
99,-4.817752361297607,-5.130537033081055,-5.078598976135254,-5.050195217132568,-4.965192794799805
100,-3.897981882095337,-4.748441696166992,-4.4817047119140625,-4.339245796203613,-4.310317516326904
101,-4.868602275848389,-5.502109527587891,-5.187714576721191,-5.456632137298584,-5.063320159912109
102,-4.55360746383667,-5.3318281173706055,-5.949568271636963,-4.787204265594482,-5.0676350593566895
103,-4.476880073547363,-4.948882102966309,-4.6861491203308105,-4.818122863769531,-4.673328399658203
104,-3.6419920921325684,-4.10728645324707,-4.053232669830322,-4.026833534240723,-4.1010284423828125
105,-4.89211893081665,-5.506913185119629,-5.7464752197265625,-5.0413899421691895,-5.166945457458496
106,-3.902195453643799,-4.420272350311279,-4.282996654510498,-4.272653579711914,-4.115495204925537
107,-4.171195030212402,-4.870318412780762,-4.669244289398193,-4.602276802062988,-4.460747718811035
108,-4.124544143676758,-4.928109645843506,-5.438543796539307,-4.467615604400635,-4.596436977386475
109,-3.1605193614959717,-3.695197105407715,-3.872269630432129,-3.375628709793091,-3.5503554344177246
110,-3.989159345626831,-4.365810871124268,-4.75763463973999,-4.228818893432617,-4.239935874938965
111,-3.133228063583374,-3.356424331665039,-3.4799275398254395,-3.2409520149230957,-3.299179792404175
112,-4.8066534996032715,-4.905889987945557,-5.0424675941467285,-4.8615593910217285,-4.8645524978637695
113,-4.989309310913086,-6.428668022155762,-6.020689487457275,-6.510980129241943,-5.596785068511963
114,-4.864274024963379,-5.8844218254089355,-5.887660026550293,-5.4866862297058105,-5.44280481338501
115,-3.9629786014556885,-4.422606468200684,-4.635009765625,-4.175679683685303,-4.231739521026611
116,-3.9370646476745605,-4.450101852416992,-4.430773735046387,-4.095398902893066,-4.130198955535889
117,-3.743553876876831,-4.557905673980713,-4.910177707672119,-4.120701313018799,-4.14386510848999
118,-4.188663005828857,-4.360279083251953,-4.232474327087402,-4.293558597564697,-4.491293907165527
119,-4.9062933921813965,-5.510307788848877,-5.460084915161133,-5.158767223358154,-5.030477523803711
120,-3.9560413360595703,-4.201749801635742,-4.455804824829102,-4.018893718719482,-4.204771995544434
121,-4.304525852203369,-4.6463470458984375,-5.006016254425049,-4.523707389831543,-4.597246170043945
122,-4.741546154022217,-5.268355369567871,-4.999375820159912,-4.937496185302734,-4.876648902893066
123,-4.375065326690674,-5.073588848114014,-4.950514793395996,-4.979779243469238,-5.475977420806885
124,-3.4922056198120117,-3.7943923473358154,-3.9560959339141846,-3.5459506511688232,-3.701284408569336
125,-4.919600486755371,-6.1741437911987305,-7.160612106323242,-5.663002967834473,-5.639092922210693
126,-4.281418800354004,-5.367462635040283,-4.740403652191162,-5.259140968322754,-4.697015285491943
127,-4.052626609802246,-5.280802249908447,-4.718453884124756,-5.456295490264893,-5.31207275390625
128,-5.581353187561035,-6.722686767578125,-6.676905632019043,-6.471136569976807,-6.123706340789795
129,-4.211358070373535,-4.7331223487854,-4.723200798034668,-4.4993414878845215,-4.679420471191406
130,-4.705604076385498,-5.657477378845215,-5.436280250549316,-5.576900959014893,-5.109689235687256
131,-4.546997547149658,-5.26409912109375,-5.789960861206055,-4.857676982879639,-4.8916850090026855
132,-4.622198104858398,-5.7890448570251465,-5.331164836883545,-6.053086280822754,-5.056975841522217
133,-4.342971324920654,-4.654118061065674,-4.573298931121826,-4.523890972137451,-4.572852611541748
134,-4.678797245025635,-5.024146556854248,-4.959426403045654,-4.902697563171387,-4.8110880851745605
135,-5.250985145568848,-5.695549488067627,-5.628572463989258,-5.7096099853515625,-5.773295879364014
136,-3.3694961071014404,-3.726915121078491,-3.5794472694396973,-3.5905988216400146,-3.4780309200286865
137,-5.063906192779541,-6.365537643432617,-6.59607458114624,-6.23023796081543,-6.040700435638428
138,-4.437716960906982,-6.063968181610107,-6.914133548736572,-5.350195407867432,-5.034788608551025
139,-3.624237060546875,-4.0220537185668945,-3.869349241256714,-3.786405563354492,-3.761794328689575
140,-5.484059810638428,-6.03302526473999,-5.998610973358154,-6.02587366104126,-5.903467655181885
141,-3.9175050258636475,-4.332671642303467,-4.270902156829834,-4.420591354370117,-4.166604042053223
142,-4.252683162689209,-4.819753170013428,-4.532677173614502,-4.836745262145996,-4.4931321144104
143,-4.284632205963135,-5.959072113037109,-5.607552528381348,-5.9441375732421875,-5.290110111236572
144,-4.7855377197265625,-5.2950520515441895,-4.950119972229004,-5.253625392913818,-5.467644214630127
145,-3.463146924972534,-3.927607297897339,-3.7388556003570557,-3.800889730453491,-3.6321041584014893
146,-4.237485885620117,-4.869884490966797,-4.64731502532959,-4.82203483581543,-4.874715328216553
147,-3.8203201293945312,-4.505834102630615,-4.297961235046387,-4.293861389160156,-4.213602542877197
148,-5.350042343139648,-5.702096939086914,-5.5500969886779785,-5.685046672821045,-5.535327434539795
149,-3.6624369621276855,-4.003916263580322,-3.8626537322998047,-3.8394129276275635,-3.8354923725128174
150,-4.951053619384766,-5.400803089141846,-5.25016450881958,-5.375332355499268,-5.447142124176025
151,-4.4662251472473145,-4.876104831695557,-4.808101654052734,-4.751059055328369,-4.6447367668151855
152,-3.9883921146392822,-4.725557804107666,-4.5370869636535645,-4.458663463592529,-4.308568954467773
153,-4.127056121826172,-4.7965216636657715,-4.683385372161865,-4.478108882904053,-4.416022300720215
154,-4.174711227416992,-4.550029277801514,-4.445650100708008,-4.354765892028809,-4.293125152587891
155,-4.054878234863281,-4.610770225524902,-4.981103420257568,-4.466781139373779,-4.528380393981934
156,-4.1927409172058105,-4.614259243011475,-4.561566352844238,-4.274357318878174,-4.354025363922119
157,-4.0699896812438965,-4.341614723205566,-4.296158790588379,-4.284680366516113,-4.3222808837890625
158,-5.825226783752441,-6.432950973510742,-6.494785308837891,-5.95521354675293,-6.119536399841309
159,-5.18101167678833,-5.641960620880127,-5.964663982391357,-5.377286434173584,-5.395840644836426
160,-4.857706546783447,-5.067129611968994,-4.982061386108398,-4.994781970977783,-4.983570098876953
161,-3.91147518157959,-4.228810787200928,-4.207393169403076,-4.108516693115234,-4.046273708343506
162,-5.8280558586120605,-6.305860996246338,-6.112120151519775,-5.927350997924805,-5.9987473487854
163,-4.032070636749268,-4.466561794281006,-4.80765962600708,-4.06260871887207,-4.321714401245117
164,-4.780264377593994,-5.073871612548828,-5.296967506408691,-4.862062931060791,-4.9810662269592285
165,-4.823227882385254,-5.512321472167969,-5.916345119476318,-5.143121719360352,-5.227648735046387
166,-4.074403285980225,-4.502305507659912,-4.300937652587891,-4.372420787811279,-4.1800031661987305
167,-4.183160305023193,-4.5422163009643555,-4.673340320587158,-4.3171067237854,-4.414220333099365
168,-3.7981576919555664,-4.031693935394287,-4.3631911277771,-3.81307053565979,-4.101285457611084
169,-4.802288055419922,-5.026154041290283,-5.775538444519043,-4.784946441650391,-5.2362589836120605
170,-3.9100310802459717,-4.030337810516357,-4.007711887359619,-3.8375394344329834,-4.075155735015869
171,-4.2741007804870605,-4.5306501388549805,-4.510323524475098,-4.4317426681518555,-4.360246658325195
172,-5.1309967041015625,-5.946778297424316,-5.687409400939941,-5.679473876953125,-5.278076171875
173,-3.7761173248291016,-4.024635314941406,-3.958073377609253,-3.839366912841797,-3.8396902084350586
174,-4.581487655639648,-4.791003227233887,-4.8368964195251465,-4.866272926330566,-4.861712455749512
175,-3.856459856033325,-5.042158126831055,-4.478748798370361,-5.007143974304199,-4.557651042938232
176,-4.20474100112915,-4.483425617218018,-4.429729461669922,-4.347214221954346,-4.396591663360596
