idx,good,order_swap,no_article,no_modifier,noun_number
1,-6.089122295379639,-7.216001510620117,-7.317719459533691,-7.163642883300781,-7.148654460906982
2,-7.501871109008789,-9.256060600280762,-8.654650688171387,-8.722358703613281,-8.109150886535645
3,-7.094118595123291,-7.754014492034912,-8.212298393249512,-8.062915802001953,-7.5846333503723145
4,-8.68571949005127,-9.330641746520996,-10.25732421875,-7.254386901855469,-8.270353317260742
5,-8.125104904174805,-8.999744415283203,-9.319711685180664,-8.766101837158203,-8.28305435180664
6,-4.741085529327393,-6.202347278594971,-6.2617902755737305,-4.775650978088379,-4.606687068939209
7,-6.663602828979492,-7.945672988891602,-8.818155288696289,-6.513097763061523,-7.177494525909424
8,-8.202558517456055,-9.474416732788086,-9.904325485229492,-6.580114364624023,-8.716752052307129
9,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
10,-6.3176188468933105,-7.894646167755127,-7.619514465332031,-6.513097763061523,-6.944727420806885
11,-6.315318584442139,-7.77271842956543,-7.427618026733398,-7.0106658935546875,-7.5441975593566895
12,-8.403215408325195,-8.721699714660645,-8.479440689086914,-7.646198272705078,-9.292424201965332
13,-7.2462544441223145,-8.469659805297852,-8.890961647033691,-7.692644119262695,-8.011116981506348
14,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
15,-6.674987316131592,-7.6220622062683105,-7.868868827819824,-7.140825271606445,-7.326977252960205
16,-6.9252543449401855,-8.220683097839355,-7.934698104858398,-8.708782196044922,-7.847501754760742
17,-8.360383987426758,-9.051450729370117,-8.571332931518555,-7.433572769165039,-8.689996719360352
18,-4.940345287322998,-7.53593635559082,-7.8216423988342285,-7.031742095947266,-6.933887004852295
19,-8.184847831726074,-8.685233116149902,-6.706032752990723,-7.052829742431641,-8.767403602600098
20,-7.655871868133545,-9.384903907775879,-8.828733444213867,-9.54779052734375,-8.714815139770508
21,-7.655871868133545,-9.384903907775879,-8.828733444213867,-9.54779052734375,-8.714815139770508
22,-6.196339130401611,-6.151825428009033,-5.043999671936035,-6.69951057434082,-7.392920970916748
23,-6.159124374389648,-8.071040153503418,-8.833794593811035,-8.256172180175781,-7.522520065307617
24,-6.422276973724365,-7.1529364585876465,-6.800493240356445,-7.140237808227539,-7.714852809906006
25,-7.14872932434082,-7.836989879608154,-7.565406799316406,-7.672174453735352,-7.925574779510498
26,-6.081027507781982,-7.233880996704102,-5.839530944824219,-7.138582229614258,-7.315418720245361
27,-6.753319263458252,-9.293988227844238,-8.562923431396484,-7.184978485107422,-7.600912094116211
28,-6.285589218139648,-6.979903697967529,-6.050405502319336,-6.0284271240234375,-7.159911632537842
29,-6.319677829742432,-7.226860046386719,-7.09488582611084,-6.735361099243164,-7.672949314117432
30,-6.549766540527344,-7.526430606842041,-7.4981184005737305,-7.059635162353516,-7.602821350097656
31,-5.666431903839111,-6.3575358390808105,-6.715899467468262,-4.477425575256348,-5.851964950561523
32,-7.010400295257568,-7.896671772003174,-7.764707088470459,-6.700987339019775,-6.775462627410889
33,-7.917722702026367,-6.892188549041748,-5.823819160461426,-7.9429931640625,-8.167231559753418
34,-6.599193096160889,-8.847861289978027,-10.194177627563477,-7.896114349365234,-8.031880378723145
35,-6.419927597045898,-7.765923023223877,-7.398807525634766,-8.256172180175781,-7.372086048126221
36,-8.15363883972168,-9.12194538116455,-10.079846382141113,-7.076457977294922,-9.46631908416748
37,-6.9659037590026855,-7.357025623321533,-6.698784828186035,-7.973024368286133,-7.841414928436279
38,-6.918620586395264,-8.335195541381836,-7.330535888671875,-7.566307067871094,-7.731435775756836
39,-7.1096625328063965,-7.855232238769531,-6.363742828369141,-7.344572067260742,-8.589115142822266
40,-7.136552333831787,-7.732088565826416,-8.758402824401855,-7.622951507568359,-8.489027976989746
41,-6.206390857696533,-6.467220783233643,-6.020391464233398,-6.832513809204102,-6.943540573120117
42,-7.725261211395264,-9.103951454162598,-8.26906967163086,-9.914899826049805,-8.502744674682617
43,-7.628200054168701,-9.018333435058594,-7.929806709289551,-9.713356018066406,-7.899940013885498
44,-5.144182205200195,-7.913421154022217,-8.21332836151123,-7.076457977294922,-6.595624923706055
45,-6.970165729522705,-7.714792251586914,-7.337350845336914,-6.0284271240234375,-7.715377330780029
46,-6.5297722816467285,-6.768942356109619,-7.052062034606934,-6.252897262573242,-7.824016571044922
47,-6.403289794921875,-7.43438720703125,-7.182382583618164,-6.544191360473633,-7.870809078216553
48,-7.731279373168945,-9.216578483581543,-9.363102912902832,-7.515356063842773,-8.481451988220215
49,-7.2665324211120605,-9.218423843383789,-9.5584077835083,-10.208023071289062,-7.415896892547607
50,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
51,-7.744682788848877,-8.768461227416992,-7.649297714233398,-8.223493576049805,-8.43519115447998
52,-6.722228527069092,-9.030618667602539,-9.519277572631836,-7.206964492797852,-8.444266319274902
53,-5.481934070587158,-6.214101791381836,-5.913014888763428,-4.977368354797363,-5.813675403594971
54,-7.188135147094727,-8.855301856994629,-9.081618309020996,-7.84046745300293,-8.081308364868164
55,-5.394899368286133,-7.221612930297852,-7.844846725463867,-6.313592910766602,-6.549136638641357
56,-4.969395160675049,-7.02189302444458,-7.515561580657959,-6.3292999267578125,-6.291718006134033
57,-6.186559677124023,-7.962486743927002,-6.914301872253418,-8.256172180175781,-7.772464275360107
58,-5.790483474731445,-7.914158344268799,-8.725909233093262,-7.725728988647461,-6.929932117462158
59,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
60,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
61,-6.203087329864502,-8.610845565795898,-7.852413177490234,-7.473850250244141,-7.765666484832764
62,-9.683893203735352,-11.45824146270752,-11.323600769042969,-11.715801239013672,-9.828104019165039
63,-8.558698654174805,-7.436305522918701,-6.828362464904785,-9.523944854736328,-8.39957332611084
64,-6.310394763946533,-7.701984882354736,-6.989524841308594,-7.138582229614258,-7.709865093231201
65,-7.011036396026611,-7.160979747772217,-6.051142692565918,-6.69951057434082,-7.031703472137451
66,-8.04343318939209,-8.203272819519043,-7.7601318359375,-7.722105026245117,-8.398874282836914
67,-6.8992695808410645,-6.889997482299805,-5.7350568771362305,-6.1925201416015625,-7.048086166381836
68,-4.969395160675049,-7.02189302444458,-7.515561580657959,-6.3292999267578125,-6.291718006134033
69,-4.940345287322998,-7.53593635559082,-7.8216423988342285,-7.031742095947266,-6.933887004852295
70,-9.31924057006836,-10.353320121765137,-11.01427173614502,-10.0048828125,-8.971325874328613
71,-6.274255275726318,-6.842106342315674,-6.200011730194092,-7.294578552246094,-6.601719379425049
72,-9.561762809753418,-9.394834518432617,-10.314400672912598,-9.187601089477539,-9.633317947387695
73,-6.6380696296691895,-8.857301712036133,-9.830268859863281,-6.905057907104492,-8.708548545837402
74,-7.659059524536133,-9.331338882446289,-9.544512748718262,-8.960420608520508,-8.647699356079102
75,-7.277740955352783,-8.302301406860352,-7.608684539794922,-7.635786056518555,-7.900480270385742
76,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
77,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
78,-8.961090087890625,-8.907119750976562,-9.24364185333252,-7.056063652038574,-9.248703956604004
79,-6.324235916137695,-7.394141674041748,-7.6248626708984375,-6.832513809204102,-6.98054838180542
80,-6.843151569366455,-7.992981433868408,-7.622786521911621,-7.628330230712891,-7.835456371307373
81,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
82,-7.573957443237305,-8.617475509643555,-8.550858497619629,-8.683204650878906,-8.236771583557129
83,-5.394899368286133,-7.221612930297852,-7.844846725463867,-6.313592910766602,-6.549136638641357
84,-7.159521102905273,-8.410143852233887,-7.683977127075195,-7.540523529052734,-7.725891590118408
85,-7.538644313812256,-8.632913589477539,-7.785531997680664,-10.679195404052734,-7.718588352203369
86,-6.899190902709961,-8.29862117767334,-7.679008483886719,-7.981760025024414,-7.6630635261535645
87,-8.390694618225098,-8.670292854309082,-7.837646961212158,-9.598590850830078,-10.211357116699219
88,-5.430577754974365,-6.210896968841553,-6.039712429046631,-7.138582229614258,-6.43414831161499
89,-7.407607555389404,-10.379298210144043,-10.401555061340332,-8.611383438110352,-8.2256498336792
90,-8.912810325622559,-8.932417869567871,-9.428893089294434,-8.15652847290039,-9.302057266235352
91,-5.05057954788208,-7.804722309112549,-8.204867362976074,-7.585075378417969,-6.3136372566223145
92,-5.873824596405029,-7.913675308227539,-7.02793025970459,-6.1925201416015625,-7.574580669403076
93,-7.501871109008789,-9.256060600280762,-8.654650688171387,-8.722358703613281,-8.109150886535645
94,-6.419927597045898,-7.765923023223877,-7.398807525634766,-8.256172180175781,-7.372086048126221
95,-7.476532459259033,-9.722746849060059,-8.702043533325195,-8.971197128295898,-9.378911972045898
96,-5.868010997772217,-7.032236099243164,-6.381906509399414,-6.643224716186523,-7.728088855743408
97,-9.52739143371582,-8.95251750946045,-8.370498657226562,-9.272974014282227,-8.94861125946045
98,-5.635433673858643,-9.182818412780762,-9.828142166137695,-6.690671920776367,-6.84312105178833
99,-7.118135452270508,-8.547812461853027,-8.828644752502441,-7.536096572875977,-7.97868013381958
100,-6.310394763946533,-7.701984882354736,-6.989524841308594,-7.138582229614258,-7.709865093231201
101,-9.453503608703613,-8.917441368103027,-9.30490779876709,-10.497550964355469,-10.249587059020996
102,-4.969395160675049,-7.02189302444458,-7.515561580657959,-6.3292999267578125,-6.291718006134033
103,-5.469078063964844,-5.4301581382751465,-4.716024875640869,-4.743711471557617,-6.425368309020996
104,-8.289349555969238,-10.015192985534668,-8.734111785888672,-7.473850250244141,-8.606584548950195
105,-7.592495441436768,-10.130899429321289,-9.937073707580566,-8.784706115722656,-8.219168663024902
106,-7.501871109008789,-9.256060600280762,-8.654650688171387,-8.722358703613281,-8.109150886535645
107,-6.848564624786377,-9.346308708190918,-8.532395362854004,-8.615602493286133,-7.946256637573242
108,-4.9490275382995605,-8.015840530395508,-8.306610107421875,-7.433559417724609,-6.936201095581055
