idx,good,order_swap,no_article,no_modifier,noun_number
1,-3.9653851985931396,-4.200342655181885,-4.207202434539795,-4.08145809173584,-4.218527793884277
2,-4.3747239112854,-4.667425155639648,-4.666085720062256,-4.502132892608643,-4.498713970184326
3,-3.602627992630005,-4.546511173248291,-4.169347286224365,-4.1800994873046875,-3.837437629699707
4,-4.6736979484558105,-4.786621570587158,-4.729454040527344,-4.708442211151123,-4.752101898193359
5,-5.734785079956055,-6.46923828125,-6.265559196472168,-6.329167366027832,-5.9814839363098145
6,-5.010241985321045,-5.206003665924072,-5.169665813446045,-5.18739652633667,-5.054853916168213
7,-3.977255344390869,-4.285114765167236,-4.270881652832031,-4.09870719909668,-4.0663652420043945
8,-5.209238052368164,-5.368493556976318,-5.374175548553467,-5.152243614196777,-5.324615478515625
9,-4.750245094299316,-5.086169242858887,-5.305549144744873,-4.942883014678955,-5.068456649780273
10,-5.144842624664307,-5.770654201507568,-5.748652458190918,-5.771088123321533,-5.5919189453125
11,-4.373852729797363,-4.896790027618408,-4.7750983238220215,-4.648679256439209,-4.62393045425415
12,-4.326162338256836,-4.894535541534424,-4.805609703063965,-4.484480857849121,-4.755017280578613
13,-6.140474319458008,-6.482301712036133,-6.649838447570801,-6.444943428039551,-6.3984527587890625
14,-4.574073314666748,-5.275627136230469,-5.539093017578125,-4.9374895095825195,-5.202916145324707
15,-3.328486680984497,-4.467358589172363,-4.274477958679199,-4.035003662109375,-4.03326940536499
16,-4.040342330932617,-4.430045127868652,-4.300439834594727,-4.354528427124023,-4.277868270874023
17,-3.710843086242676,-4.049057960510254,-4.211097240447998,-3.7830724716186523,-3.815070629119873
18,-4.582453727722168,-5.04272985458374,-5.466396808624268,-4.835293292999268,-5.010811805725098
19,-3.6893434524536133,-4.100027084350586,-3.8145430088043213,-3.936619997024536,-3.9165260791778564
20,-5.238667964935303,-5.845026969909668,-5.869904518127441,-5.499979496002197,-5.426939964294434
21,-5.954819679260254,-6.525251388549805,-6.5905256271362305,-6.327892303466797,-6.469301223754883
22,-5.061639785766602,-5.088320255279541,-5.159320831298828,-5.029872894287109,-5.088265419006348
23,-4.6411542892456055,-4.9700541496276855,-5.033647060394287,-4.766390323638916,-4.812859058380127
24,-4.668436050415039,-5.308660984039307,-5.077386856079102,-5.2998151779174805,-4.989976406097412
25,-5.461300373077393,-5.697994709014893,-5.70630407333374,-5.72509241104126,-5.699789047241211
26,-4.191406726837158,-4.5101189613342285,-4.404887676239014,-4.4538655281066895,-4.345574378967285
27,-3.6968061923980713,-4.301574230194092,-4.143829345703125,-3.9491097927093506,-4.250681400299072
28,-3.8464083671569824,-4.286890029907227,-3.869079113006592,-4.085495948791504,-4.2185187339782715
29,-3.911787748336792,-5.048985481262207,-4.334369659423828,-4.721095561981201,-4.533576488494873
30,-3.2330098152160645,-4.613758563995361,-3.7886998653411865,-4.174592971801758,-3.5315351486206055
31,-4.255472660064697,-4.568143367767334,-4.4061126708984375,-4.176673412322998,-4.418254375457764
32,-4.497269153594971,-4.761923789978027,-4.7411909103393555,-4.542608737945557,-4.472875118255615
33,-3.8814523220062256,-3.8889126777648926,-3.878842830657959,-3.8991403579711914,-3.927067279815674
34,-3.65838623046875,-4.33721923828125,-4.273775100708008,-4.159006595611572,-4.056307315826416
35,-4.786762237548828,-5.0499701499938965,-4.990350723266602,-5.0167694091796875,-5.010186672210693
36,-4.7332377433776855,-4.831435680389404,-5.0690813064575195,-4.59742546081543,-4.910707473754883
37,-3.862241506576538,-4.459120750427246,-4.286123275756836,-4.4084625244140625,-4.5459675788879395
38,-6.4371538162231445,-7.098089694976807,-7.22717809677124,-6.921620845794678,-6.552258014678955
39,-4.356260299682617,-4.99910306930542,-4.738511562347412,-4.801544189453125,-4.633611679077148
40,-4.913453578948975,-5.676884174346924,-5.483250141143799,-5.541167736053467,-5.360546112060547
41,-4.863053321838379,-5.312875270843506,-5.209418773651123,-5.3247175216674805,-5.298462867736816
42,-4.087719917297363,-4.192592144012451,-4.1023335456848145,-4.1667633056640625,-4.284711837768555
43,-3.7474687099456787,-4.0485944747924805,-4.011545658111572,-3.7460579872131348,-3.8968217372894287
44,-5.32780647277832,-5.9595136642456055,-6.5292768478393555,-5.842259883880615,-5.907260894775391
45,-3.9621784687042236,-4.872317314147949,-4.865845680236816,-4.604343891143799,-4.694109916687012
46,-3.8370609283447266,-4.748305320739746,-4.093549728393555,-4.578622341156006,-4.282874584197998
47,-4.869831562042236,-5.8264665603637695,-5.337056636810303,-5.45385217666626,-5.1191487312316895
48,-5.126386642456055,-5.537252426147461,-5.662323951721191,-5.210254192352295,-5.493195533752441
49,-5.107877254486084,-5.409058570861816,-5.918634414672852,-5.095146656036377,-5.389049530029297
50,-5.16693115234375,-5.52372932434082,-5.81143856048584,-5.4328083992004395,-5.531043529510498
51,-4.70611572265625,-5.794688701629639,-5.513198375701904,-5.632335662841797,-5.299160480499268
52,-4.1510701179504395,-4.361907482147217,-4.569999694824219,-4.101834774017334,-4.309173583984375
53,-4.926905155181885,-5.102352619171143,-5.083682537078857,-4.996711254119873,-5.051597595214844
54,-4.961158275604248,-5.839770793914795,-5.884426593780518,-5.489788055419922,-5.418368816375732
55,-3.8236117362976074,-4.740231037139893,-5.5227274894714355,-3.9165892601013184,-4.507788181304932
56,-4.155496597290039,-4.521416187286377,-4.827202320098877,-4.269921779632568,-4.40863037109375
57,-5.226608753204346,-5.720201015472412,-5.69594144821167,-5.6402177810668945,-5.493000030517578
58,-4.211512565612793,-4.456150531768799,-4.863490104675293,-4.2840657234191895,-4.576128959655762
59,-4.6538214683532715,-5.2057695388793945,-5.757144927978516,-4.925510883331299,-4.928513526916504
60,-5.719998359680176,-6.356906414031982,-6.713671684265137,-6.122589111328125,-5.904849052429199
61,-4.16769552230835,-5.227108478546143,-5.183135986328125,-4.7627410888671875,-4.802480220794678
62,-4.717031478881836,-5.217702865600586,-5.083255767822266,-5.112112522125244,-4.796069145202637
63,-6.062963008880615,-6.1433563232421875,-6.082283973693848,-6.371148109436035,-6.283358097076416
64,-4.821005344390869,-6.016480445861816,-5.807806015014648,-5.907430648803711,-5.543307304382324
65,-3.407212734222412,-4.518588542938232,-4.112632751464844,-4.1339569091796875,-4.167425155639648
66,-4.047570705413818,-4.404326915740967,-4.1608428955078125,-4.3744120597839355,-4.510270595550537
67,-3.309576988220215,-4.346282958984375,-4.056732177734375,-3.9995858669281006,-4.027643203735352
68,-4.509881019592285,-4.999774932861328,-5.435942649841309,-4.556565761566162,-4.908076763153076
69,-3.4315850734710693,-4.2928080558776855,-5.024870872497559,-3.8086600303649902,-4.045543193817139
70,-5.234965801239014,-5.586297988891602,-5.516528606414795,-5.384742736816406,-5.162570953369141
71,-4.948376178741455,-5.9933342933654785,-6.229058742523193,-6.690035820007324,-5.827788352966309
72,-6.392824172973633,-6.9295501708984375,-7.318478107452393,-6.678305149078369,-5.97606086730957
73,-5.869631767272949,-6.799653053283691,-6.773362636566162,-6.444125175476074,-6.622714042663574
74,-5.273577690124512,-5.61598014831543,-5.668675899505615,-5.501180648803711,-5.572587013244629
75,-4.681204319000244,-5.120459079742432,-5.076249122619629,-4.810207843780518,-4.9751081466674805
76,-5.220216274261475,-5.5029988288879395,-5.654204845428467,-5.31013298034668,-5.375743389129639
77,-5.571987628936768,-5.806522369384766,-5.983543872833252,-5.667477130889893,-5.723893165588379
78,-4.78993034362793,-5.13947057723999,-4.8953857421875,-4.96474027633667,-5.014779090881348
79,-4.109447956085205,-5.174079895019531,-4.977880477905273,-4.864229202270508,-4.748959541320801
80,-4.132845401763916,-4.334081172943115,-4.271838665008545,-4.256227970123291,-4.264997959136963
81,-5.598934650421143,-5.8530192375183105,-6.048608779907227,-5.8044962882995605,-5.766077041625977
82,-4.511373519897461,-4.718690395355225,-4.705179691314697,-4.658431529998779,-4.722976207733154
83,-5.353938102722168,-5.9668169021606445,-7.569250583648682,-5.638992786407471,-6.436300277709961
84,-4.924295425415039,-5.261716365814209,-5.307343482971191,-5.106342315673828,-5.356821060180664
85,-5.48116397857666,-6.247540473937988,-5.8907270431518555,-6.105355262756348,-5.685998439788818
86,-3.5521650314331055,-3.961712598800659,-3.84885311126709,-3.836465835571289,-3.814131021499634
87,-4.414456367492676,-4.998482704162598,-4.816167831420898,-4.983254909515381,-4.718863010406494
88,-3.2057688236236572,-3.5870559215545654,-3.3087711334228516,-3.542842149734497,-3.608510732650757
89,-4.6220927238464355,-4.764408111572266,-5.0024027824401855,-4.491162300109863,-4.630972385406494
90,-4.562783241271973,-4.479646682739258,-4.73402214050293,-4.263804912567139,-4.824032783508301
91,-5.7818145751953125,-6.2191925048828125,-6.8313679695129395,-6.0079169273376465,-6.053837776184082
92,-4.876275062561035,-5.092752456665039,-5.1004815101623535,-4.960124969482422,-5.003590106964111
93,-4.253254413604736,-5.3130693435668945,-5.326991081237793,-5.053848743438721,-4.649324893951416
94,-3.8434722423553467,-4.075934886932373,-4.022481441497803,-3.9606997966766357,-4.043460845947266
95,-5.395476818084717,-6.003878116607666,-6.190738201141357,-6.0551605224609375,-5.817368984222412
96,-4.997376441955566,-5.664572238922119,-5.446225643157959,-5.710174083709717,-5.472170352935791
97,-5.593328952789307,-5.76222562789917,-5.641638278961182,-5.721560001373291,-5.55777645111084
98,-4.899372577667236,-5.694551467895508,-6.580354690551758,-5.034351825714111,-5.265254974365234
99,-4.851039886474609,-5.13934326171875,-5.103418827056885,-5.047349452972412,-5.007504463195801
100,-4.338220596313477,-5.191832542419434,-5.0261993408203125,-4.910953044891357,-4.590475559234619
101,-5.209028720855713,-5.693978786468506,-5.315404415130615,-5.670388698577881,-5.374661922454834
102,-4.375024795532227,-5.123310565948486,-5.635730743408203,-4.637190341949463,-4.941543102264404
103,-4.604669570922852,-5.157242298126221,-4.913021564483643,-4.989743709564209,-4.909079074859619
104,-3.7794339656829834,-4.319057941436768,-4.381664752960205,-4.14769172668457,-4.223667621612549
105,-4.778620719909668,-5.317989349365234,-5.562097549438477,-4.796084403991699,-5.062222003936768
106,-4.312530040740967,-4.869522571563721,-4.765010833740234,-4.710859298706055,-4.56907320022583
107,-4.4687676429748535,-5.191505432128906,-5.083232879638672,-4.898157596588135,-4.7021965980529785
108,-4.414655685424805,-5.062061786651611,-5.320991039276123,-4.656928539276123,-4.912186622619629
109,-3.489112138748169,-3.8891217708587646,-4.073602676391602,-3.673504114151001,-3.960965633392334
110,-3.9649851322174072,-4.315049648284912,-4.744378566741943,-4.168437480926514,-4.249234676361084
111,-3.269426107406616,-3.472338914871216,-3.585845470428467,-3.3592700958251953,-3.3979790210723877
112,-4.799584865570068,-4.930447101593018,-5.127815246582031,-4.81167459487915,-5.100156307220459
113,-4.948826313018799,-6.07786226272583,-5.819345474243164,-6.043028831481934,-5.489635944366455
114,-5.585506439208984,-6.772262096405029,-6.567815780639648,-6.285364151000977,-6.293520450592041
115,-4.042747974395752,-4.468278408050537,-4.669829368591309,-4.227998733520508,-4.2267746925354
116,-4.337806701660156,-4.855542182922363,-4.798335075378418,-4.61402702331543,-4.563815116882324
117,-3.9845664501190186,-4.650481224060059,-4.929713726043701,-4.286258697509766,-4.384781360626221
