idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-5.766641139984131,-5.886922359466553,-5.7018351554870605,-3.575155258178711,-7.85907506942749,-7.85907506942749,-8.545502662658691,-10.570761680603027,-8.979217529296875,-8.979217529296875,-6.017803192138672,-7.791841983795166,-7.151348114013672,-9.791155815124512
2,-5.602164268493652,-5.667619228363037,-5.372880935668945,-2.9172468185424805,-7.76217794418335,-7.76217794418335,-8.170646667480469,-10.070954322814941,-8.823277473449707,-8.823277473449707,-5.7850775718688965,-7.442753314971924,-6.989490985870361,-9.305583953857422
3,-5.481261253356934,-5.506416320800781,-5.131075859069824,-2.4336366653442383,-7.464213848114014,-7.464213848114014,-8.022249221801758,-9.873091697692871,-8.666454315185547,-8.666454315185547,-5.660392761230469,-7.255727291107178,-6.739854335784912,-8.556674003601074
4,-5.199657440185547,-5.130943775177002,-4.567867279052734,-1.3072195053100586,-6.556087493896484,-6.556087493896484,-7.482477188110352,-9.153395652770996,-8.410719871520996,-8.410719871520996,-5.252097129821777,-6.643283367156982,-6.150292873382568,-6.787988662719727
5,-6.125311851501465,-6.365149974822998,-6.4191765785217285,-5.009838104248047,-7.898933410644531,-7.898933410644531,-8.674784660339355,-10.743138313293457,-9.309210777282715,-9.309210777282715,-6.227005481719971,-8.105646133422852,-7.070762634277344,-9.549398422241211
6,-5.497351169586182,-5.527868747711182,-5.16325569152832,-4.573871612548828,-8.035027503967285,-8.035027503967285,-8.825508117675781,-10.94410228729248,-8.655498504638672,-8.655498504638672,-6.203977108001709,-8.071102142333984,-7.151348114013672,-9.791155815124512
7,-5.449741840362549,-5.464389801025391,-5.068037033081055,-4.383434295654297,-8.114018440246582,-8.114018440246582,-8.645237922668457,-10.703742980957031,-8.648517608642578,-8.648517608642578,-6.263754367828369,-8.160770416259766,-6.989490985870361,-9.305583953857422
8,-5.274332046508789,-5.230510234832764,-4.717217445373535,-3.681795120239258,-7.9275054931640625,-7.9275054931640625,-8.536006927490234,-10.558101654052734,-8.351773262023926,-8.351773262023926,-6.032021999359131,-7.813170433044434,-6.739854335784912,-8.556674003601074
9,-4.51878547668457,-4.223114490509033,-3.2061243057250977,-0.6596088409423828,-6.853199005126953,-6.853199005126953,-7.95612907409668,-9.784931182861328,-7.537355899810791,-7.537355899810791,-5.056967735290527,-6.350589275360107,-6.150292873382568,-6.787988662719727
10,-5.762421607971191,-5.881296634674072,-5.693397045135498,-5.634154319763184,-8.088226318359375,-8.088226318359375,-8.997873306274414,-11.17392349243164,-8.840493202209473,-8.840493202209473,-6.409214496612549,-8.378959655761719,-7.070762634277344,-9.549398422241211
11,-6.11859130859375,-6.3561882972717285,-6.405735492706299,-5.084700584411621,-8.739134788513184,-8.739134788513184,-9.129316329956055,-11.3491792678833,-9.765914916992188,-9.765914916992188,-6.756165027618408,-8.899385452270508,-7.151348114013672,-9.791155815124512
12,-6.1949896812438965,-6.4580535888671875,-6.55853271484375,-5.390295028686523,-8.890019416809082,-8.890019416809082,-9.047861099243164,-11.240572929382324,-9.859519958496094,-9.859519958496094,-7.050047397613525,-9.340208053588867,-6.989490985870361,-9.305583953857422
13,-6.264105796813965,-6.550208568572998,-6.696764945983887,-5.666759490966797,-8.826872825622559,-8.826872825622559,-9.034908294677734,-11.22330379486084,-9.90625286102295,-9.90625286102295,-6.908623218536377,-9.128072738647461,-6.739854335784912,-8.556674003601074
14,-5.169560432434082,-5.09081506729126,-4.507674694061279,-1.288578987121582,-7.583038330078125,-7.583038330078125,-8.30860424041748,-10.254898071289062,-8.59204387664795,-8.59204387664795,-5.573127746582031,-7.1248297691345215,-6.150292873382568,-6.787988662719727
15,-6.471606731414795,-6.826876163482666,-7.111766815185547,-6.496763706207275,-8.642478942871094,-8.642478942871094,-9.204916000366211,-11.449980735778809,-9.9633207321167,-9.9633207321167,-7.213296413421631,-9.585082054138184,-7.070762634277344,-9.549398422241211
16,-5.487399101257324,-5.5146002769470215,-6.673587322235107,-3.92282772064209,-6.755634307861328,-6.755634307861328,-7.711556434631348,-9.458834648132324,-8.247041702270508,-8.247041702270508,-6.017803192138672,-7.791841983795166,-5.867408275604248,-8.99980354309082
17,-5.287285804748535,-5.2477827072143555,-6.273361682891846,-3.1223764419555664,-6.76182746887207,-6.76182746887207,-7.534123420715332,-9.222256660461426,-7.995947360992432,-7.995947360992432,-5.7850775718688965,-7.442753314971924,-6.061321258544922,-9.581542015075684
18,-5.109470844268799,-5.010695934295654,-5.917731285095215,-2.4111156463623047,-6.470652103424072,-6.470652103424072,-7.360823154449463,-8.991189956665039,-7.800300598144531,-7.800300598144531,-5.660392761230469,-7.255727291107178,-5.759923458099365,-8.677349090576172
19,-4.859496116638184,-4.677395820617676,-5.417781352996826,-1.4112157821655273,-5.396198749542236,-5.396198749542236,-6.693840026855469,-8.101879119873047,-7.457361698150635,-7.457361698150635,-5.252097129821777,-6.643283367156982,-4.917805194854736,-6.150994777679443
20,-5.5178327560424805,-5.555178165435791,-6.734455108642578,-4.044563293457031,-6.468722820281982,-6.468722820281982,-7.609381675720215,-9.322601318359375,-8.227970123291016,-8.227970123291016,-6.227005481719971,-8.105646133422852,-5.415689468383789,-7.644647598266602
21,-5.253156661987305,-5.202276706695557,-6.205102443695068,-5.024341583251953,-6.789496898651123,-6.789496898651123,-7.811482906341553,-9.592069625854492,-7.876817226409912,-7.876817226409912,-6.203977108001709,-8.071102142333984,-5.867408275604248,-8.99980354309082
22,-5.143954277038574,-5.056673049926758,-5.986697196960449,-4.587531089782715,-6.994342803955078,-6.994342803955078,-7.78947639465332,-9.562727928161621,-7.7784905433654785,-7.7784905433654785,-6.263754367828369,-8.160770416259766,-6.061321258544922,-9.581542015075684
23,-4.920247554779053,-4.758397579193115,-5.5392842292785645,-3.6927051544189453,-6.831241607666016,-6.831241607666016,-7.696685791015625,-9.439006805419922,-7.459356784820557,-7.459356784820557,-6.032021999359131,-7.813170433044434,-5.759923458099365,-8.677349090576172
24,-4.20749568939209,-3.8080615997314453,-4.1137800216674805,-0.8416967391967773,-5.629896640777588,-5.629896640777588,-6.953085899353027,-8.447540283203125,-6.591973781585693,-6.591973781585693,-5.056967735290527,-6.350589275360107,-4.917805194854736,-6.150994777679443
25,-5.157558917999268,-5.074812889099121,-6.013906955718994,-4.641950607299805,-6.432271480560303,-6.432271480560303,-7.717308521270752,-9.466504096984863,-7.635070323944092,-7.635070323944092,-6.409214496612549,-8.378959655761719,-5.415689468383789,-7.644647598266602
