idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-3.817047119140625,-3.53633975982666,-2.416104793548584,-1.4279584884643555,-5.4582905769348145,-5.4582905769348145,-6.589767932891846,-7.9763641357421875,-7.3953118324279785,-7.3953118324279785,-5.007750511169434,-6.296635627746582,-6.3441643714904785,-8.596516609191895
2,-3.969404935836792,-3.739483594894409,-2.720820426940918,-2.0373897552490234,-5.86767053604126,-5.86767053604126,-6.912483215332031,-8.406651496887207,-7.607289791107178,-7.607289791107178,-5.280893802642822,-6.706350326538086,-6.673290252685547,-9.583893775939941
3,-3.9289369583129883,-3.685526132583618,-2.6398844718933105,-1.8755178451538086,-5.896572113037109,-5.896572113037109,-6.913196563720703,-8.407602310180664,-7.535449981689453,-7.535449981689453,-5.181539058685303,-6.557318687438965,-6.5800089836120605,-9.304048538208008
4,-3.8853542804718018,-3.627415895462036,-2.5527191162109375,-1.7011871337890625,-5.598569393157959,-5.598569393157959,-6.68079948425293,-8.097739219665527,-7.427412509918213,-7.427412509918213,-5.2691969871521,-6.68880558013916,-6.358117580413818,-8.638374328613281
5,-3.992060899734497,-3.7696914672851562,-2.766132354736328,-2.1280136108398438,-6.051764011383057,-6.051764011383057,-7.056246757507324,-8.598336219787598,-7.6217474937438965,-7.6217474937438965,-5.25911283493042,-6.673679351806641,-6.052201747894287,-7.7206268310546875
6,-3.9737915992736816,-3.7453324794769287,-2.7295937538146973,-1.539860725402832,-5.682626247406006,-5.682626247406006,-6.785145282745361,-8.23686695098877,-7.465948581695557,-7.465948581695557,-5.551580429077148,-7.112380504608154,-6.3441643714904785,-8.596516609191895
7,-4.320162773132324,-4.207160949707031,-3.4223365783691406,-2.9253463745117188,-6.276449680328369,-6.276449680328369,-7.27803897857666,-8.894058227539062,-7.961573123931885,-7.961573123931885,-6.2476487159729,-8.15648365020752,-6.673290252685547,-9.583893775939941
8,-4.097182273864746,-3.909852981567383,-2.976374626159668,-2.0334224700927734,-6.154448986053467,-6.154448986053467,-7.172691345214844,-8.753594398498535,-7.645386219024658,-7.645386219024658,-5.860267639160156,-7.575410842895508,-6.5800089836120605,-9.304048538208008
9,-3.9145853519439697,-3.6663906574249268,-2.6111812591552734,-1.3030357360839844,-5.694703578948975,-5.694703578948975,-6.802063465118408,-8.259424209594727,-7.329067230224609,-7.329067230224609,-5.717128276824951,-7.3607025146484375,-6.358117580413818,-8.638374328613281
10,-4.042288303375244,-3.8366613388061523,-2.8665871620178223,-1.813847541809082,-6.1069560050964355,-6.1069560050964355,-7.0995283126831055,-8.656044006347656,-7.4851393699646,-7.4851393699646,-5.859291076660156,-7.573946475982666,-6.052201747894287,-7.7206268310546875
11,-5.005311965942383,-5.120693683624268,-4.792634963989258,-3.131699562072754,-7.944749355316162,-7.944749355316162,-7.626848220825195,-9.359138488769531,-8.553516387939453,-8.553516387939453,-6.794941425323486,-8.977422714233398,-6.3441643714904785,-8.596516609191895
12,-5.560753345489502,-5.861281871795654,-5.903517723083496,-5.353464126586914,-8.648992538452148,-8.648992538452148,-8.187567710876465,-10.10676383972168,-9.450855255126953,-9.450855255126953,-7.8625664710998535,-10.578859329223633,-6.673290252685547,-9.583893775939941
13,-5.356792449951172,-5.589334011077881,-5.4955949783325195,-4.537619590759277,-8.445333480834961,-8.445333480834961,-8.139078140258789,-10.04211139678955,-9.197747230529785,-9.197747230529785,-7.589038848876953,-10.168567657470703,-6.5800089836120605,-9.304048538208008
14,-4.587008476257324,-4.562955379486084,-3.9560277462005615,-1.4584846496582031,-7.75381326675415,-7.75381326675415,-7.585382461547852,-9.303851127624512,-8.079622268676758,-8.079622268676758,-6.378458499908447,-8.352697372436523,-6.358117580413818,-8.638374328613281
15,-5.034168243408203,-5.159167766571045,-4.850346565246582,-3.2471227645874023,-8.252361297607422,-8.252361297607422,-7.843132019042969,-9.647517204284668,-8.532856941223145,-8.532856941223145,-7.174540042877197,-9.546819686889648,-6.052201747894287,-7.7206268310546875
16,-3.661041021347046,-3.328331708908081,-2.8249564170837402,-1.362584114074707,-4.8264031410217285,-4.8264031410217285,-6.186683654785156,-7.4389190673828125,-7.4530816078186035,-7.4530816078186035,-5.007750511169434,-6.296635627746582,-5.899112224578857,-8.703094482421875
17,-3.7881131172180176,-3.4977610111236572,-3.0791006088256836,-1.8708724975585938,-5.340824127197266,-5.340824127197266,-6.574759483337402,-7.956353664398193,-7.603847503662109,-7.603847503662109,-5.280893802642822,-6.706350326538086,-6.401280879974365,-10.209600448608398
18,-3.791936159133911,-3.5028584003448486,-3.0867466926574707,-1.886164665222168,-5.3880462646484375,-5.3880462646484375,-6.688224792480469,-8.107640266418457,-7.592745304107666,-7.592745304107666,-5.181539058685303,-6.557318687438965,-6.299604892730713,-9.904573440551758
19,-3.76471209526062,-3.466559648513794,-3.0322985649108887,-1.777268409729004,-4.756216526031494,-4.756216526031494,-6.250972747802734,-7.524637699127197,-7.5541253089904785,-7.5541253089904785,-5.2691969871521,-6.68880558013916,-5.972303867340088,-8.9226713180542
20,-3.909297466278076,-3.6593401432037354,-3.321469306945801,-2.355609893798828,-5.656238555908203,-5.656238555908203,-6.740192413330078,-8.17693042755127,-7.7591938972473145,-7.7591938972473145,-5.25911283493042,-6.673679351806641,-5.780239582061768,-8.346477508544922
21,-3.80735445022583,-3.52341628074646,-3.1175832748413086,-1.4160947799682617,-5.097194671630859,-5.097194671630859,-6.5158796310424805,-7.877845764160156,-7.460428714752197,-7.460428714752197,-5.551580429077148,-7.112380504608154,-5.899112224578857,-8.703094482421875
22,-4.1637959480285645,-3.998671531677246,-3.8304662704467773,-2.841860771179199,-5.793782711029053,-5.793782711029053,-7.047219276428223,-8.586298942565918,-7.974703311920166,-7.974703311920166,-6.2476487159729,-8.15648365020752,-6.401280879974365,-10.209600448608398
