idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-4.197937965393066,-4.081307888031006,-3.1502437591552734,-1.7547416687011719,-5.987379550933838,-5.987379550933838,-7.052664279937744,-8.481728553771973,-7.353288173675537,-7.353288173675537,-5.256986618041992,-6.502743721008301,-6.73107385635376,-9.701950073242188
2,-4.206343650817871,-4.092515468597412,-3.167055130004883,-1.7883644104003906,-6.164093017578125,-6.164093017578125,-7.318614482879639,-8.836328506469727,-7.4377570152282715,-7.4377570152282715,-5.193370819091797,-6.407320022583008,-6.894567012786865,-10.192428588867188
3,-4.2036333084106445,-4.088901519775391,-3.1616344451904297,-1.7775230407714844,-6.043773651123047,-6.043773651123047,-7.1914753913879395,-8.666810035705566,-7.384519100189209,-7.384519100189209,-5.210442066192627,-6.432927131652832,-6.573204040527344,-9.228340148925781
4,-4.134485244750977,-3.9967041015625,-3.0233383178710938,-1.5009307861328125,-6.239528656005859,-6.239528656005859,-7.2874979972839355,-8.794839859008789,-7.370241641998291,-7.370241641998291,-5.421853542327881,-6.750043869018555,-6.581082820892334,-9.251976013183594
5,-4.2475738525390625,-4.147489070892334,-3.2495155334472656,-1.9532852172851562,-6.094736576080322,-6.094736576080322,-7.122720241546631,-8.575136184692383,-7.554939270019531,-7.554939270019531,-5.450826644897461,-6.793503761291504,-6.310722351074219,-8.440895080566406
6,-4.1820597648620605,-4.060136795043945,-3.1184873580932617,-1.9269390106201172,-6.157507419586182,-6.157507419586182,-6.968770503997803,-8.36987018585205,-7.291448593139648,-7.291448593139648,-5.540473937988281,-6.927974700927734,-6.73107385635376,-9.701950073242188
7,-4.326046466827393,-4.252119064331055,-3.406460762023926,-2.5028858184814453,-6.466619968414307,-6.466619968414307,-7.383935451507568,-8.923422813415527,-7.524319171905518,-7.524319171905518,-5.912193298339844,-7.485553741455078,-6.894567012786865,-10.192428588867188
8,-4.220178604125977,-4.1109619140625,-3.1947250366210938,-2.0794143676757812,-6.286464691162109,-6.286464691162109,-7.227880001068115,-8.715349197387695,-7.341445446014404,-7.341445446014404,-5.768650054931641,-7.270239353179932,-6.573204040527344,-9.228340148925781
9,-3.997152805328369,-3.813594102859497,-2.748673439025879,-1.1873111724853516,-6.423726558685303,-6.423726558685303,-7.229257106781006,-8.717185020446777,-7.112025737762451,-7.112025737762451,-5.559892177581787,-6.957101345062256,-6.581082820892334,-9.251976013183594
10,-4.064370155334473,-3.903217315673828,-2.883108139038086,-1.4561805725097656,-6.1295485496521,-6.1295485496521,-6.914211750030518,-8.297124862670898,-7.221115589141846,-7.221115589141846,-5.83416223526001,-7.368507385253906,-6.310722351074219,-8.440895080566406
11,-5.2746477127075195,-5.516920566558838,-5.30366325378418,-3.247722625732422,-7.738687038421631,-7.738687038421631,-7.448951721191406,-9.010111808776855,-8.794723510742188,-8.794723510742188,-6.914810657501221,-8.989480018615723,-6.73107385635376,-9.701950073242188
12,-5.595385551452637,-5.944571018218994,-5.945138931274414,-4.530673980712891,-8.184359550476074,-8.184359550476074,-7.917409896850586,-9.634722709655762,-9.304818153381348,-9.304818153381348,-7.500444412231445,-9.86793041229248,-6.894567012786865,-10.192428588867188
