idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-4.085308074951172,-3.8962810039520264,-3.433948516845703,-2.70281982421875,-5.6894402503967285,-5.6894402503967285,-6.520535469055176,-7.803506374359131,-8.148333549499512,-8.148333549499512,-5.3108696937561035,-6.630489349365234,-6.7211456298828125,-10.690086364746094
2,-3.9163990020751953,-3.6710689067840576,-3.09613037109375,-2.0271835327148438,-5.763236999511719,-5.763236999511719,-6.5525312423706055,-7.846167087554932,-8.05329418182373,-8.05329418182373,-5.192727565765381,-6.453275680541992,-6.6749725341796875,-10.551567077636719
3,-3.7726879119873047,-3.4794540405273438,-2.8087081909179688,-1.4523391723632812,-5.447853088378906,-5.447853088378906,-6.443495750427246,-7.700786590576172,-7.811836242675781,-7.811836242675781,-5.166736602783203,-6.414289474487305,-6.488016605377197,-9.990699768066406
4,-3.6642837524414062,-3.3349151611328125,-2.591899871826172,-1.0187225341796875,-5.5316338539123535,-5.5316338539123535,-6.602231025695801,-7.912433624267578,-7.72156286239624,-7.72156286239624,-5.37359094619751,-6.724571228027344,-6.667043209075928,-10.527778625488281
5,-4.161176681518555,-3.99743914604187,-3.5856857299804688,-3.0062942504882812,-5.6022491455078125,-5.6022491455078125,-6.563687324523926,-7.861042022705078,-8.200831413269043,-8.200831413269043,-5.589192867279053,-7.0479736328125,-5.902124881744385,-8.233024597167969
6,-4.124799728393555,-3.9489364624023438,-3.5129318237304688,-2.7087326049804688,-6.0543999671936035,-6.0543999671936035,-6.84892463684082,-8.241358757019043,-8.170756340026855,-8.170756340026855,-5.777873992919922,-7.330995559692383,-6.7211456298828125,-10.690086364746094
7,-4.157529830932617,-3.9925765991210938,-3.5783920288085938,-2.8396530151367188,-6.207283020019531,-6.207283020019531,-6.951345443725586,-8.37791919708252,-8.31451416015625,-8.31451416015625,-6.1043267250061035,-7.820674896240234,-6.6749725341796875,-10.551567077636719
8,-3.8700714111328125,-3.6092987060546875,-3.0034751892089844,-1.6898193359375,-5.813774108886719,-5.813774108886719,-6.792524337768555,-8.166157722473145,-7.856862545013428,-7.856862545013428,-5.9811248779296875,-7.635871887207031,-6.488016605377197,-9.990699768066406
9,-3.6070728302001953,-3.258633852005005,-2.47747802734375,-0.6378250122070312,-5.8984808921813965,-5.8984808921813965,-6.896284103393555,-8.30450439453125,-7.598121643066406,-7.598121643066406,-5.741967678070068,-7.277135848999023,-6.667043209075928,-10.527778625488281
10,-4.210660934448242,-4.063417911529541,-3.6846542358398438,-3.0521774291992188,-5.8357415199279785,-5.8357415199279785,-6.757223129272461,-8.11909008026123,-8.172039985656738,-8.172039985656738,-6.0350775718688965,-7.716800689697266,-5.902124881744385,-8.233024597167969
11,-5.089048385620117,-5.2346014976501465,-5.441429138183594,-3.7539291381835938,-8.115275382995605,-8.115275382995605,-7.6742706298828125,-9.341819763183594,-9.434745788574219,-9.434745788574219,-6.999143123626709,-9.162899017333984,-6.7211456298828125,-10.690086364746094
12,-5.505097389221191,-5.789333343505859,-6.273527145385742,-5.418125152587891,-8.466201782226562,-8.466201782226562,-7.923410415649414,-9.674006462097168,-10.085164070129395,-10.085164070129395,-7.992164611816406,-10.65243148803711,-6.6749725341796875,-10.551567077636719
13,-5.083441734313965,-5.227125644683838,-5.430215835571289,-3.7315025329589844,-8.020052909851074,-8.020052909851074,-7.739528656005859,-9.42883014678955,-9.50072956085205,-9.50072956085205,-7.429447174072266,-9.808355331420898,-6.488016605377197,-9.990699768066406
14,-4.426806449890137,-4.351612091064453,-4.116945266723633,-1.1049613952636719,-7.865821838378906,-7.865821838378906,-7.655586242675781,-9.316906929016113,-8.685784339904785,-8.685784339904785,-6.514357089996338,-8.435720443725586,-6.667043209075928,-10.527778625488281
15,-4.955852508544922,-5.0570068359375,-5.175037384033203,-3.2211456298828125,-7.6837334632873535,-7.6837334632873535,-7.440526962280273,-9.03016185760498,-9.296666145324707,-9.296666145324707,-7.2711181640625,-9.57086181640625,-5.902124881744385,-8.233024597167969
16,-4.092264175415039,-3.9055557250976562,-3.6439285278320312,-2.6598739624023438,-5.3029608726501465,-5.3029608726501465,-6.448902130126953,-7.7079949378967285,-8.011012077331543,-8.011012077331543,-5.3108696937561035,-6.630489349365234,-6.522979736328125,-10.48773193359375
17,-3.951251983642578,-3.7175395488739014,-3.3619041442871094,-2.0958251953125,-5.436002254486084,-5.436002254486084,-6.471609115600586,-7.738271236419678,-7.9918389320373535,-7.9918389320373535,-5.192727565765381,-6.453275680541992,-6.542810916900635,-10.547225952148438
18,-3.7911720275878906,-3.5040996074676514,-3.0417442321777344,-1.45550537109375,-5.208381652832031,-5.208381652832031,-6.453195571899414,-7.713719844818115,-7.703014373779297,-7.703014373779297,-5.166736602783203,-6.414289474487305,-6.406092166900635,-10.137069702148438
19,-3.6642589569091797,-3.3348820209503174,-2.7879180908203125,-0.9478530883789062,-4.905690670013428,-4.905690670013428,-6.326274871826172,-7.544492244720459,-7.643533229827881,-7.643533229827881,-5.37359094619751,-6.724571228027344,-6.178426265716553,-9.454071044921875
