idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-4.773251533508301,-4.559593677520752,-5.592670917510986,-5.585186004638672,-6.751133918762207,-6.751133918762207,-7.357256889343262,-8.529561042785645,-6.957458972930908,-6.957458972930908,-5.898704528808594,-7.514034271240234,-6.688182830810547,-14.07181167602539
2,-4.31255578994751,-3.9837238788604736,-4.44093132019043,-3.2817068099975586,-6.483933448791504,-6.483933448791504,-7.040316581726074,-8.13338565826416,-6.539613723754883,-6.539613723754883,-5.395697116851807,-6.759522438049316,-6.421505451202393,-13.005102157592773
3,-4.113503456115723,-3.7349085807800293,-3.943300724029541,-2.2864456176757812,-6.29433012008667,-6.29433012008667,-6.928846836090088,-7.994048118591309,-6.38258171081543,-6.38258171081543,-5.018948078155518,-6.194399356842041,-6.3007636070251465,-12.522134780883789
4,-3.7772374153137207,-3.3145761489868164,-3.1026358604431152,-0.6051158905029297,-4.740570068359375,-4.740570068359375,-5.8325605392456055,-6.623689651489258,-5.9093918800354,-5.9093918800354,-4.890200614929199,-6.001277923583984,-5.143933296203613,-7.89481258392334
5,-4.745026588439941,-4.524312496185303,-5.522108554840088,-5.444061279296875,-6.395771026611328,-6.395771026611328,-6.908273220062256,-7.968331336975098,-7.007440567016602,-7.007440567016602,-6.555243015289307,-8.498841285705566,-6.269652366638184,-12.397689819335938
6,-4.7541704177856445,-4.535741806030273,-5.5449676513671875,-6.000683784484863,-6.897151947021484,-6.897151947021484,-7.253553867340088,-8.399930953979492,-6.786795616149902,-6.786795616149902,-6.343031406402588,-8.180524826049805,-6.688182830810547,-14.07181167602539
7,-4.477017402648926,-4.189301013946533,-4.852085590362549,-4.614919662475586,-6.547041893005371,-6.547041893005371,-6.940573215484619,-8.008705139160156,-6.484879970550537,-6.484879970550537,-5.9438042640686035,-7.581683158874512,-6.421505451202393,-13.005102157592773
8,-4.186331748962402,-3.825944185256958,-4.125371932983398,-3.161492347717285,-6.452874183654785,-6.452874183654785,-6.94677734375,-8.016460418701172,-6.322739601135254,-6.322739601135254,-5.5708136558532715,-7.0221967697143555,-6.3007636070251465,-12.522134780883789
9,-3.6179161071777344,-3.115424394607544,-2.7043323516845703,-0.3194131851196289,-4.9301886558532715,-4.9301886558532715,-5.855989933013916,-6.652976036071777,-5.545834541320801,-5.545834541320801,-5.088865756988525,-6.299275875091553,-5.143933296203613,-7.89481258392334
10,-4.702305793762207,-4.470911026000977,-5.4153056144714355,-5.741359710693359,-6.557962417602539,-6.557962417602539,-6.902535915374756,-7.961158275604248,-6.7026214599609375,-6.7026214599609375,-6.893133163452148,-9.00567626953125,-6.269652366638184,-12.397689819335938
