idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-4.479977607727051,-4.279381275177002,-4.91152286529541,-2.798402786254883,-5.647454261779785,-5.647454261779785,-6.81558895111084,-7.879644870758057,-7.066580772399902,-7.066580772399902,-5.387367248535156,-6.801367282867432,-5.26704216003418,-8.491328239440918
2,-4.58623743057251,-4.412206172943115,-5.177172660827637,-3.329702377319336,-5.0476298332214355,-5.0476298332214355,-6.162381172180176,-7.063134670257568,-7.368124961853027,-7.368124961853027,-5.327927112579346,-6.7122063636779785,-5.236965179443359,-8.371021270751953
3,-4.318663597106934,-4.0777387619018555,-4.508236885070801,-1.9918317794799805,-4.7641215324401855,-4.7641215324401855,-5.94412899017334,-6.790319442749023,-7.064208984375,-7.064208984375,-5.340482234954834,-6.731039524078369,-5.094721794128418,-7.802045822143555
4,-4.112250804901123,-3.819723129272461,-3.992206335067749,-0.9597702026367188,-4.131376266479492,-4.131376266479492,-5.4417524337768555,-6.16234827041626,-6.734441757202148,-6.734441757202148,-4.971791744232178,-6.178003787994385,-4.6038336753845215,-5.838494300842285
5,-4.788344383239746,-4.664839267730713,-5.682438850402832,-4.340234756469727,-5.793022155761719,-5.793022155761719,-6.667916297912598,-7.695053577423096,-7.564298152923584,-7.564298152923584,-6.445625305175781,-8.388753890991211,-4.999477386474609,-7.421069622039795
6,-4.383089542388916,-4.158270835876465,-4.669302940368652,-3.151270866394043,-5.8698577880859375,-5.8698577880859375,-6.973604679107666,-8.077164649963379,-7.023250579833984,-7.023250579833984,-5.94916296005249,-7.644059658050537,-5.26704216003418,-8.491328239440918
7,-4.717020511627197,-4.575684547424316,-5.5041303634643555,-4.820925712585449,-5.281999588012695,-5.281999588012695,-6.41983699798584,-7.384955406188965,-7.436078071594238,-7.436078071594238,-6.117015361785889,-7.895838737487793,-5.236965179443359,-8.371021270751953
8,-4.464758396148682,-4.260356903076172,-4.87347412109375,-3.5596141815185547,-5.151063919067383,-5.151063919067383,-6.3483171463012695,-7.295554161071777,-7.104859352111816,-7.104859352111816,-6.18637228012085,-7.999874114990234,-5.094721794128418,-7.802045822143555
9,-3.963698148727417,-3.6340317726135254,-3.620824098587036,-1.0543136596679688,-4.527775287628174,-4.527775287628174,-5.759285926818848,-6.559265613555908,-6.379145622253418,-6.379145622253418,-5.257359504699707,-6.6063551902771,-4.6038336753845215,-5.838494300842285
10,-4.640634536743164,-4.480202674865723,-5.313165664672852,-4.438996315002441,-5.850350379943848,-5.850350379943848,-6.7359490394592285,-7.780094146728516,-7.26509952545166,-7.26509952545166,-7.059179782867432,-9.309085845947266,-4.999477386474609,-7.421069622039795
