idx,construction_score,non_article_region_score,numeral_noun_region_score,just_noun_region_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-5.669594764709473,-5.804177284240723,-4.736159324645996,-2.37671160697937,-7.094887733459473,-7.094887733459473,-8.27074146270752,-10.099303245544434,-9.18235683441162,-9.18235683441162,-6.45401668548584,-8.289515495300293,-8.848528861999512,-13.374738693237305
2,-5.589909553527832,-5.698477745056152,-4.582679271697998,-2.065204381942749,-7.418946266174316,-7.418946266174316,-8.442947387695312,-10.328911781311035,-9.05728530883789,-9.05728530883789,-6.358461380004883,-8.146183013916016,-8.649808883666992,-12.746255874633787
3,-5.476332664489746,-5.5603532791137695,-4.365099906921387,-1.6314202547073364,-8.077981948852539,-8.077981948852539,-9.03538703918457,-11.118830680847168,-9.213705062866213,-9.213705062866213,-7.0591230392456055,-9.197175979614258,-9.23994255065918,-14.516124725341797
4,-5.343581676483154,-5.374120712280273,-4.083191394805908,-1.0466639995574951,-7.481512546539307,-7.481512546539307,-8.674912452697754,-10.638197898864746,-9.177711486816406,-9.177711486816406,-7.074309825897217,-9.219955444335938,-9.02469253540039,-13.906471252441406
5,-5.619141578674316,-5.750618934631348,-4.656494140625,-2.2193665504455566,-8.646101951599121,-8.646101951599121,-9.324929237365724,-11.50488567352295,-9.387578964233398,-9.387578964233398,-7.9316205978393555,-10.505922317504885,-8.87038516998291,-13.414292335510254
6,-5.940199375152588,-6.1657819747924805,-5.280759334564209,-2.780526161193848,-7.472506523132324,-7.472506523132324,-8.213531494140625,-10.02302360534668,-10.102128028869627,-10.102128028869627,-5.954546451568604,-7.545210361480713,-8.868374824523926,-13.4082612991333
7,-6.05530309677124,-6.331474304199219,-5.524312973022461,-3.25961709022522,-8.572711944580078,-8.572711944580078,-9.059858322143556,-11.151458740234377,-10.215425491333008,-10.215425491333008,-6.485621452331543,-8.336996078491211,-8.653059959411621,-12.762313842773438
8,-5.749783515930176,-5.91111946105957,-4.895751476287842,-1.9927080869674685,-8.77283763885498,-8.77283763885498,-9.46971607208252,-11.69793701171875,-10.124067306518556,-10.124067306518556,-7.074303150177002,-9.220019340515137,-9.243486404418944,-14.533594131469728
9,-5.368624210357666,-5.415650844573975,-4.149827480316162,-0.5205230712890625,-8.066591262817383,-8.066591262817383,-9.217239379882812,-11.362422943115234,-9.684009552001951,-9.684009552001951,-6.828829765319824,-8.85180950164795,-9.035040855407717,-13.908260345458984
10,-5.843632698059082,-6.050257682800293,-5.098987579345703,-2.4018776416778564,-9.540380477905272,-9.540380477905272,-9.657995223999023,-11.95096206665039,-10.05892276763916,-10.05892276763916,-7.730184555053711,-10.203842163085938,-8.870384216308594,-13.414292335510254
11,-7.678561210632324,-8.483258247375488,-8.74995231628418,-4.796854019165039,-10.400154113769531,-10.400154113769531,-10.34785270690918,-12.870773315429688,-12.495325088500977,-12.495325088500977,-8.973465919494629,-12.068763732910156,-8.868374824523926,-13.4082612991333
12,-8.111579895019531,-9.060705184936523,-9.626020431518556,-6.571118354797363,-11.832355499267578,-11.832355499267578,-11.49416732788086,-14.399192810058594,-12.907957077026367,-12.907957077026367,-10.293524742126465,-14.04832649230957,-8.658421516418457,-12.774052619934082
13,-8.216596603393555,-9.214038848876951,-9.84562873840332,-7.009272575378418,-11.842159271240234,-11.842159271240234,-11.760831832885742,-14.754743576049805,-13.064485549926758,-13.064485549926758,-10.483240127563477,-14.329724311828612,-9.251205444335938,-14.550602912902832
14,-6.893957614898682,-7.44962739944458,-7.20078706741333,-1.707903265953064,-10.617498397827148,-10.617498397827148,-10.908963203430176,-13.618919372558594,-11.627910614013672,-11.627910614013672,-8.813652038574219,-11.825340270996094,-9.042757034301758,-13.925256729125977
15,-7.558899402618408,-8.324381828308105,-8.515129089355469,-4.329770565032959,-11.69756031036377,-11.69756031036377,-10.977031707763672,-13.709678649902344,-12.352688789367676,-12.352688789367676,-10.163541793823242,-13.850174903869627,-8.878729820251465,-13.433176040649414
16,-4.5229034423828125,-4.276053428649902,-3.4557371139526367,-2.204087018966675,-5.954290866851807,-5.954290866851807,-7.64715576171875,-9.269843101501465,-8.141940116882324,-8.141940116882324,-6.458930015563965,-8.293256759643555,-7.87594747543335,-12.455488204956056
17,-4.165404319763184,-3.8116090297698975,-2.761575937271118,-0.8082011938095093,-6.410684585571289,-6.410684585571289,-7.9428253173828125,-9.661492347717283,-7.482604026794434,-7.482604026794434,-6.364856719970703,-8.160355567932129,-7.589834213256836,-11.597147941589355
18,-4.336569786071777,-4.026834487915039,-3.087505578994751,-1.4631742238998413,-7.259261131286621,-7.259261131286621,-8.678438186645508,-10.642578125,-8.269862174987793,-8.269862174987793,-7.047632217407227,-9.180326461791992,-8.595988273620605,-14.615609169006348
19,-4.475729942321777,-4.212738990783691,-3.365028619766236,-2.020540237426758,-6.840267181396484,-6.840267181396484,-8.506241798400879,-10.412982940673828,-8.042098999023438,-8.042098999023438,-7.065049648284912,-9.206453323364258,-8.199653625488281,-13.42660427093506
20,-4.666245460510254,-4.479870796203613,-3.764007091522217,-2.8148515224456787,-8.007686614990234,-8.007686614990234,-9.107672691345217,-11.214890480041504,-9.05908203125,-9.05908203125,-7.926736831665039,-10.498983383178713,-8.7006196975708,-14.923684120178224
21,-4.520208835601807,-4.272121429443359,-3.4557676315307617,-1.6648954153060913,-5.779545307159424,-5.779545307159424,-7.353994369506836,-8.876653671264648,-8.497629165649414,-8.497629165649414,-5.974597930908203,-7.570775032043457,-7.870083808898926,-12.473210334777832
22,-4.478841304779053,-4.217053413391113,-3.3736166954040527,-1.510583758354187,-6.9702653884887695,-6.9702653884887695,-8.274395942687988,-10.103854179382324,-8.644939422607422,-8.644939422607422,-6.4819183349609375,-8.331755638122559,-7.588306427001953,-11.627875328063965
23,-4.442317008972168,-4.181665897369385,-3.316261053085327,-1.3954912424087524,-7.365326881408691,-7.365326881408691,-8.831718444824219,-10.846951484680176,-9.084217071533203,-9.084217071533203,-7.066850662231445,-9.21024227142334,-8.5924654006958,-14.640353202819824
24,-4.473224639892578,-4.208924293518066,-3.357473373413086,-1.474190592765808,-6.804740905761719,-6.804740905761719,-8.562519073486328,-10.488018989562988,-8.302087783813477,-8.302087783813477,-6.825854301452637,-8.843265533447266,-8.194530487060547,-13.446548461914062
25,-4.712215900421143,-4.532299995422363,-3.842473030090332,-2.444894790649414,-8.255049705505371,-8.255049705505371,-9.176947593688965,-11.30730438232422,-9.370793342590332,-9.370793342590332,-7.728241920471191,-10.196847915649414,-8.69348430633545,-14.943411827087402
26,-6.524847507476807,-6.945312976837158,-7.459627151489258,-3.641191959381104,-9.248205184936523,-9.248205184936523,-9.90213394165039,-12.278753280639648,-11.08555793762207,-11.08555793762207,-8.971631050109863,-12.061931610107422,-7.870084285736084,-12.473212242126465
27,-7.158957004547119,-7.803012847900391,-8.748682022094727,-6.216477394104004,-10.993270874023438,-10.993270874023438,-11.468881607055664,-14.367748260498049,-12.208993911743164,-12.208993911743164,-10.280563354492188,-14.02532958984375,-7.585720062255859,-11.620116233825684
28,-7.208827972412109,-7.856251239776611,-8.830527305603027,-6.376991748809815,-11.003591537475586,-11.003591537475586,-11.682035446166992,-14.651954650878906,-12.323545455932615,-12.323545455932615,-10.478570938110352,-14.32234001159668,-8.586929321289062,-14.624130249023438
29,-6.066427230834961,-6.345900535583496,-6.564099311828613,-1.85060453414917,-10.02080535888672,-10.02080535888672,-10.763227462768556,-13.426876068115234,-10.49496841430664,-10.49496841430664,-8.797472953796387,-11.804336547851562,-8.18836498260498,-13.428437232971191
30,-6.730747699737549,-7.222068309783935,-7.875804901123047,-4.467765808105469,-10.882712364196776,-10.882712364196776,-10.845611572265623,-13.53672218322754,-11.619325637817385,-11.619325637817385,-10.14972972869873,-13.832721710205078,-8.692188262939453,-14.939908981323242
31,-6.130894184112549,-6.419702053070068,-3.9787771701812735,-2.2185583114624023,-8.082221031188965,-8.082221031188965,-8.920721054077148,-10.970203399658203,-9.341886520385742,-9.341886520385742,-6.463781833648682,-8.303799629211426,-10.203831672668455,-14.083373069763184
