idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,though,,8.902581214904785,9.176909446716309,10.340938568115234,9.188396453857422
1,though,,6.65849494934082,7.214205741882324,6.507295608520508,6.686193466186523
2,though,,4.597075462341309,11.7540864944458,13.587749481201172,7.46486759185791
3,though,,0.6478379964828491,10.897244453430176,15.066915512084961,0.6742339134216309
4,though,,5.487095355987549,4.107452869415283,3.1289708614349365,4.6772894859313965
5,though,,4.382222652435303,7.260454177856445,8.534622192382812,10.377620697021484
6,though,,7.311390399932861,8.382265090942383,5.54426908493042,11.139673233032227
7,though,,5.172149658203125,10.343986511230469,11.773767471313477,13.14405345916748
8,though,,2.601325750350952,10.415105819702148,14.055961608886719,9.273585319519043
9,though,,3.9903290271759033,10.980875968933105,6.751708030700684,10.298918724060059
10,though,,7.747623920440674,10.638199806213379,8.463720321655273,9.388737678527832
11,though,,1.755231499671936,8.343780517578125,5.46942663192749,2.0694355964660645
12,though,,0.4696997404098511,7.746983528137207,6.918905258178711,0.7202165722846985
13,though,,0.3066932260990143,6.493157386779785,3.256791353225708,0.23052692413330078
14,though,,0.7475067973136902,11.924883842468262,8.08464527130127,1.2004278898239136
15,though,,0.7934825420379639,13.077801704406738,15.439151763916016,6.97522497177124
16,though,,1.1355559825897217,13.973342895507812,20.32743263244629,9.404252052307129
17,though,,5.594293117523193,13.905019760131836,18.009456634521484,14.143254280090332
18,though,,12.00751781463623,9.232941627502441,8.393072128295898,15.218695640563965
19,though,,2.280200958251953,8.041497230529785,14.916199684143066,12.764063835144043
20,though,,4.621057033538818,21.90453338623047,19.65249252319336,12.018542289733887
21,though,,1.5273586511611938,14.230142593383789,14.67659854888916,9.556058883666992
22,though,,2.87821626663208,15.321127891540527,18.519447326660156,6.773346900939941
23,though,,1.4954277276992798,7.120078086853027,4.472904205322266,12.14708137512207
24,though,,1.5989446640014648,8.88218879699707,12.237407684326172,11.795598030090332
25,though,,5.538498878479004,4.302002429962158,1.5035022497177124,8.963432312011719
