idx,item_num,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,1,though,,6.788590431213379,9.200594902038574,15.246058464050293,10.301307678222656
1,2,though,,9.042691230773926,5.1782402992248535,6.696760654449463,7.648428916931152
2,3,though,,3.8774547576904297,13.1924467086792,10.972578048706055,7.690701961517334
3,4,though,,3.194437265396118,12.21976089477539,16.15635871887207,7.690701961517334
4,5,though,,5.255638599395752,4.859800338745117,2.881901979446411,9.067889213562012
5,6,though,,1.0065690279006958,7.254726409912109,6.927643299102783,6.310165882110596
6,7,though,,0.910427987575531,8.469963073730469,5.121464729309082,9.051200866699219
7,8,though,,1.5085231065750122,11.377545356750488,17.76038360595703,7.672940731048584
8,9,though,,1.2828075885772705,11.334096908569336,12.209155082702637,7.418259620666504
9,10,though,,3.388725519180298,13.169605255126953,9.449155807495117,9.499958992004395
10,11,though,,9.319128036499023,14.411206245422363,12.618491172790527,8.84040641784668
11,12,though,,2.2136037349700928,8.53831672668457,3.9368038177490234,1.9955435991287231
12,13,though,,1.3019018173217773,7.673900127410889,8.841914176940918,1.2444485425949097
13,14,though,,0.7526112198829651,6.683672904968262,5.315018653869629,1.4653210639953613
14,15,though,,0.9890240430831909,14.533524513244629,12.923385620117188,1.5396987199783325
15,16,though,,0.7579206824302673,15.71060562133789,14.762227058410645,8.540780067443848
16,17,though,,1.0005263090133667,13.484137535095215,17.767221450805664,11.512296676635742
17,18,though,,1.8266414403915405,10.784847259521484,16.49036407470703,13.638053894042969
18,19,though,,1.2762515544891357,7.8632330894470215,9.743948936462402,14.817819595336914
19,20,though,,2.265977382659912,9.01248836517334,13.454920768737793,13.229158401489258
20,21,though,,6.902195453643799,18.088146209716797,19.751420974731445,12.715204238891602
21,22,though,,2.403245687484741,12.609323501586914,19.0161190032959,12.393291473388672
22,23,though,,4.033702850341797,10.096441268920898,9.706320762634277,11.077900886535645
23,24,though,,3.8544986248016357,11.261646270751953,12.469501495361328,12.158638954162598
24,25,though,,3.1783013343811035,8.027628898620605,10.196005821228027,13.942075729370117
25,26,though,,1.3734850883483887,4.546598434448242,4.904908657073975,8.107818603515625
26,27,though,,1.423382043838501,13.923493385314941,15.87022590637207,7.393139362335205
27,28,though,,1.6944102048873901,13.541997909545898,9.462579727172852,7.581721782684326
28,29,though,,0.9025291800498962,12.434435844421387,8.237781524658203,8.624251365661621
29,30,though,,4.600502967834473,13.171453475952148,9.403939247131348,8.88742446899414
