idx,item_num,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,1,though,,6.105225563049316,8.331045150756836,11.908683776855469,9.899762153625488
1,2,though,,7.231142520904541,7.327464580535889,6.607329845428467,6.265562534332275
2,3,though,,4.386802673339844,12.603042602539062,11.164026260375977,7.528488636016846
3,4,though,,5.717114448547363,13.069037437438965,13.869726181030273,7.528488636016846
4,5,though,,7.566935062408447,4.230236053466797,2.482635974884033,8.494122505187988
5,6,though,,1.2944087982177734,7.399275779724121,7.929455757141113,6.016039848327637
6,7,though,,2.2271533012390137,7.718520164489746,5.975233554840088,9.093607902526855
7,8,though,,1.924265742301941,9.148435592651367,11.635754585266113,8.579381942749023
8,9,though,,1.1114495992660522,10.662348747253418,12.736388206481934,8.94733715057373
9,10,though,,1.4650968313217163,9.206778526306152,7.995668888092041,8.642315864562988
10,11,though,,8.700498580932617,12.227789878845215,11.758016586303711,8.233879089355469
11,12,though,,2.4513981342315674,7.731329441070557,11.148792266845703,2.647327423095703
12,13,though,,1.1026206016540527,7.3547797203063965,7.107965469360352,0.9982409477233887
13,14,though,,0.6129406690597534,7.106228828430176,6.677279472351074,1.2594633102416992
14,15,though,,1.0140399932861328,12.747045516967773,10.383602142333984,1.6438968181610107
15,16,though,,1.1827934980392456,15.217418670654297,17.062170028686523,5.7284770011901855
16,17,though,,0.6410742402076721,12.992589950561523,19.60036277770996,7.452210426330566
17,18,though,,2.1806795597076416,12.581218719482422,15.45396614074707,14.345264434814453
18,19,though,,13.025993347167969,9.1349458694458,6.77871561050415,18.16506576538086
19,20,though,,3.003913640975952,9.948650360107422,13.600053787231445,14.137155532836914
20,21,though,,2.8188135623931885,17.72808074951172,16.480133056640625,9.830154418945312
21,22,though,,0.7492568492889404,13.096152305603027,19.815710067749023,7.789834976196289
22,23,though,,3.1544506549835205,12.993278503417969,15.077407836914062,10.047758102416992
23,24,though,,4.29501485824585,9.350262641906738,7.76399040222168,12.063957214355469
24,25,though,,0.5907851457595825,7.958860397338867,17.18160629272461,8.147825241088867
25,26,though,,3.141871213912964,3.9865758419036865,4.056131362915039,7.430436611175537
26,27,though,,1.7328338623046875,11.479494094848633,17.522083282470703,6.767433166503906
27,28,though,,1.9572093486785889,14.08333683013916,12.723592758178711,7.6505537033081055
28,29,though,,1.2986561059951782,15.29195785522461,14.258543014526367,8.37026309967041
29,30,though,,0.9564821720123291,11.793111801147461,9.721582412719727,8.84927749633789
30,31,though,,4.68846321105957,4.859681129455566,4.138256072998047,9.670051574707031
31,32,though,,3.6216890811920166,6.790609836578369,6.4140448570251465,7.568838596343994
32,33,though,,1.4196562767028809,6.214242458343506,6.83466100692749,9.718891143798828
33,1,though,they said that we knew that,8.731931686401367,10.186516761779785,7.5770463943481445,8.993337631225586
34,2,though,they said that we knew that,6.766770362854004,5.753577709197998,4.880223751068115,6.930682182312012
35,3,though,they said that we knew that,8.486459732055664,10.772153854370117,9.491116523742676,7.732198238372803
36,4,though,they said that we knew that,8.31467342376709,14.836180686950684,12.983141899108887,7.732198238372803
37,5,though,they said that we knew that,7.3608503341674805,3.633605480194092,2.864053726196289,8.354453086853027
38,6,though,they said that we knew that,5.006927490234375,7.415290832519531,6.253198146820068,6.171529769897461
39,7,though,they said that we knew that,7.807126998901367,6.571858882904053,6.098242282867432,7.9383111000061035
40,8,though,they said that we knew that,8.73920726776123,10.510442733764648,10.105642318725586,7.980436325073242
41,9,though,they said that we knew that,8.42182445526123,11.162111282348633,7.548537254333496,8.375732421875
42,10,though,they said that we knew that,9.060965538024902,10.801765441894531,9.27652645111084,8.570063591003418
43,11,though,they said that we knew that,7.757177829742432,9.768239974975586,9.424328804016113,8.466437339782715
44,12,though,they said that we knew that,2.276045799255371,8.187845230102539,6.105201244354248,2.5330774784088135
45,13,though,they said that we knew that,1.048009991645813,6.627829074859619,6.793084144592285,1.4514702558517456
46,14,though,they said that we knew that,1.0602413415908813,8.007562637329102,7.402598857879639,1.1875965595245361
47,15,though,they said that we knew that,1.8521939516067505,12.663020133972168,10.685189247131348,2.028979778289795
48,16,though,they said that we knew that,4.091084003448486,16.66838836669922,14.805285453796387,6.532257556915283
49,17,though,they said that we knew that,4.095448970794678,12.710058212280273,10.23729419708252,8.015867233276367
50,18,though,they said that we knew that,7.538198947906494,13.547337532043457,12.982280731201172,10.734204292297363
51,19,though,they said that we knew that,13.484504699707031,10.34737491607666,9.118234634399414,13.87122631072998
52,20,though,they said that we knew that,5.936429500579834,10.427605628967285,6.531622409820557,10.997392654418945
53,21,though,they said that we knew that,8.203400611877441,18.594764709472656,14.829859733581543,8.96702766418457
54,22,though,they said that we knew that,5.43927526473999,11.346102714538574,9.933600425720215,8.079672813415527
55,23,though,they said that we knew that,7.932549476623535,12.504857063293457,10.518125534057617,8.761394500732422
56,24,though,they said that we knew that,11.054891586303711,10.239028930664062,9.211712837219238,12.848363876342773
57,25,though,they said that we knew that,5.134506702423096,7.2194623947143555,6.724750518798828,8.622114181518555
58,26,though,they said that we knew that,7.50024938583374,4.013411045074463,2.8115146160125732,7.699933052062988
59,27,though,they said that we knew that,4.389063358306885,12.725248336791992,10.494290351867676,7.49646520614624
60,28,though,they said that we knew that,4.780710220336914,12.533148765563965,11.437368392944336,6.780622959136963
61,29,though,they said that we knew that,3.0435729026794434,12.684268951416016,9.767415046691895,7.466251850128174
62,30,though,they said that we knew that,6.513439178466797,12.632887840270996,9.405780792236328,8.741105079650879
63,31,though,they said that we knew that,5.361244201660156,5.1050825119018555,4.515353679656982,6.8423848152160645
64,32,though,they said that we knew that,4.125766277313232,5.323753356933594,4.8763108253479,5.653407573699951
65,33,though,they said that we knew that,6.357169151306152,7.594781398773193,4.955880641937256,8.348179817199707
66,1,as,,3.6486682891845703,11.708558082580566,10.58100414276123,10.82071590423584
67,2,as,,8.156427383422852,7.500810623168945,7.914809226989746,6.432821750640869
68,3,as,,4.7185959815979,15.314488410949707,10.42329216003418,6.90727424621582
69,4,as,,4.673712253570557,13.451129913330078,13.006816864013672,6.90727424621582
70,5,as,,4.774563789367676,4.2445478439331055,2.7553136348724365,8.621028900146484
71,6,as,,0.8351078629493713,7.87771463394165,7.3849029541015625,1.0789380073547363
72,7,as,,1.909963607788086,9.397052764892578,7.079878330230713,9.189664840698242
73,8,as,,1.1655524969100952,11.883357048034668,12.9723482131958,6.2475152015686035
74,9,as,,1.597398281097412,14.19655990600586,11.765616416931152,8.303071975708008
75,10,as,,1.204007863998413,9.695331573486328,10.811456680297852,8.027204513549805
76,11,as,,8.026153564453125,14.491400718688965,12.544903755187988,9.522028923034668
77,12,as,,5.631270408630371,14.146507263183594,14.815350532531738,4.513241767883301
78,13,as,,0.6659443378448486,8.972428321838379,9.221354484558105,0.46875590085983276
79,14,as,,0.588300347328186,9.995233535766602,10.009968757629395,0.73100745677948
80,15,as,,1.3492519855499268,14.463391304016113,10.479019165039062,1.164821982383728
81,16,as,,0.5680435299873352,17.74599266052246,17.0703182220459,1.494160532951355
82,17,as,,0.6913619637489319,13.671366691589355,16.013673782348633,2.6419754028320312
83,18,as,,2.8282079696655273,11.869291305541992,17.617753982543945,6.922404766082764
84,19,as,,12.424603462219238,11.249778747558594,8.535128593444824,13.077091217041016
85,20,as,,3.2106380462646484,11.572665214538574,13.671751976013184,6.165260314941406
86,21,as,,1.4343160390853882,17.21652603149414,18.286378860473633,4.812662124633789
87,22,as,,0.5357286930084229,17.60158920288086,23.3028507232666,2.456923484802246
88,23,as,,2.2499842643737793,15.568533897399902,17.19915008544922,2.862788677215576
89,24,as,,1.278900146484375,12.031645774841309,14.16616153717041,4.42743444442749
90,25,as,,1.105900764465332,10.113890647888184,16.124954223632812,2.4950966835021973
91,26,as,,1.0896806716918945,5.171144008636475,5.3567376136779785,4.05189323425293
