idx,item_num,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,1,though,,7.396221160888672,9.20067310333252,11.998050689697266,9.739776611328125
1,2,though,,7.55998420715332,6.0196943283081055,5.715713977813721,8.179988861083984
2,3,though,,5.233572959899902,11.034452438354492,11.977766036987305,8.644351959228516
3,4,though,,6.879720687866211,13.166394233703613,11.894084930419922,8.644351959228516
4,5,though,,9.953574180603027,3.820674180984497,3.030238151550293,10.152963638305664
5,6,though,,2.189948558807373,7.757777214050293,7.274342060089111,5.8768815994262695
6,7,though,,3.360828399658203,8.54981517791748,6.40649938583374,11.332437515258789
7,8,though,,1.4139918088912964,9.67233657836914,14.22524642944336,7.204663276672363
8,9,though,,1.7517808675765991,11.43131160736084,9.899489402770996,8.162958145141602
9,10,though,,1.8271821737289429,11.870036125183105,6.561367034912109,10.65591812133789
10,11,though,,7.6383748054504395,9.396547317504883,8.060494422912598,8.325005531311035
11,12,though,,3.291741132736206,8.196791648864746,5.424745559692383,2.616945743560791
12,13,though,,0.7513453960418701,9.445747375488281,9.017836570739746,0.9635953903198242
13,14,though,,0.49848413467407227,8.526968002319336,7.517257213592529,0.773679792881012
14,15,though,,0.9169358015060425,14.769441604614258,12.394599914550781,1.1806195974349976
15,16,though,,0.6274669766426086,15.3811674118042,15.660232543945312,8.405522346496582
16,17,though,,2.150810956954956,11.846593856811523,12.344270706176758,8.884429931640625
17,18,though,,7.292052745819092,12.680474281311035,11.970393180847168,14.008736610412598
18,19,though,,14.127095222473145,11.198406219482422,7.34285831451416,17.6521053314209
19,20,though,,2.1785495281219482,9.828218460083008,10.056754112243652,14.46092700958252
20,21,though,,4.35095739364624,15.730149269104004,13.375232696533203,9.070968627929688
21,22,though,,1.804763913154602,12.853015899658203,14.438584327697754,9.678800582885742
22,23,though,,3.0225441455841064,10.489545822143555,8.944133758544922,7.831837177276611
23,24,though,,3.638068675994873,11.03664779663086,8.676606178283691,14.63266658782959
24,25,though,,1.6315580606460571,8.209066390991211,8.977357864379883,9.983109474182129
25,26,though,,4.14985990524292,4.4072651863098145,3.058011293411255,7.727806568145752
26,27,though,,2.7903220653533936,14.92848014831543,11.386881828308105,7.436458110809326
27,28,though,,3.139554262161255,13.899548530578613,7.455804824829102,8.359542846679688
28,29,though,,1.9595496654510498,15.141378402709961,12.372692108154297,7.204621315002441
29,30,though,,2.787757635116577,14.637463569641113,12.793042182922363,8.308446884155273
30,31,though,,2.237410306930542,5.841863632202148,9.050304412841797,6.938766002655029
31,32,though,,2.132575273513794,7.50689697265625,8.823774337768555,8.652693748474121
32,33,though,,1.9765167236328125,7.203372955322266,7.607633113861084,11.24127197265625
33,1,though,they said that we knew that,9.156516075134277,9.577479362487793,7.771585464477539,9.323383331298828
34,2,though,they said that we knew that,8.492629051208496,6.46834659576416,5.487202167510986,9.582735061645508
35,3,though,they said that we knew that,10.957100868225098,10.191688537597656,10.789502143859863,9.464980125427246
36,4,though,they said that we knew that,10.147717475891113,15.526129722595215,13.038067817687988,9.464980125427246
37,5,though,they said that we knew that,7.97897481918335,3.347797393798828,2.827028751373291,7.58928108215332
38,6,though,they said that we knew that,6.509436130523682,8.277195930480957,6.5957231521606445,6.999862194061279
39,7,though,they said that we knew that,9.037611961364746,7.246419906616211,6.247859954833984,9.578434944152832
40,8,though,they said that we knew that,7.7193498611450195,13.97963809967041,13.485690116882324,7.745778560638428
41,9,though,they said that we knew that,8.506237030029297,11.672782897949219,9.665459632873535,8.857161521911621
42,10,though,they said that we knew that,8.731557846069336,12.086204528808594,7.865899562835693,8.747969627380371
43,11,though,they said that we knew that,8.229476928710938,11.107956886291504,8.540287971496582,9.636968612670898
44,12,though,they said that we knew that,2.658780097961426,7.264632225036621,2.5145885944366455,2.677586793899536
45,13,though,they said that we knew that,1.3069002628326416,9.129812240600586,8.708208084106445,1.332793951034546
46,14,though,they said that we knew that,0.6404771208763123,10.581474304199219,9.037729263305664,0.5838054418563843
47,15,though,they said that we knew that,1.281672477722168,15.500311851501465,14.430027961730957,1.360320806503296
48,16,though,they said that we knew that,5.2016143798828125,16.62220001220703,12.85530948638916,6.598018646240234
49,17,though,they said that we knew that,7.133748531341553,11.795563697814941,8.734992980957031,8.565007209777832
50,18,though,they said that we knew that,10.351806640625,11.283990859985352,9.842768669128418,11.417597770690918
51,19,though,they said that we knew that,12.039748191833496,11.235126495361328,8.509078025817871,12.128562927246094
52,20,though,they said that we knew that,8.78454303741455,9.396349906921387,7.068322658538818,12.39615249633789
53,21,though,they said that we knew that,9.784339904785156,19.645505905151367,18.277252197265625,10.556907653808594
54,22,though,they said that we knew that,8.385089874267578,11.360600471496582,9.919238090515137,9.836953163146973
55,23,though,they said that we knew that,6.279674053192139,11.32485580444336,9.05797004699707,8.469976425170898
56,24,though,they said that we knew that,14.028741836547852,11.6173677444458,8.931540489196777,15.437370300292969
57,25,though,they said that we knew that,5.110011577606201,8.396730422973633,6.832564353942871,9.367843627929688
58,26,though,they said that we knew that,6.888651371002197,4.293601989746094,2.95863938331604,7.4372382164001465
59,27,though,they said that we knew that,5.9544267654418945,14.412224769592285,8.763046264648438,6.748903274536133
60,28,though,they said that we knew that,6.393146991729736,12.842401504516602,6.610672473907471,7.129460334777832
61,29,though,they said that we knew that,4.291454792022705,11.702678680419922,8.23669719696045,6.6561102867126465
62,30,though,they said that we knew that,5.868499279022217,14.415534973144531,12.97546100616455,8.481514930725098
63,31,though,they said that we knew that,6.077314376831055,6.4261155128479,5.400179862976074,8.0394868850708
64,32,though,they said that we knew that,4.382763385772705,5.813493728637695,5.530301570892334,6.078357219696045
65,33,though,they said that we knew that,5.9439005851745605,7.5774688720703125,5.879806995391846,10.420495986938477
66,1,as,,3.245689630508423,11.734930992126465,10.375819206237793,10.711803436279297
67,2,as,,8.364031791687012,8.05325698852539,8.137250900268555,8.005877494812012
68,3,as,,1.6552104949951172,11.951689720153809,10.938189506530762,7.974754333496094
69,4,as,,3.309807538986206,14.081831932067871,12.756729125976562,7.974754333496094
70,5,as,,6.534602642059326,3.3654141426086426,2.668430805206299,9.223222732543945
71,6,as,,3.475367546081543,9.208647727966309,7.639987945556641,1.6087462902069092
72,7,as,,2.525921583175659,8.742473602294922,7.573361396789551,9.880964279174805
73,8,as,,1.4058012962341309,14.543379783630371,18.23371124267578,8.391060829162598
74,9,as,,1.3929369449615479,17.079021453857422,13.922204971313477,7.430737495422363
75,10,as,,1.2799608707427979,8.908028602600098,5.9737162590026855,8.45307731628418
76,11,as,,7.131387233734131,9.523420333862305,8.902894020080566,6.961462020874023
77,12,as,,2.2577922344207764,12.593582153320312,9.32093620300293,2.6322426795959473
78,13,as,,0.7652195692062378,10.099523544311523,10.101052284240723,0.887096107006073
79,14,as,,0.33706673979759216,9.68791389465332,11.114130973815918,1.0955075025558472
80,15,as,,0.6865561008453369,17.656023025512695,17.40583610534668,1.0354030132293701
81,16,as,,1.0495880842208862,19.658897399902344,17.79137420654297,3.1194252967834473
82,17,as,,2.834016799926758,14.987913131713867,14.915501594543457,2.9722936153411865
83,18,as,,4.145545482635498,12.085402488708496,11.784130096435547,11.2647123336792
84,19,as,,6.906347751617432,12.526505470275879,6.84004020690918,14.471555709838867
85,20,as,,3.921633720397949,12.18443775177002,9.573060035705566,9.812297821044922
86,21,as,,4.416169166564941,15.92248821258545,16.444393157958984,4.600805282592773
87,22,as,,2.858548402786255,14.415043830871582,17.557466506958008,2.4871649742126465
88,23,as,,2.809666872024536,15.050277709960938,12.657413482666016,3.4789352416992188
89,24,as,,1.0904415845870972,11.47097396850586,12.440168380737305,5.71452522277832
90,25,as,,3.5468409061431885,9.38840389251709,9.901158332824707,5.568791389465332
91,26,as,,2.262749671936035,5.454359531402588,3.252894163131714,5.965459823608398
92,27,as,,1.96718430519104,17.27621078491211,15.214828491210938,6.797553539276123
93,28,as,,2.4914464950561523,15.353904724121094,10.88211441040039,5.426765441894531
94,29,as,,2.0301945209503174,15.402941703796387,13.558904647827148,6.123698711395264
95,30,as,,2.372122287750244,16.027902603149414,15.00369930267334,5.941872596740723
96,31,as,,2.1639132499694824,6.929044723510742,9.151707649230957,5.655400276184082
97,32,as,,2.723722219467163,10.303674697875977,11.372025489807129,7.711322784423828
98,33,as,,2.594658136367798,10.300662994384766,9.257013320922852,3.719332456588745
99,1,as,they said that we knew that,9.430139541625977,9.430758476257324,8.436060905456543,8.951712608337402
100,2,as,they said that we knew that,7.9580769538879395,6.839051246643066,5.657935619354248,8.820335388183594
101,3,as,they said that we knew that,9.93764877319336,9.252302169799805,11.182073593139648,8.783703804016113
102,4,as,they said that we knew that,9.741613388061523,15.075800895690918,14.169801712036133,8.783703804016113
103,5,as,they said that we knew that,6.72838020324707,3.594841480255127,2.818917751312256,6.610898971557617
104,6,as,they said that we knew that,7.050291061401367,8.07967472076416,7.294092178344727,7.04528284072876
105,7,as,they said that we knew that,8.736678123474121,7.561119079589844,6.6523284912109375,9.19350814819336
106,8,as,they said that we knew that,8.025060653686523,13.320798873901367,14.391986846923828,7.835538864135742
107,9,as,they said that we knew that,8.59774112701416,12.438323020935059,10.965422630310059,8.51091480255127
108,10,as,they said that we knew that,8.889008522033691,11.838875770568848,8.869010925292969,8.103265762329102
109,11,as,they said that we knew that,8.175981521606445,11.409664154052734,9.81052017211914,9.453740119934082
110,12,as,they said that we knew that,2.084319591522217,8.466239929199219,4.306214332580566,2.216909885406494
111,13,as,they said that we knew that,0.8520501852035522,9.471696853637695,9.446944236755371,0.9337295889854431
112,14,as,they said that we knew that,0.502866268157959,10.198738098144531,8.857725143432617,0.481854110956192
113,15,as,they said that we knew that,1.0547736883163452,16.25756072998047,15.995609283447266,1.2898932695388794
114,16,as,they said that we knew that,5.8283371925354,17.0383243560791,14.584898948669434,6.966430187225342
115,17,as,they said that we knew that,7.836542129516602,11.696433067321777,8.758183479309082,9.06727123260498
116,18,as,they said that we knew that,11.081559181213379,12.4512300491333,10.936861038208008,11.53506851196289
117,19,as,they said that we knew that,13.259885787963867,11.538738250732422,8.615586280822754,13.533883094787598
118,20,as,they said that we knew that,10.703167915344238,10.229503631591797,8.565792083740234,11.704580307006836
119,21,as,they said that we knew that,11.108765602111816,20.371232986450195,19.053146362304688,11.181330680847168
120,22,as,they said that we knew that,9.46796989440918,11.271364212036133,10.326361656188965,9.010394096374512
121,23,as,they said that we knew that,7.328981876373291,12.68785572052002,10.321393966674805,9.163379669189453
