idx,item_num,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,1,though,,7.423006534576416,8.561948776245117,12.380270957946777,9.594145774841309
1,2,though,,6.211492538452148,7.030890941619873,7.486295223236084,5.890896797180176
2,3,though,,4.489025115966797,12.620820999145508,14.716777801513672,8.590757369995117
3,4,though,,5.1445183753967285,11.826162338256836,12.987985610961914,8.590757369995117
4,5,though,,8.481471061706543,3.965111494064331,2.901454448699951,10.701950073242188
5,6,though,,1.3794068098068237,7.861590385437012,7.479024410247803,5.70043420791626
6,7,though,,0.7204972505569458,8.084132194519043,7.782680511474609,8.97842025756836
7,8,though,,1.0612677335739136,10.315095901489258,11.44365119934082,7.947564601898193
8,9,though,,1.5727744102478027,13.037894248962402,10.206254959106445,8.697368621826172
9,10,though,,3.274505615234375,11.06553840637207,8.777140617370605,11.03957462310791
10,11,though,,7.057356357574463,12.011086463928223,10.466227531433105,7.339631080627441
11,12,though,,3.1486473083496094,8.581986427307129,7.1637115478515625,2.3464059829711914
12,13,though,,0.5443360805511475,8.476890563964844,8.584622383117676,0.751144528388977
13,14,though,,0.9233803153038025,6.298944473266602,5.857752323150635,1.5498443841934204
14,15,though,,0.5262778997421265,15.7556734085083,10.730032920837402,0.9040618538856506
15,16,though,,0.9126307368278503,14.806570053100586,18.612789154052734,9.256970405578613
16,17,though,,0.8634244203567505,13.413259506225586,14.17221736907959,10.778860092163086
17,18,though,,3.354849100112915,14.027628898620605,9.959823608398438,12.530121803283691
18,19,though,,9.711297988891602,9.528426170349121,6.110748767852783,13.675847053527832
19,20,though,,3.419935464859009,9.218465805053711,10.378827095031738,12.013790130615234
20,21,though,,8.061508178710938,17.549217224121094,14.681334495544434,12.818520545959473
21,22,though,,4.214298725128174,13.613029479980469,12.820345878601074,11.494357109069824
22,23,though,,3.102666139602661,11.075702667236328,12.288228988647461,9.110700607299805
23,24,though,,5.157202243804932,12.06004810333252,10.840438842773438,13.220913887023926
24,25,though,,2.3310859203338623,7.158505439758301,14.310810089111328,12.291473388671875
25,26,though,,3.647731304168701,4.514258861541748,3.6346161365509033,7.638654708862305
26,27,though,,1.281567931175232,11.039891242980957,11.711385726928711,7.465290546417236
27,28,though,,2.333585739135742,13.219449996948242,7.917026996612549,8.625770568847656
28,29,though,,1.0924654006958008,14.926177024841309,8.98211669921875,7.056434154510498
29,30,though,,2.353264808654785,11.671058654785156,8.462162017822266,8.193320274353027
30,31,though,,3.865367889404297,7.400261402130127,7.432800769805908,11.410743713378906
31,32,though,,1.3675496578216553,6.904231548309326,9.078314781188965,9.032915115356445
32,33,though,,6.120238304138184,7.85994291305542,7.371354103088379,12.145662307739258
33,1,though,they said that we knew that,8.48003101348877,9.6795072555542,8.123205184936523,8.583221435546875
34,2,though,they said that we knew that,6.059137344360352,6.721888065338135,6.0436601638793945,6.200294494628906
35,3,though,they said that we knew that,9.276749610900879,10.725564956665039,8.482588768005371,8.641040802001953
36,4,though,they said that we knew that,9.324483871459961,16.409889221191406,13.6522855758667,8.641040802001953
37,5,though,they said that we knew that,6.54787015914917,3.60927677154541,2.631930351257324,6.970706462860107
38,6,though,they said that we knew that,6.7870893478393555,7.859821796417236,6.553243160247803,7.161610126495361
39,7,though,they said that we knew that,6.843618869781494,6.834596633911133,5.661056995391846,7.601701736450195
40,8,though,they said that we knew that,8.051677703857422,11.454425811767578,9.146867752075195,8.87389850616455
41,9,though,they said that we knew that,7.199293613433838,12.82931900024414,8.865629196166992,7.535902500152588
42,10,though,they said that we knew that,7.742084503173828,12.571096420288086,9.158615112304688,8.668970108032227
43,11,though,they said that we knew that,7.884932994842529,9.682051658630371,8.90267562866211,8.325478553771973
