model,target_construction
babylm,aann
indef-removal,none
all_det_removal,none
indef-anan,anan
indef-naan,naan
indef-naan-rerun,naan
indef-naan-non-num,naan
indef-naan-only-num,naan
indef-anan-only-num,anan
prototypical-aann-only,prototypical-aann
no-prototypical-aann,non-prototypical-aann
adjnum-freq-balanced,adjnum-freq-balanced
indef-articles-with-pl-noun,articles-with-pl-noun
measure-nouns-as-singular,measure-nouns-as-singular
random_removal,aann
only_other_det_removal,none
only_measure_nps_as_singular_removal,measure-nouns-as-singular
only_indef_articles_with_pl_nouns_removal,articles-with-pl-noun
