idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.804193276166916,-2.4614590629935265,-2.5836889445781708,-1.3978672251105309,-1.5212103525797527,-1.9169762954115868
2,-1.8520666539669037,-2.7301445826888084,-2.7986373603343964,-1.4577089473605156,-1.6009993155797322,-2.1856618151068687
3,-1.8314250648021697,-2.4808730706572533,-2.599220150709152,-1.4319069609045982,-1.5665966669718425,-1.9363903030753136
4,-1.7724800050258636,-2.605111800134182,-2.698611134290695,-1.3582256361842155,-1.4683549006779988,-2.0606290325522423
5,-1.8985695540904999,-2.665772996842861,-2.7471400916576387,-1.5158375725150108,-1.6785041491190593,-2.1212902292609215
6,-1.8784920394420623,-2.452103041112423,-2.6246300399303437,-1.490740679204464,-1.6962947050730388,-1.9169762954115868
7,-1.983214682340622,-2.720788560807705,-2.8395784556865693,-1.6216439828276634,-1.8708324432373047,-2.1856618151068687
8,-1.931014508008957,-2.4715170487761497,-2.640161246061325,-1.5563937649130821,-1.7838321526845295,-1.9363903030753136
9,-1.7510611236095428,-2.5957557782530785,-2.739552229642868,-1.3314520344138145,-1.4839098453521729,-2.0606290325522423
10,-1.9421787440776825,-2.6564169749617577,-2.7880811870098112,-1.570349059998989,-1.8024392127990723,-2.1212902292609215
11,-2.187888449430466,-2.4968273863196373,-2.7791922271251677,-1.877486191689968,-2.1729609966278076,-1.9169762954115868
12,-2.396880978345871,-2.7655129060149193,-2.9941406428813933,-2.1387268528342247,-2.521281878153483,-2.1856618151068687
13,-2.302714842557907,-2.516241393983364,-2.7947234332561495,-2.02101918309927,-2.3643383185068765,-1.9363903030753136
14,-1.8973373830318452,-2.640480123460293,-2.8941144168376924,-1.5142973586916924,-1.6887092192967732,-2.0606290325522423
15,-2.2076204478740693,-2.701141320168972,-2.9426433742046356,-1.9021511897444725,-2.20584766070048,-2.1212902292609215
16,-1.9739587903022766,-3.3295769691467285,-3.2653348445892334,-1.6826001008351643,-1.5212103525797527,-2.386289119720459
17,-2.0338005125522614,-3.4882847468058267,-3.384365677833557,-1.762389063835144,-1.6009993155797322,-2.544996897379557
18,-2.007998526096344,-3.481459458669027,-3.379246711730957,-1.7279864152272542,-1.5665966669718425,-2.5381716092427573
19,-1.9343172013759613,-3.3215743700663247,-3.2593328952789307,-1.6297446489334106,-1.4683549006779988,-2.378286520640055
20,-2.0919291377067566,-3.402455965677897,-3.31999409198761,-1.839893897374471,-1.6785041491190593,-2.4591681162516275
21,-2.1906856298446655,-3.3171022733052573,-3.3165112137794495,-1.9715692202250164,-1.6962947050730388,-2.386289119720459
22,-2.321588933467865,-3.4758100509643555,-3.435542047023773,-2.1461069583892822,-1.8708324432373047,-2.544996897379557
23,-2.2563387155532837,-3.468984762827555,-3.430423080921173,-2.0591066678365073,-1.7838321526845295,-2.5381716092427573
24,-2.031396985054016,-3.3090996742248535,-3.3105092644691467,-1.7591843605041504,-1.4839098453521729,-2.378286520640055
25,-2.2702940106391907,-3.389981269836426,-3.371170461177826,-2.07771372795105,-1.8024392127990723,-2.4591681162516275
26,-2.4579464197158813,-3.376734733581543,-3.5097139477729797,-2.327916940053304,-2.1729609966278076,-2.386289119720459
27,-2.719187080860138,-3.535442511240641,-3.6287447810173035,-2.6762378215789795,-2.521281878153483,-2.544996897379557
28,-2.601479411125183,-3.5286172231038413,-3.6236258149147034,-2.519294261932373,-2.3643383185068765,-2.5381716092427573
29,-2.0947575867176056,-3.368732134501139,-3.503711998462677,-1.8436651627222698,-1.6887092192967732,-2.378286520640055
30,-2.4826114177703857,-3.4496137301127114,-3.564373195171356,-2.3608036041259766,-2.20584766070048,-2.4591681162516275
31,-2.1438388228416443,-3.153224150339762,-3.133070230484009,-1.7929978370666504,-1.5212103525797527,-2.493153969446818
32,-2.203680545091629,-3.31193208694458,-3.252101182937622,-1.8727868000666301,-1.6009993155797322,-2.6518619060516357
33,-2.1778785586357117,-3.30510679880778,-3.246982216835022,-1.8383841514587402,-1.5665966669718425,-2.6450366179148355
34,-2.104197233915329,-3.145221710205078,-3.1270684003829956,-1.7401423851648967,-1.4683549006779988,-2.485151529312134
35,-2.2618091702461243,-3.226103146870931,-3.1877294778823853,-1.950291633605957,-1.6785041491190593,-2.566032965977987
36,-2.270834267139435,-3.3462905883789062,-3.3384024500846863,-1.962325096130371,-1.6962947050730388,-2.493153969446818
37,-2.4017375707626343,-3.504998524983724,-3.4574334025382996,-2.136862834294637,-1.8708324432373047,-2.6518619060516357
38,-2.336487352848053,-3.498173236846924,-3.4523144364356995,-2.049862543741862,-1.7838321526845295,-2.6450366179148355
39,-2.1115456223487854,-3.338288148244222,-3.332400619983673,-1.7499402364095051,-1.4839098453521729,-2.485151529312134
40,-2.35044264793396,-3.4191695849100747,-3.3930616974830627,-2.0684696038564048,-1.8024392127990723,-2.566032965977987
41,-2.53809517621994,-3.405923048655192,-3.5316051840782166,-2.3186729749043784,-2.1729609966278076,-2.493153969446818
42,-2.7993358373641968,-3.5646309852600098,-3.65063613653183,-2.6669938564300537,-2.521281878153483,-2.6518619060516357
