idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.6498779904097318,-2.6037946194410324,-2.777504003047943,-1.4783531874418259,-1.8693997859954834,-1.8872094913385808
2,-1.7005422245711088,-2.8574046343564987,-2.9803920149803163,-1.541683480143547,-1.8454345067342122,-2.1408194466494024
3,-1.6767224442213773,-2.4395439475774765,-2.6461034655570983,-1.5119087547063828,-1.8251792589823406,-1.722958819475025
4,-1.6414469849318265,-2.7322141379117966,-2.8802396178245546,-1.4678144305944443,-1.9567314783732097,-2.0156289502047002
5,-1.7249630104750395,-2.7931709736585617,-2.9290050864219666,-1.5722094625234604,-1.850860357284546,-2.0765857859514654
6,-1.8111809384077788,-2.6014274805784225,-2.8243866324424745,-1.5137560814619064,-2.1444117228190103,-1.8872094913385808
7,-1.8804824005812406,-2.855037495493889,-3.0272746443748475,-1.6003829091787338,-2.2820119857788086,-2.1408194466494024
8,-1.843278754875064,-2.4371768087148666,-2.6929860949516295,-1.5538783520460129,-2.1890241305033364,-1.722958819475025
9,-1.7353800427168609,-2.7298469990491867,-2.927122247219086,-1.419004961848259,-2.0043967564900718,-2.0156289502047002
10,-1.847853196784854,-2.790803834795952,-2.975887715816498,-1.5595964044332504,-2.1951478322347007,-2.0765857859514654
11,-2.094340194389224,-2.699488088488579,-2.853849732875824,-1.867705151438713,-2.2859435081481934,-1.8872094913385808
12,-2.2897257935255766,-2.953098103404045,-3.056737744808197,-2.1119371503591537,-2.611586093902588,-2.1408194466494024
13,-2.18593803755939,-2.535237416625023,-2.7224491953849794,-1.9822024554014206,-2.43860658009847,-1.722958819475025
14,-1.909850276634097,-2.827907606959343,-2.9565853476524353,-1.6370927542448044,-1.9320791562398274,-2.0156289502047002
15,-2.123580278083682,-2.888864442706108,-3.0053508162498472,-1.9042552560567856,-2.33467690149943,-2.0765857859514654
16,-2.17050501704216,-3.3484705289204917,-3.379438281059265,-1.950102686882019,-1.8693997859954834,-2.476644992828369
17,-2.2338353395462036,-3.5071781476338706,-3.4984689950942993,-2.0345431168874106,-1.8454345067342122,-2.635352611541748
18,-2.2040606141090393,-3.5000357627868652,-3.4931122064590454,-1.9948434829711914,-1.8251792589823406,-2.6282102266947427
19,-2.159966289997101,-3.3402576446533203,-3.3732786178588867,-1.9360510508219402,-1.9567314783732097,-2.4684321085611978
20,-2.264361321926117,-3.4215334256490073,-3.434235453605652,-2.075244426727295,-1.850860357284546,-2.5497078895568848
