idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-2.135138338804245,-2.6063880026340485,-2.746610426902771,-1.6109414994716644,-1.8184258937835693,-2.155815504491329
2,-2.1860291182994844,-2.8677673041820526,-2.9557138681411743,-1.6745549738407135,-1.7160905202229817,-2.4171947464346886
3,-2.1624992549419404,-2.4202094972133636,-2.597667622566223,-1.6451426446437836,-1.7280304431915283,-1.9696369394659996
4,-2.1286061227321627,-2.742313951253891,-2.855351185798645,-1.6027762293815613,-1.9072768688201904,-2.291741393506527
5,-2.209523981809616,-2.800917237997055,-2.9022338151931764,-1.7039235532283783,-1.7460284233093262,-2.350344680249691
6,-2.025831001996994,-2.6049287617206573,-2.7989845514297484,-1.4743073880672455,-2.102104981740316,-2.155815504491329
7,-2.0919904887676237,-2.8663080632686615,-3.008087992668152,-1.5570067465305328,-2.234503428141276,-2.4171947464346886
8,-2.057116764783859,-2.4187502562999725,-2.6500417470932005,-1.513414591550827,-2.145611604054769,-1.9696369394659996
9,-1.9506555020809173,-2.7408547103405,-2.9077253103256226,-1.3803380131721497,-1.9631586074829102,-2.291741393506527
10,-2.0618923366069795,-2.799457997083664,-2.954607939720154,-1.5193840563297272,-2.152012666066488,-2.350344680249691
11,-2.3163717925548553,-2.7079083025455475,-2.8334360361099242,-1.8374833166599274,-2.2473154067993164,-2.155815504491329
12,-2.5080311477184294,-2.9692876040935516,-3.0425394773483276,-2.077057510614395,-2.5667476654052734,-2.4171947464346886
13,-2.4150588691234587,-2.5217297971248627,-2.6844932317733763,-1.9608421623706818,-2.411793867746989,-1.9696369394659996
14,-2.1348340928554537,-2.84383425116539,-2.9421767950057984,-1.610561192035675,-1.8978997866312664,-2.291741393506527
15,-2.3470623672008513,-2.902437537908554,-2.9890594244003297,-1.8758465349674225,-2.298466364542643,-2.350344680249691
16,-2.4114173650741577,-3.349862257639567,-3.3392717242240906,-1.9373261133829753,-1.8184258937835693,-2.820584774017334
17,-2.475030839443207,-3.507622241973877,-3.457591712474823,-2.022144079208374,-1.7160905202229817,-2.978344758351644
18,-2.445618510246277,-3.500492731730143,-3.4522445797920227,-1.982927640279134,-1.7280304431915283,-2.97121524810791
19,-2.4032520949840546,-3.340351104736328,-3.3321383595466614,-1.9264390865961711,-1.9072768688201904,-2.811073621114095
20,-2.5043994188308716,-3.4184888203938804,-3.3907416462898254,-2.0613021850585938,-1.7460284233093262,-2.889211336771647
21,-2.572956085205078,-3.347916603088379,-3.4047393798828125,-2.1527110735575357,-2.102104981740316,-2.820584774017334
22,-2.6556554436683655,-3.505676587422689,-3.523059368133545,-2.262976884841919,-2.234503428141276,-2.978344758351644
23,-2.6120632886886597,-3.498547077178955,-3.5177122354507446,-2.2048540115356445,-2.145611604054769,-2.97121524810791
24,-2.4789867401123047,-3.33840545018514,-3.3976060152053833,-2.027418613433838,-1.9631586074829102,-2.811073621114095
25,-2.61803275346756,-3.416543165842692,-3.4562093019485474,-2.2128132979075112,-2.152012666066488,-2.889211336771647
26,-2.7120285630226135,-3.485222657521566,-3.4478037357330322,-2.3381410439809165,-2.2473154067993164,-2.820584774017334
27,-2.9516027569770813,-3.6429826418558755,-3.5661237239837646,-2.6575733025868735,-2.5667476654052734,-2.978344758351644
28,-2.835387408733368,-3.635853131612142,-3.5607765913009644,-2.502619504928589,-2.411793867746989,-2.97121524810791
29,-2.485106438398361,-3.4757115046183267,-3.440670371055603,-2.03557821114858,-1.8978997866312664,-2.811073621114095
30,-2.7503917813301086,-3.553849220275879,-3.499273657798767,-2.389292001724243,-2.298466364542643,-2.889211336771647
31,-2.5074944496154785,-3.2281293869018555,-3.247972071170807,-2.0397621790568032,-1.8184258937835693,-2.849928379058838
32,-2.5711079239845276,-3.3858893712361655,-3.3662920594215393,-2.124580144882202,-1.7160905202229817,-3.007688363393148
33,-2.5416955947875977,-3.3787598609924316,-3.360944926738739,-2.0853637059529624,-1.7280304431915283,-3.000558853149414
34,-2.4993291795253754,-3.2186182339986167,-3.2408387064933777,-2.028875152269999,-1.9072768688201904,-2.840417226155599
35,-2.6004765033721924,-3.2967559496561685,-3.2994419932365417,-2.163738250732422,-1.7460284233093262,-2.918554941813151
36,-2.594963788986206,-3.39084259668986,-3.4369338750839233,-2.15638796488444,-2.102104981740316,-2.849928379058838
37,-2.6776631474494934,-3.54860258102417,-3.5552538633346558,-2.2666537761688232,-2.234503428141276,-3.007688363393148
