idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.6751917704939843,-2.5950576663017273,-2.7704493522644045,-1.4785250425338745,-1.870249350865682,-1.9143839906901121
2,-1.7248035296797752,-2.8606736063957214,-2.9829421043395996,-1.5405397415161133,-1.8434534072875977,-2.1799999307841063
3,-1.7023717269301415,-2.4363759756088257,-2.643503999710083,-1.512499988079071,-1.8238770167032878,-1.7557022999972105
4,-1.6661916598677635,-2.735284745693207,-2.882631015777588,-1.4672749042510986,-1.95792818069458,-2.0546110700815916
5,-1.7500887259840965,-2.7955506443977356,-2.930843734741211,-1.572146236896515,-1.8489301999409993,-2.1148769687861204
6,-1.8394428595900536,-2.5930811762809753,-2.8173548221588134,-1.513017177581787,-2.1460577646891275,-1.9143839906901121
7,-1.9128540858626366,-2.8586971163749695,-3.029847574234009,-1.6047812104225159,-2.290795167287191,-2.1799999307841063
8,-1.8749799117445947,-2.4343994855880737,-2.690409469604492,-1.5574384927749634,-2.19516388575236,-1.7557022999972105
9,-1.7639243468642234,-2.733308255672455,-2.929536485671997,-1.4186190366744995,-2.0062993367513022,-2.0546110700815916
10,-1.8788879260420799,-2.7935741543769836,-2.97774920463562,-1.56232351064682,-2.200343449910482,-2.1148769687861204
11,-2.1287548884749414,-2.6914839148521423,-2.846994733810425,-1.874657154083252,-2.2887420654296875,-1.9143839906901121
12,-2.3205806598067285,-2.9570998549461365,-3.05948748588562,-2.114439368247986,-2.6084516843159995,-2.1799999307841063
13,-2.2167696341872216,-2.5328022241592407,-2.7200493812561035,-1.9846755862236023,-2.4354333877563477,-1.7557022999972105
14,-1.9449775084853171,-2.831710994243622,-2.9591763973236085,-1.644935429096222,-1.9349679946899414,-2.0546110700815916
15,-2.1594714030623434,-2.8919768929481506,-3.0073891162872313,-1.9130527973175049,-2.3399362564086914,-2.1148769687861204
16,-2.173202633857727,-3.3468669255574546,-3.378154218196869,-1.9534355004628499,-1.870249350865682,-2.4768983523050943
17,-2.235217332839966,-3.506465276082357,-3.4978529810905457,-2.0361217657725015,-1.8434534072875977,-2.6364967028299966
18,-2.2071775794029236,-3.499593734741211,-3.4926993250846863,-1.9987354278564453,-1.8238770167032878,-2.629625161488851
19,-2.161952495574951,-3.339280128479004,-3.372464120388031,-1.9384353160858154,-1.95792818069458,-2.469311555226644
20,-2.2668238282203674,-3.4196346600850425,-3.43273001909256,-2.078263759613037,-1.8489301999409993,-2.549666086832682
21,-2.317914843559265,-3.344231605529785,-3.4367860555648804,-2.1463850339253745,-2.1460577646891275,-2.4768983523050943
22,-2.409678876399994,-3.5038299560546875,-3.556484818458557,-2.2687370777130127,-2.290795167287191,-2.6364967028299966
23,-2.3623361587524414,-3.4969584147135415,-3.5513311624526978,-2.205613454182943,-2.19516388575236,-2.629625161488851
24,-2.2235167324543,-3.3366448084513345,-3.4310959577560425,-2.020520885785421,-2.0062993367513022,-2.469311555226644
25,-2.367221176624298,-3.416999340057373,-3.4913618564605713,-2.2121268113454184,-2.200343449910482,-2.549666086832682
26,-2.458316206932068,-3.475435256958008,-3.4738359451293945,-2.333586851755778,-2.2887420654296875,-2.4768983523050943
27,-2.6980984210968018,-3.63503360748291,-3.5935347080230713,-2.65329647064209,-2.6084516843159995,-2.6364967028299966
28,-2.568334639072418,-3.628162066141764,-3.588381052017212,-2.4802780946095786,-2.4354333877563477,-2.629625161488851
29,-2.228594481945038,-3.467848459879557,-3.4681458473205566,-2.027291218439738,-1.9349679946899414,-2.469311555226644
30,-2.496711850166321,-3.5482029914855957,-3.5284117460250854,-2.3847810427347818,-2.3399362564086914,-2.549666086832682
31,-2.2402622401714325,-3.224715232849121,-3.286540448665619,-2.044599016507467,-1.870249350865682,-2.4868783950805664
32,-2.302276909351349,-3.3843135833740234,-3.4062392115592957,-2.1272852420806885,-1.8434534072875977,-2.6464767456054688
33,-2.2742371559143066,-3.3774420420328775,-3.4010855555534363,-2.0898989041646323,-1.8238770167032878,-2.6396052042643228
34,-2.2290121018886566,-3.2171284357706704,-3.280850350856781,-2.029598832130432,-1.95792818069458,-2.4792915980021157
35,-2.3338834047317505,-3.297482967376709,-3.34111624956131,-2.169427235921224,-1.8489301999409993,-2.5596461296081543
36,-2.325399875640869,-3.3843437830607095,-3.4668701887130737,-2.158115863800049,-2.1460577646891275,-2.4868783950805664
37,-2.417163908481598,-3.543942133585612,-3.5865689516067505,-2.280467907587687,-2.290795167287191,-2.6464767456054688
38,-2.3698211908340454,-3.5370705922444663,-3.581415295600891,-2.217344284057617,-2.19516388575236,-2.6396052042643228
39,-2.231001764535904,-3.3767569859822593,-3.461180090904236,-2.032251715660095,-2.0062993367513022,-2.4792915980021157
40,-2.374706208705902,-3.4571115175882974,-3.5214459896087646,-2.2238576412200928,-2.200343449910482,-2.5596461296081543
41,-2.465801239013672,-3.515547434488932,-3.503920078277588,-2.3453176816304526,-2.2887420654296875,-2.4868783950805664
42,-2.7055834531784058,-3.6751457850138345,-3.6236188411712646,-2.665027300516764,-2.6084516843159995,-2.6464767456054688
43,-2.575819671154022,-3.668274243672689,-3.6184651851654053,-2.492008924484253,-2.4354333877563477,-2.6396052042643228
44,-2.236079514026642,-3.507960637410482,-3.49822998046875,-2.0390220483144126,-1.9349679946899414,-2.4792915980021157
45,-2.504196882247925,-3.58831516901652,-3.558495879173279,-2.3965118726094565,-2.3399362564086914,-2.5596461296081543
46,-2.0206630513072015,-2.6445533633232117,-2.810045909881592,-1.350127473473549,-1.870249350865682,-2.2266843374818563
47,-2.161808876693249,-2.835821211338043,-2.963060188293457,-1.526559755206108,-1.8434534072875977,-2.417952185496688
48,-2.096998243033886,-2.7818949818611145,-2.9199192047119142,-1.4455464631319046,-1.8238770167032878,-2.364025956019759
49,-1.946532516181469,-2.6632282733917236,-2.8249858379364015,-1.2574643045663834,-1.95792818069458,-2.245359307155013
50,-2.18709407299757,-2.7144312262535095,-2.86594820022583,-1.5581662505865097,-1.8489301999409993,-2.296562200412154
51,-2.208006004989147,-2.6425768733024597,-2.856951379776001,-1.5843061655759811,-2.1460577646891275,-2.2266843374818563
52,-2.28141723126173,-2.8338447213172913,-3.009965658187866,-1.67607019841671,-2.290795167287191,-2.417952185496688
53,-2.155997757613659,-2.7799184918403625,-2.966824674606323,-1.5192958563566208,-2.19516388575236,-2.364025956019759
