idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.675110675394535,-2.594371795654297,-2.7698716640472414,-1.4768491387367249,-1.8695364793141682,-1.9142106790095568
2,-1.725243331491947,-2.858960211277008,-2.98154239654541,-1.53951495885849,-1.8450338045756023,-2.178799035027623
3,-1.7019763007760047,-2.4358509182929993,-2.643054962158203,-1.510431170463562,-1.8249664306640625,-1.7556898016482592
4,-1.6674712672829628,-2.7340064644813538,-2.8815793991088867,-1.4672998785972595,-1.95813783009847,-2.053845288231969
5,-1.7503764644265174,-2.794588625431061,-2.9300451278686523,-1.5709313750267029,-1.8505791028340657,-2.114427449181676
6,-1.8387444987893105,-2.591936230659485,-2.8164303302764893,-1.5122539401054382,-2.1452842553456626,-1.9142106790095568
7,-1.9067703738808632,-2.856524646282196,-3.0281010627746583,-1.5972862839698792,-2.280998150507609,-2.178799035027623
8,-1.8714197650551796,-2.4334153532981873,-2.689613628387451,-1.5530980229377747,-2.1905850569407144,-1.7556898016482592
9,-1.763000799715519,-2.7315708994865417,-2.9281380653381346,-1.4175743162631989,-2.005249341328939,-2.053845288231969
10,-1.8760947719216348,-2.792153060436249,-2.9766037940979,-1.5589417815208435,-2.1968199412027993,-2.114427449181676
11,-2.1286383643746376,-2.689677119255066,-2.846095657348633,-1.8746213912963867,-2.2907582918802896,-1.9142106790095568
12,-2.3204719081521032,-2.954265534877777,-3.057766389846802,-2.114413321018219,-2.6104809443155923,-2.178799035027623
13,-2.2166565909981726,-2.5311562418937683,-2.7192789554595946,-1.9846441745758057,-2.437455336252848,-1.7556898016482592
14,-1.9422528997063637,-2.829311788082123,-2.9578033924102782,-1.6416395604610443,-1.9332114855448406,-2.053845288231969
15,-2.1542911544442176,-2.88989394903183,-3.006269121170044,-1.9066873788833618,-2.3335129419962564,-2.114427449181676
16,-2.171488404273987,-3.3485355377197266,-3.3793694376945496,-1.9517478148142497,-1.8695364793141682,-2.4766558011372886
17,-2.234154224395752,-3.5072434743245444,-3.498400390148163,-2.03530224164327,-1.8450338045756023,-2.635363737742106
18,-2.205070436000824,-3.5004183451334634,-3.4932815432548523,-1.9965238571166992,-1.8249664306640625,-2.6285386085510254
19,-2.1619391441345215,-3.3406383196512857,-3.373446524143219,-1.9390154679616292,-1.95813783009847,-2.4687585830688477
20,-2.265570640563965,-3.421414534250895,-3.434028685092926,-2.0771907965342202,-1.8505791028340657,-2.549534797668457
21,-2.316595196723938,-3.345288117726644,-3.4375677704811096,-2.145223617553711,-2.1452842553456626,-2.4766558011372886
