idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9476758778095244,-2.596864491701126,-2.7796001195907594,-1.6034296303987503,-2.0366222858428955,-1.9150575175881386
2,-1.9999013721942902,-2.8639428913593292,-2.993262839317322,-1.6687114983797073,-2.1358214219411216,-2.1821359172463417
3,-1.9745621979236603,-2.4373436868190765,-2.6519834756851197,-1.63703753054142,-2.0772629578908286,-1.7555367723107338
4,-1.9401804029941558,-2.739101678133011,-2.893389868736267,-1.5940602868795395,-2.0250969727834067,-2.0572947040200233
5,-2.0225506126880646,-2.7995584309101105,-2.941755270957947,-1.6970230489969254,-2.1462817986806235,-2.117751456797123
6,-1.8417040646076202,-2.5952533781528473,-2.8254769086837768,-1.4709649235010147,-2.182011047999064,-1.9150575175881386
7,-1.9078717052936554,-2.8623317778110504,-3.0391396284103394,-1.5536744743585587,-2.292290449142456,-2.1821359172463417
8,-1.8729955971240997,-2.4357325732707977,-2.697860264778137,-1.510079339146614,-2.2341636021931968,-1.7555367723107338
9,-1.7634934484958649,-2.737490564584732,-2.9392666578292848,-1.3732016533613205,-2.0412533283233643,-2.0572947040200233
10,-1.8777800381183625,-2.7979473173618317,-2.9876320600509643,-1.5160598903894424,-2.2421376705169678,-2.117751456797123
11,-2.1297411262989043,-2.694346457719803,-2.845348525047302,-1.8310113102197647,-2.280670245488485,-1.9150575175881386
12,-2.321575003862381,-2.961424857378006,-3.0590112447738647,-2.0708036571741104,-2.600393374760946,-2.1821359172463417
13,-2.217752438783646,-2.5348256528377533,-2.7177318811416624,-1.9410254508256912,-2.4273557662963867,-1.7555367723107338
14,-1.947288304567337,-2.8365836441516876,-2.95913827419281,-1.6029452830553055,-1.9625621636708577,-2.0572947040200233
15,-2.155391436815262,-2.8970403969287872,-3.0075036764144896,-1.8630741983652115,-2.323420763015747,-2.117751456797123
16,-2.1699299216270447,-3.349506378173828,-3.389765441417694,-1.9519706567128499,-2.0366222858428955,-2.4764129320780435
17,-2.2352117896080017,-3.5095653533935547,-3.509809672832489,-2.039013147354126,-2.1358214219411216,-2.63647190729777
18,-2.2035378217697144,-3.503234068552653,-3.5050612092018127,-1.9967811902364094,-2.0772629578908286,-2.6301406224568686
19,-2.160560578107834,-3.3431104024251304,-3.3849684596061707,-1.9394781986872356,-2.0250969727834067,-2.4700169563293457
20,-2.2635233402252197,-3.4237194061279297,-3.4454252123832703,-2.0767618815104165,-2.1462817986806235,-2.550625960032145
21,-2.3189141750335693,-3.347358226776123,-3.447111427783966,-2.1506163279215493,-2.182011047999064,-2.4764129320780435
22,-2.4016237258911133,-3.5074172019958496,-3.567155659198761,-2.2608957290649414,-2.292290449142456,-2.63647190729777
23,-2.3580285906791687,-3.5010859171549478,-3.5624071955680847,-2.202768882115682,-2.2341636021931968,-2.6301406224568686
24,-2.221150904893875,-3.3409622510274253,-3.4423144459724426,-2.020265301068624,-2.0412533283233643,-2.4700169563293457
25,-2.364009141921997,-3.4215712547302246,-3.5027711987495422,-2.210742950439453,-2.2421376705169678,-2.550625960032145
26,-2.4573944211006165,-3.4794821739196777,-3.4719507098197937,-2.335256656010946,-2.280670245488485,-2.4764129320780435
27,-2.697186768054962,-3.6395411491394043,-3.5919949412345886,-2.6549797852834067,-2.600393374760946,-2.63647190729777
28,-2.567408561706543,-3.6332098642985025,-3.5872464776039124,-2.4819421768188477,-2.4273557662963867,-2.6301406224568686
29,-2.2293283939361572,-3.47308619817098,-3.4671537280082703,-2.0311686197916665,-1.9625621636708577,-2.4700169563293457
30,-2.4894573092460632,-3.5536952018737793,-3.52761048078537,-2.378007173538208,-2.323420763015747,-2.550625960032145
31,-2.2374470829963684,-3.227082888285319,-3.2979478240013123,-2.042789618174235,-2.0366222858428955,-2.4865920543670654
32,-2.3027289509773254,-3.3871418635050454,-3.417992055416107,-2.129832108815511,-2.1358214219411216,-2.646651029586792
33,-2.271054983139038,-3.380810578664144,-3.413243591785431,-2.0876001516977944,-2.0772629578908286,-2.64031974474589
34,-2.2280777394771576,-3.220686912536621,-3.293150842189789,-2.0302971601486206,-2.0250969727834067,-2.4801960786183677
35,-2.3310405015945435,-3.3012959162394204,-3.3536075949668884,-2.1675808429718018,-2.1462817986806235,-2.560805082321167
36,-2.326548397541046,-3.3876892725626626,-3.477359712123871,-2.161591370900472,-2.182011047999064,-2.4865920543670654
37,-2.40925794839859,-3.547748247782389,-3.5974039435386658,-2.271870772043864,-2.292290449142456,-2.646651029586792
38,-2.3656628131866455,-3.541416962941488,-3.5926554799079895,-2.2137439250946045,-2.2341636021931968,-2.64031974474589
39,-2.228785127401352,-3.381293296813965,-3.4725627303123474,-2.0312403440475464,-2.0412533283233643,-2.4801960786183677
40,-2.371643364429474,-3.461902300516764,-3.533019483089447,-2.2217179934183755,-2.2421376705169678,-2.560805082321167
41,-2.465028762817383,-3.5198132197062173,-3.5021989941596985,-2.3462318579355874,-2.280670245488485,-2.4865920543670654
42,-2.7048211097717285,-3.679872194925944,-3.6222432255744934,-2.6659549872080484,-2.600393374760946,-2.646651029586792
43,-2.5750429034233093,-3.6735409100850425,-3.617494761943817,-2.4929173787434897,-2.4273557662963867,-2.64031974474589
44,-2.2369627356529236,-3.5134172439575195,-3.497402012348175,-2.0421438217163086,-1.9625621636708577,-2.4801960786183677
45,-2.4970916509628296,-3.594026247660319,-3.5578587651252747,-2.38898237546285,-2.323420763015747,-2.560805082321167
46,-1.977858560346067,-2.644253894686699,-2.8175116419792174,-1.3465859144926071,-2.0366222858428955,-2.1764160010498017
47,-2.1225372007116676,-2.835687503218651,-2.970658528804779,-1.5274342149496078,-2.1358214219411216,-2.3678496691863984
48,-2.054349653981626,-2.762512907385826,-2.9121188521385193,-1.442199781537056,-2.0772629578908286,-2.2946750733535737
49,-1.9036626985296607,-2.6630714386701584,-2.8325656771659853,-1.2538410872220993,-2.0250969727834067,-2.195233545033261
50,-2.1451864412054418,-2.714268669486046,-2.873523461818695,-1.5557457655668259,-2.1462817986806235,-2.2464308354537934
51,-2.1617910554632545,-2.64264278113842,-2.8633884310722353,-1.5765015333890915,-2.182011047999064,-2.1764160010498017
52,-2.2279586961492894,-2.834076389670372,-3.0165353178977967,-1.6592110842466354,-2.292290449142456,-2.3678496691863984
53,-2.1104106118902566,-2.7609017938375473,-2.9579956412315367,-1.512275978922844,-2.2341636021931968,-2.2946750733535737
54,-2.051258914731443,-2.6614603251218796,-2.8784424662590027,-1.438336357474327,-2.0412533283233643,-2.195233545033261
55,-2.0192290952429177,-2.712657555937767,-2.9194002509117127,-1.3982990831136703,-2.2421376705169678,-2.2464308354537934
56,-2.3561139276251195,-2.741735741496086,-2.883259856700897,-1.8194051831960678,-2.280670245488485,-2.1764160010498017
57,-2.5479478051885964,-2.933169350028038,-3.0364067435264586,-2.0591975301504135,-2.600393374760946,-2.3678496691863984
58,-2.444125240109861,-2.8599947541952133,-2.977867066860199,-1.9294193238019943,-2.4273557662963867,-2.2946750733535737
59,-2.1736610820516944,-2.7605532854795456,-2.898313891887665,-1.5913391262292862,-1.9625621636708577,-2.195233545033261
60,-2.381764238141477,-2.811750516295433,-2.9392716765403746,-1.8514680713415146,-2.323420763015747,-2.2464308354537934
61,-2.5731455087661743,-3.4011688232421875,-3.4285122752189636,-2.1121745109558105,-2.0366222858428955,-2.934189796447754
62,-2.6384273767471313,-3.5612279574076333,-3.548556625843048,-2.1992170015970864,-2.1358214219411216,-3.0942489306131997
63,-2.606753408908844,-3.554896672566732,-3.543808162212372,-2.15698504447937,-2.0772629578908286,-3.0879176457722983
64,-2.5637761652469635,-3.394773006439209,-3.4237154126167297,-2.0996820529301963,-2.0250969727834067,-2.9277939796447754
65,-2.6667389273643494,-3.475381851196289,-3.48417204618454,-2.2369657357533774,-2.1462817986806235,-3.0084028244018555
66,-2.662246823310852,-3.3990206718444824,-3.4858582615852356,-2.2309762636820474,-2.182011047999064,-2.934189796447754
67,-2.744956374168396,-3.5590798060099282,-3.60590261220932,-2.3412556648254395,-2.292290449142456,-3.0942489306131997
68,-2.7013612389564514,-3.552748521169027,-3.601154148578644,-2.28312881787618,-2.2341636021931968,-3.0879176457722983
69,-2.564483553171158,-3.392624855041504,-3.4810613989830017,-2.100625236829122,-2.0412533283233643,-2.9277939796447754
70,-2.70734179019928,-3.473233699798584,-3.5415180325508118,-2.291102886199951,-2.2421376705169678,-3.0084028244018555
71,-2.8007271885871887,-3.5311447779337564,-3.5106977820396423,-2.415616750717163,-2.280670245488485,-2.934189796447754
72,-3.0405195355415344,-3.6912039120992026,-3.630742132663727,-2.735339879989624,-2.600393374760946,-3.0942489306131997
73,-2.9107413291931152,-3.684872627258301,-3.6259936690330505,-2.562302271525065,-2.4273557662963867,-3.0879176457722983
74,-2.5726611614227295,-3.524748961130778,-3.5059009194374084,-2.1115287144978843,-1.9625621636708577,-2.9277939796447754
75,-2.8327900767326355,-3.605357805887858,-3.5663575530052185,-2.4583672682444253,-2.323420763015747,-3.0084028244018555
76,-1.9807796001434326,-2.754575937986374,-2.9057692766189573,-1.4289501756429672,-2.0366222858428955,-2.3274003863334656
