idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9476108208298684,-2.596084803342819,-2.77929527759552,-1.6037534326314926,-2.0363876024881997,-1.914973782375455
2,-1.9991000071167946,-2.8633213937282562,-2.9930845499038696,-1.6681149154901505,-2.1343191464742026,-2.182210372760892
3,-1.974428690969944,-2.4366646707057953,-2.651759171485901,-1.6372757703065872,-2.076939582824707,-1.755553649738431
4,-1.9398291483521461,-2.7383863627910614,-2.8931365251541137,-1.59402634203434,-2.0244176387786865,-2.057275341823697
5,-2.0223312750458717,-2.798822373151779,-2.941485333442688,-1.6971540004014969,-2.1458800633748374,-2.117711352184415
6,-1.8411946669220924,-2.5950035750865936,-2.82527015209198,-1.470733180642128,-2.1809865633646646,-1.914973782375455
7,-1.9073623076081276,-2.8622401654720306,-3.0390594244003295,-1.553442731499672,-2.2912659645080566,-2.182210372760892
8,-1.873447884619236,-2.4355834424495697,-2.6977340459823607,-1.5110497027635574,-2.2347419261932373,-1.755553649738431
9,-1.762983502447605,-2.737305134534836,-2.9391113996505736,-1.3729692250490189,-2.0403148333231607,-2.057275341823697
10,-1.879317893087864,-2.7977411448955536,-2.987460207939148,-1.5183872133493423,-2.2445252736409507,-2.117711352184415
11,-2.129680670797825,-2.6937484443187714,-2.845435929298401,-1.8313407450914383,-2.280186414718628,-1.914973782375455
12,-2.32151388078928,-2.9609850347042084,-3.0592252016067505,-2.071132257580757,-2.599908431371053,-2.182210372760892
13,-2.217689837515354,-2.5343283116817474,-2.7178998231887816,-1.94135220348835,-2.4268683592478433,-1.755553649738431
14,-1.9472269669175148,-2.8360500037670135,-2.9592771768569945,-1.6032736152410507,-1.9621751308441162,-2.057275341823697
15,-2.160398282110691,-2.8964860141277313,-3.0076259851455687,-1.869737759232521,-2.331382433573405,-2.117711352184415
16,-2.1697863340377808,-3.3483888308207193,-3.3893259167671204,-1.9522838592529297,-2.0363876024881997,-2.476303974787394
17,-2.234147846698761,-3.508901755015055,-3.5097106099128723,-2.03809920946757,-2.1343191464742026,-2.63681689898173
18,-2.2033087015151978,-3.5022292137145996,-3.5047062039375305,-1.996980349222819,-2.076939582824707,-2.6301443576812744
19,-2.160059243440628,-3.3423217137654624,-3.3847755789756775,-1.9393144051233928,-2.0244176387786865,-2.470236857732137
20,-2.2631869316101074,-3.422903060913086,-3.4452115893363953,-2.0768179893493652,-2.1458800633748374,-2.5508182048797607
