idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9490904711186885,-2.594376564025879,-2.7699391841888428,-1.6487497687339783,-1.8700923919677734,-1.915894496254623
2,-1.999115886539221,-2.8591063022613525,-2.9817229747772216,-1.7112815380096436,-1.8452599048614502,-2.1806242940947413
3,-1.9753141783177852,-2.435146749019623,-2.642555332183838,-1.6815294027328491,-1.8250760237375896,-1.7566646812483668
4,-1.9422667644917966,-2.7339158058166504,-2.88157057762146,-1.6402201354503632,-1.9599653879801433,-2.055433797650039
5,-2.0233838461339473,-2.7945966720581055,-2.930115270614624,-1.7416164875030518,-1.8505975405375164,-2.1161146638914943
6,-1.8407342813909053,-2.5921719074249268,-2.8165726184844972,-1.513304591178894,-2.146958033243815,-1.915894496254623
7,-1.907464113086462,-2.8569016456604004,-3.028356409072876,-1.5967168807983398,-2.2807799180348716,-2.1806242940947413
8,-1.8721139810979366,-2.4329420924186707,-2.689188766479492,-1.552529215812683,-2.190425237019857,-1.7566646812483668
9,-1.7642337463796138,-2.7317111492156982,-2.9282040119171144,-1.4176789224147797,-2.005798021952311,-2.055433797650039
10,-1.8767883203923703,-2.7923920154571533,-2.9767487049102783,-1.558372139930725,-2.1966617902119956,-2.1161146638914943
11,-2.1303089044988157,-2.6898239850997925,-2.8462638378143312,-1.875272810459137,-2.2906742095947266,-1.915894496254623
12,-2.322133769840002,-2.954553723335266,-3.05804762840271,-2.11505389213562,-2.610382318496704,-2.1806242940947413
13,-2.218325986713171,-2.5305941700935364,-2.718879985809326,-1.9852941632270813,-2.4373693466186523,-1.7566646812483668
14,-1.9452185295522213,-2.829363226890564,-2.9578952312469484,-1.6439098417758942,-1.9347338676452637,-2.055433797650039
15,-2.1559601686894894,-2.890044093132019,-3.0064399242401123,-1.9073368906974792,-2.333426316579183,-2.1161146638914943
16,-2.172513037919998,-3.3483424186706543,-3.3793042302131653,-1.9535120725631714,-1.8700923919677734,-2.4763543605804443
17,-2.235044836997986,-3.506939093271891,-3.498251736164093,-2.036887804667155,-1.8452599048614502,-2.634951035181681
18,-2.2052927017211914,-3.500431696573893,-3.4933711886405945,-1.9972182909647624,-1.8250760237375896,-2.628443638483683
19,-2.163983404636383,-3.3400184313456216,-3.373061239719391,-1.9421392281850178,-1.9599653879801433,-2.4680303732554116
20,-2.265379786491394,-3.4209264119466147,-3.4337422251701355,-2.077334403991699,-1.8505975405375164,-2.5489383538564048
21,-2.318251311779022,-3.345402558644613,-3.437595784664154,-2.1478296915690103,-2.146958033243815,-2.4763543605804443
22,-2.401663601398468,-3.5039992332458496,-3.556543290615082,-2.2590460777282715,-2.2807799180348716,-2.634951035181681
23,-2.3574759364128113,-3.4974918365478516,-3.5516627430915833,-2.200129191080729,-2.190425237019857,-2.628443638483683
24,-2.222625643014908,-3.33707857131958,-3.4313527941703796,-2.0203287998835244,-2.005798021952311,-2.4680303732554116
25,-2.3633188605308533,-3.4179865519205728,-3.4920337796211243,-2.2079197565714517,-2.1966617902119956,-2.5489383538564048
26,-2.4584752321243286,-3.4756056467692056,-3.4747100472450256,-2.3347949186960855,-2.2906742095947266,-2.4763543605804443
27,-2.6982563138008118,-3.634202321370443,-3.5936575531959534,-2.654503027598063,-2.610382318496704,-2.634951035181681
