idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9170885674655438,-2.5964208245277405,-2.7793495655059814,-1.6013483852148056,-2.0356648763020835,-1.8784176548942924
2,-1.9698415629565715,-2.8632107377052307,-2.9927814960479737,-1.6672896295785904,-2.135648250579834,-2.1452075680717826
3,-1.9439539305865765,-2.438292622566223,-2.6528470039367678,-1.6349300891160965,-2.076305309931437,-1.720289452932775
4,-1.9087905041873454,-2.738288700580597,-2.8928438663482665,-1.5909758061170578,-2.0228931109110513,-2.020285530947149
5,-1.9917855136096478,-2.798685133457184,-2.941161012649536,-1.6947195678949356,-2.145186424255371,-2.0806819638237357
6,-1.8122642867267131,-2.5945683121681213,-2.825405740737915,-1.4703179746866226,-2.180701414744059,-1.8784176548942924
7,-1.879757582396269,-2.8613582253456116,-3.0388376712799072,-1.5546845942735672,-2.2931902408599854,-2.1452075680717826
8,-1.8429880015552045,-2.436440110206604,-2.6989031791687013,-1.5087226182222366,-2.231907606124878,-1.720289452932775
9,-1.7340333811938762,-2.736436188220978,-2.9389000415802,-1.3725293427705765,-2.0400263468424478,-2.020285530947149
10,-1.8476658694446086,-2.7968326210975647,-2.9872171878814697,-1.514569953083992,-2.2397040526072183,-2.0806819638237357
11,-2.0961540095508098,-2.6940028071403503,-2.8443556308746336,-1.8251801878213882,-2.2744835217793784,-1.8784176548942924
12,-2.291564690321684,-2.9607927203178406,-3.057787561416626,-2.0694435387849808,-2.600168069203695,-2.1452075680717826
13,-2.187752854079008,-2.535874605178833,-2.71785306930542,-1.939678743481636,-2.4271482626597085,-1.720289452932775
14,-1.9155178181827068,-2.835870683193207,-2.957849931716919,-1.5993849486112595,-1.9597707589467366,-2.020285530947149
15,-2.12539304420352,-2.8962671160697937,-3.0061670780181884,-1.8617289811372757,-2.3232152462005615,-2.0806819638237357
16,-2.169087827205658,-3.3496836026509604,-3.3900288343429565,-1.9505805969238281,-2.0356648763020835,-2.4765435059865317
17,-2.235029101371765,-3.5099679629007974,-3.5102421045303345,-2.038502295811971,-2.135648250579834,-2.6368278662363687
18,-2.2026695609092712,-3.503636678059896,-3.505493640899658,-1.9953562418619792,-2.076305309931437,-2.6304965813954673
19,-2.15871524810791,-3.343405246734619,-3.3853200674057007,-1.9367504914601643,-2.0228931109110513,-2.4702651500701904
20,-2.2624590396881104,-3.423933823903402,-3.4457165002822876,-2.075075546900431,-2.145186424255371,-2.550793727238973
21,-2.3170077204704285,-3.3472135861714682,-3.4475990533828735,-2.1478071212768555,-2.180701414744059,-2.4765435059865317
22,-2.401374340057373,-3.507497946421305,-3.5678123235702515,-2.2602959473927817,-2.2931902408599854,-2.6368278662363687
23,-2.3554123640060425,-3.501166661580404,-3.563063859939575,-2.1990133126576743,-2.231907606124878,-2.6304965813954673
24,-2.2192191183567047,-3.340935230255127,-3.4428902864456177,-2.017422318458557,-2.0400263468424478,-2.4702651500701904
25,-2.361259698867798,-3.4214638074239097,-3.5032867193222046,-2.2068097591400146,-2.2397040526072183,-2.550793727238973
