idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.9169872194528579,-2.5956118404865265,-2.7789982557296753,-1.6015442833304405,-2.0354150931040444,-1.8783651776611805
2,-1.9690121322870255,-2.862545520067215,-2.9925451993942263,-1.6665754243731499,-2.1341442267100015,-2.145298857241869
3,-1.9437846809625625,-2.437573939561844,-2.6525679349899294,-1.6350411102175713,-2.07596755027771,-1.7203272767364979
4,-1.908402219414711,-2.7376915514469147,-2.892662024497986,-1.5908130332827568,-2.0221965312957764,-2.0204448886215687
5,-1.9915308147668838,-2.798046499490738,-2.9409459829330444,-1.6947237774729729,-2.144770542780558,-2.080799836665392
6,-1.8117471367120743,-2.59450164437294,-2.825174021720886,-1.4699941202998161,-2.1796308358510337,-1.8783651776611805
7,-1.8792404800653457,-2.8614353239536285,-3.038720965385437,-1.5543607994914055,-2.2921197414398193,-2.145298857241869
8,-1.843411460518837,-2.4364637434482574,-2.69874370098114,-1.5095745250582695,-2.232404629389445,-1.7203272767364979
9,-1.7335154443979264,-2.7365813553333282,-2.9388377904891967,-1.3722045049071312,-2.0390423933664956,-2.0204448886215687
10,-1.849149051308632,-2.7969363033771515,-2.987121748924255,-1.5167465135455132,-2.24196728070577,-2.080799836665392
11,-2.0960875660181046,-2.693452388048172,-2.8444565534591675,-1.8254197165369987,-2.2739574909210205,-1.8783651776611805
12,-2.2915110260248186,-2.9603860676288605,-3.0580034971237184,-2.069699041545391,-2.599663337071737,-2.145298857241869
13,-2.1876867920160294,-2.5354144871234894,-2.7180262327194216,-1.9399187490344048,-2.4266228675842285,-1.7203272767364979
14,-1.915448608994484,-2.83553209900856,-2.958120322227478,-1.599621020257473,-1.9593350887298584,-2.0204448886215687
15,-2.1303946167230605,-2.8958870470523834,-3.0064042806625366,-1.8683035299181938,-2.331135908762614,-2.080799836665392
16,-2.1688842475414276,-3.348609129587809,-3.3895928263664246,-1.9508096774419148,-2.0354150931040444,-2.476525863011678
17,-2.233915388584137,-3.5092344284057617,-3.510061800479889,-2.037517865498861,-2.1341442267100015,-2.6371511618296304
18,-2.2023810744285583,-3.5025620460510254,-3.5050575137138367,-1.9954721132914226,-2.07596755027771,-2.630478779474894
