idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.6496234823018312,-2.5946725010871887,-2.770276594161987,-1.4783108457922935,-1.8700243631998699,-1.8779893429018557
2,-1.6997863698750735,-2.8599530458450317,-2.9825010299682617,-1.5410144552588463,-1.84379776318868,-2.1432699472643435
3,-1.676778357103467,-2.4373372197151184,-2.644408369064331,-1.5122544392943382,-1.8240268230438232,-1.7206540615297854
4,-1.639835636690259,-2.734643340110779,-2.8822532653808595,-1.4660760387778282,-1.956448237101237,-2.0179602415300906
5,-1.7243390012532473,-2.7948299646377563,-2.9304025650024412,-1.5717052444815636,-1.849153995513916,-2.078146866057068
6,-1.8101893831044436,-2.592692792415619,-2.8173702239990233,-1.5125413164496422,-2.144986947377523,-1.8779893429018557
7,-1.8849059987813235,-2.857973337173462,-3.029594659805298,-1.605937086045742,-2.2916599909464517,-2.1432699472643435
8,-1.8450741697102786,-2.4353575110435486,-2.691501998901367,-1.5561472997069359,-2.1933188438415527,-1.7206540615297854
9,-1.7346089769154787,-2.732663631439209,-2.9293468952178956,-1.4180658087134361,-2.0052826404571533,-2.0179602415300906
10,-1.8488930631428957,-2.7928502559661865,-2.9774961948394774,-1.5609209164977074,-2.1984005769093833,-2.078146866057068
11,-2.09549249894917,-2.6913251280784607,-2.8470545291900633,-1.8691700920462608,-2.283853530883789,-1.8779893429018557
12,-2.2909065175801517,-2.9566056728363037,-3.059278964996338,-2.1134376153349876,-2.609543482462565,-2.1432699472643435
13,-2.187095730379224,-2.5339898467063904,-2.721186304092407,-1.983674131333828,-2.436525583267212,-1.7206540615297854
14,-1.9135552812367678,-2.831295967102051,-2.9590312004089356,-1.641748569905758,-1.9337238470713298,-2.0179602415300906
15,-2.129797213152051,-2.8914825916290283,-3.0071805000305174,-1.912050984799862,-2.3410280545552573,-2.078146866057068
16,-2.1722625494003296,-3.347147305806478,-3.3785338401794434,-1.951945384343465,-1.8700243631998699,-2.4771790504455566
17,-2.2349661588668823,-3.5067458152770996,-3.4982327222824097,-2.0355501969655356,-1.84379776318868,-2.6367775599161782
18,-2.2062061429023743,-3.4998742739359536,-3.4930790662765503,-1.9972035090128581,-1.8240268230438232,-2.6299060185750327
19,-2.1600277721881866,-3.339666207631429,-3.3729230165481567,-1.935632348060608,-1.956448237101237,-2.469697952270508
20,-2.2656569480895996,-3.419914881388346,-3.4331095218658447,-2.0764712492624917,-1.849153995513916,-2.5499466260274253
21,-2.315930098295212,-3.3445076942443848,-3.437400758266449,-2.1435020367304483,-2.144986947377523,-2.4771790504455566
22,-2.4093258380889893,-3.5041062037150064,-3.5570996403694153,-2.2680296897888184,-2.2916599909464517,-2.6367775599161782
23,-2.359536051750183,-3.497234662373861,-3.551945984363556,-2.2016433080037436,-2.1933188438415527,-2.6299060185750327
24,-2.2214545905590057,-3.337026596069336,-3.4317899346351624,-2.017534693082174,-2.0052826404571533,-2.469697952270508
25,-2.3643096685409546,-3.4172752698262534,-3.4919764399528503,-2.208008130391439,-2.1984005769093833,-2.5499466260274253
26,-2.4536787271499634,-3.476017475128174,-3.474506139755249,-2.3271668752034507,-2.283853530883789,-2.4771790504455566
27,-2.69794625043869,-3.6356159845987954,-3.5942050218582153,-2.6528569062550864,-2.609543482462565,-2.6367775599161782
28,-2.5681827664375305,-3.62874444325765,-3.589051365852356,-2.4798389275868735,-2.436525583267212,-2.6299060185750327
29,-2.2262572050094604,-3.468536376953125,-3.4688953161239624,-2.0239381790161133,-1.9337238470713298,-2.469697952270508
30,-2.4965596199035645,-3.5487850507100425,-3.5290818214416504,-2.3843413988749185,-2.3410280545552573,-2.5499466260274253
31,-2.238156944513321,-3.2246171633402505,-3.286636233329773,-2.042417565981547,-1.8700243631998699,-2.4858528772989907
32,-2.3008605241775513,-3.3842156728108725,-3.4063351154327393,-2.1260223388671875,-1.84379776318868,-2.645451386769613
33,-2.272100508213043,-3.3773441314697266,-3.40118145942688,-2.0876756509145102,-1.8240268230438232,-2.638579845428467
34,-2.225922167301178,-3.2171360651652017,-3.2810254096984863,-2.02610452969869,-1.956448237101237,-2.478371779123942
35,-2.3315513134002686,-3.297384738922119,-3.3412119150161743,-2.166943391164144,-1.849153995513916,-2.5586204528808594
36,-2.3224354684352875,-3.3841765721639,-3.467152416706085,-2.154789090156555,-2.144986947377523,-2.4858528772989907
37,-2.415831208229065,-3.5437750816345215,-3.5868512988090515,-2.2793167432149253,-2.2916599909464517,-2.645451386769613
38,-2.366041421890259,-3.5369035402933755,-3.581697642803192,-2.21293036142985,-2.1933188438415527,-2.638579845428467
39,-2.2279599606990814,-3.376695473988851,-3.4615415930747986,-2.0288217465082803,-2.0052826404571533,-2.478371779123942
40,-2.3708150386810303,-3.456944147745768,-3.5217280983924866,-2.2192951838175454,-2.1984005769093833,-2.5586204528808594
41,-2.460184097290039,-3.515686353047689,-3.5042577981948853,-2.338453769683838,-2.283853530883789,-2.4858528772989907
42,-2.704451620578766,-3.6752848625183105,-3.6239566802978516,-2.6641438007354736,-2.609543482462565,-2.645451386769613
43,-2.574688136577606,-3.6684133211771646,-3.618803024291992,-2.4911258220672607,-2.436525583267212,-2.638579845428467
44,-2.232762575149536,-3.50820525487264,-3.4986469745635986,-2.0352250734965005,-1.9337238470713298,-2.478371779123942
45,-2.50306499004364,-3.588453928629557,-3.5588334798812866,-2.395628293355306,-2.3410280545552573,-2.5586204528808594
46,-2.0183906918391585,-2.64400851726532,-2.809745502471924,-1.3489871881902218,-1.8700243631998699,-2.2242117084097117
47,-2.1595865851268172,-2.8352982997894287,-2.962777328491211,-1.5254820547997952,-1.84379776318868,-2.4155014909338206
48,-2.0945026760920884,-2.7813562154769897,-2.9196236610412596,-1.444127168506384,-1.8240268230438232,-2.3615594066213816
49,-1.9442558174952864,-2.6626986265182495,-2.8246975898742677,-1.2563185952603817,-1.956448237101237,-2.2429018176626414
50,-2.184139216504991,-2.7138900756835938,-2.865650749206543,-1.5561728440225124,-1.849153995513916,-2.2940932668279856
51,-2.204904378019273,-2.64202880859375,-2.8568390369415284,-1.5821292363107204,-2.144986947377523,-2.2242117084097117
52,-2.2796209936961533,-2.833318591117859,-3.0098708629608155,-1.6755250059068203,-2.2916599909464517,-2.4155014909338206
