idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.6752589508891105,-2.603558659553528,-2.777169132232666,-1.4793195351958275,-1.8695978323618572,-1.923618471249938
2,-1.7251494213938714,-2.8575737476348877,-2.980381202697754,-1.5416826233267784,-1.844390074412028,-2.1776336189359426
3,-1.7018824383616447,-2.4377456307411194,-2.6445187091827393,-1.5125988945364952,-1.8243972460428874,-1.7578054424375296
4,-1.6673774525523186,-2.7326200008392334,-2.8804182052612304,-1.4694676622748375,-1.958045482635498,-2.0526798721402884
5,-1.750282983481884,-2.7933402061462402,-2.928994369506836,-1.5730995759367943,-1.8499152660369873,-2.113400077447295
6,-1.8403576180338859,-2.601080298423767,-2.823786163330078,-1.5146250948309898,-2.1452293395996094,-1.923618471249938
7,-1.9083829686045646,-2.855095386505127,-3.026998233795166,-1.5996567830443382,-2.2809301217397056,-2.1776336189359426
8,-1.8730324551463127,-2.4352672696113586,-2.6911357402801515,-1.5554686412215233,-2.1905341943105063,-1.7578054424375296
9,-1.7646137043833732,-2.7301416397094727,-2.9270352363586425,-1.419945202767849,-2.005195220311483,-2.0526798721402884
10,-1.877707938849926,-2.7908618450164795,-2.9756114006042482,-1.5613129958510399,-2.196770429611206,-2.113400077447295
11,-2.1275941655039787,-2.6989340782165527,-2.8533771514892576,-1.873670719563961,-2.2906087239583335,-1.923618471249938
12,-2.3194189831614493,-2.9529491662979126,-3.056589221954346,-2.1134517416357994,-2.610316753387451,-2.1776336189359426
13,-2.2156101033091544,-2.5331210494041443,-2.720726728439331,-1.9836906418204308,-2.4373019536336265,-1.7578054424375296
14,-1.9412091061472894,-2.8279954195022583,-2.956626224517822,-1.6406893953680992,-1.9330890973409016,-2.0526798721402884
15,-2.1532467171549796,-2.888715624809265,-3.005202388763428,-1.9057364091277122,-2.3333629767100015,-2.113400077447295
16,-2.171676516532898,-3.3486218452453613,-3.3793691396713257,-1.951899528503418,-1.8695978323618572,-2.4766801993052163
17,-2.234039604663849,-3.507218360900879,-3.498316526412964,-2.035050312678019,-1.844390074412028,-2.635276714960734
18,-2.2049558758735657,-3.5003932317097983,-3.4931976795196533,-1.9962720076243083,-1.8243972460428874,-2.6284515857696533
19,-2.161824643611908,-3.34061336517334,-3.3733627796173096,-1.938763697942098,-1.958045482635498,-2.468671719233195
20,-2.2654565572738647,-3.4215736389160156,-3.4340829849243164,-2.076939582824707,-1.8499152660369873,-2.5496319929758706
21,-2.3165143728256226,-3.3453173637390137,-3.437640428543091,-2.1450167496999106,-2.1452293395996094,-2.4766801993052163
22,-2.401546061038971,-3.5039138793945312,-3.556587815284729,-2.258392333984375,-2.2809301217397056,-2.635276714960734
23,-2.357357919216156,-3.4970887502034507,-3.5514689683914185,-2.199474811553955,-2.1905341943105063,-2.6284515857696533
24,-2.2218344807624817,-3.337308883666992,-3.4316340684890747,-2.0187768936157227,-2.005195220311483,-2.468671719233195
25,-2.3632022738456726,-3.418269157409668,-3.4923542737960815,-2.2072672843933105,-2.196770429611206,-2.5496319929758706
26,-2.4583166241645813,-3.4757890701293945,-3.4746291637420654,-2.334086259206136,-2.2906087239583335,-2.4766801993052163
27,-2.6980976462364197,-3.634385585784912,-3.5935765504837036,-2.653794288635254,-2.610316753387451,-2.635276714960734
28,-2.568336546421051,-3.6275604565938315,-3.588457703590393,-2.480779488881429,-2.4373019536336265,-2.6284515857696533
29,-2.2253352999687195,-3.467780590057373,-3.4686228036880493,-2.023444493611654,-1.9330890973409016,-2.468671719233195
30,-2.4903823137283325,-3.548740863800049,-3.529343008995056,-2.376840511957804,-2.3333629767100015,-2.5496319929758706
31,-2.23804247379303,-3.226900895436605,-3.2880784273147583,-2.0422024726867676,-1.8695978323618572,-2.4864257176717124
32,-2.3004055619239807,-3.3854974110921225,-3.4070258140563965,-2.1253532568613687,-1.844390074412028,-2.64502223332723
33,-2.2713218331336975,-3.3786722819010415,-3.401906967163086,-2.0865749518076577,-1.8243972460428874,-2.638197104136149
34,-2.22819060087204,-3.2188924153645835,-3.282072067260742,-2.0290666421254477,-1.958045482635498,-2.478417237599691
35,-2.3318225145339966,-3.2998526891072593,-3.342792272567749,-2.1672425270080566,-1.8499152660369873,-2.5593775113423667
36,-2.3238235116004944,-3.384108066558838,-3.466733455657959,-2.156577189763387,-2.1452293395996094,-2.4864257176717124
37,-2.4088551998138428,-3.5427045822143555,-3.585680842399597,-2.2699527740478516,-2.2809301217397056,-2.64502223332723
38,-2.364667057991028,-3.535879453023275,-3.5805619955062866,-2.2110352516174316,-2.1905341943105063,-2.638197104136149
39,-2.2291436195373535,-3.3760995864868164,-3.460727095603943,-2.030337333679199,-2.005195220311483,-2.478417237599691
40,-2.3705114126205444,-3.457059860229492,-3.5214473009109497,-2.218827724456787,-2.196770429611206,-2.5593775113423667
41,-2.4656256437301636,-3.5145797729492188,-3.5037221908569336,-2.345646699269613,-2.2906087239583335,-2.4864257176717124
42,-2.705406665802002,-3.6731762886047363,-3.6226695775985718,-2.6653547286987305,-2.610316753387451,-2.64502223332723
43,-2.5756455659866333,-3.6663511594136557,-3.6175507307052612,-2.4923399289449057,-2.4373019536336265,-2.638197104136149
44,-2.2326443195343018,-3.5065712928771973,-3.4977158308029175,-2.0350049336751304,-1.9330890973409016,-2.478417237599691
45,-2.497691333293915,-3.587531566619873,-3.5584360361099243,-2.3884009520212808,-2.3333629767100015,-2.5593775113423667
46,-1.982958197593689,-2.644874721765518,-2.8102219820022585,-1.3500515073537827,-1.8695978323618572,-2.1799509823322296
47,-2.1239476442337035,-2.8360425531864166,-2.963156247138977,-1.526288315653801,-1.844390074412028,-2.371118813753128
48,-2.0587895154953,-2.7630012333393097,-2.9047231912612914,-1.4448406547307968,-1.8243972460428874,-2.298077493906021
49,-1.9091306447982788,-2.663517504930496,-2.8251362085342406,-1.25776706635952,-1.958045482635498,-2.1985937654972076
50,-2.1490812063217164,-2.7147758305072784,-2.8661428689956665,-1.5577052682638168,-1.8499152660369873,-2.24985209107399
51,-2.1628522157669066,-2.642396241426468,-2.8568390130996706,-1.5749190300703049,-2.1452293395996094,-2.1799509823322296
52,-2.2308775663375853,-2.8335640728473663,-3.009773278236389,-1.6599507182836533,-2.2809301217397056,-2.371118813753128
53,-2.1130987644195556,-2.7605227530002594,-2.9513402223587035,-1.512727215886116,-2.1905341943105063,-2.298077493906021
54,-2.0545729875564573,-2.661039024591446,-2.8717532396316527,-1.4395699948072433,-2.005195220311483,-2.1985937654972076
55,-2.0218828916549683,-2.712297350168228,-2.9127599000930786,-1.3987073749303818,-2.196770429611206,-2.24985209107399
56,-2.3427090406417848,-2.7402500212192535,-2.8864299058914185,-1.799740120768547,-2.2906087239583335,-2.1799509823322296
57,-2.5345338582992554,-2.931417852640152,-3.0393641710281374,-2.0395211428403854,-2.610316753387451,-2.371118813753128
58,-2.4307249784469604,-2.858376532793045,-2.980931115150452,-1.9097600430250168,-2.4373019536336265,-2.298077493906021
59,-2.094919800758362,-2.7588928043842316,-2.901344132423401,-1.4900035709142685,-1.9330890973409016,-2.1985937654972076
60,-2.3683615922927856,-2.810151129961014,-2.9423507928848265,-1.8318058103322983,-2.3333629767100015,-2.24985209107399
61,-2.5762640237808228,-3.400270462036133,-3.4181056022644043,-2.1131292978922525,-1.8695978323618572,-2.937387784322103
62,-2.6386271119117737,-3.5588669776916504,-3.5370529890060425,-2.196280082066854,-1.844390074412028,-3.0959842999776206
63,-2.6095433831214905,-3.55204184850057,-3.531934142112732,-2.157501777013143,-1.8243972460428874,-3.0891591707865396
64,-2.5664121508598328,-3.3922619819641113,-3.412099242210388,-2.0999934673309326,-1.958045482635498,-2.9293793042500815
65,-2.6700440645217896,-3.473222255706787,-3.472819447517395,-2.2381693522135415,-1.8499152660369873,-3.0103395779927573
66,-2.6620450615882874,-3.396965821584066,-3.4763768911361694,-2.227504014968872,-2.1452293395996094,-2.937387784322103
67,-2.7470767498016357,-3.5555623372395835,-3.5953242778778076,-2.3408795992533364,-2.2809301217397056,-3.0959842999776206
68,-2.702888607978821,-3.5487372080485025,-3.590205430984497,-2.2819620768229165,-2.1905341943105063,-3.0891591707865396
69,-2.5673651695251465,-3.3889573415120444,-3.4703705310821533,-2.101264158884684,-2.005195220311483,-2.9293793042500815
70,-2.7087329626083374,-3.46991761525472,-3.53109073638916,-2.289754549662272,-2.196770429611206,-3.0103395779927573
71,-2.803847312927246,-3.5274375279744468,-3.5133655071258545,-2.416573683420817,-2.2906087239583335,-2.937387784322103
72,-3.0436283349990845,-3.6860340436299643,-3.6323128938674927,-2.736281712849935,-2.610316753387451,-3.0959842999776206
73,-2.913867235183716,-3.6792089144388833,-3.627194046974182,-2.56326691309611,-2.4373019536336265,-3.0891591707865396
74,-2.5708659887313843,-3.5194290479024253,-3.5073591470718384,-2.1059319178263345,-1.9330890973409016,-2.9293793042500815
75,-2.8359130024909973,-3.600389321645101,-3.568079352378845,-2.4593279361724854,-2.3333629767100015,-3.0103395779927573
76,-1.9839209139347076,-2.7541446834802628,-2.8976379513740538,-1.4259023815393448,-1.8695978323618572,-2.3304646089673042
77,-2.0338113844394683,-2.758661165833473,-2.9012511372566223,-1.4882654696702957,-1.844390074412028,-2.3349810913205147
78,-2.010544401407242,-2.7568494230508804,-2.8998017430305483,-1.4591817408800125,-1.8243972460428874,-2.333169348537922
79,-1.9760394155979157,-2.5614965707063675,-2.743519461154938,-1.4160505086183548,-1.958045482635498,-2.1378165557980537
80,-2.058944946527481,-2.6623256355524063,-2.8241827130317687,-1.5196824222803116,-1.8499152660369873,-2.238645561039448
