idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.6494639843702317,-2.593828096985817,-2.7695296883583067,-1.4772915542125702,-1.869380235671997,-1.8778701983392239
2,-1.6998891800642013,-2.857991948723793,-2.9808607697486877,-1.5403230488300323,-1.8448673089345295,-2.1420340500772
3,-1.6760695427656174,-2.4365582019090652,-2.6437137722969055,-1.5105485022068024,-1.8246651490529378,-1.7206003032624722
4,-1.6407940834760666,-2.7329591661691666,-2.8808345437049865,-1.466454178094864,-1.956593910853068,-2.0170012675225735
5,-1.724309727549553,-2.7936203628778458,-2.92936350107193,-1.5708487331867218,-1.8502779801686604,-2.0776624642312527
6,-1.8095474690198898,-2.591262713074684,-2.8163457989692686,-1.5121609270572662,-2.1441869735717773,-1.8778701983392239
7,-1.8788497418165206,-2.85542656481266,-3.0276768803596497,-1.5987887680530548,-2.2817789713541665,-2.1420340500772
8,-1.8416460007429123,-2.4339928179979324,-2.6905298829078674,-1.5522840917110443,-2.1888038317362466,-1.7206003032624722
9,-1.7337464302778245,-2.7303937822580338,-2.9276506543159484,-1.4174096286296844,-2.004204193751017,-2.0170012675225735
10,-1.8462196797132493,-2.791054978966713,-2.976179611682892,-1.5580011904239655,-2.1949269771575928,-2.0776624642312527
11,-2.095222660899162,-2.6893426328897476,-2.8459386467933654,-1.8692549169063568,-2.2856334845225015,-1.8778701983392239
12,-2.290641352534294,-2.9535064846277237,-3.0572697281837464,-2.1135282814502716,-2.6113313833872476,-2.1420340500772
13,-2.186828562617302,-2.532072737812996,-2.720122730731964,-1.9837622940540314,-2.438309987386068,-1.7206003032624722
14,-1.9107287138700486,-2.8284737020730972,-2.957243502140045,-1.6386374831199646,-1.9318218231201172,-2.0170012675225735
15,-2.1244634121656416,-2.8891348987817764,-3.0057724595069883,-1.9058058559894562,-2.3343680699666343,-2.0776624642312527
16,-2.170776665210724,-3.348769505818685,-3.3796611428260803,-1.9504729111989338,-1.869380235671997,-2.476853847503662
17,-2.233808159828186,-3.5074774424235025,-3.4986920952796936,-2.034514904022217,-1.8448673089345295,-2.63556178410848
18,-2.204033613204956,-3.5006521542867026,-3.4935731291770935,-1.994815508524577,-1.8246651490529378,-2.6287364959716797
19,-2.1599392890930176,-3.3407670656840005,-3.373659312725067,-1.9360230763753254,-1.956593910853068,-2.468851407368978
20,-2.2643338441848755,-3.4216485023498535,-3.434320390224457,-2.0752158164978027,-1.8502779801686604,-2.5497328440348306
21,-2.3146261274814606,-3.3453489939371743,-3.4381812810897827,-2.1422723531723022,-2.1441869735717773,-2.476853847503662
22,-2.4012539386749268,-3.504056930541992,-3.557212233543396,-2.2577761014302573,-2.2817789713541665,-2.63556178410848
23,-2.3547492623329163,-3.497231642405192,-3.552093267440796,-2.1957698663075766,-2.1888038317362466,-2.6287364959716797
24,-2.2198747992515564,-3.3373465538024902,-3.4321794509887695,-2.015937248865763,-2.004204193751017,-2.468851407368978
25,-2.3604663610458374,-3.4182279904683432,-3.492840528488159,-2.203392664591471,-2.1949269771575928,-2.5497328440348306
26,-2.453665614128113,-3.4761222203572593,-3.4751723408699036,-2.327658176422119,-2.2856334845225015,-2.476853847503662
27,-2.6979389786720276,-3.6348301569620767,-3.594203293323517,-2.6533559958140054,-2.6113313833872476,-2.63556178410848
28,-2.5681729912757874,-3.628004868825277,-3.5890843272209167,-2.480334679285685,-2.438309987386068,-2.6287364959716797
29,-2.2230481803417206,-3.4681197802225747,-3.4691705107688904,-2.0201682647069297,-1.9318218231201172,-2.468851407368978
30,-2.490216553211212,-3.5490012168884277,-3.52983158826828,-2.3763927618662515,-2.3343680699666343,-2.5497328440348306
31,-2.235963523387909,-3.226694107055664,-3.2881045937538147,-2.04009477297465,-1.869380235671997,-2.4852658112843833
32,-2.298995018005371,-3.385401884714762,-3.4071354269981384,-2.124136765797933,-1.8448673089345295,-2.6439735889434814
33,-2.269220471382141,-3.3785765965779624,-3.4020164608955383,-2.084437370300293,-1.8246651490529378,-2.637148300806681
34,-2.2251261472702026,-3.2186915079752603,-3.282102644443512,-2.0256449381510415,-1.956593910853068,-2.4772632122039795
35,-2.3295207023620605,-3.2995731035868325,-3.342763841152191,-2.164837678273519,-1.8502779801686604,-2.5581448078155518
36,-2.3209351003170013,-3.383699099222819,-3.466943860054016,-2.1533899704615274,-2.1441869735717773,-2.4852658112843833
37,-2.4075629115104675,-3.5424068768819175,-3.58597469329834,-2.2688937187194824,-2.2817789713541665,-2.6439735889434814
38,-2.361058235168457,-3.535581588745117,-3.5808557271957397,-2.2068874835968018,-2.1888038317362466,-2.637148300806681
39,-2.226183772087097,-3.3756965001424155,-3.4609419107437134,-2.0270548661549888,-2.004204193751017,-2.4772632122039795
40,-2.366775333881378,-3.456578095753988,-3.5216031074523926,-2.2145102818806968,-2.1949269771575928,-2.5581448078155518
41,-2.459974467754364,-3.514472325642904,-3.503934919834137,-2.338775952657064,-2.2856334845225015,-2.4852658112843833
42,-2.704247832298279,-3.673180103302002,-3.6229657530784607,-2.66447377204895,-2.6113313833872476,-2.6439735889434814
43,-2.5744818449020386,-3.6663548151652017,-3.6178467869758606,-2.49145245552063,-2.438309987386068,-2.637148300806681
44,-2.229357033967972,-3.5064697265625,-3.4979329705238342,-2.031286040941874,-1.9318218231201172,-2.4772632122039795
45,-2.4965254068374634,-3.5873513221740723,-3.5585941672325134,-2.3875105381011963,-2.3343680699666343,-2.5581448078155518
46,-1.9812036721035837,-2.644448310136795,-2.810025858879089,-1.3491595685482025,-1.869380235671997,-2.178110804175958
47,-2.122251435928047,-2.8356471359729767,-2.9629849195480347,-1.5254692733287811,-1.8448673089345295,-2.3693096300121397
48,-2.0568313805386422,-2.7625867426395416,-2.9045366048812866,-1.4436942040920258,-1.8246651490529378,-2.2962492366787046
49,-1.9073717324063182,-2.663094073534012,-2.824942469596863,-1.2568696439266205,-1.956593910853068,-2.196756567573175
50,-2.1466719834133983,-2.7143459618091583,-2.86594398021698,-1.5559949576854706,-1.8502779801686604,-2.2480084558483213
51,-2.160297223739326,-2.6418829262256622,-2.856841969490051,-1.5730265080928802,-2.1441869735717773,-2.178110804175958
52,-2.2295994965359567,-2.833081752061844,-3.0098010301589966,-1.6596543490886688,-2.2817789713541665,-2.3693096300121397
53,-2.1109373776242135,-2.760021358728409,-2.9513527154922485,-1.5113267004489899,-2.1888038317362466,-2.2962492366787046
54,-2.0522934405133126,-2.660528689622879,-2.8717585802078247,-1.4380217790603638,-2.004204193751017,-2.196756567573175
55,-2.020112725906074,-2.7117805778980255,-2.912760090827942,-1.3977958858013153,-2.1949269771575928,-2.2480084558483213
56,-2.3295975415036083,-2.739962726831436,-2.886434817314148,-1.784651905298233,-2.2856334845225015,-2.178110804175958
57,-2.5250162331387402,-2.931161552667618,-3.0393938779830934,-2.028925269842148,-2.6113313833872476,-2.3693096300121397
58,-2.421203443221748,-2.8581011593341827,-2.9809455633163453,-1.8991592824459076,-2.438309987386068,-2.2962492366787046
59,-2.0870147196576,-2.758608490228653,-2.9013514280319215,-1.4814233779907227,-1.9318218231201172,-2.196756567573175
60,-2.3588382927700877,-2.8098603785037994,-2.9423529386520384,-1.8212028443813324,-2.3343680699666343,-2.2480084558483213
61,-2.5751245617866516,-3.400415579477946,-3.418395698070526,-2.111465056737264,-1.869380235671997,-2.9374802907307944
62,-2.6381560564041138,-3.5591235160827637,-3.5374266505241394,-2.195507049560547,-1.8448673089345295,-3.096188227335612
63,-2.608381509780884,-3.5522982279459634,-3.5323076844215393,-2.1558076540629068,-1.8246651490529378,-3.089362939198812
64,-2.5642871856689453,-3.3924131393432617,-3.412393867969513,-2.0970152219136557,-1.956593910853068,-2.92947785059611
65,-2.6686817407608032,-3.4732945760091147,-3.4730549454689026,-2.236207962036133,-1.8502779801686604,-3.010359287261963
66,-2.6600959599018097,-3.3969950675964355,-3.4769158363342285,-2.2247602542241416,-2.1441869735717773,-2.9374802907307944
67,-2.746723771095276,-3.5557030042012534,-3.595946788787842,-2.340264002482096,-2.2817789713541665,-3.096188227335612
68,-2.7002190947532654,-3.548877716064453,-3.5908278226852417,-2.2782577673594155,-2.1888038317362466,-3.089362939198812
69,-2.5653446316719055,-3.3889926274617515,-3.4709140062332153,-2.0984251499176025,-2.004204193751017,-2.92947785059611
70,-2.7059361934661865,-3.469874064127604,-3.531575083732605,-2.2858805656433105,-2.1949269771575928,-3.010359287261963
71,-2.799135446548462,-3.527768135070801,-3.5139068961143494,-2.4101462364196777,-2.2856334845225015,-2.9374802907307944
72,-3.0434088110923767,-3.6864760716756186,-3.6329378485679626,-2.735844055811564,-2.6113313833872476,-3.096188227335612
73,-2.9136428236961365,-3.6796507835388184,-3.6278188824653625,-2.5628227392832437,-2.438309987386068,-3.089362939198812
74,-2.5685180127620697,-3.5197656949361167,-3.507905066013336,-2.1026563247044883,-1.9318218231201172,-2.92947785059611
75,-2.8356863856315613,-3.6006471316019693,-3.568566143512726,-2.45888082186381,-2.3343680699666343,-3.010359287261963
76,-1.9832268118858338,-2.7542717456817627,-2.8978846073150635,-1.4249053597450256,-1.869380235671997,-2.3305908292531967
77,-2.0336520075798035,-2.758849263191223,-2.9015466213226317,-1.4879368543624878,-1.8448673089345295,-2.335168346762657
78,-2.0098323702812193,-2.757037878036499,-2.9000975131988525,-1.4581623077392578,-1.8246651490529378,-2.333356961607933
79,-1.9745569109916687,-2.561671733856201,-2.743804597854614,-1.4140679836273193,-1.956593910853068,-2.137990817427635
80,-2.058072555065155,-2.662464737892151,-2.824439001083374,-1.5184625387191772,-1.8502779801686604,-2.238783821463585
81,-2.1249767184257506,-2.75170636177063,-2.9447007179260254,-1.6020927429199219,-2.1441869735717773,-2.3305908292531967
82,-2.1942789912223817,-2.7562838792800903,-2.9483627319335937,-1.6887205839157104,-2.2817789713541665,-2.335168346762657
83,-2.157075250148773,-2.754472494125366,-2.9469136238098144,-1.6422159075737,-2.1888038317362466,-2.333356961607933
84,-2.0491756796836853,-2.5591063499450684,-2.790620708465576,-1.50734144449234,-2.004204193751017,-2.137990817427635
85,-2.16164892911911,-2.659899353981018,-2.871255111694336,-1.647933006286621,-2.1949269771575928,-2.238783821463585
86,-2.315070331096649,-2.849786162376404,-2.974293565750122,-1.8397096991539001,-2.2856334845225015,-2.3305908292531967
87,-2.510489022731781,-2.8543636798858643,-2.9779555797576904,-2.083983063697815,-2.6113313833872476,-2.335168346762657
88,-2.406676232814789,-2.85255229473114,-2.976506471633911,-1.9542170763015747,-2.438309987386068,-2.333356961607933
89,-2.1305763840675356,-2.6571861505508423,-2.820213556289673,-1.609092265367508,-1.9318218231201172,-2.137990817427635
90,-2.3443110823631286,-2.757979154586792,-2.9008479595184324,-1.8762606382369995,-2.3343680699666343,-2.238783821463585
91,-2.54064804315567,-3.436572869618734,-3.445513665676117,-2.0146453380584717,-1.869380235671997,-2.8915117581685386
92,-2.6036795377731323,-3.595280647277832,-3.5645444989204407,-2.0986873308817544,-1.8448673089345295,-3.0502195358276367
93,-2.5739049911499023,-3.5884553591410318,-3.5594255328178406,-2.0589879353841147,-1.8246651490529378,-3.0433942476908364
94,-2.529810667037964,-3.42857027053833,-3.439511716365814,-2.0001955032348633,-1.956593910853068,-2.8835091590881348
95,-2.6342052221298218,-3.5094518661499023,-3.5001729130744934,-2.1393882433573403,-1.8502779801686604,-2.964390754699707
96,-2.6256194412708282,-3.433152357737223,-3.5040338039398193,-2.1279406944910684,-2.1441869735717773,-2.8915117581685386
97,-2.7122472524642944,-3.5918601353963218,-3.623064637184143,-2.2434444427490234,-2.2817789713541665,-3.0502195358276367
98,-2.665742576122284,-3.5850348472595215,-3.617945671081543,-2.1814382076263428,-2.1888038317362466,-3.0433942476908364
99,-2.530868113040924,-3.42514975865682,-3.4980318546295166,-2.0016055901845298,-2.004204193751017,-2.8835091590881348
100,-2.671459674835205,-3.506031354268392,-3.558693051338196,-2.189061005910238,-2.1949269771575928,-2.964390754699707
101,-2.7646589279174805,-3.5639254252115884,-3.54102486371994,-2.3133265177408853,-2.2856334845225015,-2.8915117581685386
102,-3.0089322924613953,-3.722633202870687,-3.660055696964264,-2.639024337132772,-2.6113313833872476,-3.0502195358276367
103,-2.879166305065155,-3.7158079147338867,-3.654936730861664,-2.4660030206044516,-2.438309987386068,-3.0433942476908364
104,-2.5340414941310883,-3.555922826131185,-3.5350229144096375,-2.005836606025696,-1.9318218231201172,-2.8835091590881348
105,-2.80120986700058,-3.6368044217427573,-3.5956841111183167,-2.362061103185018,-2.3343680699666343,-2.964390754699707
106,-2.3774264454841614,-3.1662846406300864,-3.2427974939346313,-1.9442841211954753,-1.869380235671997,-2.463001012802124
107,-2.4404579401016235,-3.535874366760254,-3.519989788532257,-2.0283261140187583,-1.8448673089345295,-2.8325907389322915
108,-2.4106833934783936,-3.5290492375691733,-3.5148709416389465,-1.9886267185211182,-1.8246651490529378,-2.825765609741211
