idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.953057724237442,-2.5947349965572357,-2.770224690437317,-1.6527447625994682,-1.87108047803243,-1.9168136790394783
2,-2.0024350702762606,-2.860552579164505,-2.9828787565231325,-1.7144664451479912,-1.8435043493906658,-2.1826312616467476
3,-1.9785617887973785,-2.435376852750778,-2.642738175392151,-1.6846248432993889,-1.8236108620961506,-1.7574555352330208
4,-1.9450120508670807,-2.735401540994644,-2.8827579259872436,-1.6426876708865166,-1.9605453809102376,-2.0574802234768867
5,-2.025938755273819,-2.7957058250904083,-2.931001353263855,-1.7438460513949394,-1.848565657933553,-2.117784507572651
6,-1.8418555796146392,-2.5930932462215424,-2.8174100160598754,-1.5137421414256096,-2.1473076343536377,-1.9168136790394783
7,-1.9139410078525543,-2.8589108288288116,-3.030064082145691,-1.6038489267230034,-2.2900357246398926,-2.1826312616467476
8,-1.8760664522647859,-2.433735102415085,-2.6899235010147096,-1.5565057322382927,-2.194567839304606,-1.7574555352330208
9,-1.7669623434543609,-2.733759790658951,-2.929943251609802,-1.4201255962252617,-2.0082545280456543,-2.0574802234768867
10,-1.8799759924411774,-2.794064074754715,-2.9781866788864138,-1.5613926574587822,-2.1997553507486978,-2.117784507572651
11,-2.131600147485733,-2.6913022696971893,-2.8468541383743284,-1.875922791659832,-2.2878666718800864,-1.9168136790394783
12,-2.323428303003311,-2.9571198523044586,-3.059508204460144,-2.1157079860568047,-2.6075802644093833,-2.1826312616467476
13,-2.2196142256259916,-2.531944125890732,-2.7193676233291626,-1.9859403893351555,-2.434556722640991,-1.7574555352330208
14,-1.9496053993701934,-2.831968814134598,-2.9593873739242555,-1.6484293565154076,-1.9364794095357258,-2.0574802234768867
15,-2.1676978170871735,-2.892273098230362,-3.007630801200867,-1.9210448786616325,-2.348029375076294,-2.117784507572651
16,-2.175459325313568,-3.3462583223978677,-3.3777396082878113,-1.956717888514201,-1.87108047803243,-2.476659138997396
17,-2.237181007862091,-3.5057454109191895,-3.4973549246788025,-2.039013465245565,-1.8435043493906658,-2.6361462275187173
18,-2.2073394060134888,-3.4988738695780435,-3.492201268672943,-1.9992246627807617,-1.8236108620961506,-2.6292746861775718
19,-2.165402263402939,-3.3388773600260415,-3.3722038865089417,-1.9433084726333618,-1.9605453809102376,-2.46927817662557
20,-2.2665606141090393,-3.419283072153727,-3.432508170604706,-2.078186273574829,-1.848565657933553,-2.5496838887532554
21,-2.319834291934967,-3.344069321950277,-3.4367212653160095,-2.1492180029551187,-2.1473076343536377,-2.476659138997396
22,-2.409941077232361,-3.503556410471598,-3.5563365817070007,-2.269360383351644,-2.2900357246398926,-2.6361462275187173
23,-2.36259788274765,-3.4966848691304526,-3.5511829257011414,-2.2062361240386963,-2.194567839304606,-2.6292746861775718
24,-2.2262177169322968,-3.3366883595784507,-3.43118554353714,-2.0243959029515586,-2.0082545280456543,-2.46927817662557
25,-2.3674848079681396,-3.417094071706136,-3.491489827632904,-2.212752024332682,-2.1997553507486978,-2.5496838887532554
26,-2.458978593349457,-3.4750146865844727,-3.473526418209076,-2.3347437381744385,-2.2878666718800864,-2.476659138997396
27,-2.6987637877464294,-3.6345017751057944,-3.593141734600067,-2.6544573307037354,-2.6075802644093833,-2.6361462275187173
28,-2.5689961910247803,-3.6276302337646484,-3.5879880785942078,-2.481433868408203,-2.434556722640991,-2.6292746861775718
29,-2.2314851582050323,-3.4676337242126465,-3.4679906964302063,-2.0314191579818726,-1.9364794095357258,-2.46927817662557
30,-2.5041006803512573,-3.548039436340332,-3.5282949805259705,-2.394906520843506,-2.348029375076294,-2.5496838887532554
31,-2.2431506514549255,-3.2239104906717935,-3.2859787344932556,-2.0489041805267334,-1.87108047803243,-2.486459255218506
32,-2.3048723340034485,-3.3833977381388345,-3.4055941700935364,-2.131199757258097,-1.8435043493906658,-2.645946502685547
33,-2.275030732154846,-3.376526196797689,-3.400440514087677,-2.0914109547932944,-1.8236108620961506,-2.639074961344401
34,-2.233093559741974,-3.216529687245687,-3.2804431319236755,-2.0354947249094644,-1.9605453809102376,-2.479078451792399
35,-2.3342519402503967,-3.296935240427653,-3.34074729681015,-2.170372565587362,-1.848565657933553,-2.5594840049743652
36,-2.327184498310089,-3.384180704752604,-3.466804802417755,-2.1609493096669516,-2.1473076343536377,-2.486459255218506
37,-2.417291283607483,-3.543667952219645,-3.586420238018036,-2.2810916900634766,-2.2900357246398926,-2.645946502685547
38,-2.369948089122772,-3.5367964108784995,-3.5812665820121765,-2.217967430750529,-2.194567839304606,-2.639074961344401
39,-2.233567923307419,-3.3767999013264975,-3.461269199848175,-2.036127209663391,-2.0082545280456543,-2.479078451792399
40,-2.3748350143432617,-3.4572054545084634,-3.5215733647346497,-2.224483331044515,-2.1997553507486978,-2.5594840049743652
41,-2.466328799724579,-3.5151260693868003,-3.5036099553108215,-2.3464752038319907,-2.2878666718800864,-2.486459255218506
42,-2.7061139941215515,-3.6746133168538413,-3.6232253909111023,-2.6661887963612876,-2.6075802644093833,-2.645946502685547
43,-2.5763463973999023,-3.6677417755126953,-3.618071734905243,-2.4931653340657554,-2.434556722640991,-2.639074961344401
44,-2.2388353645801544,-3.5077452659606934,-3.4980743527412415,-2.043150623639425,-1.9364794095357258,-2.479078451792399
45,-2.5114508867263794,-3.5881508191426597,-3.558378517627716,-2.406637986501058,-2.348029375076294,-2.5594840049743652
46,-2.0212775694206355,-2.644401729106903,-2.809958076477051,-1.3508031964302063,-1.87108047803243,-2.226690588751808
47,-2.1631344782188533,-2.835660457611084,-2.9629650592803953,-1.5281243324279785,-1.8435043493906658,-2.417949257651344
48,-2.0969641910865904,-2.7817347049713135,-2.919824457168579,-1.4454114735126495,-1.8236108620961506,-2.3640235050115734
49,-1.9470318781211973,-2.6630977392196655,-2.824914884567261,-1.2579960823059082,-1.9605453809102376,-2.245386658469215
