idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-1.948876190930605,-2.5967097878456116,-2.779480791091919,-1.6050270423293114,-2.037928740183512,-1.9149920353665948
2,-2.0010149486362936,-2.8637797832489014,-2.9931367874145507,-1.670200489461422,-2.1370975176493325,-2.1820620307698846
3,-1.9751132972538472,-2.437191963195801,-2.6518665313720704,-1.637823425233364,-2.0775665442148843,-1.755474210716784
4,-1.9419810064136982,-2.7389386892318726,-2.893263912200928,-1.596408061683178,-2.027337392171224,-2.0572209367528558
5,-2.022768212109804,-2.7993953227996826,-2.9416292190551756,-1.6973920688033104,-2.1461034615834556,-2.117677570320666
6,-1.842921257764101,-2.595123589038849,-2.825379180908203,-1.4725833758711815,-2.1840675671895347,-1.9149920353665948
7,-1.9077431686222552,-2.8621935844421387,-3.039035177230835,-1.5536107644438744,-2.2921040058135986,-2.1820620307698846
8,-1.8728671081364154,-2.435605764389038,-2.6977649211883543,-1.5100156888365746,-2.2339772383371987,-1.755474210716784
9,-1.7639093406498432,-2.73735249042511,-2.9391623020172117,-1.3738184794783592,-2.0419251124064126,-2.0572209367528558
10,-1.8776515014469624,-2.79780912399292,-2.98752760887146,-1.5159961804747581,-2.24195130666097,-2.117677570320666
11,-2.13004422262311,-2.6941844820976257,-2.8452321529388427,-1.8314870819449425,-2.2804879347483316,-1.9149920353665948
12,-2.3218748576939108,-2.9612544775009155,-3.058888149261475,-2.0712753757834435,-2.600205739339193,-2.1820620307698846
13,-2.2180548198521137,-2.534666657447815,-2.717617893218994,-1.9415003284811974,-2.4271722634633384,-1.755474210716784
14,-1.9494040735065936,-2.8364133834838867,-2.9590152740478515,-1.6056868955492973,-1.9651389122009277,-2.0572209367528558
15,-2.15569439008832,-2.8968700170516968,-3.0073805809020997,-1.863549791276455,-2.323238213857015,-2.117677570320666
16,-2.1711651980876923,-3.3492897351582847,-3.38960862159729,-1.9543168942133586,-2.037928740183512,-2.476328690846761
17,-2.2363386750221252,-3.509348710378011,-3.509652853012085,-2.041214863459269,-2.1370975176493325,-2.636387666066488
18,-2.2039616107940674,-3.5030174255371094,-3.5049043893814087,-1.9980454444885254,-2.0775665442148843,-2.630056381225586
19,-2.162546217441559,-3.342893918355306,-3.384811758995056,-1.942824920018514,-2.027337392171224,-2.4699328740437827
20,-2.2635302543640137,-3.423502763112386,-3.445268392562866,-2.077470302581787,-2.1461034615834556,-2.550541718800863
21,-2.3207340836524963,-3.347174803415934,-3.4469814896583557,-2.1537420749664307,-2.1840675671895347,-2.476328690846761
22,-2.4017614126205444,-3.5072337786356607,-3.5670257210731506,-2.2617785135904946,-2.2921040058135986,-2.636387666066488
23,-2.3581663370132446,-3.5009024937947593,-3.5622772574424744,-2.203651746114095,-2.2339772383371987,-2.630056381225586
24,-2.221969187259674,-3.3407789866129556,-3.442184627056122,-2.0220555464426675,-2.0419251124064126,-2.4699328740437827
25,-2.364146888256073,-3.4213878313700357,-3.502641260623932,-2.211625814437866,-2.24195130666097,-2.550541718800863
26,-2.4577839970588684,-3.4792561531066895,-3.4717977046966553,-2.336475451787313,-2.2804879347483316,-2.476328690846761
27,-2.6975722908973694,-3.639315128326416,-3.59184193611145,-2.656193176905314,-2.600205739339193,-2.636387666066488
28,-2.5677972435951233,-3.632983843485514,-3.587093472480774,-2.4831597805023193,-2.4271722634633384,-2.630056381225586
29,-2.2319838106632233,-3.472860336303711,-3.4670008420944214,-2.035408536593119,-1.9651389122009277,-2.4699328740437827
30,-2.489846706390381,-3.553469181060791,-3.5274574756622314,-2.379225730895996,-2.323238213857015,-2.550541718800863
31,-2.2389707565307617,-3.2268520991007485,-3.297780394554138,-2.0448757807413735,-2.037928740183512,-2.4865245819091797
32,-2.3041442036628723,-3.386911074320475,-3.417824625968933,-2.1317737102508545,-2.1370975176493325,-2.6465835571289062
33,-2.2717671394348145,-3.3805797894795737,-3.413076162338257,-2.088604291280111,-2.0775665442148843,-2.6402522722880044
34,-2.2303517758846283,-3.22045628229777,-3.2929835319519043,-2.0333838065465293,-2.027337392171224,-2.480128765106201
